date,open,high,low,close,volume
2008-06-23,22.8,23.8,19.51,20.69,27523378
2008-06-24,21.0,22.76,20.9,22.76,13166508
2008-06-25,23.58,24.9,23.1,24.05,12179489
2008-06-26,23.53,26.44,23.42,25.42,9859499
2008-06-27,24.01,25.37,23.8,24.88,8605776
2008-06-30,24.83,25.77,23.61,24.87,7974485
2008-07-01,24.48,26.0,23.8,25.3,6512307
2008-07-02,25.11,26.78,25.11,26.7,6454340
2008-07-03,26.29,27.93,25.9,26.7,6574346
2008-07-04,26.35,27.2,25.91,26.88,4602241
2008-07-07,26.78,28.18,26.48,27.26,4790957
2008-07-08,27.02,27.48,25.9,26.29,5809125
2008-07-09,26.29,27.48,26.29,27.27,5121411
2008-07-10,27.46,28.25,26.0,26.0,5759780
2008-07-11,26.09,26.3,25.24,25.8,3098073
2008-07-14,25.31,26.5,25.31,26.47,2727978
2008-07-15,26.4,26.6,25.18,25.3,2626116
2008-07-16,24.83,25.73,24.53,25.0,2451926
2008-07-17,25.5,26.15,25.2,25.4,2203269
2008-07-18,25.55,26.3,24.65,26.1,2580902
2008-07-21,25.85,28.45,25.6,28.05,5311643
2008-07-22,27.8,28.49,27.68,27.71,3067917
2008-07-23,27.9,29.21,27.58,27.96,4198164
2008-07-24,28.18,28.96,27.93,28.96,2791133
2008-07-25,28.5,29.6,28.33,28.54,2433267
2008-07-28,28.54,28.99,27.9,28.06,2554230
2008-07-29,27.86,28.87,27.7,28.8,1994615
2008-07-30,29.1,30.4,29.0,29.74,3939026
2008-07-31,29.78,30.35,29.0,29.0,2865866
2008-08-01,28.7,30.25,28.55,30.06,2979417
2008-08-04,29.9,30.57,29.01,29.2,2000715
2008-08-05,28.95,29.38,27.68,27.98,2495819
2008-08-06,28.2,28.78,27.1,27.7,2340440
2008-08-07,27.68,29.18,27.5,29.06,2213373
2008-08-08,28.86,29.6,27.33,27.33,2651322
2008-08-11,27.15,27.5,25.13,25.4,2775319
2008-08-12,25.1,25.99,25.1,25.6,1664130
2008-08-13,25.4,26.33,24.3,26.08,2499412
2008-08-14,25.82,26.5,25.6,26.1,1410884
2008-08-15,25.96,26.48,25.6,25.92,1144500
2008-08-19,24.2,25.5,24.02,25.35,1672699
2008-08-20,24.95,27.5,24.76,27.23,2245599
2008-08-21,26.72,27.2,25.83,25.9,1847886
2008-08-22,25.88,26.52,25.53,26.0,1089365
2008-08-25,26.0,26.15,25.0,25.0,888128
2008-08-26,24.7,24.95,22.75,22.95,2296698
2008-08-27,22.5,23.2,21.03,22.0,2494031
2008-08-28,21.99,22.35,21.51,22.2,1248178
2008-08-29,22.4,23.27,22.3,23.21,1557962
2008-09-01,23.0,23.2,22.45,22.85,1259620
2008-09-02,22.58,22.96,22.4,22.47,546983
2008-09-03,22.5,22.6,20.5,20.55,1611916
2008-09-04,20.5,21.59,20.5,21.02,727716
2008-09-05,20.12,20.89,20.0,20.13,1122156
2008-09-08,20.15,20.65,19.67,20.07,1282647
2008-09-09,20.2,21.19,20.2,20.85,1289397
2008-09-10,20.81,21.45,20.5,20.85,872435
2008-09-11,21.0,21.23,20.42,20.71,721307
2008-09-12,20.5,20.96,20.4,20.62,584016
2008-09-16,20.77,21.58,19.85,21.08,1343404
2008-09-17,21.0,22.13,20.88,21.56,1372459
2008-09-18,21.0,22.1,19.99,21.65,1520297
2008-09-19,23.8,23.82,23.01,23.82,1638996
2008-09-22,24.8,25.9,23.0,23.72,3422472
2008-09-23,22.02,22.68,21.35,21.35,5941027
2008-09-24,20.29,22.2,20.1,22.0,2499771
2008-09-25,21.8,22.61,21.65,22.14,2364000
2008-09-26,22.15,22.53,21.45,21.75,1768900
2008-10-06,21.1,21.25,20.73,20.88,1158623
2008-10-07,20.2,21.48,20.03,21.21,1319228
2008-10-08,20.82,21.33,20.7,21.1,956011
2008-10-09,21.44,21.48,20.66,20.66,913154
2008-10-10,19.99,20.0,18.59,18.59,3424881
2008-10-13,18.12,19.47,18.11,19.45,1871313
2008-10-14,19.99,20.2,19.11,19.2,1688252
2008-10-15,19.05,19.67,19.01,19.4,816468
2008-10-16,18.51,18.9,18.04,18.09,879086
