date,open,high,low,close,volume
1997-02-27,15.0,15.8,14.6,14.71,8695000
1997-02-28,14.49,14.77,14.01,14.45,1761300
1997-03-03,14.53,15.48,14.53,15.22,2093700
1997-03-04,15.2,15.28,14.8,15.03,1177000
1997-03-05,14.99,15.4,14.81,14.92,909800
1997-03-06,14.8,15.37,14.75,15.17,905800
1997-03-07,15.15,15.83,15.1,15.51,2179300
1997-03-10,15.9,15.9,15.41,15.64,1294600
1997-03-11,15.68,15.98,15.45,15.98,1806200
1997-03-12,16.2,16.28,15.68,16.12,1852500
1997-03-13,16.12,16.2,15.68,15.92,1344600
1997-03-14,15.85,16.38,15.7,16.38,1302200
1997-03-17,16.5,17.0,16.49,16.98,1947100
1997-03-18,17.0,17.64,16.7,16.94,1820900
1997-03-19,16.98,17.5,16.6,17.48,1754800
1997-03-20,17.5,17.6,16.6,16.65,1257200
1997-03-21,16.5,17.11,16.4,17.05,1023700
1997-03-24,17.26,17.3,16.65,16.74,1272800
1997-03-25,16.88,16.88,16.28,16.55,1063500
1997-03-26,16.4,17.2,16.4,16.79,812500
1997-03-27,16.85,16.85,16.54,16.57,912800
1997-03-28,16.6,17.18,16.45,16.93,911300
1997-03-31,17.01,17.18,16.85,17.06,720300
1997-04-01,17.11,17.25,16.8,16.91,446300
1997-04-02,16.89,17.59,16.89,17.03,739000
1997-04-03,17.0,17.18,16.6,16.79,377200
1997-04-04,16.79,17.0,16.7,16.78,532800
1997-04-07,16.6,16.9,16.32,16.87,777800
1997-04-08,16.86,16.86,16.29,16.32,489800
1997-04-09,16.32,16.8,16.2,16.8,664600
1997-04-10,16.51,17.2,16.5,16.86,967800
1997-04-11,16.6,16.85,16.25,16.46,487100
1997-04-14,16.66,17.25,16.6,16.91,724200
1997-04-15,16.9,17.0,16.6,16.89,427800
1997-04-16,16.98,17.0,16.58,16.77,423900
1997-04-17,16.6,16.96,16.5,16.8,508100
1997-04-18,16.87,16.87,16.45,16.57,361300
1997-04-21,16.85,16.9,16.51,16.9,630200
1997-04-22,16.9,17.2,16.6,17.1,790000
1997-04-23,17.1,17.5,16.84,17.33,1126900
1997-04-24,17.28,17.8,16.45,17.05,756000
1997-04-25,17.0,17.25,16.5,16.65,1108700
1997-04-28,16.98,17.65,16.75,17.62,1567300
1997-04-29,17.98,19.38,17.88,19.38,4310000
