date,open,high,low,close,volume
2006-08-23,22.8,25.0,22.32,24.0,14767507
2006-08-24,23.6,24.47,23.22,24.05,7682058
2006-08-25,24.25,25.27,24.13,24.19,6283112
2006-08-28,24.12,24.16,23.31,24.05,3646238
2006-08-29,24.1,26.46,24.02,26.42,5968567
2006-08-30,25.98,26.59,25.68,26.46,2940931
2006-08-31,26.3,28.08,26.22,27.1,3601119
2006-09-01,27.24,28.79,26.72,27.85,3216023
2006-09-04,27.49,28.33,27.16,27.94,1955787
2006-09-05,27.88,28.07,26.8,27.21,2133250
2006-09-06,27.1,27.57,26.8,27.5,1185611
2006-09-07,27.32,29.06,27.28,28.26,2188615
2006-09-08,28.08,28.97,27.82,27.89,1755248
2006-09-11,27.56,27.9,26.8,27.82,1599038
2006-09-12,27.5,27.52,26.91,26.95,1989968
2006-09-13,26.94,27.4,25.81,25.83,2059359
2006-09-14,25.7,26.0,25.08,25.69,1940509
2006-09-15,25.55,25.8,25.3,25.58,949951
2006-09-18,25.52,26.1,25.52,25.75,684709
2006-09-19,25.85,26.49,25.81,25.9,926701
2006-09-20,25.82,26.45,25.71,26.25,823437
2006-09-21,26.06,27.1,26.04,27.08,1412238
2006-09-22,26.9,27.36,26.75,26.75,907004
2006-09-25,26.69,27.26,26.37,26.89,640103
2006-09-26,26.85,26.98,26.2,26.2,520799
2006-09-27,26.11,26.45,25.74,25.9,471868
2006-09-28,26.2,27.18,26.0,26.68,974111
2006-09-29,27.0,29.35,26.81,29.33,3029580
2006-10-09,29.45,29.88,28.9,29.5,1298037
2006-10-10,29.5,29.75,28.6,29.4,1219011
2006-10-11,29.25,30.14,28.8,29.61,1196197
2006-10-12,29.66,30.55,28.3,28.7,1445161
2006-10-13,28.2,28.9,27.89,28.4,750103
2006-10-16,28.25,29.4,28.22,28.45,548137
2006-10-17,28.58,28.95,28.3,28.57,374915
2006-10-18,28.87,29.29,28.7,28.99,444600
2006-10-19,29.2,29.89,28.9,29.4,888929
2006-10-20,29.45,29.45,28.4,28.45,864032
2006-10-23,28.3,28.36,27.16,27.41,710570
2006-10-24,27.37,28.5,27.37,28.1,607195
2006-10-25,28.3,28.99,28.16,28.68,699908
2006-10-26,28.8,28.88,28.17,28.3,423886
2006-10-27,28.3,29.49,28.27,28.9,991416
2006-10-30,28.98,29.0,27.78,28.12,592551
2006-10-31,28.01,28.26,27.76,28.16,440026
2006-11-01,28.1,28.1,27.01,27.46,1099905
2006-11-02,27.32,27.48,26.12,26.61,837702
2006-11-03,26.43,27.14,26.43,26.68,466136
2006-11-06,26.5,26.79,26.21,26.41,487075
2006-11-07,26.25,27.25,26.25,27.2,650836
2006-11-08,27.2,27.2,26.55,26.84,427694
2006-11-09,26.8,27.7,26.56,27.51,570974
2006-11-10,27.38,27.4,26.69,26.7,690443
2006-11-13,26.6,26.8,25.88,26.0,524600
2006-11-14,26.0,26.59,25.95,26.54,379285
2006-11-15,26.59,27.2,26.21,26.9,750857
2006-11-16,26.99,27.09,26.4,26.4,805214
2006-11-17,26.3,26.72,26.2,26.26,542023
2006-11-20,26.2,26.3,25.2,25.7,860178
2006-11-21,25.58,26.21,25.36,25.89,533550
2006-11-22,25.7,25.99,25.47,25.88,730082
2006-11-23,25.88,26.97,25.25,26.88,2651201
2006-11-24,26.57,26.68,26.11,26.59,1227433
2006-11-27,26.5,26.95,26.38,26.95,609184
2006-11-28,26.94,27.18,26.44,26.5,734030
2006-11-29,26.3,26.61,25.95,26.44,911839
2006-11-30,26.5,27.18,26.5,26.8,888721
2006-12-01,26.75,26.99,26.36,26.7,996062
2006-12-04,26.82,29.36,26.82,28.1,1846006
2006-12-05,28.0,28.21,27.7,28.1,996765
2006-12-06,28.07,28.79,27.0,27.53,1412041
2006-12-07,27.49,27.78,27.16,27.16,738473
2006-12-08,27.0,27.0,25.74,25.74,1186076
2006-12-11,25.63,26.3,25.59,26.21,626581
2006-12-12,25.99,26.4,25.65,26.09,639341
2006-12-13,26.0,27.2,25.92,26.71,862670
2006-12-14,26.51,27.18,26.51,26.79,617031
2006-12-15,27.17,28.42,26.81,27.5,1241368
2006-12-18,27.41,27.97,27.1,27.39,880741
2006-12-19,27.41,28.8,27.18,28.39,1886846
2006-12-20,28.25,28.38,27.87,28.31,1064744
2006-12-21,28.28,28.46,27.35,27.37,1083140
2006-12-22,27.27,27.5,26.65,26.81,770443
2006-12-25,27.0,27.77,27.0,27.33,610195
2006-12-26,27.32,27.55,26.48,26.8,570217
2006-12-27,26.81,27.98,26.52,27.6,745713
2006-12-28,27.5,27.5,26.11,26.28,951071
2006-12-29,26.35,28.18,26.32,27.52,1438438
2007-01-04,28.02,28.04,26.95,26.98,1330960
2007-01-05,26.86,29.36,26.86,28.98,1769267
2007-01-08,28.9,30.5,28.7,29.98,1639234
2007-01-09,29.98,30.79,29.6,29.88,1221281
2007-01-10,29.6,30.38,29.53,30.27,988734
2007-01-11,30.0,31.8,29.7,30.11,1296479
2007-01-12,29.88,30.3,28.48,28.55,1243160
2007-01-15,28.41,30.6,28.4,30.42,1157535
2007-01-16,30.52,31.5,30.0,31.15,1302239
2007-01-17,31.22,32.5,30.0,30.65,1670211
2007-01-18,30.46,33.0,30.44,32.92,1291979
2007-01-19,33.0,34.22,32.96,33.8,1332209
2007-01-22,33.95,34.85,33.6,34.58,1269403
2007-01-23,34.21,34.5,32.32,33.85,1237864
2007-01-24,33.68,33.7,32.8,33.2,996450
2007-01-25,32.72,32.78,31.0,31.22,1281435
2007-01-26,30.8,31.75,30.0,31.22,872332
2007-01-29,31.4,32.28,31.2,32.25,852879
2007-01-30,32.43,32.45,31.1,31.33,909055
2007-01-31,31.38,31.45,29.9,30.09,1070481
2007-02-01,29.9,30.27,29.0,29.99,889493
2007-02-02,29.94,30.4,29.66,29.73,841483
2007-02-05,29.8,30.46,29.8,30.05,462714
2007-02-06,30.02,30.66,30.02,30.54,522045
2007-02-07,30.68,30.82,30.21,30.24,758464
2007-02-08,30.38,30.79,29.93,30.7,861394
2007-02-09,30.85,31.13,30.3,30.9,1007330
2007-02-12,30.85,31.87,30.48,31.69,674543
2007-02-13,31.7,32.47,31.4,32.2,690903
2007-02-14,32.2,32.59,31.82,32.15,628667
2007-02-15,32.15,32.89,32.15,32.79,667285
2007-02-16,32.88,33.8,32.7,33.06,835370
2007-02-26,33.15,33.82,32.66,33.62,827402
2007-02-27,33.5,33.65,30.26,30.28,1578820
2007-02-28,30.28,31.2,30.05,30.8,874762
2007-03-01,30.9,30.94,29.41,29.57,1100915
2007-03-02,29.5,30.3,29.33,30.2,532246
2007-03-05,29.99,30.4,29.28,29.6,790914
2007-03-06,29.6,30.58,29.6,30.36,603905
2007-03-07,30.3,30.85,30.2,30.81,701028
2007-03-08,30.85,31.88,30.61,31.78,876167
2007-03-09,31.58,31.85,30.89,31.41,752241
2007-03-12,31.3,32.79,31.2,32.55,1136365
2007-03-13,32.38,32.8,31.92,32.21,660007
2007-03-14,31.96,33.78,31.0,33.2,1926762
2007-03-15,32.92,33.48,32.82,33.18,1144290
2007-03-16,33.15,33.2,31.7,32.0,1076074
2007-03-19,31.02,32.28,30.8,31.77,672853
2007-03-20,31.83,33.2,31.81,32.7,688363
2007-03-21,32.56,33.15,32.5,32.85,656506
2007-03-22,32.85,33.68,32.7,32.88,936992
2007-03-23,33.0,33.2,32.2,32.76,791578
2007-03-26,32.76,34.5,32.76,33.9,1127945
2007-03-27,33.92,34.69,33.56,33.99,1031620
2007-03-28,34.16,34.98,32.68,34.65,1320099
2007-03-29,34.7,35.58,33.88,33.88,1264198
2007-03-30,33.76,34.35,33.35,34.22,588617
2007-04-02,34.5,35.99,34.3,35.7,1236279
2007-04-03,35.7,35.98,35.2,35.8,763816
2007-04-04,35.8,35.87,35.22,35.45,753138
2007-04-05,35.5,35.78,34.5,35.5,655191
2007-04-06,35.25,36.55,35.03,36.22,720496
2007-04-09,36.3,36.88,36.0,36.15,801836
2007-04-10,36.15,36.47,35.2,36.38,1048211
2007-04-11,36.38,39.97,36.0,39.45,1564257
2007-04-12,39.2,42.9,38.81,42.79,1839484
2007-04-13,42.76,42.79,41.11,41.6,954789
2007-04-16,41.41,44.5,41.41,44.12,834844
2007-04-17,44.98,44.98,42.55,44.06,917494
2007-04-18,44.25,44.6,41.5,41.8,1955323
2007-04-19,41.8,41.8,37.62,38.4,2013298
2007-04-20,38.63,40.3,38.63,39.98,1373518
2007-04-23,39.98,40.68,39.4,40.3,1287981
2007-04-24,40.25,40.25,39.01,39.08,1398916
2007-04-25,38.99,39.79,38.51,39.73,1127896
2007-04-26,40.0,40.51,39.38,40.0,726347
2007-04-27,40.0,40.28,39.0,39.41,709549
2007-04-30,39.1,39.45,38.02,39.15,904309
2007-05-08,39.26,40.63,39.15,40.5,1164421
2007-05-09,40.3,40.5,38.5,39.85,814913
2007-05-10,39.88,40.0,38.91,39.22,841847
2007-05-11,38.85,39.48,38.5,39.26,727576
2007-05-14,38.75,39.79,38.62,39.27,572671
2007-05-16,38.18,39.14,37.81,38.85,1006875
2007-05-17,39.21,40.5,39.21,40.15,1125711
2007-05-18,40.13,41.6,39.6,41.35,1471388
