date,open,high,low,close,volume
2011-12-12,8.06,8.18,7.23,7.35,229661968
2011-12-13,7.44,7.76,7.28,7.52,149097088
2011-12-14,7.46,7.67,7.09,7.61,105105768
2011-12-15,7.43,7.96,7.29,7.33,136738368
2011-12-16,7.2,7.6,7.11,7.57,109401520
2011-12-19,7.38,7.88,7.21,7.79,104497296
2011-12-20,7.74,7.84,7.39,7.41,79518408
2011-12-21,7.52,7.68,7.15,7.19,71841312
2011-12-22,6.88,7.02,6.53,6.74,81459360
2011-12-23,6.66,6.92,6.53,6.58,69452184
2011-12-26,6.48,6.63,6.33,6.34,46210832
2011-12-27,6.29,6.77,6.18,6.36,76457152
2011-12-28,6.19,6.72,6.11,6.58,79053352
2011-12-29,6.41,6.55,6.35,6.36,47479568
2011-12-30,6.43,6.81,6.38,6.57,58644640
2012-01-04,6.6,6.6,6.26,6.3,40568492
2012-01-05,6.21,6.49,6.16,6.22,36926048
2012-01-06,6.26,6.64,6.15,6.5,58041776
2012-01-09,6.44,6.82,6.34,6.8,74724816
2012-01-10,6.75,7.04,6.69,6.92,77497424
2012-01-11,6.89,7.06,6.83,6.93,53595580
2012-01-12,6.82,6.86,6.66,6.7,50663472
2012-01-13,6.68,6.77,6.37,6.41,38061556
2012-01-16,6.33,6.47,6.23,6.29,24446044
2012-01-17,6.33,6.76,6.23,6.72,43586096
2012-01-18,6.72,7.35,6.6,6.67,70445568
2012-01-19,6.63,7.02,6.52,6.85,46669956
2012-01-20,6.86,6.9,6.69,6.85,31948318
2012-01-30,6.81,6.84,6.67,6.71,25261804
2012-01-31,6.73,6.77,6.6,6.76,18055530
2012-02-01,6.73,6.78,6.55,6.57,22458590
2012-02-02,6.62,6.72,6.48,6.71,25337876
2012-02-03,6.68,6.76,6.56,6.72,26998840
2012-02-06,6.75,6.94,6.66,6.79,34514996
2012-02-07,6.69,6.69,6.48,6.52,24301248
2012-02-08,6.53,6.97,6.48,6.82,38198540
2012-02-09,6.77,6.9,6.73,6.8,36483464
2012-02-10,6.76,7.05,6.7,6.84,45066612
2012-02-13,6.74,6.89,6.68,6.82,27721922
2012-02-14,6.81,6.96,6.75,6.86,27767046
2012-02-15,6.82,7.15,6.8,6.97,58600600
2012-02-16,6.93,7.0,6.78,6.9,34900700
2012-02-17,6.92,6.97,6.83,6.88,23470176
2012-02-20,7.0,7.04,6.81,6.83,30020132
2012-02-21,6.81,6.87,6.69,6.86,25617356
2012-02-22,6.83,7.55,6.81,7.55,106810608
2012-02-23,7.58,7.75,7.48,7.64,85459264
2012-02-24,7.75,8.16,7.69,7.88,99852168
2012-02-27,7.79,8.67,7.74,8.46,116590792
2012-02-28,8.41,8.65,8.31,8.47,70536944
2012-02-29,8.4,8.44,8.16,8.28,49773696
2012-03-01,8.28,8.4,8.09,8.18,55067740
2012-03-02,8.2,8.43,8.16,8.37,54184824
