date,open,high,low,close,volume
1993-03-16,12.18,12.85,11.0,12.8,3285800
1993-03-17,13.2,13.21,12.4,12.7,1806200
1993-03-18,12.78,12.84,12.18,12.61,1018700
1993-03-19,12.61,12.85,12.23,12.4,1015000
1993-03-22,12.5,12.5,11.0,11.09,1533200
1993-03-23,10.62,11.2,10.15,10.5,1080800
1993-03-24,10.5,10.99,10.3,10.45,661900
1993-03-25,10.7,10.7,10.03,10.4,630700
1993-03-26,10.5,12.25,10.2,12.25,1430600
1993-03-29,11.5,11.8,10.5,11.05,1044100
1993-03-30,11.11,11.49,10.71,10.88,781200
1993-03-31,11.0,11.0,10.3,10.58,741600
1993-04-01,10.6,10.98,10.31,10.89,521700
1993-04-02,10.83,11.18,10.7,10.8,546300
1993-04-05,10.7,10.9,10.4,10.9,298700
1993-04-06,10.99,12.5,10.82,12.15,2090100
1993-04-07,12.6,13.3,11.9,12.25,3177200
1993-04-08,13.35,18.0,12.44,16.0,5274700
1993-04-09,16.5,16.8,14.11,14.8,3552000
1993-04-12,14.54,15.5,13.0,13.6,2066900
1993-04-13,13.4,15.5,13.4,15.5,4094200
1993-04-14,15.5,16.95,15.5,15.9,6769000
1993-04-15,16.1,20.0,15.21,17.4,7271500
1993-04-16,17.5,18.3,15.75,15.9,3499800
1993-04-19,15.7,16.8,15.25,16.2,1741200
1993-04-20,16.5,17.0,16.2,16.35,2107500
1993-04-21,16.5,16.52,16.01,16.12,878600
1993-04-22,16.0,16.52,16.0,16.43,943900
1993-04-23,16.7,17.0,16.05,16.12,1128100
1993-04-26,17.0,17.0,16.0,16.8,2047800
1993-04-27,17.0,18.0,16.95,17.18,3166500
1993-04-28,17.3,18.0,16.85,17.1,1282700
1993-04-29,17.2,17.48,16.7,16.7,1003600
1993-04-30,16.7,17.37,16.6,16.95,1158700
1993-05-03,17.21,17.25,16.3,16.6,969100
1993-05-04,16.61,16.61,14.71,15.0,1317600
1993-05-05,15.2,15.98,15.0,15.5,987700
1993-05-06,15.6,15.6,13.82,14.1,1174400
1993-05-07,14.1,14.9,14.0,14.84,1037700
1993-05-10,14.9,15.39,13.65,14.15,735100
1993-05-11,14.15,14.44,13.82,14.27,427600
1993-05-12,14.3,14.6,14.05,14.3,378900
1993-05-13,14.4,14.89,14.2,14.77,281500
1993-05-14,14.7,15.6,14.7,15.1,1009100
1993-05-17,14.49,15.0,13.1,14.73,353900
1993-05-18,14.88,14.88,14.1,14.55,260800
1993-05-19,14.5,14.69,14.5,14.69,164900
1993-05-20,14.8,15.2,14.76,15.09,409700
1993-05-21,15.1,15.15,14.01,14.7,265600
1993-05-24,14.65,14.65,13.15,13.25,642200
1993-05-25,13.0,13.29,12.2,12.95,542900
1993-05-26,12.5,13.29,12.5,13.01,328500
1993-05-27,13.1,13.1,12.3,12.63,349300
1993-05-28,12.4,12.9,12.4,12.78,265500
1993-05-31,12.8,13.0,12.21,12.37,210900
1993-06-01,12.22,13.5,11.2,12.9,302700
1993-06-02,13.0,14.9,11.7,14.8,2297200
1993-06-03,15.1,15.65,12.51,13.6,2019000
1993-06-04,13.7,13.7,12.6,13.11,653900
1993-06-07,13.62,14.2,12.75,14.2,429400
1993-06-08,14.6,14.7,13.51,14.18,1989300
1993-06-09,14.45,15.1,14.1,14.2,893200
1993-06-10,14.38,14.48,13.6,14.0,600000
1993-06-11,14.0,14.0,13.48,13.8,342600
1993-06-14,13.88,14.1,13.0,13.35,481700
1993-06-15,13.49,13.5,13.05,13.4,323300
1993-06-16,13.45,13.9,13.2,13.45,295500
1993-06-17,13.49,13.78,13.3,13.42,171300
1993-06-18,13.2,13.58,13.2,13.35,120800
1993-06-21,13.25,13.3,12.8,13.05,222900
1993-06-22,13.0,13.2,13.0,13.09,87400
1993-06-23,12.95,13.19,12.95,13.16,118700
1993-06-24,13.3,13.3,12.95,13.05,94800
1993-06-25,13.0,13.95,12.91,13.3,259600
1993-06-28,13.4,13.45,13.1,13.23,114100
1993-06-29,13.89,13.89,13.01,13.7,452800
1993-06-30,13.6,13.81,13.18,13.2,256300
1993-07-01,13.39,13.68,13.1,13.4,203400
1993-07-02,13.4,13.48,13.0,13.25,139700
1993-07-05,13.2,13.2,12.26,12.82,230400
1993-07-06,12.38,12.56,12.1,12.18,305200
1993-07-07,12.1,12.4,11.71,12.2,207700
