date,open,high,low,close,volume
2015-03-23,12.04,14.44,12.04,14.44,239605
2015-03-24,15.88,15.88,15.88,15.88,158906
2015-03-25,17.47,17.47,17.47,17.47,117167
2015-03-26,19.22,19.22,19.22,19.22,585800
2015-03-27,21.14,21.14,21.14,21.14,33632584
2015-03-30,21.09,22.98,20.33,22.17,461367104
2015-03-31,22.17,23.63,22.17,22.65,336978272
2015-04-01,22.7,23.47,22.4,23.35,198219952
2015-04-02,23.45,25.01,23.01,24.96,217007344
2015-04-03,25.03,27.46,24.53,27.46,236521056
2015-04-07,28.79,30.21,27.6,30.21,217606512
2015-04-08,30.3,33.23,30.21,33.23,220480368
2015-04-09,34.5,36.55,31.9,32.84,282434816
2015-04-10,32.7,32.86,31.11,32.55,241831680
2015-04-13,32.3,32.45,30.88,31.77,164624912
2015-04-14,31.21,31.63,30.31,31.32,164496624
2015-04-15,30.97,31.7,29.97,30.01,126747600
2015-04-16,29.35,30.6,28.95,30.26,107908960
2015-04-17,30.98,33.15,30.97,31.55,188748592
2015-04-20,31.6,31.6,29.68,29.83,133884200
2015-04-21,29.76,32.81,29.4,32.71,225239168
2015-04-22,32.6,34.56,31.8,33.86,214457264
2015-04-23,33.47,34.38,32.55,32.84,162690352
2015-04-24,31.8,32.48,31.0,31.52,102368216
2015-04-27,32.52,33.33,31.85,32.24,114078416
2015-04-28,32.54,33.47,32.14,32.96,159168704
2015-04-29,32.45,32.96,31.73,32.58,98677336
2015-04-30,32.62,33.8,32.35,32.47,104307552
2015-05-04,32.3,32.31,31.5,32.02,71648304
2015-05-05,32.0,32.9,30.44,30.72,94351688
2015-05-06,30.72,31.63,29.8,30.21,85871144
2015-05-07,29.8,30.61,29.58,30.26,64280480
2015-05-08,30.85,31.04,29.41,30.16,87578832
2015-05-11,30.14,31.49,29.8,31.46,102745384
2015-05-12,31.45,32.89,30.75,31.79,128876784
2015-05-13,31.31,31.98,30.8,30.93,75386624
2015-05-14,31.18,31.52,30.22,30.68,63250700
2015-05-15,30.25,30.43,29.57,29.73,65725704
2015-05-18,29.3,31.4,29.07,30.28,81385824
2015-05-19,30.5,33.31,30.33,33.31,224982064
2015-05-20,34.3,35.41,32.81,34.1,215409728
2015-05-21,34.0,36.88,33.66,35.78,166970656
2015-05-22,36.28,39.36,35.51,39.36,215942192
2015-05-25,40.0,43.3,39.36,40.36,255426624
2015-05-26,39.8,41.85,38.39,40.96,179829536
2015-05-27,40.75,41.18,39.6,39.93,121010248
2015-05-28,39.7,41.38,35.99,36.19,174144480
2015-05-29,36.45,37.69,34.68,36.17,141978400
2015-06-01,35.76,39.7,35.59,38.95,133416448
2015-06-02,38.95,39.19,37.58,38.59,99195848
2015-06-03,38.65,38.98,37.36,37.53,82329360
2015-06-04,37.18,38.97,35.1,38.42,104181064
2015-06-05,40.0,40.96,38.2,38.98,127895592
2015-06-08,39.5,41.2,38.23,40.97,147481136
2015-06-09,40.95,41.03,38.53,39.09,108870712
2015-06-10,38.4,39.05,37.85,38.3,73295792
