date,open,high,low,close,volume
2010-03-19,61.0,62.2,58.03,58.35,19737326
2010-03-22,61.1,64.19,60.26,64.19,11010362
2010-03-23,63.0,65.66,62.52,65.1,8552214
2010-03-24,65.18,71.49,64.64,68.69,7253024
2010-03-25,68.68,71.6,68.02,69.78,6022514
2010-03-26,68.9,69.6,67.0,68.5,4315433
2010-03-29,68.71,74.49,67.01,73.56,6768558
2010-03-30,73.0,79.8,72.55,79.0,4833058
2010-03-31,78.88,86.9,78.0,86.72,5881164
2010-04-01,87.1,94.0,85.3,86.59,6147886
2010-04-02,85.2,90.58,85.18,88.49,4970156
2010-04-06,89.5,97.34,88.51,97.34,4851636
2010-04-07,97.32,101.98,96.0,101.9,4694537
2010-04-08,100.0,101.3,91.71,91.71,6201852
2010-04-09,89.98,97.8,88.0,96.96,5894276
2010-04-12,95.02,96.0,87.95,90.85,5608177
2010-04-13,89.66,89.66,81.77,81.77,7863741
2010-04-14,80.41,83.19,79.01,81.61,4252674
2010-04-15,81.3,81.3,74.81,78.2,5392971
2010-04-16,76.75,80.45,76.72,78.18,3939987
2010-04-19,77.48,81.07,76.0,77.0,3357242
2010-04-20,77.66,78.0,70.77,72.95,3617104
2010-04-21,71.9,75.79,71.6,75.32,3463982
2010-04-22,74.5,79.7,74.0,78.18,4057484
2010-04-23,77.6,79.22,74.5,75.0,3069443
2010-04-27,70.0,73.47,69.69,71.12,3350742
2010-04-28,69.0,70.88,65.71,67.59,3072591
2010-04-29,68.48,70.09,66.5,66.7,2079992
2010-04-30,67.01,69.97,63.0,69.12,2672599
2010-05-04,67.53,70.77,67.0,68.31,1910436
2010-05-05,67.4,71.47,67.0,71.4,2323656
2010-05-06,70.66,71.36,67.01,67.08,2527632
2010-05-07,64.0,66.5,63.89,64.2,1811442
2010-05-10,63.5,64.5,59.2,62.0,2253290
2010-05-11,63.6,63.6,59.0,59.2,1731674
2010-05-12,58.48,61.0,57.18,60.3,2034523
2010-05-13,60.6,60.9,57.28,60.8,2055246
2010-05-14,60.4,62.3,59.0,61.9,1800793
2010-05-17,60.5,61.29,57.0,57.02,1840558
2010-05-19,57.65,62.7,57.5,60.51,3408179
2010-05-20,59.6,62.26,59.4,59.81,2146289
2010-05-21,57.4,65.58,57.32,65.01,3815531
2010-05-24,65.2,68.87,64.44,67.4,3784420
2010-05-25,66.9,67.6,65.0,66.6,2585120
2010-05-26,66.7,67.18,64.4,64.69,1885669
2010-05-27,64.65,67.16,62.9,66.63,2277169
2010-05-28,67.23,67.6,65.0,65.7,1745490
2010-05-31,65.47,66.22,62.75,62.75,1984872
2010-06-01,61.9,62.1,57.36,59.73,2065169
2010-06-02,59.55,61.7,58.52,61.7,1274025
2010-06-03,61.88,63.57,60.0,60.25,1881968
2010-06-04,59.9,62.1,59.2,61.9,1625829
2010-06-07,60.0,66.25,59.21,65.73,3551736
2010-06-08,65.73,65.88,63.7,64.7,2229152
2010-06-09,64.75,68.5,64.75,65.99,3583305
2010-06-10,65.9,68.48,65.4,68.02,2957981
2010-06-11,69.24,73.95,68.55,70.75,4584597
2010-06-17,71.2,71.46,64.92,65.24,3091571
2010-06-18,64.4,64.98,60.37,61.15,2129752
2010-06-21,60.5,62.88,57.38,62.46,5267999
2010-06-22,61.38,63.86,61.18,62.12,2912447
2010-06-23,61.6,65.45,61.45,65.05,3146801
2010-06-24,64.6,65.87,63.85,64.35,2140219
2010-06-25,63.75,65.2,60.8,62.75,2547322
2010-06-28,62.31,63.45,60.5,60.8,2376031
2010-06-29,60.6,61.24,54.8,54.8,4069436
2010-06-30,53.33,54.85,52.1,54.14,2315163
2010-07-01,53.5,54.48,51.5,51.52,2104582
2010-07-02,51.8,52.0,47.65,50.78,2489661
2010-07-05,49.5,49.89,47.51,48.87,1615465
2010-07-06,48.51,50.99,48.01,50.35,1975819
2010-07-07,50.38,51.45,49.38,51.31,1884667
2010-07-08,51.66,51.9,49.61,50.92,1813124
2010-07-09,50.77,52.86,49.9,52.38,2006292
2010-07-12,52.39,53.0,51.89,52.29,1457551
2010-07-13,51.9,51.9,49.77,51.0,1747745
2010-07-14,51.38,52.0,50.66,50.98,1302915
2010-07-15,50.98,51.39,49.0,49.29,1214523
2010-07-16,49.02,49.65,48.04,49.3,1073261
2010-07-19,48.51,50.98,48.51,50.59,1129017
2010-07-20,50.59,52.38,50.59,52.31,1682530
2010-07-21,52.5,53.8,51.95,52.06,2331813
2010-07-22,51.8,52.66,51.12,52.4,1513430
2010-07-23,52.68,53.65,52.05,52.96,1854666
2010-07-26,53.05,53.47,51.8,52.7,1667340
2010-07-27,52.64,52.64,51.8,52.02,1620902
2010-07-28,51.99,53.46,51.69,53.38,2773992
2010-07-29,53.32,54.21,53.01,53.45,2393199
2010-07-30,53.49,53.55,52.12,53.2,1789280
2010-08-02,52.99,56.0,52.7,55.88,2962031
2010-08-03,55.9,56.07,54.09,54.09,2480842
2010-08-04,54.21,54.69,52.8,53.77,1809606
2010-08-05,53.77,55.15,53.6,54.36,2081678
2010-08-06,54.6,55.5,53.29,55.34,2293000
2010-08-09,55.85,57.37,55.35,56.96,3112577
2010-08-10,56.99,57.3,53.9,54.0,2616263
2010-08-11,54.5,54.7,53.7,54.47,1246729
2010-08-12,53.62,54.5,53.51,53.6,1377790
2010-08-13,53.58,54.99,53.23,54.83,1612344
2010-08-16,54.99,56.22,54.83,55.83,1708892
2010-08-17,55.88,56.4,54.75,55.25,2181315
2010-08-18,55.5,55.68,54.6,54.98,1312838
2010-08-19,54.92,55.16,54.01,54.64,1606043
2010-08-20,54.8,54.85,50.88,51.35,3010062
2010-08-23,51.4,51.88,50.4,50.69,2058878
2010-08-24,50.21,51.69,50.1,51.4,1188034
2010-08-25,51.0,51.3,49.65,49.75,1242870
2010-08-26,49.9,50.38,49.71,50.18,794636
2010-08-27,50.02,51.0,49.72,51.0,1020692
2010-08-30,51.39,52.3,51.03,51.92,1302242
2010-08-31,51.69,52.0,51.02,51.79,1345929
2010-09-01,51.8,51.9,49.7,50.01,1632169
2010-09-02,50.46,52.2,50.0,52.2,2168872
2010-09-03,52.1,54.76,52.0,53.99,3743581
2010-09-06,54.2,55.2,52.22,52.68,2147163
2010-09-07,52.5,54.08,52.48,53.98,1425296
2010-09-08,53.8,53.8,52.68,53.4,1250009
2010-09-09,53.6,54.8,52.81,53.07,1862064
2010-09-10,53.08,53.4,51.2,52.19,1482090
2010-09-13,51.83,53.44,50.0,53.0,1166904
2010-09-14,52.7,53.19,51.58,51.83,1077407
2010-09-15,51.8,52.29,49.5,49.65,1384187
2010-09-16,49.65,50.11,48.21,48.55,1145599
2010-09-17,48.67,49.34,48.58,48.97,524929
2010-09-20,49.45,49.48,47.11,47.26,1261034
2010-09-21,47.78,47.79,46.28,46.5,546188
2010-09-27,46.65,47.21,46.19,47.05,561063
2010-09-29,46.7,46.9,45.6,45.61,929008
2010-09-30,45.61,46.95,45.31,46.58,555999
2010-10-08,46.83,48.06,46.71,47.56,688676
2010-10-11,47.6,48.34,47.25,47.8,1076942
2010-10-12,47.8,49.36,47.6,48.2,796646
2010-10-13,48.2,48.59,47.28,48.58,1003038
2010-10-14,48.6,50.39,48.3,49.15,1775744
2010-10-15,48.5,48.83,47.46,48.25,1303597
2010-10-18,47.7,48.18,46.13,47.19,984172
2010-10-19,47.05,51.91,47.05,51.91,2860321
2010-10-20,53.49,54.8,52.0,52.8,4345659
2010-10-21,52.77,52.77,50.01,51.01,1996603
2010-10-22,50.77,53.15,50.63,51.76,1881317
2010-10-25,51.82,52.99,51.82,52.67,1909329
2010-10-26,52.95,52.95,50.91,51.69,1503813
2010-10-27,51.65,52.3,50.9,51.16,881611
2010-10-28,51.11,51.65,50.78,51.4,867533
2010-10-29,51.8,54.6,51.58,53.03,2220183
2010-11-01,53.47,54.89,52.8,53.7,2353214
2010-11-02,56.96,59.07,55.19,59.07,6673787
2010-11-03,58.0,59.5,55.75,55.77,3265783
2010-11-04,56.3,57.6,55.6,56.74,2017680
2010-11-05,57.02,58.57,56.1,57.88,1901078
2010-11-08,58.7,58.7,57.58,57.83,1649378
2010-11-09,57.8,58.49,56.43,56.7,1492293
2010-11-10,56.98,58.5,56.0,58.0,1624573
2010-11-11,57.88,60.3,57.0,58.88,2291073
2010-11-12,58.25,59.5,55.0,55.07,1998194
2010-11-15,55.66,57.9,55.01,57.9,1812503
2010-11-16,57.94,59.9,55.5,55.97,1883463
2010-11-17,55.03,55.98,52.0,52.5,1493363
2010-11-18,52.74,53.47,52.42,53.15,744292
