date,open,high,low,close,volume
1996-09-25,10.0,11.5,9.89,10.45,20053900
1996-09-26,10.0,10.28,9.92,10.22,5119600
1996-09-27,10.15,10.65,10.14,10.38,4102600
1996-10-03,10.6,10.7,10.35,10.43,3455500
1996-10-04,10.4,10.45,10.15,10.24,1749800
1996-10-07,10.63,11.65,10.63,11.65,10226300
1996-10-08,11.7,11.79,11.05,11.38,4361200
1996-10-09,11.3,11.3,10.6,10.89,3662500
1996-10-10,10.8,11.25,10.69,11.03,2143100
1996-10-11,11.0,11.15,10.78,10.88,2143800
1996-10-14,10.85,11.47,10.6,11.12,2437400
1996-10-15,11.11,11.6,10.85,11.46,4455700
1996-10-16,11.7,12.5,11.38,11.85,5619000
1996-10-17,11.9,12.95,11.88,12.63,7692200
1996-10-18,12.8,12.95,11.1,11.3,4199000
1996-10-21,11.2,11.65,11.16,11.53,2377300
1996-10-22,11.15,11.32,10.75,10.99,2374200
1996-10-23,11.1,11.59,10.99,11.58,1659200
1996-10-24,11.7,11.89,11.25,11.56,1794600
1996-10-25,11.3,11.66,11.05,11.58,1878600
1996-10-28,11.49,11.99,11.25,11.8,3333200
1996-10-29,12.0,12.48,11.75,11.9,4174900
1996-10-30,12.0,12.3,11.5,11.65,2223000
1996-10-31,11.6,11.95,11.6,11.95,2186700
1996-11-01,11.5,11.75,11.16,11.4,1920000
1996-11-04,11.5,12.38,11.5,12.25,5015700
1996-11-05,12.38,12.5,11.68,11.86,2742800
1996-11-06,11.88,11.95,11.3,11.61,1503700
1996-11-07,11.65,11.76,11.5,11.61,969800
1996-11-08,11.61,11.88,11.6,11.8,1030200
1996-11-11,11.95,12.15,11.8,12.1,2292000
1996-11-12,12.21,12.25,11.75,12.0,1821500
1996-11-13,12.0,12.6,11.9,12.56,5984500
1996-11-14,12.7,12.98,12.5,12.7,4758000
1996-11-15,12.68,13.7,12.65,13.69,7329100
1996-11-18,14.0,14.8,13.73,14.3,7220400
1996-11-19,14.35,15.0,13.96,15.0,4803400
1996-11-20,15.0,16.08,14.9,15.95,5298200
1996-11-21,16.08,17.0,14.56,14.75,5246300
1996-11-22,14.25,16.15,13.6,15.92,4644300
1996-11-25,16.2,16.38,15.2,16.06,3890900
1996-11-26,16.1,16.2,15.15,15.48,2883800
1996-11-27,15.0,15.79,14.65,14.99,2199100
1996-11-28,14.8,15.7,14.52,15.5,2573500
1996-11-29,15.48,15.75,14.9,15.3,1679100
1996-12-02,15.2,15.42,14.68,14.83,1276600
1996-12-03,14.7,15.5,14.53,15.41,1211900
1996-12-04,15.7,15.96,15.25,15.73,2825600
1996-12-05,15.8,16.5,15.65,16.2,2729600
1996-12-06,16.2,16.3,15.7,15.9,2057400
1996-12-09,16.0,16.15,15.6,16.13,2569200
1996-12-10,16.1,16.1,15.6,15.95,1983000
1996-12-11,15.85,17.1,15.8,16.99,4863600
1996-12-12,17.4,17.5,16.0,16.4,3834100
1996-12-13,16.2,16.75,15.8,15.8,1954300
1996-12-16,14.23,14.23,14.23,14.23,103000
1996-12-17,12.81,12.81,12.81,12.81,110600
1996-12-18,11.53,14.0,11.53,13.7,2653300
1996-12-19,13.55,13.7,12.33,12.33,1750000
1996-12-20,11.23,11.9,11.1,11.1,1780600
1996-12-23,11.41,12.08,11.41,11.96,2482700
1996-12-24,12.1,12.38,11.18,11.25,2074800
1996-12-25,12.0,12.2,11.0,12.18,2748600
1996-12-26,12.5,12.75,12.2,12.4,1775400
1996-12-27,12.98,13.0,12.18,12.99,3503500
1996-12-30,13.05,13.87,12.5,13.84,3888700
1996-12-31,13.7,13.7,12.8,12.95,2665500
1997-01-02,13.0,13.35,12.7,12.98,1198700
1997-01-03,13.0,13.08,12.44,12.5,1335200
1997-01-06,12.3,12.5,11.6,11.7,822300
1997-01-07,11.5,12.3,11.23,12.16,1119600
1997-01-08,12.01,12.16,11.7,11.88,618800
1997-01-09,11.85,12.14,11.85,12.0,492200
1997-01-10,12.1,12.48,12.05,12.26,711600
1997-01-13,12.38,12.6,12.3,12.5,931000
1997-01-14,12.5,12.51,11.9,12.1,671100
1997-01-15,11.9,12.5,11.9,12.25,713600
1997-01-16,12.25,12.35,12.1,12.22,439000
1997-01-17,12.3,12.35,12.1,12.32,492500
1997-01-20,12.2,12.5,12.14,12.42,629900
1997-01-21,12.5,12.5,12.2,12.27,446000
1997-01-22,12.3,12.48,12.18,12.33,644600
1997-01-23,12.4,12.7,12.29,12.56,1089800
1997-01-24,12.55,12.8,12.5,12.7,896400
1997-01-27,12.78,13.28,12.7,13.13,1843900
1997-01-28,13.12,13.12,12.7,12.83,853800
1997-01-29,12.8,12.85,12.7,12.73,581700
1997-01-30,12.72,12.86,12.6,12.83,661000
1997-01-31,12.83,12.83,12.7,12.76,862200
1997-02-17,12.53,12.9,12.5,12.58,788100
1997-02-18,12.6,12.6,11.32,11.32,992700
1997-02-19,11.4,11.9,11.4,11.85,940100
1997-02-20,10.67,11.83,10.67,11.55,1874900
1997-02-21,11.78,11.85,11.49,11.83,693100
1997-02-24,11.8,12.0,11.7,11.81,702100
1997-02-25,11.85,12.5,11.8,12.16,913100
1997-02-26,12.16,12.3,12.1,12.25,686500
1997-02-27,12.25,12.5,12.25,12.46,1303900
1997-02-28,12.43,12.46,12.1,12.39,752200
1997-03-03,12.5,12.95,12.3,12.93,1729400
1997-03-04,13.0,13.28,12.65,13.01,2055400
1997-03-05,13.1,13.23,12.52,12.59,1249900
1997-03-06,12.75,12.95,12.59,12.8,829000
1997-03-07,12.95,12.96,12.6,12.63,765700
1997-03-10,12.7,12.86,12.6,12.85,864800
1997-03-11,12.9,13.45,12.78,13.32,2312900
1997-03-12,13.38,13.45,13.03,13.16,1545900
1997-03-13,13.18,13.2,12.8,12.96,1220500
1997-03-14,13.0,13.1,12.76,13.0,1129300
1997-03-17,13.12,13.3,12.98,13.13,1988100
1997-03-18,13.15,13.2,12.85,13.0,1526000
1997-03-19,13.1,13.67,12.85,13.42,2769100
1997-03-20,13.5,13.6,13.0,13.01,1653100
1997-03-21,12.9,13.3,12.83,13.26,1105200
1997-03-24,13.5,13.54,13.25,13.32,2135500
1997-03-25,13.35,13.45,13.0,13.26,1502800
1997-03-26,13.3,13.9,13.25,13.6,2274100
1997-03-27,13.65,13.9,13.4,13.44,1606600
1997-03-28,13.4,13.51,13.32,13.37,999400
1997-03-31,13.4,13.7,13.4,13.7,1377900
1997-04-01,13.82,14.38,13.82,14.05,2500600
1997-04-02,14.09,14.1,13.73,13.74,1091500
1997-04-03,13.72,13.88,13.4,13.6,900900
1997-04-04,13.65,13.75,13.4,13.56,1286500
1997-04-07,13.5,13.6,13.26,13.33,1351700
1997-04-08,13.35,13.58,12.9,13.2,889000
1997-04-09,13.2,13.5,13.2,13.31,848800
1997-04-10,13.3,13.62,13.28,13.36,1172600
1997-04-11,13.36,13.36,12.88,12.96,963600
1997-04-14,13.25,13.4,13.06,13.28,805900
1997-04-15,13.3,13.44,13.15,13.21,513700
1997-04-16,13.28,13.38,13.05,13.19,590100
1997-04-17,13.1,13.3,13.0,13.2,653500
1997-04-18,13.21,13.32,13.02,13.13,530100
1997-04-21,13.2,13.6,13.1,13.55,1581600
1997-04-22,13.52,13.58,13.2,13.28,709800
1997-04-23,13.26,13.3,13.05,13.15,922100
1997-04-24,13.0,13.13,12.86,12.98,918300
1997-04-25,12.9,13.15,12.65,13.05,1657800
1997-04-28,12.0,12.3,11.74,11.74,809900
1997-04-29,10.82,11.4,10.57,11.25,2432300
1997-04-30,11.2,11.32,10.88,11.12,1233900
1997-05-05,10.89,11.5,10.89,11.3,1995900
1997-05-06,11.32,11.5,11.07,11.28,1870000
1997-05-07,11.4,11.94,11.13,11.8,2307700
1997-05-08,11.76,11.76,10.9,11.04,1199300
1997-05-09,11.0,11.3,10.86,11.29,1140500
1997-05-12,11.35,11.9,11.1,11.85,2190900
1997-05-13,11.9,12.0,11.3,11.47,1172000
1997-05-14,11.38,11.9,11.0,11.34,1116200
1997-05-15,11.19,11.55,11.11,11.4,648400
1997-05-16,10.8,11.0,10.26,10.26,692300
1997-05-19,10.26,10.6,10.01,10.33,522500
1997-05-20,10.3,10.5,10.18,10.26,553400
1997-05-21,10.31,10.4,9.6,9.8,462600
1997-05-22,9.11,9.18,8.82,8.82,515300
1997-05-23,8.05,8.8,8.05,8.4,685300
1997-05-26,8.75,8.88,8.18,8.56,624000
1997-05-27,8.58,8.95,8.58,8.92,618800
1997-05-28,8.89,9.15,8.7,8.83,472900
1997-05-29,8.86,9.0,8.7,8.72,376000
1997-05-30,8.61,9.0,8.61,9.0,296500
1997-06-02,9.1,9.55,9.06,9.41,695300
1997-06-03,9.46,9.5,9.1,9.24,668200
1997-06-04,9.2,9.57,9.13,9.49,1018700
1997-06-05,9.65,9.85,9.45,9.54,936600
1997-06-09,9.0,9.2,8.59,9.18,871000
1997-06-10,9.3,9.4,8.7,8.7,448000
1997-06-11,8.73,8.73,7.85,8.11,477000
1997-06-12,8.22,8.23,8.0,8.1,308800
1997-06-13,7.5,8.3,7.5,8.23,442300
1997-06-16,8.4,8.8,8.35,8.6,515600
1997-06-17,8.59,8.65,8.3,8.35,336100
1997-06-18,8.4,8.7,8.3,8.31,283000
1997-06-19,8.5,8.5,8.21,8.26,217500
1997-06-20,8.3,8.7,8.3,8.57,586400
1997-06-23,8.65,8.86,8.3,8.4,707100
1997-06-24,8.51,9.18,8.51,9.17,1665700
1997-06-25,9.25,9.8,9.25,9.65,2323400
1997-06-26,9.5,9.6,9.25,9.26,650600
1997-06-27,9.4,9.5,8.8,8.84,657800
1997-07-02,8.95,9.08,7.98,8.27,345500
1997-07-03,8.3,8.3,7.6,7.83,313100
1997-07-04,7.63,8.15,7.6,8.09,295900
1997-07-07,8.0,8.2,7.28,7.29,276300
1997-07-08,7.18,7.3,6.8,7.11,348400
1997-07-09,7.2,7.24,6.99,7.17,245900
1997-07-10,7.2,7.2,6.97,6.97,244100
1997-07-11,7.0,7.29,6.8,7.27,283000
1997-07-14,7.3,7.55,7.05,7.38,516200
1997-07-15,7.46,7.55,7.2,7.43,409900
1997-07-16,7.5,7.59,7.17,7.4,331400
1997-07-17,7.4,7.4,7.13,7.22,265200
1997-07-18,7.2,7.5,7.19,7.5,587400
1997-07-21,7.5,7.68,7.32,7.49,635100
1997-07-22,7.5,7.6,7.3,7.55,354900
1997-07-23,7.6,7.85,7.53,7.6,695500
1997-07-24,7.5,7.8,7.42,7.45,395200
1997-07-25,7.39,7.4,7.2,7.25,346800
1997-07-28,7.23,7.3,7.08,7.1,274600
1997-07-29,7.05,7.19,6.98,7.12,204300
1997-07-30,7.22,7.35,7.08,7.33,318500
1997-07-31,7.43,7.43,7.2,7.31,171900
1997-08-01,7.3,7.45,7.28,7.38,355600
1997-08-04,7.35,7.6,7.25,7.57,519800
1997-08-05,7.65,7.65,7.45,7.46,384100
1997-08-06,7.41,7.45,7.2,7.21,267200
1997-08-07,7.15,7.37,7.08,7.37,193300
1997-08-08,7.4,7.49,7.25,7.38,444500
1997-08-11,7.47,7.58,7.27,7.48,571500
1997-08-12,7.55,7.58,7.1,7.15,338600
1997-08-13,6.8,7.14,6.8,6.85,278800
1997-08-14,6.91,7.1,6.87,7.02,249800
1997-08-15,7.12,7.12,6.5,6.74,250600
1997-08-18,6.7,6.76,6.3,6.45,278700
1997-08-19,6.55,6.55,6.35,6.39,309100
1997-08-20,6.4,6.9,6.4,6.8,328500
1997-08-21,6.7,6.88,6.6,6.83,197400
1997-08-22,6.85,6.9,6.72,6.85,305500
1997-08-25,6.85,6.88,6.69,6.76,241900
1997-08-26,6.75,6.98,6.67,6.88,355000
1997-08-27,6.78,7.24,6.78,7.19,483300
1997-08-28,7.1,7.15,6.9,7.07,381700
1997-08-29,7.05,7.1,6.8,6.93,408000
1997-09-01,6.25,6.6,6.24,6.55,1147600
1997-09-02,6.56,6.63,6.4,6.48,507800
1997-09-03,6.5,6.63,6.45,6.57,600300
1997-09-04,6.6,6.8,6.5,6.8,568300
1997-09-05,6.85,6.87,6.66,6.69,361900
1997-09-08,6.67,6.88,6.54,6.79,472900
1997-09-09,6.85,7.06,6.78,7.0,1002500
1997-09-10,6.98,7.4,6.91,7.39,1412800
1997-09-11,7.39,7.49,6.89,7.02,1347400
1997-09-12,7.0,7.08,6.7,6.73,413300
1997-09-15,6.73,6.73,6.5,6.5,292600
1997-09-16,6.47,6.78,6.45,6.61,272200
1997-09-17,6.69,7.0,6.53,6.93,495800
1997-09-18,6.61,7.2,6.61,7.1,1090300
1997-09-19,7.08,7.19,6.85,6.98,632700
1997-09-22,7.03,7.15,6.5,6.55,668500
1997-09-23,6.6,6.7,6.0,6.12,585100
1997-09-24,6.53,6.55,6.15,6.46,454200
1997-09-25,6.49,6.9,6.45,6.84,990600
1997-09-26,6.99,7.28,6.8,7.1,2035900
