date,open,high,low,close,volume
2017-01-03,4.8,5.76,4.8,5.76,183036
2017-01-04,6.34,6.34,6.34,6.34,140063
2017-01-05,6.97,6.97,6.97,6.97,244900
2017-01-06,7.67,7.67,7.67,7.67,471224
2017-01-09,8.44,8.44,8.44,8.44,5407958
2017-01-10,9.23,9.28,8.81,9.28,425562642
2017-01-11,8.88,8.94,8.48,8.52,230874497
2017-01-12,8.39,8.62,8.09,8.11,163511398
2017-01-13,8.07,8.15,7.73,7.8,135078801
2017-01-16,7.74,8.13,7.63,7.93,141173609
2017-01-17,7.83,8.09,7.61,7.95,117441057
2017-01-18,7.81,7.89,7.63,7.66,87265326
2017-01-19,7.55,8.03,7.48,7.82,130490243
2017-01-20,7.78,8.59,7.76,8.2,168937208
2017-01-23,8.18,8.27,8.06,8.14,93880782
2017-01-24,8.09,8.16,7.9,7.97,76536332
2017-01-25,7.93,8.03,7.9,7.97,51316586
2017-01-26,7.93,7.98,7.75,7.81,73663126
2017-02-03,7.77,7.77,7.66,7.73,35824468
2017-02-06,7.75,7.98,7.75,7.97,70070318
2017-02-07,7.96,8.04,7.82,7.87,66660589
2017-02-08,7.84,8.66,7.74,8.66,183369331
2017-02-09,8.62,9.53,8.54,9.14,367201146
2017-02-10,9.01,9.33,8.9,9.11,257583300
2017-02-13,9.03,9.7,8.99,9.35,232947384
2017-02-14,9.25,9.72,9.15,9.4,192081570
2017-02-15,9.3,10.32,9.21,9.61,246348007
2017-02-16,9.52,10.57,9.45,10.57,220053512
2017-02-17,11.33,11.63,10.78,11.01,345598623
2017-02-20,11.05,11.59,10.61,11.32,305499143
2017-02-21,11.2,11.43,10.71,10.9,236270693
2017-02-22,10.76,10.82,10.29,10.49,198140149
2017-02-23,10.43,10.63,10.3,10.56,145265240
2017-02-24,10.47,10.54,10.15,10.42,121117741
2017-02-27,10.32,10.52,10.1,10.31,109614377
2017-02-28,10.25,10.86,10.23,10.84,188616039
2017-03-01,10.8,11.1,10.6,10.64,151701301
2017-03-02,10.61,11.6,10.61,10.96,218604780
2017-03-03,10.8,10.8,10.43,10.5,125427042
2017-03-06,10.5,11.0,10.42,10.9,130727807
2017-03-07,10.83,11.25,10.71,11.23,144484164
2017-03-08,11.24,11.37,11.05,11.22,142756232
2017-03-09,11.16,11.54,10.9,11.43,171281475
2017-03-10,11.31,11.59,10.94,10.96,149824640
2017-03-13,10.7,10.85,10.41,10.76,100811088
2017-03-14,10.7,10.97,10.57,10.63,85849528
2017-03-15,10.56,10.9,10.52,10.7,78284216
2017-03-16,10.85,11.77,10.85,11.77,189971087
2017-03-17,12.95,12.95,12.24,12.32,432587184
2017-03-20,12.59,12.64,12.06,12.34,252737257
2017-03-21,12.2,12.45,11.97,12.32,177046422
2017-03-22,12.13,12.55,11.95,12.34,172086519
2017-03-23,12.15,12.73,12.0,12.28,210180282
2017-03-24,12.1,12.58,11.92,12.56,192180467
2017-03-27,12.62,13.64,12.52,12.99,239245753
2017-03-28,12.81,13.41,12.7,13.26,160547843
2017-03-29,13.11,13.29,11.93,11.99,214290073
2017-03-30,11.57,11.93,11.43,11.47,154104015
2017-03-31,11.55,11.85,11.47,11.66,116383849
2017-04-05,11.5,11.9,11.01,11.82,127098480
2017-04-06,11.72,11.95,11.62,11.92,94931191
2017-04-07,11.85,12.17,11.74,11.79,93590633
2017-04-10,11.66,11.66,11.17,11.28,97012954
2017-04-11,11.18,11.9,11.12,11.88,116394362
2017-04-12,11.96,12.3,11.72,11.85,132482191
2017-04-13,11.74,11.88,11.51,11.69,65713618
2017-04-14,11.62,11.68,11.3,11.4,62089891
2017-04-17,10.92,11.29,10.7,10.99,69051135
2017-04-18,10.94,11.1,10.5,10.52,59830138
2017-04-19,10.45,10.75,10.36,10.62,67175766
2017-04-20,10.58,10.72,10.02,10.37,71266418
2017-04-21,10.42,10.47,10.0,10.05,51663705
2017-04-24,10.01,10.02,9.46,9.73,55665065
2017-04-25,9.8,9.95,9.73,9.78,40089058
2017-04-26,9.67,10.75,9.66,10.32,106079734
2017-04-27,10.15,10.7,10.07,10.6,109825983
2017-04-28,10.52,10.6,10.39,10.52,54225486
2017-05-02,10.42,10.58,10.35,10.56,47164608
2017-05-03,10.5,10.65,10.27,10.4,57909367
2017-05-04,10.3,10.62,10.16,10.39,59301293
2017-05-05,10.35,10.61,10.08,10.1,68254685
2017-05-08,9.85,10.18,9.8,9.87,51156538
2017-05-09,9.84,10.36,9.84,10.23,61656283
2017-05-10,10.15,10.91,10.05,10.35,119633989
2017-05-11,10.06,10.66,9.94,10.58,109682590
2017-05-12,10.48,11.04,10.44,10.79,124166764
2017-05-15,10.61,10.96,10.51,10.52,75923482
2017-05-16,10.47,10.99,10.36,10.98,106719376
2017-05-17,10.91,11.11,10.75,10.82,89294570
2017-05-18,10.66,10.77,10.42,10.47,57576035
2017-05-19,10.43,10.63,10.26,10.34,41868673
2017-05-22,10.2,10.29,9.83,9.93,50274005
2017-05-23,9.93,10.14,9.6,9.74,49626279
2017-05-24,9.66,10.05,9.66,9.95,40937313
2017-05-25,9.87,10.8,9.58,10.4,104339936
2017-05-26,10.25,10.39,10.12,10.15,55921438
2017-05-31,10.57,10.8,10.18,10.21,73233606
2017-06-01,10.08,10.28,9.95,9.98,59346358
2017-06-02,9.9,10.18,9.77,10.11,50297680
2017-06-05,10.1,10.24,10.05,10.14,31339540
2017-06-06,10.11,10.24,10.08,10.18,27642542
2017-06-07,10.17,10.5,10.15,10.45,70099480
2017-06-08,10.34,10.42,10.21,10.26,52297905
2017-06-09,10.26,10.35,10.01,10.13,54481555
2017-06-12,9.98,9.98,9.73,9.76,29948945
2017-06-13,9.72,10.05,9.72,9.94,27428183
2017-06-14,9.93,10.04,9.85,9.95,24248167
2017-06-15,10.0,10.29,9.95,10.11,49021091
2017-06-16,10.08,10.14,9.97,10.01,28841346
2017-06-19,10.03,10.63,10.02,10.42,100654234
2017-06-20,10.42,10.42,10.25,10.34,62346069
2017-06-21,10.56,10.56,10.15,10.3,63951609
2017-06-22,10.21,10.88,10.18,10.26,97772133
2017-06-23,10.15,10.21,9.93,10.16,62253247
2017-06-26,10.1,10.29,10.09,10.22,41542713
2017-06-27,10.21,10.29,10.13,10.19,26481321
2017-06-28,10.14,10.17,10.06,10.07,27535991
2017-06-29,10.07,10.19,10.07,10.13,22234795
2017-06-30,10.1,10.15,10.02,10.06,23644180
2017-07-03,10.08,10.1,9.98,10.08,20914306
2017-07-04,10.09,10.18,9.99,10.02,22611550
2017-07-05,10.0,10.13,9.99,10.12,36499690
2017-07-06,10.09,10.09,9.9,9.97,38846791
2017-07-07,9.96,10.24,9.86,10.1,51297371
2017-07-10,10.05,10.28,9.99,10.07,51601153
2017-07-11,10.03,10.13,9.88,9.89,39314029
2017-07-12,9.89,9.95,9.51,9.68,38640163
2017-07-13,9.7,9.88,9.62,9.75,28884694
2017-07-14,9.75,9.85,9.62,9.65,20581608
2017-07-17,9.62,9.64,8.69,8.69,52397314
2017-07-18,8.66,8.81,8.43,8.69,28280542
2017-07-19,8.6,9.03,8.53,8.99,54037098
2017-07-20,8.98,9.08,8.87,8.88,34030359
2017-07-21,8.85,8.93,8.66,8.69,25615531
2017-07-24,8.66,8.74,8.6,8.72,22430817
2017-07-25,8.7,8.74,8.59,8.62,18548980
2017-07-26,8.62,8.69,8.51,8.56,19161283
