date,open,high,low,close,volume
2009-09-21,7.33,7.5,6.64,6.94,1501604352
2009-09-22,6.79,6.86,6.31,6.35,731850240
2009-09-23,6.45,6.52,6.22,6.33,402264672
2009-09-24,6.11,6.18,5.89,6.01,458351232
2009-09-25,5.9,6.04,5.74,5.83,314960512
2009-09-28,5.86,5.92,5.57,5.6,277084992
2009-09-29,5.62,5.75,5.52,5.68,236399936
2009-09-30,5.66,5.71,5.54,5.56,229111680
2009-10-09,5.73,5.82,5.61,5.77,282778720
2009-10-12,5.7,5.71,5.59,5.6,192009104
2009-10-13,5.61,5.65,5.57,5.63,116008416
2009-10-14,5.63,6.01,5.61,5.82,397739328
2009-10-15,5.75,5.83,5.68,5.71,198630272
2009-10-16,5.72,5.75,5.6,5.68,116298536
2009-10-19,5.67,5.76,5.63,5.75,129324592
2009-10-20,5.76,5.91,5.73,5.85,192159792
2009-10-21,5.83,5.84,5.74,5.75,133841232
2009-10-22,5.73,5.77,5.67,5.7,92451136
2009-10-23,5.72,5.82,5.72,5.75,140147872
2009-10-26,5.76,5.77,5.67,5.71,94199584
2009-10-27,5.68,5.69,5.6,5.61,109140232
2009-10-28,5.59,5.66,5.58,5.63,74446632
2009-10-29,5.57,5.58,5.53,5.55,88514304
2009-10-30,5.64,5.72,5.58,5.6,119150096
2009-11-02,5.51,5.69,5.5,5.68,111632928
2009-11-03,5.68,5.72,5.64,5.69,134135752
2009-11-04,5.67,5.69,5.62,5.65,96832216
2009-11-05,5.66,5.72,5.63,5.68,111716560
2009-11-06,5.71,5.74,5.67,5.68,112605784
2009-11-09,5.7,5.76,5.67,5.74,144634416
2009-11-10,5.76,5.78,5.7,5.71,103645016
2009-11-11,5.7,5.7,5.65,5.67,73195784
2009-11-12,5.68,5.7,5.62,5.64,93257616
2009-11-13,5.63,5.67,5.6,5.67,97062864
2009-11-16,5.69,5.78,5.66,5.77,190719744
2009-11-17,5.77,5.77,5.7,5.72,114492016
2009-11-18,5.72,5.76,5.7,5.73,107886080
2009-11-19,5.75,5.89,5.74,5.88,258132624
2009-11-20,5.85,5.88,5.81,5.83,141945472
2009-11-23,5.85,5.86,5.8,5.85,100844752
2009-11-24,5.87,6.04,5.82,5.85,371651936
2009-11-25,5.83,5.98,5.79,5.97,217215808
2009-11-26,5.99,6.15,5.91,5.94,353340896
2009-11-27,5.85,5.93,5.74,5.77,212553504
2009-11-30,5.8,5.91,5.74,5.89,172890048
2009-12-01,5.85,5.9,5.79,5.88,142431344
2009-12-02,5.89,5.95,5.86,5.95,151825904
2009-12-03,5.9,5.93,5.82,5.86,106975496
2009-12-04,5.84,6.06,5.79,6.02,264500912
2009-12-07,5.98,6.05,5.94,5.98,139808592
2009-12-08,5.97,6.03,5.86,5.9,116077048
2009-12-09,5.85,5.87,5.78,5.8,86515792
2009-12-10,5.82,5.85,5.8,5.84,58101756
2009-12-11,5.83,5.86,5.78,5.79,55623912
2009-12-14,5.8,5.87,5.68,5.83,97461976
2009-12-15,5.8,5.82,5.75,5.76,59064036
2009-12-16,5.74,5.8,5.71,5.74,56744884
2009-12-17,5.74,5.76,5.62,5.63,74307040
2009-12-18,5.6,5.62,5.5,5.53,84463016
2009-12-21,5.55,5.59,5.52,5.58,46761872
2009-12-22,5.58,5.59,5.43,5.44,58606984
2009-12-23,5.2,5.29,5.14,5.22,479342432
2009-12-24,5.2,5.26,5.18,5.26,252702464
2009-12-25,5.24,5.24,5.18,5.19,144133552
2009-12-28,5.18,5.27,5.18,5.24,139513072
2009-12-29,5.24,5.26,5.18,5.24,133796784
2009-12-30,5.24,5.35,5.21,5.31,196860384
2009-12-31,5.31,5.48,5.29,5.42,243295360
2010-01-04,5.42,5.43,5.33,5.34,117113096
2010-01-05,5.35,5.37,5.25,5.33,98067480
2010-01-06,5.31,5.35,5.28,5.29,72972975
2010-01-07,5.29,5.35,5.25,5.26,89619776
2010-01-08,5.26,5.27,5.21,5.26,66198820
2010-01-11,5.37,5.42,5.26,5.28,99606584
2010-01-12,5.26,5.36,5.25,5.34,86590275
2010-01-13,5.29,5.31,5.22,5.24,106988528
2010-01-14,5.25,5.3,5.21,5.27,81578624
2010-01-15,5.26,5.31,5.23,5.29,80387384
2010-01-18,5.27,5.28,5.23,5.26,71540416
2010-01-19,5.27,5.29,5.22,5.24,64322488
2010-01-20,5.24,5.25,5.12,5.13,124031880
2010-01-21,5.14,5.16,5.11,5.13,83894376
2010-01-22,5.1,5.12,5.0,5.05,113543704
2010-01-25,5.02,5.04,5.0,5.02,49731240
2010-01-26,5.02,5.03,4.86,4.88,77971136
2010-01-27,4.88,4.93,4.85,4.87,52194308
2010-01-28,4.87,4.96,4.86,4.94,64871020
2010-01-29,4.91,5.0,4.89,4.9,51137200
2010-02-01,4.9,4.92,4.83,4.89,49502072
2010-02-02,4.91,4.94,4.85,4.87,36496316
2010-02-03,4.88,4.92,4.78,4.92,52821756
2010-02-04,4.89,5.03,4.86,4.96,72699400
2010-02-05,4.88,4.91,4.84,4.87,47077240
2010-02-08,4.87,4.9,4.86,4.88,21054584
2010-02-09,4.88,4.91,4.86,4.88,21472726
2010-02-10,4.91,4.92,4.88,4.91,20868140
2010-02-11,4.91,4.96,4.9,4.92,28242600
2010-02-12,4.94,4.99,4.92,4.96,40479072
2010-02-22,4.98,4.99,4.93,4.93,28141932
2010-02-23,4.92,4.92,4.82,4.89,34530984
2010-02-24,4.87,4.95,4.83,4.95,45127988
2010-02-25,4.95,5.02,4.93,4.99,65977760
2010-02-26,5.0,5.0,4.95,4.96,44975304
2010-03-01,4.99,5.05,4.96,5.02,81537408
2010-03-02,5.02,5.04,4.97,4.99,39316592
2010-03-03,4.99,5.02,4.96,5.01,50830000
2010-03-04,5.01,5.02,4.86,4.87,65402008
2010-03-05,4.88,4.91,4.85,4.9,40904416
2010-03-08,4.89,4.91,4.87,4.89,42676964
2010-03-09,4.88,4.93,4.85,4.9,38712700
2010-03-10,4.9,4.91,4.86,4.87,29470712
2010-03-11,4.88,4.9,4.85,4.88,26698996
2010-03-12,4.88,4.91,4.85,4.86,35583748
2010-03-15,4.85,4.86,4.77,4.79,44266108
2010-03-17,4.81,4.86,4.8,4.86,34939032
2010-03-18,4.86,4.88,4.83,4.85,26437302
2010-03-19,4.85,4.94,4.82,4.94,67971104
2010-03-22,4.91,4.95,4.89,4.91,38699888
2010-03-23,4.9,4.91,4.85,4.86,30897592
2010-03-24,4.86,4.92,4.86,4.87,26127424
2010-03-25,4.86,4.87,4.8,4.81,31042602
2010-03-26,4.82,4.87,4.79,4.85,31375486
2010-03-29,4.88,5.34,4.87,5.21,515914336
2010-03-30,5.1,5.21,5.09,5.14,211503520
2010-03-31,5.15,5.17,5.05,5.1,97237256
2010-04-01,5.1,5.25,5.09,5.18,138471472
2010-04-02,5.2,5.2,5.14,5.19,79383224
2010-04-06,5.19,5.2,5.11,5.14,68416264
2010-04-07,5.14,5.18,5.08,5.15,48794976
2010-04-08,5.13,5.16,5.04,5.06,64335136
2010-04-09,5.06,5.1,5.04,5.07,56583684
2010-04-12,5.09,5.09,5.0,5.03,69890112
2010-04-13,5.03,5.16,5.02,5.12,100199504
2010-04-14,5.13,5.14,5.06,5.1,40718140
2010-04-15,5.1,5.11,5.0,5.05,63538852
2010-04-16,5.05,5.06,4.97,4.98,54863500
2010-04-19,4.95,4.95,4.76,4.76,92067224
2010-04-20,4.78,4.8,4.71,4.78,54645344
2010-04-21,4.78,4.82,4.73,4.82,45717456
2010-04-22,4.8,4.81,4.71,4.72,50358276
2010-04-23,4.7,4.8,4.7,4.76,38966008
2010-04-26,4.75,4.77,4.71,4.73,30687912
2010-04-27,4.72,4.73,4.53,4.59,57567964
2010-04-28,4.55,4.6,4.52,4.58,21342984
2010-04-29,4.59,4.61,4.51,4.52,36419624
2010-04-30,4.5,4.57,4.45,4.56,40112328
2010-05-04,4.5,4.53,4.46,4.47,28753344
2010-05-05,4.45,4.57,4.37,4.57,58225452
2010-05-06,4.52,4.53,4.38,4.4,33382526
2010-05-07,4.35,4.44,4.32,4.35,40440692
2010-05-10,4.36,4.41,4.32,4.39,38046848
2010-05-11,4.45,4.49,4.33,4.34,45782432
2010-05-12,4.32,4.42,4.29,4.38,38136980
2010-05-13,4.37,4.42,4.33,4.4,33730656
2010-05-14,4.37,4.39,4.33,4.36,28858208
2010-05-17,4.3,4.32,4.07,4.08,58792500
2010-05-18,4.08,4.15,3.99,4.11,70775608
2010-05-19,4.07,4.1,4.0,4.02,43398692
2010-05-20,4.0,4.06,3.95,3.97,39405212
2010-05-21,3.89,4.01,3.86,3.99,50140024
2010-05-24,4.0,4.11,3.98,4.09,68628816
2010-05-25,4.06,4.06,3.97,3.99,46729576
2010-05-26,3.99,4.04,3.98,4.0,28512520
2010-05-27,3.99,4.35,3.92,4.19,134554336
2010-05-28,4.18,4.19,4.11,4.14,65829020
2010-05-31,4.11,4.18,4.02,4.03,44353416
2010-06-01,4.01,4.04,3.96,4.02,39418588
2010-06-02,3.98,4.03,3.93,4.01,32877540
2010-06-03,4.01,4.11,3.97,4.01,51667388
2010-06-04,3.98,4.03,3.96,4.02,25517574
