date,open,high,low,close,volume
2016-06-06,4.16,5.0,4.16,5.0,415165
2016-06-07,5.5,5.5,5.5,5.5,197403
2016-06-08,6.05,6.05,6.05,6.05,174008
2016-06-13,6.66,6.66,6.66,6.66,645876
2016-06-14,7.33,7.33,7.33,7.33,1142603
2016-06-15,8.06,8.06,8.06,8.06,1545995
2016-06-16,8.87,8.87,8.87,8.87,730371
2016-06-17,9.76,9.76,9.76,9.76,1126505
2016-06-20,10.74,10.74,10.74,10.74,1847396
2016-06-21,11.81,11.81,11.81,11.81,1558493
2016-06-22,12.99,12.99,12.99,12.99,5403334
2016-06-23,14.29,14.29,14.29,14.29,7582990
2016-06-24,15.72,15.72,15.72,15.72,7369535
2016-06-27,17.29,17.29,17.29,17.29,4700291
2016-06-28,19.02,19.02,19.02,19.02,4518950
2016-06-29,20.92,20.92,20.92,20.92,2726713
2016-07-01,23.01,23.01,22.61,23.01,160090418
2016-07-04,23.6,23.68,21.21,21.53,291701269
2016-07-05,21.56,23.68,20.85,23.68,290931899
2016-07-06,23.5,23.5,22.29,23.08,200293513
2016-07-07,22.65,23.29,21.99,22.62,128638550
2016-07-08,22.6,22.6,21.73,22.05,81378939
2016-07-11,22.22,22.36,21.01,21.25,98847284
2016-07-12,21.0,21.13,19.81,20.79,102750190
2016-07-13,20.6,22.4,20.47,21.57,121990919
2016-07-14,21.17,21.34,20.81,21.14,56993410
2016-07-15,21.35,21.95,21.19,21.21,58576566
2016-07-18,20.9,21.19,20.46,20.62,44421316
2016-07-19,20.68,20.77,20.11,20.63,43086263
2016-07-20,20.65,20.66,20.42,20.48,27627322
2016-07-21,20.48,20.97,20.4,20.47,42779945
2016-07-22,20.44,20.44,19.8,19.86,48306820
2016-07-25,19.5,19.69,18.9,19.03,49574572
2016-07-26,19.01,19.4,18.84,19.21,29638911
2016-07-27,19.21,19.27,17.35,17.59,59324310
2016-07-28,17.57,17.57,16.52,17.05,52912164
2016-07-29,17.05,17.68,16.65,17.19,47504853
2016-08-01,16.76,16.86,16.03,16.2,34846732
2016-08-02,16.16,16.43,16.16,16.27,19707394
2016-08-03,16.2,16.85,16.16,16.76,42547646
2016-08-04,16.75,16.76,16.43,16.61,27066496
2016-08-05,16.59,16.63,16.3,16.31,23819178
2016-08-08,16.18,16.29,15.89,16.27,26597200
2016-08-09,16.28,16.98,16.21,16.87,45071150
2016-08-10,16.77,17.17,16.71,16.91,41599892
2016-08-11,16.73,16.86,16.28,16.31,32716417
2016-08-12,16.26,17.28,16.19,16.92,46956040
2016-08-15,16.94,17.45,16.81,17.31,55864686
2016-08-16,17.3,17.47,17.21,17.28,36394986
2016-08-17,17.26,17.38,16.95,17.15,36349665
2016-08-18,17.12,17.26,16.91,16.96,30328658
2016-08-19,16.92,17.33,16.84,17.2,35459740
2016-08-22,17.15,17.21,16.49,16.5,33397257
2016-08-23,16.49,16.65,16.35,16.47,19873095
2016-08-24,16.5,16.58,16.41,16.45,15365588
2016-08-25,16.31,16.31,16.01,16.14,21080709
2016-08-26,16.16,16.33,16.09,16.12,16073914
2016-08-29,16.15,16.25,16.1,16.17,11978373
2016-08-30,16.17,16.23,16.11,16.15,13251660
2016-08-31,16.15,16.68,16.05,16.5,28849817
2016-09-01,16.5,16.5,16.11,16.17,20336642
2016-09-02,16.08,16.16,16.05,16.07,11988118
2016-09-05,16.1,16.16,16.02,16.04,10977180
2016-09-06,16.06,16.08,15.79,16.06,18064346
2016-09-07,16.11,16.23,16.03,16.07,15082968
2016-09-08,16.03,16.14,15.92,16.01,11869902
2016-09-09,16.0,16.05,15.88,15.89,15314206
2016-09-12,15.58,15.59,14.88,14.92,29733007
2016-09-13,15.0,15.08,14.72,14.8,17315320
2016-09-14,14.67,14.67,14.39,14.45,18743970
2016-09-19,14.77,15.9,14.77,15.9,30700433
2016-09-20,16.4,16.4,15.76,15.8,65713163
2016-09-21,15.64,15.69,15.37,15.44,31150839
2016-09-22,15.55,15.6,15.33,15.37,22643625
2016-09-23,15.47,15.53,15.0,15.04,19891657
2016-09-26,14.9,14.9,14.42,14.47,19990653
2016-09-27,14.45,14.57,14.31,14.56,14201797
2016-09-28,14.54,14.54,14.39,14.42,9049700
2016-09-29,14.46,14.55,14.39,14.42,12457824
2016-09-30,14.51,14.59,14.45,14.49,10819816
2016-10-10,14.52,14.74,14.45,14.72,15940763
2016-10-11,14.68,14.86,14.61,14.81,16687254
2016-10-12,14.7,14.94,14.64,14.76,17035885
2016-10-13,14.83,15.09,14.76,14.91,23319556
2016-10-14,14.85,14.86,14.66,14.77,12411331
2016-10-17,14.87,15.97,14.87,15.22,44305012
2016-10-18,15.24,16.01,15.06,15.86,62100538
2016-10-19,15.9,16.0,15.62,15.74,44122052
