date,open,high,low,close,volume
2015-06-10,4.07,4.88,4.07,4.88,741098
2015-06-11,5.37,5.37,5.37,5.37,381000
2015-06-12,5.91,5.91,5.91,5.91,394551
2015-06-15,6.5,6.5,6.5,6.5,589542
2015-06-16,7.15,7.15,7.15,7.15,807100
2015-06-17,7.87,7.87,7.87,7.87,1532229
2015-06-18,8.66,8.66,8.66,8.66,1332448
2015-06-19,9.53,9.53,9.53,9.53,7689915
2015-06-23,10.48,10.48,10.48,10.48,13405468
2015-06-24,11.53,11.53,11.53,11.53,6919239
2015-06-25,12.68,12.68,12.68,12.68,5769394
2015-06-26,13.95,13.95,13.01,13.95,1616476928
2015-06-29,13.7,13.95,12.56,13.23,1705666176
2015-06-30,12.8,13.66,11.91,13.07,1311217280
2015-07-01,12.6,14.38,12.01,13.32,1773514752
2015-07-02,12.25,13.0,11.99,11.99,1059540480
2015-07-03,11.25,11.85,10.79,10.79,666030656
2015-07-06,11.87,11.87,9.71,10.12,1067461312
2015-07-07,9.31,9.55,9.11,9.11,317142528
2015-07-08,8.2,8.2,8.2,8.2,47199400
2015-07-09,7.38,9.02,7.38,9.02,945802944
2015-07-10,9.08,9.92,9.04,9.92,361108672
2015-07-13,10.68,10.91,10.3,10.91,728043072
2015-07-14,11.32,11.97,10.87,11.52,1130123264
2015-07-15,10.98,11.23,10.37,10.37,607443072
2015-07-16,9.9,11.33,9.48,10.86,693476032
2015-07-17,10.95,11.8,10.66,11.51,707499008
2015-07-20,11.45,11.66,11.0,11.36,718661248
2015-07-21,11.02,12.5,10.9,12.18,987526656
2015-07-22,11.88,12.1,11.55,11.91,721371648
2015-07-23,11.8,12.7,11.61,12.18,778419712
2015-07-24,12.18,12.28,11.6,11.7,689613120
2015-07-27,11.34,11.66,10.53,10.53,495968896
2015-07-28,9.7,10.8,9.48,10.01,511096736
2015-07-29,10.23,10.8,9.86,10.72,407695680
2015-07-30,10.5,11.66,10.39,10.85,625569024
2015-07-31,10.58,11.19,10.2,10.51,411278016
2015-08-03,10.28,10.79,10.0,10.31,330759936
2015-08-04,10.5,11.12,10.31,11.05,491393568
2015-08-05,10.9,11.07,10.5,10.66,478950400
2015-08-06,10.38,11.08,10.28,10.77,384543104
2015-08-07,10.9,11.38,10.78,11.12,544224896
2015-08-10,11.65,12.23,11.4,12.23,856848640
2015-08-11,12.3,12.72,12.01,12.19,999053824
2015-08-12,11.84,12.33,11.72,11.83,473603200
2015-08-13,11.71,12.36,11.68,12.24,551241984
2015-08-14,12.33,12.39,11.82,11.92,473290240
2015-08-17,11.7,11.85,11.39,11.73,445086688
2015-08-18,11.66,11.78,10.56,10.56,574343744
2015-08-19,10.12,10.79,9.8,10.68,389604832
2015-08-20,10.49,10.56,10.1,10.17,225515632
2015-08-21,10.04,10.3,9.83,9.99,265529184
2015-08-24,9.61,9.7,8.99,8.99,289760704
2015-08-25,8.18,8.6,8.09,8.09,267782352
2015-08-26,8.18,8.65,7.69,8.04,388174848
2015-08-27,8.33,8.72,8.02,8.7,356065760
2015-08-28,8.83,9.49,8.7,9.47,419855936
2015-08-31,9.48,9.48,9.01,9.08,294435392
2015-09-01,9.0,9.0,8.3,8.41,277603904
2015-09-02,7.95,8.82,7.86,8.16,259155392
2015-09-07,8.4,8.7,8.3,8.34,231738432
2015-09-08,8.36,9.17,8.22,9.17,411917312
2015-09-09,9.28,9.57,9.08,9.37,493594720
2015-09-10,9.16,9.86,9.07,9.38,463845504
2015-09-11,9.31,9.52,9.19,9.32,238356816
2015-09-14,9.4,9.52,8.39,8.43,332705920
2015-09-15,8.3,8.81,8.27,8.37,262879840
2015-09-16,8.43,9.21,8.32,9.21,397521888
2015-09-17,9.2,9.64,9.01,9.04,499549024
2015-09-18,9.17,9.24,8.92,9.16,276689088
2015-09-21,9.16,9.78,9.05,9.7,448342720
2015-09-22,9.77,9.79,9.45,9.6,332751936
2015-09-23,9.41,9.67,9.35,9.41,228193024
2015-09-24,9.48,9.6,9.28,9.59,225387344
2015-09-25,9.49,9.49,9.08,9.2,199165440
2015-09-28,9.28,9.3,9.04,9.22,116093744
2015-09-29,9.06,9.1,8.9,8.94,144211056
2015-09-30,9.01,9.13,8.97,9.07,115655072
2015-10-08,9.49,9.78,9.32,9.55,312173536
2015-10-09,9.5,9.73,9.46,9.66,248764480
2015-10-12,9.69,10.63,9.65,10.59,761726720
2015-10-13,10.3,10.83,10.23,10.76,549697856
2015-10-14,10.68,10.74,10.45,10.5,353293408
2015-10-15,10.51,10.98,10.51,10.81,389092512
2015-10-16,10.9,10.93,10.55,10.9,461296032
2015-10-19,11.22,11.68,11.12,11.3,565294080
2015-10-20,11.35,11.5,11.16,11.46,346964992
2015-10-21,11.5,11.54,10.31,10.46,462723424
2015-10-22,10.62,10.88,10.26,10.79,354481536
2015-10-23,10.88,10.88,10.5,10.76,305666272
2015-10-26,10.88,10.95,10.57,10.65,276156480
2015-10-27,10.5,10.61,10.05,10.54,257730976
2015-10-28,10.4,10.63,10.21,10.26,192102800
2015-10-29,10.32,10.45,10.14,10.35,168745632
2015-10-30,10.33,10.5,10.17,10.36,160499568
2015-11-02,10.16,10.38,10.07,10.12,132518680
2015-11-03,10.18,10.24,10.03,10.09,114807688
2015-11-04,10.08,10.64,10.08,10.58,285123392
2015-11-05,10.55,11.5,10.49,10.96,640870272
2015-11-06,10.9,11.12,10.8,10.99,392133856
2015-11-09,10.88,11.53,10.83,11.17,407314208
2015-11-10,11.03,11.09,10.84,10.99,280395904
2015-11-11,10.94,11.07,10.81,11.0,204045824
2015-11-12,11.02,11.4,10.86,11.21,430354496
2015-11-13,11.1,11.16,10.73,10.78,343545984
2015-11-16,10.63,10.78,10.54,10.77,156604144
2015-11-17,10.85,10.95,10.6,10.65,225466496
2015-11-18,10.65,10.7,10.3,10.33,193750464
2015-11-19,10.35,10.47,10.27,10.46,129763640
2015-11-20,10.47,10.68,10.41,10.55,151532496
2015-11-23,10.53,10.65,10.36,10.41,150814592
2015-11-24,10.35,10.44,10.18,10.35,128175808
2015-11-25,10.33,10.55,10.29,10.49,147518640
2015-11-26,10.49,10.53,10.3,10.33,119916240
2015-11-27,10.26,10.3,9.45,9.62,232018560
2015-11-30,9.63,9.8,9.09,9.54,153833952
2015-12-01,9.55,9.67,9.46,9.61,102334248
2015-12-02,9.62,9.87,9.43,9.86,161850000
2015-12-03,9.79,9.99,9.72,9.92,118641961
2015-12-04,9.8,9.86,9.63,9.73,111949608
2015-12-07,9.71,9.89,9.71,9.76,90696424
2015-12-08,9.7,9.71,9.42,9.44,99820016
2015-12-09,9.36,9.53,9.33,9.48,73701330
2015-12-10,9.48,9.58,9.43,9.5,68006136
2015-12-11,9.45,9.52,9.35,9.45,73742664
2015-12-14,9.37,9.8,9.34,9.75,112990568
2015-12-15,9.74,9.84,9.7,9.74,70181192
2015-12-16,9.79,9.83,9.72,9.77,71875296
2015-12-17,10.05,10.11,9.9,9.93,144263392
2015-12-18,9.91,10.05,9.77,9.96,144325456
2015-12-21,9.89,10.07,9.85,9.98,106668672
2015-12-22,10.03,10.06,9.87,9.92,78952554
2015-12-23,9.9,9.9,9.76,9.78,99442224
2015-12-24,9.77,9.8,9.52,9.63,75381056
2015-12-25,9.65,9.7,9.57,9.66,55199630
2015-12-28,9.67,9.78,9.45,9.46,99209304
2015-12-29,9.46,9.51,9.39,9.5,65052242
2015-12-30,9.52,9.52,9.4,9.49,51743769
2015-12-31,9.49,9.64,9.43,9.54,78699010
2016-01-04,9.53,9.6,8.71,8.76,76630871
2016-01-05,8.5,8.96,8.41,8.84,126665443
2016-01-06,8.86,9.0,8.8,8.99,80731138
2016-01-07,8.87,8.87,8.18,8.24,22716199
2016-01-08,8.52,8.62,8.07,8.44,109430077
2016-01-11,8.31,8.54,8.04,8.08,104017801
2016-01-12,8.18,8.43,8.01,8.25,104375942
2016-01-13,8.26,8.31,7.97,7.99,78197855
2016-01-14,7.82,8.14,7.81,8.13,76008198
2016-01-15,8.09,8.09,7.81,7.87,70136434
2016-01-18,7.74,7.95,7.7,7.85,68649654
2016-01-19,7.86,8.32,7.81,8.17,109440772
2016-01-20,8.1,8.29,8.05,8.1,110164418
2016-01-21,8.05,8.14,7.85,7.86,76124434
2016-01-22,7.97,8.0,7.77,7.9,60543278
2016-01-25,7.93,7.98,7.87,7.91,43453683
2016-01-26,7.84,7.85,7.22,7.25,94439109
2016-01-27,7.29,7.34,6.82,7.12,90546042
2016-01-28,7.08,7.18,6.81,6.88,61166664
2016-01-29,6.88,7.11,6.83,7.08,82732997
2016-02-01,7.06,7.07,6.82,6.9,53952407
2016-02-02,6.89,7.19,6.89,7.09,68282079
2016-02-03,7.01,7.05,6.92,7.04,55714593
2016-02-04,7.06,7.17,7.06,7.13,65972564
2016-02-05,7.14,7.15,7.06,7.07,49047545
2016-02-15,6.83,6.98,6.82,6.94,46168127
2016-02-16,6.96,7.24,6.96,7.19,118240977
2016-02-17,7.18,7.33,7.14,7.28,123642026
2016-02-18,7.29,7.33,7.21,7.24,96230422
2016-02-19,7.22,7.26,7.16,7.23,54624744
2016-02-22,7.29,7.42,7.25,7.39,112181675
2016-02-23,7.39,7.63,7.35,7.47,142121231
2016-02-24,7.4,7.49,7.3,7.45,85617235
2016-02-25,7.43,7.43,6.81,6.87,117956069
2016-02-26,6.95,7.03,6.85,6.99,63752004
2016-02-29,6.97,7.0,6.6,6.8,76876862
2016-03-01,6.83,6.93,6.75,6.91,51832435
