date,open,high,low,close,volume
2016-08-09,10.7,12.84,10.7,12.84,180324
2016-08-10,14.12,14.12,14.12,14.12,70464
2016-08-11,15.53,15.53,15.53,15.53,67505
2016-08-12,17.08,17.08,17.08,17.08,187196
2016-08-15,18.79,18.79,18.79,18.79,183895
2016-08-16,20.67,20.67,20.67,20.67,174751
2016-08-17,22.74,22.74,22.74,22.74,279011
2016-08-18,25.01,25.01,25.01,25.01,362604
2016-08-19,27.51,27.51,27.51,27.51,1132164
2016-08-22,30.26,30.26,30.26,30.26,2413820
2016-08-23,33.29,33.29,33.29,33.29,1446309
2016-08-24,36.62,36.62,36.62,36.62,570334
2016-08-25,40.28,40.28,38.18,38.83,238530958
2016-08-26,38.5,40.19,38.34,38.52,134146735
2016-08-29,37.56,37.56,34.71,34.74,125877228
2016-08-30,35.33,35.68,34.08,34.27,68513946
2016-08-31,34.15,35.08,33.31,34.66,78486761
2016-09-01,34.25,35.15,33.69,34.51,63691082
2016-09-02,34.18,35.0,33.85,34.34,51483813
2016-09-05,34.3,34.5,32.78,32.8,68478892
2016-09-06,32.44,33.26,32.26,33.14,47116360
2016-09-07,33.0,33.35,32.62,32.66,33111719
2016-09-08,32.8,33.35,32.47,32.76,38503921
2016-09-09,32.44,32.77,31.54,31.56,46171762
2016-09-12,30.6,30.98,29.77,29.87,38260188
2016-09-13,30.16,30.25,29.8,29.89,21192801
2016-09-14,29.68,30.12,29.0,29.17,25311121
2016-09-19,29.21,29.68,29.21,29.48,19147692
2016-09-20,29.49,30.47,29.42,29.96,32374100
2016-09-21,29.74,29.95,29.28,29.33,21105590
2016-09-22,29.6,29.6,29.15,29.22,19332371
2016-09-23,29.34,29.49,28.49,28.52,25807973
2016-09-26,28.3,28.3,26.67,26.7,34072654
2016-09-27,26.6,27.01,26.38,26.99,18464239
2016-09-28,27.0,27.05,26.63,26.77,12895468
2016-09-29,26.93,27.24,26.75,26.9,14675634
2016-09-30,26.87,27.08,26.76,27.03,12593110
2016-10-10,27.24,27.77,26.9,27.57,20577479
2016-10-11,27.57,28.07,27.39,27.84,21895015
2016-10-12,27.66,28.17,27.61,27.81,17600118
2016-10-13,27.82,28.2,27.81,27.91,14972934
2016-10-14,27.8,27.9,27.13,27.33,15566694
2016-10-17,27.75,27.75,26.93,26.96,14513501
2016-10-18,26.9,27.26,26.77,27.24,15098702
2016-10-19,27.25,27.57,27.13,27.28,13082763
2016-10-20,27.29,27.35,26.92,27.05,11353000
2016-10-21,27.05,28.1,26.92,27.89,28751410
2016-10-24,27.67,29.58,27.64,29.22,65137282
2016-10-25,29.1,29.98,28.91,29.29,41647165
2016-10-26,29.3,29.79,28.88,28.9,24814855
2016-10-27,28.85,29.48,28.83,29.21,18359360
2016-10-28,29.22,29.29,28.5,28.62,20722053
2016-10-31,28.42,28.42,27.48,27.71,17416544
2016-11-01,27.72,28.14,27.72,28.06,13982888
2016-11-02,27.92,27.99,27.52,27.67,17938383
2016-11-03,27.5,27.95,27.39,27.52,19594255
2016-11-04,27.45,29.45,27.41,28.86,45213334
2016-11-07,28.75,29.36,28.5,28.91,33844665
2016-11-08,28.99,30.88,28.87,30.21,64415563
2016-11-09,29.7,30.09,29.02,29.6,43963852
2016-11-10,29.99,30.97,29.62,30.51,47643642
2016-11-11,30.28,30.98,29.95,30.12,42207929
2016-11-14,30.03,30.12,29.3,29.59,30727284
2016-11-15,29.49,29.7,29.3,29.65,16013267
2016-11-16,29.65,29.69,29.09,29.13,18168499
2016-11-17,29.11,29.43,29.07,29.26,11758824
2016-11-18,29.16,29.51,29.1,29.22,13211154
2016-11-21,29.29,29.29,28.8,29.03,14595816
2016-11-22,29.19,29.2,28.87,28.98,14571413
2016-11-23,29.05,29.13,28.41,28.5,18228872
2016-11-24,28.39,28.59,27.88,27.92,17400503
2016-11-25,27.91,28.06,27.24,27.98,14442040
2016-11-28,28.0,28.13,27.8,27.86,8900621
2016-11-29,27.89,28.03,27.63,27.65,10250092
2016-11-30,27.61,27.84,27.45,27.66,9284470
2016-12-01,27.69,27.78,27.59,27.71,8730731
2016-12-02,27.71,27.97,27.2,27.22,13756903
2016-12-05,26.95,27.15,26.7,26.76,10578066
2016-12-06,26.87,27.5,26.8,27.22,10589231
2016-12-07,27.25,27.44,27.1,27.4,6781527
2016-12-08,27.4,27.55,26.99,27.05,8549621
2016-12-09,27.1,27.1,26.71,26.85,9839769
2016-12-12,26.85,26.85,24.75,24.77,23424521
2016-12-13,24.75,24.89,24.25,24.67,10678176
2016-12-14,24.68,24.75,23.81,24.0,12871958
2016-12-15,23.9,24.73,23.81,24.37,10473128
2016-12-16,24.45,24.85,24.39,24.6,8240937
2016-12-19,24.5,24.5,23.97,24.12,9606295
2016-12-20,24.12,24.18,23.81,24.08,7010284
