date,open,high,low,close,volume
2009-12-16,8.41,8.7,8.06,8.3,916252224
2009-12-17,8.0,8.14,7.6,7.75,356324128
2009-12-18,7.89,8.08,7.75,7.84,228972944
2009-12-21,7.78,7.88,7.54,7.71,164019552
2009-12-22,7.68,7.7,7.43,7.44,125574384
2009-12-23,7.46,7.72,7.34,7.54,144400976
2009-12-24,7.48,7.59,7.39,7.54,137192736
2009-12-25,7.5,7.77,7.45,7.57,125222336
2009-12-28,7.55,7.62,7.52,7.59,93791296
2009-12-29,7.52,7.89,7.39,7.74,184163232
2009-12-30,7.7,7.75,7.6,7.68,95711912
2009-12-31,7.71,7.99,7.68,7.81,136941792
2010-01-04,7.76,7.8,7.62,7.63,85240856
2010-01-05,7.65,7.67,7.5,7.6,63230128
2010-01-06,7.55,7.78,7.54,7.69,93441130
2010-01-07,7.65,7.76,7.56,7.6,65879624
2010-01-08,7.61,7.65,7.44,7.52,55884840
2010-01-11,7.65,7.78,7.6,7.68,100836136
2010-01-12,7.6,7.98,7.6,7.93,123518981
2010-01-13,7.81,8.03,7.75,7.82,104209984
2010-01-14,7.83,8.28,7.76,8.15,139748544
2010-01-15,8.14,8.15,8.03,8.04,88140144
2010-01-18,8.06,8.1,7.94,8.02,56218188
2010-01-19,8.01,8.21,7.98,8.06,62007712
2010-01-20,8.03,8.06,7.65,7.72,74504312
2010-01-21,7.7,7.76,7.59,7.67,45814284
2010-01-22,7.56,7.63,7.48,7.59,46392800
2010-01-25,7.5,7.61,7.5,7.51,19193610
2010-01-26,7.53,7.68,7.4,7.5,50265560
2010-01-27,7.48,7.62,7.42,7.5,26832068
2010-01-28,7.5,7.68,7.49,7.65,43887248
2010-01-29,7.61,7.72,7.53,7.55,38380936
2010-02-01,7.53,7.55,7.25,7.27,66922140
2010-02-02,7.3,7.36,7.03,7.1,52502404
2010-02-03,7.07,7.17,6.82,7.15,41112724
2010-02-04,7.09,7.33,6.98,7.18,44838480
2010-02-05,6.98,7.16,6.92,7.02,40328704
2010-02-08,7.02,7.11,6.99,7.03,16553520
2010-02-09,7.03,7.05,6.95,6.96,15679105
2010-02-10,7.02,7.04,6.95,7.01,15404994
2010-02-11,7.01,7.07,6.87,6.92,40675384
2010-02-12,6.95,6.96,6.86,6.93,22841926
2010-02-22,6.89,7.02,6.88,6.96,25292980
2010-02-23,6.92,6.96,6.82,6.9,19785110
2010-02-24,6.87,7.03,6.84,7.02,24049348
2010-02-25,7.04,7.29,7.0,7.19,66536188
2010-02-26,7.14,7.2,7.1,7.17,31995958
2010-03-01,7.2,7.22,7.14,7.17,24396644
2010-03-02,7.2,7.2,7.07,7.09,26449892
2010-03-03,7.08,7.41,7.06,7.33,69769280
2010-03-04,7.31,7.41,7.06,7.1,51489448
2010-03-05,7.14,7.34,7.1,7.33,38766672
2010-03-08,7.33,7.43,7.31,7.34,42399244
2010-03-09,7.36,7.42,7.25,7.39,31695400
2010-03-10,7.41,7.53,7.28,7.35,31712598
2010-03-11,7.36,7.39,7.19,7.3,22516440
2010-03-12,7.27,7.31,7.11,7.14,23186044
2010-03-15,7.11,7.16,6.98,7.01,26141004
2010-03-16,6.85,6.88,6.49,6.76,193680256
2010-03-17,6.68,6.88,6.66,6.87,63845668
2010-03-18,6.87,6.88,6.8,6.82,46951972
2010-03-19,6.83,6.87,6.78,6.86,31428396
2010-03-22,6.85,7.03,6.82,6.97,48172612
2010-03-23,6.96,7.02,6.92,6.95,34439888
2010-03-24,6.9,7.01,6.9,6.94,30124748
2010-03-25,6.93,6.94,6.81,6.85,35867048
2010-03-26,6.84,7.02,6.84,6.94,28396948
2010-03-29,7.02,7.31,6.94,7.08,89604480
2010-03-30,7.07,7.11,7.01,7.08,30334412
2010-03-31,7.1,7.11,6.96,6.98,31392884
