date,open,high,low,close,volume
2007-12-12,10.62,11.76,10.58,11.57,956830385
2007-12-13,11.06,11.39,10.8,10.9,455250729
2007-12-14,10.6,10.76,10.16,10.52,230036006
2007-12-17,10.35,10.46,9.83,9.86,163312227
2007-12-18,9.72,10.31,9.6,10.13,87134223
2007-12-19,10.21,10.29,9.92,10.11,79689003
2007-12-20,10.15,10.85,9.99,10.69,161256721
2007-12-21,10.56,11.25,10.51,11.03,199374289
2007-12-24,11.16,11.29,10.91,11.05,165779987
2007-12-25,10.98,11.1,10.81,10.89,95886051
2007-12-26,10.92,11.98,10.92,11.98,283735723
2007-12-27,12.0,12.48,11.88,12.03,268311614
2007-12-28,12.07,12.39,11.88,12.15,120409895
2008-01-02,12.18,12.35,11.88,12.15,101274805
2008-01-03,12.1,12.1,11.71,11.9,120937837
2008-01-04,11.96,12.1,11.75,12.06,96841837
2008-01-07,12.06,12.57,11.88,12.37,135562034
2008-01-08,12.39,12.39,11.7,11.87,112330920
2008-01-09,11.71,12.09,11.52,11.9,73060493
2008-01-10,11.9,11.96,11.7,11.71,70067081
2008-01-11,11.72,12.17,11.64,11.92,72335515
2008-01-14,11.92,12.05,11.78,11.84,59389759
2008-01-15,11.84,11.96,11.68,11.74,60689104
2008-01-16,11.68,11.68,11.11,11.19,97715874
2008-01-17,11.08,11.34,10.5,10.86,80286440
2008-01-18,10.87,11.17,10.61,11.08,48598641
2008-01-21,11.0,11.06,10.21,10.32,58532112
2008-01-22,10.01,10.19,9.29,9.35,80814765
2008-01-23,9.35,9.92,9.35,9.86,61117469
2008-01-24,9.9,10.0,9.62,9.83,54372221
2008-01-25,9.8,9.95,9.5,9.78,46228690
2008-01-28,9.73,9.73,8.8,8.81,53572358
2008-01-29,8.81,9.1,8.61,9.01,30154659
2008-01-30,9.13,9.28,8.69,9.02,37239599
2008-01-31,9.01,9.18,8.81,8.89,22954444
2008-02-01,8.99,9.04,8.39,8.61,29806759
2008-02-04,8.89,9.47,8.72,9.47,44754895
2008-02-05,9.5,9.55,9.25,9.34,31586564
2008-02-13,9.28,9.28,9.01,9.09,18289325
2008-02-14,9.15,9.36,9.12,9.27,15673431
2008-02-15,9.18,9.2,9.0,9.14,16297930
2008-02-18,9.3,9.37,9.21,9.27,22669383
2008-02-19,9.28,9.97,9.15,9.87,61904326
2008-02-20,9.92,9.96,9.58,9.59,44809901
2008-02-22,9.56,9.56,9.03,9.15,32616346
2008-02-25,9.16,9.25,8.75,8.76,25972803
2008-02-26,9.01,9.11,8.6,8.96,21682931
2008-02-27,9.0,9.18,8.89,9.1,16138804
2008-02-28,9.11,9.15,8.92,8.98,14184453
2008-02-29,8.95,9.18,8.9,9.06,14624978
2008-03-03,9.0,9.24,8.81,9.16,27931256
2008-03-04,9.16,9.16,8.84,8.89,38223968
2008-03-05,8.8,8.95,8.63,8.76,28085021
2008-03-06,8.81,9.15,8.55,8.96,46214645
2008-03-07,8.85,9.06,8.71,9.05,25132291
2008-03-10,9.11,9.25,8.83,8.89,47776861
2008-03-11,8.7,8.89,8.63,8.75,21228149
2008-03-12,8.49,8.69,7.88,7.88,403229434
2008-03-13,7.68,7.7,7.28,7.53,97450181
2008-03-14,7.59,7.74,7.47,7.64,57297393
2008-03-17,7.64,7.64,7.09,7.11,63476662
2008-03-18,7.04,7.27,6.7,6.78,84137405
2008-03-19,6.8,7.2,6.8,7.13,72159840
2008-03-20,6.98,7.4,6.79,7.24,76365604
2008-03-21,7.21,7.35,7.08,7.18,54471621
2008-03-24,7.26,7.32,6.98,6.99,46698869
2008-03-25,6.95,7.1,6.8,7.04,48159004
2008-03-26,7.08,7.1,6.85,6.9,39002323
2008-03-27,6.77,6.77,6.5,6.51,68577622
2008-03-28,6.51,6.95,6.45,6.93,72057553
2008-03-31,6.7,6.81,6.62,6.69,37632209
