date,open,high,low,close,volume
2009-10-30,61.0,86.0,56.0,63.4,28810180
2009-11-02,57.06,60.8,57.06,57.06,10065454
2009-11-03,57.03,57.69,54.32,54.81,5873190
2009-11-04,55.5,56.93,54.82,55.86,3774184
2009-11-05,55.8,57.71,54.5,56.55,4874626
2009-11-06,56.0,56.48,54.35,54.53,3729623
2009-11-09,54.0,54.5,52.48,52.5,3429114
2009-11-10,52.51,52.99,50.0,50.08,4088612
2009-11-11,50.1,50.4,48.76,49.78,3299234
2009-11-12,49.69,50.79,49.18,50.31,2378101
2009-11-13,50.28,53.86,49.9,53.0,4665956
2009-11-16,52.88,52.88,51.55,52.16,2782251
2009-11-17,51.9,53.15,51.71,52.0,1597954
2009-11-18,52.1,53.5,51.9,53.07,2566800
2009-11-19,53.17,58.35,52.98,56.8,7144962
2009-11-20,56.43,58.18,54.9,56.59,3284233
2009-11-23,56.38,58.0,56.13,57.07,2545990
2009-11-24,57.28,57.88,51.4,52.5,3692941
2009-11-25,52.0,54.8,51.39,54.39,3106777
2009-11-26,54.0,55.01,52.32,52.87,2877013
2009-11-27,52.95,56.35,52.41,56.25,4960447
2009-11-30,56.28,56.29,54.0,56.13,2978531
2009-12-01,55.6,57.12,55.13,56.56,2918759
2009-12-02,56.65,60.28,56.36,59.52,5835810
2009-12-03,59.65,63.0,58.51,62.6,5531322
2009-12-04,60.6,61.46,56.34,56.88,6136567
2009-12-07,56.5,58.2,54.85,57.79,2290797
2009-12-08,57.8,59.99,56.8,58.94,2753676
2009-12-09,58.5,61.0,58.18,59.28,3679495
2009-12-10,59.0,59.88,57.53,57.96,1970578
2009-12-11,58.0,58.55,55.01,56.2,2111550
2009-12-14,56.42,56.45,54.2,55.32,1544561
2009-12-15,55.6,56.69,55.13,55.4,1256392
2009-12-16,55.7,56.8,54.2,55.92,2694423
2009-12-17,55.2,55.3,51.6,52.01,2083762
2009-12-18,51.01,53.88,49.0,52.11,2217676
2009-12-21,52.12,52.88,51.51,52.17,920144
2009-12-22,51.85,52.48,49.58,49.91,1195550
2009-12-23,49.9,51.51,49.9,51.19,1260267
2009-12-24,51.0,52.0,50.3,52.0,1209503
2009-12-25,52.02,52.02,50.48,50.61,1407861
2009-12-28,51.0,51.5,50.27,50.77,1189693
2009-12-29,51.14,51.14,50.0,50.33,960257
2009-12-30,50.36,52.2,50.36,51.08,1479461
2009-12-31,51.5,51.58,50.5,51.2,799890
2010-01-04,51.59,51.85,51.1,51.5,842437
2010-01-05,51.62,51.72,50.7,51.66,913661
