date,open,high,low,close,volume
2003-08-07,17.79,19.5,17.28,19.11,10708091
2003-08-08,18.9,19.08,18.33,18.36,4007305
2003-08-11,18.2,19.29,18.11,19.24,2378587
2003-08-12,19.11,19.88,19.09,19.18,2281737
2003-08-13,19.1,21.0,19.01,20.27,3440737
2003-08-14,20.05,20.68,20.0,20.37,2463112
2003-08-15,20.35,20.48,19.81,20.14,1548073
2003-08-18,20.2,20.8,20.12,20.26,1320698
2003-08-19,20.28,20.63,20.05,20.11,1183882
2003-08-20,20.11,20.3,19.61,19.87,1211394
2003-08-21,20.26,20.48,19.97,20.24,741017
2003-08-22,20.18,20.38,19.87,19.88,587552
2003-08-25,19.68,19.78,18.67,18.78,1674572
2003-08-26,18.7,19.23,18.61,18.91,862155
2003-08-27,18.8,19.22,18.8,18.89,612760
2003-08-28,18.89,19.02,18.51,18.79,699324
2003-08-29,18.72,20.48,18.6,19.77,1741208
2003-09-01,19.99,21.75,19.78,21.75,3684610
2003-09-02,21.68,23.71,21.1,22.18,4639707
2003-09-03,21.99,22.38,21.28,21.33,2296407
2003-09-04,21.33,21.99,21.29,21.39,1210768
2003-09-05,21.2,21.38,20.43,20.48,1450791
2003-09-08,20.5,20.97,20.49,20.59,762708
2003-09-09,20.5,20.9,20.23,20.85,482866
2003-09-10,20.93,21.19,20.6,20.84,674756
2003-09-11,20.85,21.45,20.85,20.9,528216
2003-09-12,20.83,20.83,20.06,20.42,819561
2003-09-15,20.15,20.61,20.11,20.38,405273
2003-09-16,20.59,21.04,20.4,20.83,534446
2003-09-17,20.9,20.9,20.39,20.46,356190
2003-09-18,20.57,20.8,20.36,20.6,363349
2003-09-19,20.62,20.76,20.0,20.41,685192
2003-09-22,20.41,20.67,20.26,20.29,309785
2003-09-23,20.29,20.46,19.7,19.81,426783
2003-09-24,19.85,19.99,19.52,19.59,363393
2003-09-25,19.61,19.95,19.51,19.63,372368
2003-09-26,19.63,20.16,19.6,19.71,384834
