date,open,high,low,close,volume
2009-09-10,63.5,68.66,62.0,66.35,19347316
2009-09-11,70.5,72.99,70.5,72.99,3406106
2009-09-14,79.5,80.29,76.66,79.9,9600630
2009-09-15,78.1,81.66,77.02,78.0,5743751
2009-09-16,77.33,79.5,76.51,78.34,3692084
2009-09-17,79.11,79.48,75.5,76.49,4756341
2009-09-18,76.01,79.5,75.55,75.94,3887006
2009-09-21,75.4,75.5,70.88,74.47,4034119
2009-09-22,73.65,74.82,73.33,73.7,2008652
2009-09-23,73.16,77.88,73.16,76.13,2818343
2009-09-24,76.26,77.8,74.29,74.7,1999928
2009-09-25,74.3,76.0,73.2,75.0,1403933
2009-09-28,75.4,79.77,75.08,76.4,2225305
2009-09-29,76.39,76.77,72.61,74.37,1632810
2009-09-30,75.25,76.44,72.72,73.3,1580801
2009-10-09,73.51,76.29,72.12,75.51,1798492
2009-10-12,75.13,77.71,74.2,75.8,1657960
2009-10-13,75.6,79.99,75.0,79.85,2148155
2009-10-14,81.0,84.44,79.56,81.0,2730578
2009-10-15,81.6,85.0,81.05,81.51,1998522
2009-10-16,82.14,84.0,81.0,84.0,1512943
2009-10-19,84.28,85.97,83.61,84.02,2171909
2009-10-20,84.13,92.42,83.79,92.42,3123963
2009-10-21,91.88,96.0,91.2,92.1,2634370
2009-10-22,91.25,99.9,91.0,97.02,2735936
2009-10-23,97.46,99.5,92.8,93.62,3547351
2009-10-26,93.49,97.5,93.0,93.89,2393283
2009-10-27,93.79,93.79,90.22,91.8,1954747
2009-10-28,91.05,98.5,91.03,97.89,2387113
2009-10-29,95.97,99.69,90.4,92.98,2689480
2009-10-30,93.01,96.5,90.75,91.45,3987818
2009-11-02,88.45,92.85,87.58,91.72,1963123
2009-11-03,91.72,92.75,91.07,92.0,1438435
2009-11-04,92.02,92.7,90.51,91.0,1396811
2009-11-05,90.63,92.58,89.94,91.2,1239741
2009-11-06,91.31,92.4,89.98,90.69,1531047
2009-11-09,90.2,94.31,90.01,94.31,2428279
2009-11-10,94.49,94.96,91.88,91.96,1570753
