date,open,high,low,close,volume
2011-08-03,70.88,74.88,70.01,74.0,19314312
2011-08-04,76.66,76.97,72.3,72.67,9177485
2011-08-05,71.39,76.28,69.04,75.44,9588051
2011-08-08,75.5,76.54,70.31,74.09,7430052
2011-08-09,73.0,81.5,72.8,79.6,8465013
2011-08-10,78.16,81.6,77.8,77.96,6295231
2011-08-11,77.4,82.38,77.4,80.83,4086482
2011-08-12,81.0,82.82,79.68,80.9,3526567
2011-08-15,81.02,81.81,79.7,79.8,2992727
2011-08-16,80.01,82.0,79.65,80.35,2745428
2011-08-17,79.0,79.93,76.6,77.27,3879882
2011-08-18,76.05,78.39,76.05,77.0,2368370
2011-08-19,75.75,76.8,73.77,76.0,2832439
2011-08-22,75.95,77.25,74.35,74.7,1705801
2011-08-23,75.0,78.5,74.0,78.35,2772195
2011-08-24,78.41,80.67,76.9,77.09,2972300
2011-08-25,76.61,77.43,74.33,76.0,2040829
2011-08-26,76.3,83.6,75.6,83.6,4524749
2011-08-29,83.0,83.86,81.6,82.75,2358259
2011-08-30,82.51,83.48,79.22,79.22,2328784
2011-08-31,79.6,79.87,74.22,77.16,3161884
2011-09-01,77.21,77.4,74.62,75.35,1597677
2011-09-02,75.35,76.8,75.0,75.86,1475347
2011-09-05,74.96,75.0,71.85,72.1,2159021
2011-09-06,70.88,72.05,66.66,68.89,2438858
2011-09-07,69.5,71.5,68.92,71.0,1534870
2011-09-08,70.93,71.65,66.5,66.5,1897729
2011-09-09,66.55,68.67,64.95,65.93,1909453
2011-09-13,64.58,66.0,63.08,64.91,1346443
2011-09-14,66.0,66.6,63.41,66.0,1061765
2011-09-15,65.88,68.2,65.58,65.92,1107453
2011-09-16,66.99,66.99,65.16,65.32,832761
2011-09-19,64.38,64.39,61.5,61.67,1108904
2011-09-20,61.45,63.04,61.45,62.22,844683
2011-09-21,61.9,65.96,61.83,65.4,998936
2011-09-22,64.53,65.38,62.0,62.17,678213
2011-09-23,61.28,63.8,60.35,63.0,627685
2011-09-26,62.99,64.65,62.79,63.6,660040
2011-09-27,64.2,65.96,63.71,64.0,949723
2011-09-28,64.95,65.03,61.05,61.1,623092
2011-09-29,60.95,61.82,59.8,59.86,762420
2011-09-30,60.5,61.99,59.66,61.89,670239
2011-10-10,62.68,64.6,61.03,61.15,687469
2011-10-11,62.98,63.5,59.06,59.79,952933
2011-10-12,59.0,62.87,58.11,62.5,1353008
2011-10-13,62.3,64.79,62.3,63.49,1510096
2011-10-14,62.88,64.47,62.18,62.99,756646
2011-10-18,64.0,66.49,63.51,64.4,2708660
2011-10-19,64.85,66.76,62.65,62.9,1811257
2011-10-20,62.9,62.92,58.58,59.71,1164683
2011-10-21,59.33,60.0,56.51,57.3,887816
2011-10-24,57.4,60.8,56.61,59.98,892344
2011-10-25,61.0,63.48,60.3,62.49,1693248
2011-10-26,61.49,68.67,61.1,65.46,2964692
2011-10-27,65.43,65.99,63.6,64.05,1755645
2011-10-28,64.94,68.47,64.58,66.69,2317914
2011-10-31,66.86,69.4,65.9,68.35,2041801
2011-11-01,67.8,68.86,66.0,66.8,1649221
2011-11-02,65.4,72.28,65.0,71.34,2837525
2011-11-03,71.88,72.6,69.63,69.87,3541987
