date,open,high,low,close,volume
1997-09-10,12.6,13.43,12.38,13.0,28527200
1997-09-11,12.88,14.27,12.86,14.18,14542600
1997-09-12,14.15,14.38,13.0,13.17,10541600
1997-09-15,13.25,13.45,12.38,12.58,6011800
1997-09-16,12.61,12.97,12.31,12.49,2840700
1997-09-17,12.51,12.64,12.15,12.26,2022300
1997-09-18,12.21,12.84,12.19,12.68,2017700
1997-09-19,12.8,12.85,12.44,12.55,1225500
1997-09-22,12.54,12.6,11.45,11.46,2810200
1997-09-23,11.28,11.8,10.85,11.25,2673900
1997-09-24,11.58,11.96,11.4,11.94,3422800
1997-09-25,11.94,12.1,11.65,11.8,2361800
1997-09-26,11.85,11.88,11.34,11.48,1320500
1997-09-29,11.3,11.3,10.95,10.97,1350900
1997-09-30,10.9,11.28,10.9,11.22,1022300
1997-10-06,11.32,11.32,10.91,11.0,649600
1997-10-07,11.01,11.01,10.64,10.82,624700
1997-10-08,11.19,11.47,11.0,11.33,1165900
1997-10-09,11.33,11.45,11.1,11.1,673700
1997-10-10,11.1,11.35,11.0,11.29,602800
1997-10-13,11.3,11.68,11.25,11.65,1564100
1997-10-14,11.6,11.63,11.3,11.48,769600
1997-10-15,11.51,11.68,11.35,11.6,1030800
1997-10-16,11.68,12.35,11.62,12.07,3121200
1997-10-17,12.15,12.47,11.99,12.23,2842200
1997-10-20,12.33,12.6,12.01,12.27,2910000
1997-10-21,12.25,13.28,12.0,13.22,4893700
1997-10-22,13.35,14.54,13.3,14.51,17817300
1997-10-23,14.3,14.88,13.5,14.38,8602600
1997-10-24,14.38,14.69,13.92,14.45,5042400
1997-10-27,14.65,15.3,14.0,14.17,6973000
1997-10-28,14.1,14.65,13.51,13.87,4696600
1997-10-29,13.8,14.4,13.58,14.2,4197400
1997-10-30,14.38,15.08,13.9,13.97,5092300
1997-10-31,13.67,14.0,13.42,13.85,2229800
1997-11-03,13.7,13.8,13.31,13.42,1840600
1997-11-04,13.3,13.61,13.3,13.58,1182800
1997-11-05,13.65,14.3,13.65,14.03,1835300
1997-11-06,14.19,14.25,13.55,13.58,1588700
1997-11-07,13.88,13.88,13.4,13.63,1500100
1997-11-10,13.62,13.7,12.9,13.16,1385100
1997-11-11,13.01,13.55,12.79,13.51,1440400
1997-11-12,13.55,13.7,13.0,13.04,670300
1997-11-13,13.04,13.13,12.68,13.13,1121400
1997-11-14,13.2,13.48,13.0,13.2,1044500
1997-11-17,13.3,13.6,13.2,13.2,893500
1997-11-18,13.15,13.2,12.7,12.8,926200
1997-11-19,12.89,12.91,12.53,12.65,591700
1997-11-20,12.65,12.7,12.11,12.33,924700
1997-11-21,12.24,12.46,12.08,12.13,794000
1997-11-24,12.18,12.18,11.7,11.72,670300
1997-11-25,11.68,12.0,11.6,11.99,650200
1997-11-26,12.0,12.18,11.71,12.1,543600
1997-11-27,12.08,12.1,11.6,11.7,536200
1997-11-28,11.6,12.1,11.5,12.09,648900
1997-12-01,12.07,12.07,11.6,11.66,443800
1997-12-02,11.8,11.85,11.5,11.57,426800
1997-12-03,11.5,11.93,11.5,11.86,623900
1997-12-04,11.85,12.3,11.78,12.11,1004300
1997-12-05,12.25,12.47,11.94,11.95,878600
1997-12-08,12.1,12.56,12.0,12.55,1625600
1997-12-09,12.55,12.73,12.4,12.6,1050700
1997-12-10,12.75,12.8,12.5,12.59,541200
1997-12-11,12.6,12.61,12.2,12.31,636800
1997-12-12,12.25,12.4,12.09,12.12,645600
1997-12-15,12.01,12.65,11.0,12.3,590100
1997-12-16,12.5,12.55,12.15,12.34,708300
1997-12-17,12.25,12.29,11.84,11.9,999500
1997-12-18,11.8,11.94,11.7,11.79,593400
1997-12-19,11.6,12.01,11.6,11.78,459400
1997-12-22,11.7,11.7,11.28,11.43,1440200
1997-12-23,11.71,11.9,11.45,11.69,687700
1997-12-24,11.71,11.86,11.48,11.7,574200
1997-12-25,11.6,11.85,11.55,11.63,653800
1997-12-26,12.79,12.8,11.85,12.3,1631600
1997-12-29,12.5,12.79,12.3,12.33,1388600
1997-12-30,12.32,12.7,12.32,12.48,954400
1997-12-31,12.55,13.38,12.55,13.2,2859300
1998-01-05,13.28,13.48,12.9,13.22,2470900
1998-01-06,13.23,13.82,13.23,13.51,1988000
1998-01-07,13.49,13.51,13.2,13.4,1390400
1998-01-08,13.3,13.39,12.85,12.99,1777700
1998-01-09,12.8,13.01,12.5,12.79,1284000
1998-01-12,12.79,13.16,12.51,12.89,1324900
1998-01-13,12.65,12.7,11.6,12.0,1641000
1998-01-14,12.1,12.29,11.96,12.15,1033000
1998-01-15,12.1,12.3,12.0,12.23,962900
1998-01-16,12.35,12.69,12.26,12.51,850900
1998-01-19,12.65,12.65,12.0,12.19,454400
1998-01-20,12.03,12.29,11.9,11.96,477900
1998-01-21,11.95,12.08,11.8,11.86,395500
1998-01-22,11.8,12.1,11.7,11.98,464300
1998-01-23,12.09,12.29,11.93,12.2,364400
1998-02-09,12.5,12.63,12.25,12.49,661200
1998-02-10,12.47,12.54,12.05,12.07,538900
1998-02-11,12.2,12.29,12.0,12.29,393500
1998-02-12,12.3,12.4,12.19,12.38,503600
1998-02-13,12.5,12.5,12.3,12.31,280100
1998-02-16,12.31,12.35,12.06,12.12,422000
1998-02-17,12.2,12.3,12.0,12.09,403700
1998-02-18,12.0,12.2,12.0,12.14,229300
1998-02-19,12.2,12.2,12.05,12.06,210600
1998-02-20,12.09,12.1,12.0,12.0,376400
1998-02-23,11.98,11.98,11.62,11.77,390900
1998-02-24,11.77,11.89,11.7,11.75,288000
1998-02-25,11.72,11.75,11.5,11.55,362900
1998-02-26,11.5,11.7,11.35,11.69,431300
1998-02-27,11.56,11.65,11.44,11.45,346400
1998-03-02,11.38,11.38,10.89,10.94,728000
1998-03-03,10.81,11.1,10.8,11.08,338300
1998-03-04,11.1,11.1,10.8,10.99,310000
1998-03-05,10.99,11.1,10.93,11.08,339100
1998-03-06,11.07,11.33,11.0,11.24,311400
1998-03-09,11.24,11.3,10.9,11.02,253400
1998-03-10,10.86,11.12,10.5,10.93,215000
1998-03-11,10.68,10.78,10.38,10.39,1043100
1998-03-12,10.31,10.5,10.2,10.31,470800
1998-03-13,10.4,10.45,10.1,10.4,583100
1998-03-16,10.39,10.78,10.25,10.76,1021000
1998-03-17,10.8,10.86,10.7,10.84,644700
1998-03-18,10.86,11.2,10.78,10.9,728900
1998-03-19,10.9,11.0,10.7,10.72,286500
1998-03-20,10.62,10.88,10.55,10.59,310700
1998-03-23,10.58,10.63,10.39,10.42,349400
1998-03-24,10.5,10.51,10.4,10.46,320900
1998-03-25,10.8,10.8,10.42,10.55,453700
1998-03-26,10.6,10.61,10.37,10.38,362000
1998-03-27,10.36,10.99,10.35,10.74,697300
1998-03-30,10.5,11.48,10.5,11.3,1363400
1998-03-31,11.4,11.4,11.05,11.12,543100
1998-04-01,11.08,11.18,10.8,11.1,662800
1998-04-02,11.2,11.52,11.0,11.26,1167300
1998-04-03,11.16,11.43,11.06,11.26,745700
1998-04-06,11.3,11.75,11.15,11.42,1023900
1998-04-07,11.42,11.65,11.26,11.46,834800
1998-04-08,11.5,12.29,11.28,12.27,3344800
1998-04-09,12.28,12.68,11.7,11.9,1816900
1998-04-10,11.8,12.3,11.7,12.22,1132600
1998-04-13,12.24,12.43,11.98,12.03,928500
1998-04-14,11.95,12.03,11.7,11.77,808500
1998-04-15,11.75,11.95,11.5,11.81,710600
1998-04-16,11.79,11.79,11.5,11.55,808000
1998-04-17,11.45,11.6,11.35,11.38,627100
1998-04-21,11.35,11.5,11.21,11.43,219900
1998-04-22,11.35,12.2,11.2,12.0,1775900
1998-04-23,12.02,12.35,11.95,12.29,1963900
1998-04-24,12.2,12.3,11.85,11.87,891300
1998-04-27,11.82,12.3,11.77,12.25,1069800
1998-04-28,12.3,12.75,12.28,12.71,2890500
1998-04-29,12.7,12.92,12.51,12.9,2469900
1998-04-30,12.81,13.1,12.81,13.05,2168100
1998-05-04,13.05,13.05,12.5,12.9,1779400
1998-05-05,12.79,13.25,12.7,13.05,2055300
1998-05-06,12.95,13.2,12.6,12.67,1260500
1998-05-07,12.67,13.08,12.6,12.61,1468900
1998-05-08,12.55,12.98,12.3,12.84,875200
1998-05-11,13.05,13.1,12.61,12.68,1002100
1998-05-12,12.7,12.95,12.5,12.68,1120900
1998-05-13,12.69,13.5,12.61,13.24,1935800
1998-05-14,13.5,13.58,13.1,13.3,2010700
1998-05-15,13.31,14.25,13.31,13.58,3315400
1998-05-18,13.68,13.85,13.35,13.62,1480300
1998-05-19,13.68,13.85,13.52,13.6,855800
1998-05-20,13.61,13.84,13.53,13.66,1170700
1998-05-21,13.78,14.1,13.58,14.04,1927100
1998-05-22,14.1,14.21,13.86,13.87,1879400
1998-05-25,13.5,14.21,13.5,14.2,1413600
1998-05-26,14.3,14.4,13.92,14.09,1038700
1998-05-27,14.01,14.59,14.01,14.42,1140900
1998-05-28,14.42,14.73,14.25,14.62,1393200
