date,open,high,low,close,volume
2015-01-29,5.72,6.87,5.72,6.87,64900
2015-01-30,7.56,7.56,7.56,7.56,29600
2015-02-02,8.32,8.32,8.32,8.32,33100
2015-02-03,9.15,9.15,9.15,9.15,31400
2015-02-04,10.07,10.07,10.07,10.07,35500
2015-02-05,11.08,11.08,11.08,11.08,54700
2015-02-06,12.19,12.19,12.19,12.19,700400
2015-02-09,13.41,13.41,13.41,13.41,2302765
2015-02-10,14.75,14.75,14.75,14.75,2466932
2015-02-11,16.23,16.23,16.23,16.23,1225437
2015-02-12,17.85,17.85,17.85,17.85,949967
2015-02-13,19.64,19.64,19.64,19.64,996753
2015-02-16,21.6,21.6,21.6,21.6,1478079
2015-02-17,23.76,23.76,22.58,23.76,30973152
2015-02-25,24.03,24.5,21.38,21.38,34660720
2015-02-26,20.21,21.0,19.9,20.77,36407976
2015-02-27,20.78,22.85,20.38,22.85,38728384
2015-03-02,23.0,23.0,21.5,22.23,36106328
2015-03-03,22.2,22.2,21.0,21.07,29700510
2015-03-04,20.55,20.62,20.11,20.5,20696368
2015-03-05,20.56,21.3,20.18,21.04,22476996
2015-03-06,20.73,20.81,20.0,20.03,17414744
2015-03-09,19.3,19.43,18.81,19.15,14191586
2015-03-10,19.05,19.57,18.91,19.38,8895665
2015-03-11,19.25,19.3,18.9,18.97,8569370
2015-03-12,18.94,19.03,18.21,18.31,11151564
2015-03-13,18.44,19.21,18.42,18.9,9469295
2015-03-16,19.0,19.55,18.85,19.51,13115316
2015-03-17,19.51,20.0,19.3,19.71,14298067
2015-03-18,19.55,19.95,19.51,19.85,11076390
2015-03-19,19.86,21.15,19.7,20.81,21210140
2015-03-20,20.7,20.7,20.2,20.44,12686029
2015-03-23,20.58,20.83,20.38,20.52,12769175
2015-03-24,20.48,20.66,19.8,20.17,12577059
2015-03-25,20.02,20.65,19.96,20.43,9828559
2015-03-26,20.18,21.49,20.11,20.81,16904092
2015-03-27,20.9,21.1,20.5,20.52,11426444
2015-03-30,20.32,20.4,20.1,20.13,8936276
2015-03-31,20.19,20.39,20.08,20.18,6441047
2015-04-01,20.05,20.33,20.05,20.31,6670672
2015-04-02,20.76,20.99,20.35,20.7,11049791
2015-04-03,20.61,21.3,20.5,21.28,16772418
2015-04-07,21.32,22.38,21.07,22.31,23111924
2015-04-08,22.1,22.28,21.21,21.57,16220625
2015-04-09,21.4,21.49,20.2,20.91,12756581
2015-04-10,20.76,21.48,20.57,21.27,9753179
2015-04-13,21.35,21.87,21.05,21.7,13583552
2015-04-14,21.45,21.68,21.08,21.18,11283644
2015-04-15,20.9,23.3,20.82,22.66,26278978
2015-04-16,22.0,22.65,21.2,22.4,15954012
2015-04-17,22.8,24.6,22.4,23.91,26954010
2015-04-20,23.88,26.2,23.5,25.24,32189318
2015-04-21,24.8,25.45,24.07,25.38,18372276
2015-04-22,25.98,26.16,24.86,24.98,18449648
2015-04-23,24.58,25.96,24.03,25.21,18209406
2015-04-24,24.5,24.89,24.0,24.05,12268258
2015-04-27,23.98,24.52,23.38,23.51,10045395
2015-04-28,23.36,23.95,22.81,22.95,10027419
2015-04-29,23.0,24.22,22.99,23.87,10048862
2015-04-30,23.85,23.98,23.03,23.06,7675888
2015-05-04,22.86,24.25,22.8,24.02,10965152
2015-05-05,23.98,23.98,22.98,23.02,7177963
2015-05-06,23.2,23.32,22.4,22.41,7335635
2015-05-07,22.31,22.31,20.7,20.91,6768909
2015-05-08,21.23,21.55,21.11,21.5,4969035
2015-05-11,21.85,23.47,21.61,23.31,9667186
2015-05-12,23.91,25.14,23.5,24.57,14992620
2015-05-13,24.0,24.58,23.61,24.24,9924406
2015-05-14,24.2,26.66,24.03,26.66,21986810
2015-05-15,27.66,28.4,26.22,26.34,29085820
2015-05-18,25.85,28.9,25.6,28.36,23783600
2015-05-19,28.6,28.7,27.0,28.28,17562888
2015-05-20,28.11,28.68,27.03,27.28,16807524
2015-05-21,26.9,27.47,26.0,27.32,14134813
2015-05-22,27.46,29.5,27.46,29.19,20719632
2015-05-25,28.5,30.7,28.28,30.08,18310382
2015-05-26,30.08,32.49,29.2,32.2,18711784
2015-05-27,32.66,35.42,31.32,35.42,18595068
2015-05-28,37.79,38.96,34.03,36.48,28808954
2015-06-26,32.83,32.83,32.83,32.83,1409300
2015-06-29,29.55,29.55,29.55,29.55,383300
2015-06-30,26.6,29.4,26.6,26.6,22671884
2015-07-01,24.8,26.75,23.94,23.94,17399310
2015-07-02,22.39,23.28,21.55,21.55,10025309
2015-07-03,19.4,20.55,19.4,19.4,7700386
2015-07-06,20.9,20.9,17.46,17.46,11842923
2015-07-07,15.71,15.71,15.71,15.71,731500
2015-07-13,17.17,17.17,17.17,17.17,438050
2015-07-14,18.89,18.89,18.89,18.89,1136233
2015-07-15,19.0,19.0,17.0,17.0,13700120
2015-07-16,15.3,17.58,15.3,16.38,13640667
2015-07-17,16.7,18.0,16.38,17.94,12838289
2015-07-20,18.11,19.21,17.0,18.81,16198857
2015-07-21,18.15,20.56,17.81,20.1,16729069
2015-07-22,19.5,19.99,18.83,19.47,13384468
2015-07-23,19.61,20.97,19.59,20.61,15348190
2015-07-24,20.75,21.45,20.0,20.31,18019662
2015-07-27,19.6,20.49,18.28,18.28,13939594
2015-07-28,16.75,18.2,16.45,16.77,11255734
2015-07-29,17.11,18.39,15.99,18.26,10839310
2015-07-30,17.86,18.88,17.01,17.4,10802269
2015-07-31,17.0,17.79,16.75,17.01,7365604
2015-08-03,16.77,16.99,15.4,15.83,7184596
2015-08-04,16.1,17.41,16.1,17.41,9263642
2015-08-05,17.48,18.11,16.88,17.68,12273402
2015-08-06,17.21,19.45,17.03,19.45,20787536
2015-08-07,19.97,20.3,19.01,19.92,20723240
2015-08-10,20.0,21.3,19.61,20.78,18622984
2015-08-11,21.85,22.86,21.85,22.86,7927387
2015-08-12,23.8,24.98,23.0,23.5,27422554
2015-08-13,22.78,23.86,22.03,23.69,18330374
2015-08-14,23.66,23.99,22.87,22.94,13762442
2015-08-17,22.5,22.6,21.4,22.35,11371736
2015-08-18,21.88,23.72,20.12,20.12,16274257
2015-08-19,18.5,20.7,18.15,20.26,13230823
2015-08-20,19.93,21.29,19.41,19.52,11856727
2015-08-21,19.03,19.99,17.95,18.04,9782366
2015-08-24,16.8,17.5,16.24,16.24,6843295
2015-08-25,14.65,15.6,14.62,14.62,7271512
2015-08-26,15.0,15.89,14.18,14.61,10926015
2015-08-27,15.1,15.79,14.48,15.72,9008001
2015-08-28,15.76,16.89,15.25,16.68,15080089
2015-08-31,16.09,16.28,15.01,15.01,8493406
2015-09-01,15.03,15.05,13.51,13.51,8773242
2015-09-02,12.4,13.79,12.16,12.2,9496279
2015-09-07,12.5,12.97,12.3,12.44,7832235
2015-09-08,12.22,13.36,12.12,13.31,7227010
2015-09-09,13.65,14.64,13.62,14.64,13431907
2015-09-10,14.2,15.08,14.0,14.44,12747502
2015-09-11,14.28,14.63,14.01,14.36,5195055
2015-09-14,14.45,14.68,12.92,12.92,6948139
2015-09-15,12.3,12.94,11.63,11.88,6676129
2015-09-16,11.91,13.07,11.91,13.07,6195974
2015-09-17,13.0,14.36,12.82,13.55,11947761
2015-09-18,13.8,14.4,13.57,14.23,9136438
2015-09-21,13.7,15.15,13.7,15.09,8144633
2015-09-22,15.02,15.5,14.59,14.89,6613205
2015-09-23,14.49,15.15,14.31,14.53,6544888
2015-09-24,14.5,14.88,14.2,14.69,6325284
2015-09-25,14.51,14.76,13.4,13.54,4824123
2015-09-28,13.66,13.88,13.22,13.81,4068251
2015-09-29,13.4,13.58,13.32,13.49,2894230
2015-09-30,13.6,13.85,13.53,13.68,3475823
2015-10-08,14.48,14.74,14.12,14.5,5950443
2015-10-09,14.35,15.95,14.35,15.95,15838512
2015-10-12,16.42,17.55,16.31,17.55,21769506
2015-10-13,17.2,18.65,16.88,18.44,19283590
2015-10-14,17.92,19.2,17.55,17.64,15202650
2015-10-15,17.56,18.29,17.56,18.26,10572555
2015-10-16,18.21,18.66,17.6,18.13,10861841
2015-10-19,18.09,18.15,17.49,17.94,11365454
2015-10-20,17.99,18.36,17.5,18.32,12491099
2015-10-21,18.21,18.27,16.49,16.49,11021241
2015-10-22,16.4,17.98,15.94,17.81,14126484
2015-10-23,17.64,19.26,17.1,18.92,18010396
2015-10-26,18.9,20.0,18.11,19.16,16600091
2015-10-27,18.94,19.21,17.6,18.75,10430174
2015-10-28,18.25,19.13,17.8,18.04,8596091
2015-10-29,18.2,18.65,17.5,18.08,7658914
2015-10-30,17.87,18.2,17.38,17.76,4891546
2015-11-02,17.3,17.99,17.0,17.16,6003624
2015-11-03,17.48,17.89,17.01,17.63,6054577
2015-11-04,17.35,18.7,17.35,18.68,8986580
2015-11-05,18.5,19.73,18.49,18.9,14069021
2015-11-06,18.91,20.79,18.8,20.79,9737999
2015-11-09,21.84,22.87,20.88,22.24,32260228
2015-11-10,22.0,24.13,21.04,23.17,27462404
2015-11-11,22.67,23.19,22.4,22.62,13630182
2015-11-12,22.62,24.22,22.49,23.37,16429130
2015-11-13,22.75,22.98,21.3,21.48,14289816
2015-11-16,20.88,21.9,20.68,21.66,6953407
2015-11-17,21.77,22.3,21.4,21.69,8053240
2015-11-18,21.69,21.98,20.71,20.87,6565669
2015-11-19,20.72,22.96,20.72,22.96,11922408
2015-11-20,23.7,25.26,23.5,25.26,17992980
2015-11-23,26.5,27.7,25.01,25.45,23568170
2015-11-24,25.5,27.6,24.21,26.59,16369732
2015-11-25,26.22,29.25,26.12,29.25,18853280
2015-11-26,29.0,31.6,28.0,29.65,20068732
2015-11-27,28.86,31.1,26.99,27.71,18683394
2015-11-30,28.0,29.3,26.13,28.68,15389084
2015-12-01,28.75,29.99,26.0,27.2,13958070
2015-12-02,26.8,27.44,24.51,26.07,8765812
2015-12-03,26.04,27.3,25.98,26.49,6852158
2015-12-04,26.39,27.28,26.12,26.83,6649603
2015-12-07,27.0,29.51,27.0,29.06,14510880
2015-12-08,28.6,28.63,27.49,27.68,12144417
2015-12-09,27.2,29.3,26.8,27.91,8460940
2015-12-10,28.3,28.3,26.52,27.0,6531401
2015-12-11,26.77,28.04,26.65,27.46,6026315
2015-12-14,27.0,29.5,27.0,28.81,10003818
2015-12-15,28.6,29.9,28.0,29.32,8507236
2015-12-16,29.2,30.92,28.88,29.41,9425263
2015-12-17,29.57,30.3,29.3,29.79,8787371
2015-12-18,29.4,30.0,28.8,28.98,7292937
2015-12-21,28.9,29.3,28.43,28.81,4910034
2015-12-22,28.85,29.68,28.7,29.32,4400487
2015-12-23,29.5,29.77,28.67,28.72,4909111
2015-12-24,28.7,28.8,27.3,27.92,4775187
2015-12-25,27.95,28.18,27.6,27.73,3209972
2015-12-28,27.9,28.07,26.07,26.13,5319080
2015-12-29,25.76,27.32,25.75,26.8,4911776
2015-12-30,26.84,27.21,26.49,26.71,2599720
2015-12-31,26.71,27.12,26.1,26.16,2825504
2016-01-04,26.16,26.21,23.54,23.6,3654316
2016-01-05,21.24,24.2,21.24,22.18,5953625
2016-01-06,22.11,24.0,22.11,23.69,5060225
2016-01-07,23.16,23.54,21.32,21.32,941697
2016-01-08,22.01,22.8,19.39,22.11,5493730
2016-01-11,21.52,22.68,19.99,20.63,4256100
2016-01-12,20.5,21.37,19.9,20.71,3412307
2016-01-13,21.2,22.42,20.7,21.08,4957680
2016-01-14,20.04,21.98,19.52,21.9,4321759
2016-01-15,21.9,22.16,20.2,20.63,4096034
2016-01-18,18.57,19.98,18.57,19.6,7956982
2016-01-19,19.01,20.46,19.01,20.2,5935325
2016-01-20,20.12,20.2,19.18,19.23,5230808
2016-01-21,18.82,18.97,17.32,17.33,5774783
2016-01-22,17.84,17.89,16.42,17.08,4513289
2016-01-25,17.23,17.66,17.12,17.37,3018741
2016-01-26,17.2,17.22,15.63,15.63,4152164
2016-01-27,15.51,15.76,14.11,14.98,6124039
2016-01-28,14.79,15.7,14.49,14.8,5750066
2016-01-29,14.8,15.55,14.21,15.43,5743498
2016-02-01,15.11,15.22,14.16,14.44,4886675
2016-02-02,14.5,15.14,14.3,15.03,4427315
2016-02-03,15.02,15.88,14.83,15.6,7607734
2016-02-04,15.88,17.16,15.68,17.16,14332618
2016-02-05,17.33,17.65,16.25,16.3,12742305
2016-02-15,15.3,17.5,15.3,16.77,8013749
2016-02-16,16.51,17.3,16.33,17.17,8466989
2016-02-17,16.97,17.16,16.52,17.09,6293652
2016-02-18,17.2,18.21,16.9,17.25,9094029
2016-02-19,17.01,17.36,16.86,17.09,5761970
2016-02-22,17.35,17.75,17.15,17.32,7708221
2016-02-23,17.46,18.18,17.25,18.08,10175171
2016-02-24,17.64,17.94,17.3,17.68,6914237
2016-02-25,17.65,17.94,15.91,15.91,7657251
2016-02-26,16.0,16.27,14.95,15.58,6278979
2016-02-29,15.4,15.51,14.02,14.12,5959483
2016-03-01,14.13,15.53,14.12,15.53,10141942
2016-03-02,15.86,17.02,15.77,16.97,14128390
2016-03-03,17.7,18.4,17.13,17.27,17072637
2016-03-04,17.25,19.0,17.25,19.0,25813884
2016-03-07,19.6,20.5,18.72,19.98,24740542
2016-03-08,19.78,19.79,18.5,19.23,14535080
2016-03-09,18.21,18.46,17.4,17.7,13007004
2016-03-10,17.88,18.97,17.68,18.11,14853286
2016-03-11,17.7,18.48,17.42,18.05,9276147
2016-03-14,18.45,19.2,17.92,18.65,13043355
2016-03-15,18.46,18.46,17.81,17.99,8182952
2016-03-16,17.89,18.47,17.62,17.74,6909293
2016-03-17,18.05,18.87,17.95,18.68,12190542
2016-03-18,18.62,20.55,18.62,20.55,11161550
2016-03-21,21.0,22.53,20.96,22.13,20063918
2016-03-22,21.68,23.38,21.15,21.98,17027314
2016-03-23,21.5,21.96,20.89,21.54,17023399
2016-03-24,20.94,21.19,20.52,20.82,12744642
2016-03-25,20.5,20.99,20.0,20.47,13029578
2016-03-28,20.59,21.3,20.47,20.94,14641380
2016-03-29,20.64,20.8,19.88,20.01,10909123
2016-03-30,20.3,21.6,20.21,21.49,13999495
2016-03-31,21.48,21.7,20.9,21.1,11455284
2016-04-01,21.0,21.96,20.78,21.48,13385239
2016-04-05,22.45,22.98,21.85,22.85,18152763
2016-04-06,22.4,22.7,22.01,22.28,13859571
2016-04-07,21.8,22.28,21.38,21.51,10396446
2016-04-08,21.25,22.43,21.03,21.51,8543977
2016-04-11,21.51,22.3,21.45,21.52,8268469
2016-04-12,21.19,21.49,20.73,21.24,7166946
2016-04-13,21.85,23.36,21.85,22.84,23906476
2016-04-14,22.55,23.16,22.22,22.29,14330885
2016-04-15,22.08,22.4,21.4,21.92,9072324
2016-04-18,21.5,21.51,20.76,21.0,8326956
2016-04-19,21.0,21.36,20.78,21.16,6567885
2016-04-20,21.47,21.76,19.06,19.8,10558309
2016-04-21,19.8,20.68,19.26,19.93,8695919
2016-04-22,19.2,19.62,19.0,19.44,7519943
2016-04-25,19.57,19.68,19.14,19.47,4491182
2016-04-26,19.21,19.65,19.17,19.64,4002874
2016-04-27,19.76,19.84,19.33,19.69,4277783
2016-04-28,19.87,19.87,18.83,19.17,4792803
2016-04-29,19.2,19.89,19.0,19.48,5009724
2016-05-03,19.58,20.76,19.52,20.57,7089544
2016-05-04,20.55,22.51,20.4,21.53,13437708
2016-05-05,21.5,23.61,21.36,23.27,20413022
2016-05-06,23.55,24.59,23.34,23.36,29749881
2016-05-09,22.66,24.98,22.55,24.26,29212769
2016-05-10,23.8,25.5,22.02,24.67,20741220
2016-05-11,25.49,25.76,24.19,24.27,15874894
2016-05-12,23.5,25.66,23.42,25.62,23589171
2016-05-13,26.41,28.18,26.0,28.18,36565772
2016-05-16,27.6,31.0,27.43,31.0,28043752
2016-05-17,32.15,34.0,30.77,31.21,41047177
2016-05-18,30.62,32.2,29.18,30.67,32676796
2016-05-19,30.58,33.55,29.73,33.34,39326558
2016-05-20,32.11,34.38,31.08,31.91,27641559
2016-05-23,31.1,33.32,31.1,32.43,20107159
2016-05-24,32.2,34.87,31.52,34.19,26627689
2016-05-25,33.9,35.5,32.58,33.65,24040204
2016-05-26,33.67,33.95,31.5,33.34,18871788
2016-05-27,32.84,33.81,30.85,30.98,19632344
2016-05-30,30.35,30.7,29.54,29.63,20050796
2016-05-31,30.08,31.6,29.95,31.38,23206976
2016-06-01,31.38,34.07,30.55,32.82,29477804
2016-06-02,32.1,33.97,31.95,32.73,20132140
2016-06-03,31.01,31.42,29.46,29.48,50240105
2016-06-06,28.68,30.38,28.68,30.27,27166240
2016-06-07,30.3,32.49,29.8,31.17,30311533
2016-06-08,30.89,32.3,29.52,31.49,30559404
2016-06-13,30.67,34.64,30.33,33.72,51046455
2016-06-14,33.0,35.87,32.6,34.25,39690652
2016-06-15,33.56,37.68,33.51,37.68,28030462
2016-06-16,38.81,41.45,38.69,41.45,42203115
2016-06-17,42.47,45.6,40.6,42.12,44565686
2016-06-20,41.5,43.15,39.98,41.33,25785359
2016-06-21,41.0,41.98,37.2,37.38,50890637
2016-06-22,37.21,38.8,36.46,38.7,37330654
2016-06-23,38.1,38.38,35.79,37.01,29359159
2016-06-24,36.98,38.39,36.0,37.67,30614287
2016-06-27,37.17,38.38,36.47,38.2,26596264
2016-06-28,37.77,38.64,36.86,37.35,19785460
2016-06-29,37.6,40.5,37.35,38.75,38736402
2016-06-30,38.28,38.6,36.94,37.2,21630319
2016-07-01,36.95,37.8,36.53,37.18,15916534
2016-07-04,36.5,39.5,36.5,38.12,26819603
2016-07-05,38.5,39.0,37.52,38.61,22443596
2016-07-06,38.1,42.3,37.91,41.45,38257649
2016-07-07,43.1,45.6,43.01,45.6,14460093
2016-07-08,48.0,48.35,42.9,43.03,44290676
2016-07-11,42.0,44.85,41.88,43.59,29304997
2016-07-12,43.16,44.9,41.49,42.98,21713204
2016-07-13,43.67,44.77,41.86,43.35,24365471
2016-07-14,43.0,43.28,41.02,42.21,19181697
2016-07-15,42.75,42.75,41.4,41.88,13162893
2016-07-18,41.0,41.45,39.35,39.45,20419099
2016-07-19,39.51,40.43,39.2,40.02,12349284
2016-07-20,40.0,43.2,39.51,42.76,27499725
2016-07-21,42.7,44.5,42.23,43.49,22333118
2016-07-22,43.51,43.51,40.4,40.74,18686745
2016-07-25,39.96,39.96,36.72,37.38,23511590
2016-07-26,37.35,38.3,36.47,37.72,13033740
2016-07-27,37.41,37.97,34.2,34.37,17332341
2016-07-28,34.5,35.8,33.6,34.86,15613035
2016-07-29,35.01,35.99,33.68,35.3,16319590
2016-08-01,34.95,36.35,34.51,35.68,12183849
2016-08-02,35.59,36.29,35.15,35.8,10089519
2016-08-03,35.78,36.1,35.5,35.62,10121210
2016-08-04,35.66,37.87,34.8,37.02,20036436
2016-08-05,36.8,39.5,36.1,38.56,26055958
2016-08-08,37.9,39.15,37.79,38.28,14184368
2016-08-09,38.07,38.95,37.45,38.31,13717662
2016-08-10,38.31,39.99,38.01,39.01,19763050
2016-08-11,38.88,38.88,37.46,37.51,12627420
2016-08-12,37.99,38.68,37.42,37.9,9784343
2016-08-15,37.7,38.66,37.11,38.59,14985428
2016-08-16,39.33,40.49,39.33,40.02,21657979
2016-08-17,39.74,39.99,38.73,39.7,12962239
2016-08-18,39.5,40.5,39.2,39.45,12674470
2016-08-19,39.1,39.4,38.22,38.57,9738729
2016-08-22,38.2,38.55,37.3,37.35,8403598
2016-08-23,37.61,38.25,36.5,37.06,8730050
2016-08-24,37.24,37.3,36.66,36.91,5766246
2016-08-25,36.67,36.67,35.42,35.87,9016491
2016-08-26,36.35,36.4,35.79,35.9,7172945
2016-08-29,35.98,35.98,35.1,35.53,6237851
2016-08-30,35.53,35.53,33.83,34.26,16745887
2016-08-31,34.2,35.62,32.99,35.59,20941146
2016-09-01,35.3,35.65,34.48,34.5,10970461
2016-09-02,34.14,35.18,33.51,33.82,9776243
2016-09-05,34.0,34.74,33.5,34.1,8976012
2016-09-06,34.25,35.6,34.21,35.29,14691693
2016-09-07,35.29,36.1,34.82,34.91,11780503
2016-09-08,34.98,35.25,34.56,35.03,5648390
2016-09-09,35.0,36.1,35.0,35.37,12116640
2016-09-12,34.3,34.32,32.87,32.9,11599553
2016-09-13,33.1,33.45,32.0,32.38,8983089
2016-09-14,32.3,32.3,31.4,31.69,7893219
2016-09-19,31.67,31.98,31.52,31.85,5182408
2016-09-20,31.8,31.9,30.68,31.33,11450521
2016-09-21,31.03,31.9,31.03,31.52,8074238
2016-09-22,31.98,31.98,31.1,31.15,6316711
2016-09-23,30.12,30.71,28.7,28.92,20674008
2016-09-26,28.74,28.74,27.55,28.1,15548413
2016-09-27,28.0,28.5,27.74,28.38,12373162
2016-09-28,28.24,28.34,27.91,27.97,6554159
2016-09-29,27.98,28.34,27.43,27.56,8474203
2016-09-30,27.45,27.5,26.99,27.42,10053838
2016-10-10,27.55,28.5,27.41,28.47,11308106
2016-10-11,28.48,28.67,28.03,28.23,8362483
2016-10-12,28.5,30.46,28.24,29.74,22916070
2016-10-13,29.6,30.26,29.16,29.82,13436564
2016-10-14,29.68,29.75,29.12,29.42,8548565
2016-10-17,29.46,30.66,29.44,29.82,16935678
2016-10-18,29.6,30.79,29.21,30.41,16194002
2016-10-19,30.89,31.21,29.99,30.28,10353769
2016-10-20,30.06,30.75,30.0,30.12,8362393
2016-10-21,30.21,30.26,29.08,29.24,9412668
2016-10-24,29.06,29.49,28.7,29.33,8064993
2016-10-25,29.3,29.98,29.29,29.93,7877483
2016-10-26,30.2,30.4,29.35,29.51,8819244
