date,open,high,low,close,volume
2002-11-07,20.88,21.5,19.98,20.33,13795949
2002-11-08,20.5,20.74,19.55,19.56,4376983
2002-11-11,19.38,19.7,18.98,19.19,2132049
2002-11-12,19.3,19.68,19.03,19.3,1775639
2002-11-13,19.41,19.45,18.38,18.84,2102336
2002-11-14,18.84,19.38,18.45,18.7,2019439
2002-11-15,18.6,19.25,18.51,18.88,1512341
2002-11-18,18.98,19.08,18.75,18.79,677923
2002-11-19,18.81,18.92,18.38,18.57,928649
2002-11-20,18.51,18.51,17.78,17.95,1567577
2002-11-21,17.77,17.85,17.03,17.04,1340103
2002-11-22,17.05,17.35,16.51,16.85,1260869
2002-11-25,16.75,17.0,16.61,16.85,412185
2002-11-26,16.95,16.97,15.81,15.86,1172738
2002-11-27,15.55,15.99,15.5,15.88,1055904
2002-11-28,15.82,16.4,15.76,16.37,946080
2002-11-29,16.44,16.92,16.11,16.47,1715826
2002-12-02,16.48,16.48,15.78,15.81,633045
2002-12-03,15.8,16.15,15.77,16.04,417332
2002-12-04,16.08,16.64,16.0,16.28,910718
2002-12-05,16.18,16.27,15.94,16.08,394001
2002-12-06,16.08,16.42,16.03,16.17,425389
2002-12-09,16.01,16.2,16.0,16.05,221756
2002-12-10,16.04,16.18,15.7,15.72,411213
2002-12-11,15.7,15.95,15.66,15.89,306743
2002-12-12,15.8,16.28,15.8,15.88,255677
2002-12-13,15.68,16.09,15.5,16.02,399899
2002-12-16,16.02,16.18,15.83,16.1,302441
2002-12-17,16.1,16.29,16.04,16.21,354241
2002-12-18,16.2,16.59,16.16,16.33,978876
2002-12-19,16.28,16.36,16.2,16.3,246442
2002-12-20,16.27,16.45,16.26,16.38,304911
2002-12-23,16.39,16.48,16.28,16.3,344000
2002-12-24,16.3,16.3,16.1,16.2,354151
2002-12-25,16.2,16.25,16.05,16.1,341750
2002-12-26,16.01,16.07,15.66,15.68,700145
2002-12-27,15.51,15.7,15.41,15.57,527689
2002-12-30,15.5,15.5,15.35,15.38,528092
2002-12-31,15.38,15.47,15.17,15.19,317425
2003-01-02,15.1,15.13,14.8,14.81,468595
2003-01-03,14.7,14.85,14.5,14.72,241544
2003-01-06,14.7,14.74,14.36,14.68,288160
2003-01-07,14.68,14.98,14.52,14.65,298268
2003-01-08,14.58,15.2,14.52,15.09,336770
2003-01-09,15.28,15.47,15.02,15.33,591685
2003-01-10,15.35,15.4,15.07,15.11,476397
2003-01-13,15.0,15.22,14.9,15.18,284769
2003-01-14,15.15,16.2,15.15,16.15,1383747
2003-01-15,16.2,16.35,15.9,15.98,1262856
2003-01-16,15.96,16.8,15.88,16.58,1160351
2003-01-17,16.7,16.95,16.51,16.6,1257759
2003-01-20,16.6,16.68,16.36,16.47,478394
2003-01-21,17.0,17.1,16.3,16.31,751184
2003-01-22,16.3,16.39,16.01,16.24,295740
2003-01-23,16.25,16.8,16.15,16.22,274473
2003-01-24,16.02,16.4,16.02,16.4,290444
2003-01-27,16.5,16.78,16.45,16.62,489865
2003-01-28,16.66,16.94,16.52,16.84,662456
2003-01-29,16.82,17.1,16.7,16.86,688485
2003-02-10,16.8,16.9,16.48,16.5,244250
2003-02-11,16.4,16.6,16.0,16.6,152664
2003-02-12,16.4,16.84,16.4,16.8,249097
2003-02-13,16.8,16.87,16.54,16.55,271099
2003-02-14,16.55,16.68,16.51,16.57,197030
2003-02-17,16.55,16.78,16.4,16.45,284844
2003-02-18,16.5,16.61,16.33,16.43,185053
2003-02-19,16.43,16.49,16.3,16.49,137851
2003-02-20,16.5,16.61,16.5,16.55,143069
2003-02-21,16.52,16.54,16.13,16.17,320416
2003-02-24,16.03,16.73,16.03,16.69,734374
2003-02-25,16.71,17.3,16.71,17.15,1968914
2003-02-26,17.3,17.45,17.13,17.21,820417
2003-02-27,17.1,17.38,17.1,17.16,496583
2003-02-28,16.8,17.09,16.61,16.92,868892
2003-03-03,16.92,17.6,16.92,17.5,1527290
2003-03-04,17.51,17.6,17.29,17.41,528428
2003-03-05,17.4,17.41,17.05,17.13,423091
2003-03-06,17.13,17.16,16.75,16.77,436160
2003-03-07,16.75,17.08,16.72,16.85,375593
2003-03-10,16.85,17.28,16.82,16.99,759221
2003-03-11,16.95,17.55,16.91,17.36,1748825
2003-03-12,17.3,17.99,17.1,17.97,2314098
2003-03-13,18.0,18.07,17.6,17.66,1379875
2003-03-14,17.66,17.8,17.55,17.77,626156
2003-03-17,17.8,17.84,17.32,17.59,724024
2003-03-18,17.51,17.7,17.1,17.16,514533
2003-03-19,17.05,17.37,17.05,17.3,518227
2003-03-20,17.3,17.45,17.0,17.1,351983
2003-03-21,17.1,17.41,17.08,17.4,351922
2003-03-24,17.4,17.75,17.31,17.75,598737
2003-03-25,17.75,17.78,17.31,17.32,532835
2003-03-26,17.3,17.3,17.02,17.06,457571
2003-03-27,17.06,17.77,16.75,17.53,908114
2003-03-28,17.45,17.5,17.15,17.16,566600
2003-03-31,17.15,17.16,16.95,17.1,496670
2003-04-02,17.28,17.28,17.0,17.09,276931
2003-04-03,17.08,17.29,17.01,17.06,319656
2003-04-04,17.01,17.13,17.01,17.04,247263
2003-04-07,17.05,17.2,16.7,16.72,625711
2003-04-08,16.7,16.78,16.28,16.34,873982
2003-04-09,16.25,16.67,16.22,16.57,556816
2003-04-10,16.6,16.63,16.29,16.44,582968
2003-04-11,16.45,16.67,16.4,16.64,521014
2003-04-14,16.65,16.99,16.65,16.88,636278
2003-04-15,16.9,17.26,16.7,17.25,822094
2003-04-16,17.35,17.55,16.79,16.87,1011841
2003-04-17,16.84,17.0,16.58,16.77,494750
2003-04-18,16.77,16.77,16.51,16.51,436200
2003-04-21,16.41,16.48,16.25,16.29,483686
2003-04-22,16.25,16.48,16.25,16.3,167500
2003-04-23,16.3,16.43,16.3,16.33,224770
2003-04-24,16.35,16.39,15.91,16.0,337562
2003-04-25,15.51,15.85,14.71,14.78,834879
2003-04-28,14.7,14.84,13.95,14.78,1410615
2003-04-29,14.78,14.78,14.0,14.35,1316752
2003-04-30,14.35,14.72,14.3,14.67,591153
2003-05-12,14.75,14.8,14.21,14.24,366100
2003-05-13,14.24,14.24,13.66,13.66,684913
2003-05-14,13.6,14.15,13.5,14.04,353083
2003-05-15,14.32,14.75,14.2,14.5,1006004
2003-05-16,14.68,15.15,14.4,14.56,464796
2003-05-19,14.49,14.65,14.46,14.58,262681
2003-05-20,14.63,14.65,14.35,14.42,189296
2003-05-21,14.4,14.58,14.4,14.52,159290
2003-05-22,14.52,14.53,14.41,14.46,137448
2003-05-23,14.45,14.65,14.42,14.56,297126
2003-05-26,14.62,14.84,14.62,14.82,260280
2003-05-27,14.52,14.68,14.35,14.54,204650
2003-05-28,14.54,14.98,14.54,14.76,561901
2003-05-29,14.8,15.06,14.62,15.06,490831
2003-05-30,15.08,15.25,14.95,15.2,436834
2003-06-02,15.3,15.8,15.01,15.6,858962
2003-06-03,15.6,15.6,15.25,15.25,368960
2003-06-04,15.15,15.58,15.05,15.44,669440
2003-06-05,15.4,15.56,15.11,15.17,374039
2003-06-06,15.0,15.54,14.95,14.99,381846
2003-06-09,14.9,15.09,14.85,14.93,193764
2003-06-10,14.86,15.04,14.85,14.89,192615
2003-06-11,14.91,15.19,14.9,15.15,192908
2003-06-12,15.15,15.5,15.15,15.43,525169
2003-06-13,15.48,15.74,15.14,15.54,611961
2003-06-16,15.55,15.65,15.32,15.34,216101
2003-06-17,15.3,15.34,15.15,15.18,157807
2003-06-18,15.2,15.3,15.05,15.14,123100
2003-06-19,15.1,15.3,14.8,14.81,302910
2003-06-20,14.91,15.01,14.8,14.83,202600
2003-06-23,14.8,14.85,14.75,14.83,142902
2003-06-24,14.85,14.91,14.7,14.81,137500
2003-06-25,14.82,14.95,14.7,14.72,102700
2003-06-26,14.65,14.73,14.4,14.7,329885
2003-06-27,14.7,14.7,14.56,14.58,114450
2003-06-30,14.5,14.5,14.27,14.28,168700
2003-07-01,14.25,14.41,14.25,14.28,71200
2003-07-02,14.28,14.46,14.21,14.46,105343
2003-07-03,14.43,14.55,14.31,14.4,83400
2003-07-04,14.4,14.46,14.36,14.41,98100
2003-07-07,14.45,14.45,14.27,14.32,214893
2003-07-08,14.25,14.42,14.2,14.4,84521
2003-07-09,14.4,14.47,14.31,14.33,39000
2003-07-10,14.31,14.7,14.3,14.69,154986
2003-07-11,14.66,14.69,14.44,14.47,120328
2003-07-14,14.58,14.66,14.38,14.39,101216
2003-07-15,14.3,14.5,14.3,14.36,72626
2003-07-16,14.4,14.4,14.2,14.22,191350
2003-07-17,14.22,14.24,13.97,13.98,673776
2003-07-18,13.96,14.17,13.9,13.97,310308
2003-07-21,13.9,14.03,13.78,13.85,334428
