date,open,high,low,close,volume
2004-06-25,40.0,48.0,36.01,39.09,20724512
2004-06-28,35.19,36.0,35.18,35.18,1203800
2004-06-29,31.66,31.66,31.66,31.66,300800
2004-06-30,28.49,30.7,28.49,29.0,9452251
2004-07-01,29.27,30.01,28.0,28.3,5154020
2004-07-02,28.36,29.18,25.8,27.62,5684703
2004-07-05,27.81,28.5,26.93,28.0,3505852
2004-07-06,27.61,28.61,27.53,27.7,2586061
2004-07-07,27.5,27.6,26.42,26.58,2270982
2004-07-08,26.4,27.23,26.3,26.65,1461015
2004-07-09,26.7,27.19,25.98,26.03,1541765
2004-07-12,25.8,25.81,23.98,24.15,3082854
2004-07-13,24.0,24.38,22.96,23.84,1789000
2004-07-14,24.0,24.08,22.8,23.59,1994050
2004-07-15,24.5,25.38,24.38,24.4,2484298
2004-07-16,24.39,26.6,24.17,26.1,3884737
2004-07-19,25.85,26.43,25.6,25.77,1859893
2004-07-20,25.8,26.48,25.6,26.2,1651361
2004-07-21,26.15,27.15,25.81,25.85,2042503
2004-07-22,25.8,26.28,24.2,24.47,2043431
2004-07-23,24.4,25.34,24.08,25.29,1487690
2004-07-26,24.98,24.98,23.82,24.26,1176755
2004-07-27,24.2,24.67,23.35,23.83,1103150
2004-07-28,23.87,26.21,23.87,26.21,2710051
2004-07-29,26.49,27.81,26.25,26.9,3574137
2004-07-30,26.8,27.5,26.56,26.83,2143649
2004-08-02,26.8,27.86,26.6,27.05,2520590
2004-08-03,27.3,28.78,27.11,27.96,3625188
2004-08-04,27.9,28.24,27.32,28.02,2476068
2004-08-05,28.0,28.29,27.52,27.75,1785254
2004-08-06,27.5,27.5,24.98,24.98,5311998
2004-08-09,24.0,24.0,22.85,23.19,3313012
2004-08-10,23.1,23.74,23.1,23.49,1359089
2004-08-11,23.45,23.45,22.35,22.5,2325461
2004-08-12,22.2,22.8,21.88,22.34,1074994
2004-08-13,22.3,22.85,22.2,22.55,732555
2004-08-16,22.23,22.49,20.3,20.3,2067556
2004-08-17,20.0,20.76,19.61,20.11,1258624
2004-08-18,20.16,20.3,19.52,19.59,1029893
