date,open,high,low,close,volume
2010-08-31,76.0,85.16,75.01,83.05,16916684
2010-09-01,80.8,86.9,77.55,81.61,11063449
2010-09-02,79.0,82.38,77.77,80.5,6224740
2010-09-03,80.0,88.55,79.0,88.55,5257940
2010-09-06,92.0,93.77,81.75,83.7,8470302
2010-09-07,83.01,87.77,83.01,85.43,5154665
2010-09-08,84.0,86.22,80.8,83.53,4564308
2010-09-09,84.0,84.99,81.3,81.44,3927319
2010-09-10,80.45,81.42,76.19,77.05,4525120
2010-09-13,76.34,79.0,73.37,78.4,3875226
2010-09-14,77.0,79.2,76.5,76.8,2733555
2010-09-15,75.99,75.99,71.18,71.47,3275148
2010-09-16,70.92,73.59,70.9,72.17,1918043
2010-09-17,72.3,72.95,66.68,67.3,2444236
2010-09-20,67.1,68.19,63.88,65.82,2284153
2010-09-21,65.48,65.5,62.5,62.74,1767158
2010-09-27,62.74,66.25,62.7,65.88,1991782
2010-09-28,65.78,67.47,64.09,66.02,2185503
2010-09-29,65.56,72.26,65.08,68.92,3253342
2010-09-30,68.0,70.45,67.3,69.1,1779194
2010-10-08,70.87,72.9,69.5,70.4,2284001
2010-10-11,70.29,71.88,68.33,68.85,2259326
2010-10-12,68.29,69.7,67.61,68.98,1587966
2010-10-13,68.49,69.29,65.55,67.9,2392525
2010-10-14,67.98,67.98,64.18,64.39,1832243
2010-10-15,63.8,68.88,63.3,67.0,2406297
2010-10-18,67.0,67.0,63.82,64.0,1698968
2010-10-19,64.21,67.03,64.21,66.72,1526243
2010-10-20,65.0,69.7,64.64,68.7,2444287
2010-10-21,68.11,69.25,67.1,67.76,1503644
2010-10-22,67.7,69.5,67.11,68.89,1898840
2010-10-25,68.9,70.54,68.9,70.17,2149221
2010-10-26,70.68,72.99,69.13,72.1,2873779
2010-10-27,71.71,71.75,68.13,69.91,2739535
2010-10-28,69.0,70.18,68.51,68.9,1022119
2010-10-29,68.81,69.9,68.59,69.4,991305
2010-11-01,69.4,72.8,69.16,71.72,2150389
2010-11-02,71.99,72.56,70.16,70.16,2364771
2010-11-03,69.5,70.0,66.29,66.29,1984088
2010-11-04,66.4,67.25,65.8,66.9,1199196
2010-11-05,67.88,68.25,67.0,67.45,1289440
2010-11-08,67.5,69.2,67.0,68.9,1352788
2010-11-09,69.5,69.91,68.6,69.44,1186665
2010-11-10,69.3,70.88,68.5,70.85,1652831
2010-11-11,70.8,70.99,69.5,69.5,1712283
2010-11-12,69.4,69.4,62.56,63.2,2343990
2010-11-15,63.15,64.8,63.15,64.69,1032035
2010-11-16,64.71,66.39,62.78,63.75,1118818
2010-11-17,63.69,64.69,62.52,62.88,722045
2010-11-18,63.85,65.36,63.75,64.6,821065
2010-11-19,65.36,65.67,64.45,65.59,886693
2010-11-22,65.18,66.79,64.8,66.03,1001059
2010-11-24,65.0,67.12,64.33,66.94,1259982
2010-11-25,66.95,67.97,66.12,66.64,930628
2010-11-26,66.6,66.6,64.88,65.1,818486
2010-11-29,65.65,66.6,65.02,65.83,829875
2010-11-30,65.1,65.49,62.8,63.95,901816
2010-12-01,63.15,63.15,59.98,60.7,3055940
2010-12-02,61.17,62.0,60.3,61.49,1789854
2010-12-03,61.25,61.54,60.0,60.61,1170202
2010-12-06,60.81,61.06,58.68,59.08,1304271
2010-12-07,59.08,59.49,57.08,59.2,1129032
2010-12-08,58.6,60.4,58.51,59.48,1276308
2010-12-09,59.0,60.98,58.76,60.07,1114609
2010-12-10,59.77,60.19,58.05,59.52,1004471
2010-12-13,58.1,60.7,58.1,60.49,1295762
2010-12-14,60.5,62.72,60.31,62.38,1776067
2010-12-15,62.33,63.0,61.18,61.3,1449557
2010-12-16,61.1,61.3,60.5,60.8,855150
2010-12-17,60.8,61.35,60.5,60.87,610911
2010-12-20,61.0,61.6,58.5,59.68,935207
2010-12-21,58.81,60.86,58.81,60.39,714312
2010-12-22,60.19,61.27,59.5,59.71,686616
2010-12-23,59.71,59.9,58.22,58.3,693366
2010-12-24,58.28,58.3,56.3,56.55,871221
2010-12-27,56.52,57.49,54.83,54.83,888636
2010-12-28,54.53,54.99,52.18,52.18,957664
2010-12-29,52.5,53.49,52.01,53.49,555755
2010-12-31,53.49,55.48,53.03,55.13,782837
2011-01-04,55.55,55.59,54.62,55.29,666149
