date,open,high,low,close,volume
2007-12-28,46.0,49.0,41.5,41.92,12222442
2008-01-02,38.83,41.0,38.65,40.17,6140985
2008-01-03,39.47,39.9,38.5,39.24,3119371
2008-01-04,39.24,43.16,39.0,43.16,5520705
2008-01-07,43.99,47.48,43.51,46.13,7333079
2008-01-08,46.05,47.1,44.6,45.47,3750764
2008-01-09,44.94,45.99,44.58,45.46,2222365
2008-01-10,45.61,46.46,44.71,44.74,2204019
2008-01-11,44.6,44.98,42.98,43.73,2445712
2008-01-14,43.73,44.75,43.5,44.04,1272559
2008-01-15,44.01,44.01,42.0,42.66,2624871
2008-01-16,42.51,42.51,40.7,40.77,1595211
2008-01-17,40.17,42.09,40.17,41.99,1526869
2008-01-18,41.77,42.69,41.22,42.0,1007904
2008-01-21,40.02,41.3,38.65,39.21,1029172
2008-01-22,38.66,38.66,35.29,35.29,1294027
2008-01-23,34.2,36.31,33.81,36.0,1453683
2008-01-24,36.18,36.32,34.22,35.11,1208247
2008-01-25,35.11,38.62,34.01,38.62,2366547
2008-01-28,38.48,38.48,34.76,34.95,1652977
2008-01-29,34.4,36.89,34.4,36.22,880365
2008-01-30,36.8,36.99,34.58,35.68,733689
2008-01-31,35.06,36.7,34.88,35.83,723781
2008-02-01,36.27,36.38,32.5,33.25,895455
2008-02-04,33.75,36.15,33.75,36.11,1059713
2008-02-05,35.6,35.75,34.6,34.96,667701
2008-02-13,35.5,35.5,34.2,34.75,382110
2008-02-14,34.75,35.44,34.75,35.15,443849
2008-02-15,35.0,35.0,33.41,34.19,619061
2008-02-18,34.4,35.2,34.02,34.6,647408
2008-02-19,34.6,35.68,34.05,35.66,917343
2008-02-20,35.88,35.88,34.4,34.45,950725
2008-02-21,34.0,34.15,33.3,33.63,815526
2008-02-22,33.45,33.45,32.0,32.06,838092
2008-02-25,32.12,32.88,29.59,29.66,759128
2008-02-26,30.03,31.45,29.6,30.26,622231
2008-02-27,30.4,32.19,30.0,31.75,710283
2008-02-28,31.78,31.78,30.56,30.86,394562
2008-02-29,30.9,31.45,30.6,30.89,499819
2008-03-03,30.6,31.98,29.6,31.41,713979
2008-03-04,31.41,31.75,29.88,30.0,964400
2008-03-05,29.8,30.58,29.25,29.55,655935
2008-03-06,29.56,31.89,29.02,30.62,1190154
2008-03-07,30.29,30.29,29.55,29.8,477777
2008-03-10,29.18,29.98,29.1,29.43,504979
2008-03-11,29.43,29.67,28.7,29.29,410235
2008-03-12,29.53,30.0,27.02,27.18,610114
2008-03-13,27.07,27.07,24.78,25.27,944972
2008-03-14,25.08,25.97,25.0,25.58,495556
2008-03-17,25.53,25.99,24.45,24.56,699620
2008-03-18,24.15,24.8,22.1,22.1,800252
2008-03-19,22.7,23.39,22.12,22.58,700515
2008-03-20,22.2,23.03,20.32,22.6,1270474
2008-03-21,22.55,23.9,21.63,23.23,1201514
2008-03-24,23.29,23.6,21.6,21.61,853731
2008-03-25,20.97,21.82,20.0,21.3,696658
2008-03-26,21.74,22.15,21.31,21.42,555166
2008-03-28,19.5,22.0,19.33,21.65,1345978
2008-03-31,20.2,21.13,19.71,19.77,866254
2008-04-01,19.69,20.54,17.79,17.79,1000802
2008-04-02,18.0,18.53,16.37,16.99,1551976
2008-04-03,16.5,17.84,15.9,17.51,1963238
2008-04-07,17.1,19.26,16.94,19.26,3123258
2008-04-08,20.69,21.19,19.98,21.19,8413647
2008-04-09,21.0,22.5,20.35,21.53,8013182
2008-04-11,21.63,22.5,20.41,20.93,3855776
2008-04-14,20.0,20.45,18.84,18.89,2776807
2008-04-15,18.88,20.78,18.61,20.78,3099904
2008-04-16,20.95,21.45,20.02,20.86,4103411
2008-04-17,20.55,21.5,20.23,21.12,2394137
2008-04-18,20.85,21.4,19.68,20.08,2189507
2008-04-21,22.0,22.09,21.68,22.09,5685224
2008-04-22,22.3,24.3,20.9,24.3,8507514
2008-04-23,24.55,26.73,24.0,25.72,12793900
2008-04-24,28.29,28.29,28.29,28.29,1700082
2008-04-25,28.8,31.12,28.2,31.08,11459732
2008-04-28,30.0,30.7,28.7,28.74,10233292
2008-04-29,27.75,31.39,26.7,31.11,11423768
2008-04-30,29.99,33.2,29.27,31.32,11233887
2008-05-05,31.0,31.88,29.6,30.71,6889554
2008-05-06,30.3,33.58,28.7,31.67,9617684
2008-05-07,30.5,32.0,28.8,28.85,5429299
2008-05-08,28.19,29.79,27.58,28.79,4260933
2008-05-09,29.0,29.49,26.95,27.83,3472024
2008-05-12,26.6,30.61,26.2,29.94,6964172
2008-05-13,28.5,29.6,28.0,28.0,4567691
2008-05-14,27.9,29.46,27.5,28.54,3274367
2008-05-15,28.66,30.2,28.6,28.84,3355090
2008-05-16,28.6,31.0,28.0,30.78,6995203
2008-05-19,30.3,31.53,29.96,30.95,5393147
2008-05-20,30.3,31.48,27.86,27.96,4209645
2008-05-21,27.43,29.5,25.2,28.6,4400764
2008-05-22,27.75,28.54,27.05,27.06,2747287
2008-05-23,26.71,27.5,25.52,26.05,2059986
2008-05-26,25.78,25.79,23.45,23.45,2453690
2008-05-27,22.97,25.59,22.92,25.12,3878240
2008-05-28,24.6,26.97,24.16,26.22,4084138
2008-05-29,25.7,27.34,24.79,24.8,3325973
2008-05-30,24.69,26.58,24.35,26.42,3930745
2008-06-02,26.2,27.34,25.31,26.23,3796185
2008-06-03,25.75,26.25,25.0,25.37,2380777
2008-06-04,25.37,25.83,25.02,25.4,1394669
2008-06-05,25.2,26.29,24.8,25.48,2172875
2008-06-06,25.38,26.28,25.3,25.67,1960247
2008-06-10,24.7,25.0,23.1,23.11,2457547
2008-06-11,22.4,24.55,22.28,24.24,2660356
2008-06-12,23.76,24.24,22.0,22.86,2311184
2008-06-13,23.1,23.54,21.0,21.07,1512268
2008-06-16,20.58,21.49,19.0,19.67,2046577
2008-06-17,19.19,19.93,17.7,17.7,2011302
2008-06-18,17.5,19.38,16.03,19.34,3558437
2008-06-19,18.81,20.18,17.41,17.41,3667877
2008-06-20,17.0,19.15,15.97,19.03,5216208
2008-06-23,17.86,18.8,17.8,18.0,3442058
2008-06-24,17.82,19.14,17.62,18.67,3468616
2008-06-25,18.5,20.0,18.4,19.58,4145332
