date,open,high,low,close,volume
2009-09-10,42.0,45.0,39.9,40.95,26589336
2009-09-11,41.69,45.05,41.68,45.05,11996077
2009-09-14,46.5,48.6,44.1,46.05,17781536
2009-09-15,45.0,45.88,43.8,44.0,9553692
2009-09-16,43.51,47.96,43.51,46.25,9505390
2009-09-17,46.3,47.79,45.45,47.45,6971302
2009-09-18,47.08,51.95,47.08,48.98,8602109
2009-09-21,48.3,51.58,47.0,50.0,7885046
2009-09-22,49.08,50.03,46.45,46.45,6066724
2009-09-23,46.2,47.5,44.53,45.6,5588915
2009-09-24,45.12,46.17,43.52,44.3,3915503
2009-09-25,44.01,45.27,43.68,44.51,2713847
2009-09-28,45.61,46.77,42.22,42.98,3672939
2009-09-29,42.51,42.98,38.68,39.58,4692075
2009-09-30,40.23,40.51,39.0,39.08,3218865
2009-10-09,39.8,41.39,39.4,41.06,3406147
2009-10-12,41.18,41.44,39.63,40.53,2612742
2009-10-13,40.13,42.49,40.13,42.21,3119930
2009-10-14,41.88,43.46,41.76,41.9,3806368
2009-10-16,42.1,43.34,41.9,42.72,2750343
2009-10-19,42.73,44.88,42.62,44.3,3075500
2009-10-20,44.5,46.66,43.71,46.45,4349935
2009-10-21,45.8,46.6,44.8,44.9,3095694
2009-10-22,45.49,49.0,45.0,47.47,5269552
2009-10-23,47.85,48.78,47.0,47.47,4172671
2009-10-26,47.55,49.6,47.5,47.88,3421316
2009-10-27,46.9,46.9,44.33,44.5,4545545
2009-10-28,44.21,46.4,43.62,46.31,3238344
2009-10-29,45.12,46.14,44.51,44.85,2896943
2009-10-30,45.71,46.49,43.62,43.9,5368860
2009-11-02,41.8,43.87,41.03,43.65,3241882
2009-11-03,43.6,44.48,43.5,43.95,2108358
2009-11-04,44.0,44.97,43.58,44.6,2119280
2009-11-05,44.89,44.9,44.15,44.5,1918491
2009-11-06,44.7,44.99,44.16,44.17,2239461
2009-11-09,44.1,44.12,43.01,43.96,2010721
