date,open,high,low,close,volume
1994-01-28,10.5,10.5,9.02,9.05,5925200
1994-01-31,8.6,8.8,7.9,8.5,5867700
1994-02-01,8.3,8.75,8.21,8.32,3912500
1994-02-02,8.35,9.07,8.35,9.04,7309800
1994-02-03,9.09,9.75,9.08,9.56,11884400
1994-02-04,9.66,10.3,9.44,10.22,11559300
1994-02-14,10.97,12.77,10.84,11.8,17799300
1994-02-15,11.95,12.14,11.0,11.33,11095700
1994-02-16,11.46,11.75,11.2,11.31,6245400
1994-02-18,11.0,11.0,10.51,10.58,5759100
1994-02-21,10.7,10.75,10.03,10.17,3424200
1994-02-22,10.03,11.58,10.0,11.5,17734400
1994-02-23,11.68,11.7,11.04,11.19,10542300
1994-02-24,11.2,12.1,10.8,12.0,12705800
1994-02-25,12.48,13.98,12.38,13.77,35232200
1994-02-28,13.73,14.63,13.04,13.07,27987900
1994-03-02,12.0,12.87,11.83,12.06,18948000
1994-03-03,12.11,12.77,11.88,12.17,8589800
1994-03-04,12.27,12.65,12.2,12.63,8748700
1994-03-07,10.15,10.72,9.9,10.72,10900100
1994-03-08,11.32,12.25,10.88,12.16,35270100
1994-03-09,12.48,13.25,11.81,12.75,30579000
1994-03-10,12.5,12.7,11.3,11.55,19888300
1994-03-11,11.45,12.48,11.32,12.35,16149600
1994-03-14,13.36,13.7,12.85,13.2,27437600
1994-03-15,13.2,13.2,12.5,12.65,8726800
1994-03-16,12.6,13.46,12.55,13.19,11985800
1994-03-17,13.3,13.3,12.5,12.55,6407700
1994-03-18,12.48,12.88,11.92,12.4,9700800
1994-03-21,11.99,12.6,11.88,12.1,10563800
1994-03-22,12.2,12.31,12.03,12.23,3787500
1994-03-23,12.2,12.2,11.61,11.72,5299500
1994-03-24,11.52,12.18,11.35,11.5,4748900
1994-03-25,11.65,11.73,11.28,11.38,4914300
1994-03-28,11.0,11.3,10.88,11.06,3699100
1994-03-29,11.2,12.37,11.06,11.88,17465700
1994-03-30,12.1,12.17,11.41,11.5,7195800
1994-03-31,11.5,11.66,11.31,11.4,3229700
1994-04-01,11.45,11.67,11.2,11.45,2250200
1994-04-04,11.5,11.58,11.24,11.28,1775900
1994-04-05,11.3,11.5,11.15,11.24,1431400
1994-04-06,11.24,11.38,11.1,11.18,1283600
1994-04-07,11.2,11.29,11.01,11.08,1258500
1994-04-08,11.1,11.2,11.01,11.15,1216600
1994-04-11,11.06,11.23,11.01,11.01,1160800
1994-04-12,11.03,11.39,11.03,11.28,2415800
1994-04-13,11.41,11.42,11.02,11.3,2868100
1994-04-14,11.2,11.24,10.7,10.9,2534200
1994-04-15,10.7,10.79,9.62,10.6,5234300
1994-04-18,10.48,10.48,10.01,10.08,2218200
1994-04-19,9.89,10.1,9.38,9.38,1643600
1994-04-20,9.16,9.59,8.84,9.0,5090400
1994-04-21,9.05,10.48,9.05,10.4,8728500
1994-04-22,10.28,10.67,9.82,9.9,12311100
1994-04-25,9.9,10.1,9.58,9.6,2521800
1994-04-26,9.88,10.19,9.7,10.09,2837200
1994-04-27,10.2,10.26,10.05,10.22,3438000
1994-04-28,10.31,10.47,9.8,9.9,4028400
1994-04-29,9.88,10.09,9.65,9.76,2265400
1994-05-03,9.76,9.95,9.67,9.95,993000
1994-05-04,10.1,10.35,9.9,10.28,3305900
1994-05-05,10.15,10.17,9.7,9.72,2377200
1994-05-06,9.72,9.8,9.29,9.45,1722100
1994-05-09,9.4,9.68,9.32,9.45,1511700
1994-05-10,9.5,9.6,9.41,9.58,916900
1994-05-11,9.7,9.97,9.6,9.6,2290200
1994-05-12,9.4,9.6,9.34,9.4,1070300
1994-05-13,9.2,9.55,9.2,9.55,764600
1994-05-16,9.56,9.74,9.45,9.55,1028200
1994-05-17,9.61,9.89,9.59,9.64,2391200
1994-05-18,9.75,9.75,9.38,9.38,679700
1994-05-19,9.31,9.49,9.25,9.42,491000
1994-05-20,9.5,9.6,9.4,9.44,398400
1994-05-23,9.4,9.44,9.2,9.2,364200
1994-05-24,9.25,9.4,9.22,9.27,298100
1994-05-25,9.31,9.33,9.18,9.23,365200
1994-05-26,9.2,9.25,9.0,9.04,583100
1994-05-27,8.98,9.05,8.85,8.88,638200
1994-05-30,8.78,8.78,8.17,8.18,715500
1994-05-31,8.15,8.45,8.13,8.45,697000
1994-06-01,8.45,8.45,8.21,8.21,482800
1994-06-02,8.18,8.25,8.15,8.2,297900
1994-06-03,8.23,8.38,8.17,8.2,420700
1994-06-06,8.22,8.22,7.93,7.97,424400
1994-06-07,7.9,7.9,7.58,7.6,618400
1994-06-08,7.5,8.4,7.42,8.2,3293600
1994-06-09,8.3,8.68,7.8,7.81,6160900
1994-06-10,7.8,8.04,7.65,7.74,1846200
1994-06-13,7.6,7.94,7.57,7.69,1365700
1994-06-14,7.71,8.1,7.71,7.81,2436500
1994-06-15,7.95,8.06,7.88,7.95,1149200
1994-06-16,8.05,8.09,7.84,8.09,1080000
1994-06-17,8.15,8.54,8.0,8.43,2840000
1994-06-20,8.39,8.49,7.81,7.88,2416100
1994-06-21,7.7,7.93,7.68,7.8,1037100
1994-06-22,7.85,8.0,7.8,7.94,407500
1994-06-23,8.0,8.01,7.76,7.79,584800
1994-06-24,7.75,7.79,7.62,7.67,556700
1994-06-27,7.5,7.56,7.31,7.35,1102500
1994-06-28,7.32,7.44,7.32,7.39,297700
1994-06-29,7.35,7.49,7.25,7.3,340100
1994-06-30,7.28,7.39,7.12,7.37,413300
1994-07-01,7.4,7.4,7.15,7.18,447600
1994-07-04,6.98,7.12,6.94,6.98,565600
1994-07-05,6.92,7.15,6.92,7.14,344100
1994-07-06,7.14,7.19,6.9,6.9,403800
1994-07-07,6.88,6.9,6.72,6.8,499400
1994-07-08,6.8,7.18,6.73,7.02,482800
1994-07-11,7.0,7.05,6.75,6.78,633700
1994-07-12,6.76,6.85,6.72,6.8,191400
1994-07-13,6.7,7.03,6.7,7.0,746300
1994-07-14,7.03,7.35,7.0,7.05,3507600
1994-07-15,7.05,7.12,6.65,6.66,1396700
1994-07-18,6.6,6.61,6.4,6.44,749900
1994-07-19,6.5,6.6,6.35,6.54,391000
1994-07-20,6.56,6.6,6.35,6.36,442400
1994-07-21,6.3,6.35,6.05,6.05,738800
1994-07-22,6.0,6.15,5.78,5.81,1652100
1994-07-25,5.71,6.1,5.71,6.09,2282900
1994-07-26,6.1,6.61,5.98,6.57,6842400
1994-07-27,6.58,6.67,6.02,6.09,6355400
1994-07-28,6.01,6.15,5.35,5.41,3042200
1994-07-29,5.4,5.49,5.16,5.2,2215300
1994-08-01,6.5,8.1,6.03,7.78,19160600
1994-08-02,7.9,9.3,7.87,7.96,27939200
1994-08-03,8.01,9.5,8.01,9.42,20128000
1994-08-04,10.0,10.2,9.21,9.55,28458900
1994-08-05,9.83,10.8,9.41,10.8,19420100
1994-08-08,11.01,11.31,9.82,10.48,16721500
1994-08-09,10.4,10.69,8.85,9.3,10121300
1994-08-10,9.22,11.11,9.01,11.0,15514600
1994-08-11,10.21,10.85,9.61,9.85,8873500
1994-08-12,9.85,10.98,9.85,9.9,6598700
1994-08-15,9.8,10.42,9.51,9.77,3986400
1994-08-16,9.85,10.6,9.8,10.3,6235900
1994-08-17,10.35,11.0,10.21,10.99,10527500
1994-08-18,11.38,12.6,11.32,11.69,41523800
1994-08-19,11.88,12.18,10.8,11.0,17156300
1994-08-22,10.5,10.99,10.37,10.6,8852400
1994-08-23,10.9,11.65,10.52,11.48,10029700
1994-08-24,11.55,11.65,11.0,11.11,10413100
1994-08-25,11.11,11.48,11.1,11.32,4934300
1994-08-26,11.48,11.5,10.68,10.83,4862300
1994-08-29,10.9,11.28,10.72,11.15,3333000
1994-08-30,11.28,12.2,11.21,11.83,19071400
1994-08-31,12.17,12.38,11.88,12.1,17506500
1994-09-01,12.44,12.55,11.88,11.95,11655300
1994-09-02,12.0,12.6,12.0,12.6,11935400
1994-09-05,13.3,14.21,13.08,14.21,22147400
1994-09-06,14.58,14.91,13.9,14.79,20319000
1994-09-07,14.5,14.58,13.01,13.2,12516800
1994-09-08,13.5,14.3,13.1,13.55,9985800
1994-09-09,13.8,13.84,12.8,13.13,7688900
1994-09-12,13.8,14.0,13.2,13.93,8991200
1994-09-13,14.1,14.2,13.68,13.8,8180200
1994-09-14,13.88,13.88,12.6,12.65,5364700
1994-09-15,12.87,13.1,12.11,12.71,3404400
1994-09-16,12.81,13.38,12.5,13.05,4619200
1994-09-19,12.6,13.2,12.56,13.0,4818500
1994-09-20,13.0,13.01,12.51,12.53,3789000
1994-09-21,12.51,13.04,12.51,13.04,3418700
1994-09-22,13.11,13.64,12.4,12.5,10434700
1994-09-23,12.45,12.57,11.5,11.5,4952600
1994-09-26,11.5,11.89,11.3,11.89,3299600
1994-09-27,11.8,11.84,11.41,11.63,1438400
1994-09-28,11.8,12.19,11.68,11.96,2166100
1994-09-29,12.16,12.22,10.5,11.2,4836900
1994-09-30,10.8,11.2,10.1,10.4,4458200
1994-10-05,10.01,10.3,8.7,8.85,3722300
1994-10-06,9.3,9.79,8.6,8.6,6441000
1994-10-07,8.4,10.2,6.84,9.5,7427100
1994-10-10,8.53,9.48,8.53,8.9,4866300
1994-10-11,9.17,9.25,8.88,8.9,1217400
1994-10-12,9.07,9.15,8.78,8.88,1159600
1994-10-13,8.9,8.96,7.7,7.7,3156200
1994-10-14,7.4,8.25,7.2,8.08,2818400
1994-10-17,7.49,7.75,7.3,7.48,1020300
1994-10-18,7.8,7.8,7.55,7.66,688800
1994-10-19,7.78,8.15,7.7,8.1,1792800
1994-10-20,8.25,8.95,8.2,8.9,4464000
1994-10-21,9.0,9.34,8.51,8.66,6831200
1994-10-24,9.01,9.88,9.0,9.85,8655100
1994-10-25,10.0,10.53,9.72,9.98,16115700
1994-10-26,9.8,10.15,9.51,9.55,9658600
1994-10-27,9.5,9.7,9.22,9.58,5271300
1994-10-28,9.62,9.62,8.8,8.85,2710800
1994-10-31,8.5,8.54,8.25,8.38,1745900
1994-11-01,8.52,8.96,8.41,8.7,2787900
1994-11-02,8.71,8.72,8.25,8.48,1926300
1994-11-03,8.68,9.21,8.5,9.02,4453100
1994-11-04,9.09,9.1,8.48,8.6,4685300
1994-11-07,8.3,8.92,8.3,8.81,3056600
1994-11-08,9.05,9.5,8.83,9.0,6806400
1994-11-09,8.5,9.3,8.5,9.12,2676300
1994-11-10,9.38,9.38,8.8,8.95,2421000
1994-11-11,9.15,9.2,8.85,9.2,1117700
1994-11-14,9.2,9.29,9.02,9.2,863400
1994-11-15,9.0,9.14,8.85,8.86,1439300
1994-11-16,8.6,8.95,8.52,8.79,3106300
1994-11-17,8.8,8.81,8.56,8.56,1594100
1994-11-18,8.5,8.58,8.4,8.49,1923800
1994-11-21,8.55,8.62,8.48,8.5,556500
1994-11-22,8.6,8.65,8.4,8.42,513900
1994-11-23,8.42,8.5,8.25,8.25,576800
1994-11-24,8.25,8.38,8.2,8.26,618600
1994-11-25,8.45,8.68,8.26,8.26,1774900
1994-11-28,8.3,8.4,8.2,8.36,312300
1994-11-29,8.2,8.4,8.2,8.4,337100
1994-11-30,8.31,8.46,8.31,8.35,264100
1994-12-01,8.3,8.39,8.28,8.34,140900
1994-12-02,8.4,8.4,8.25,8.28,108300
1994-12-05,8.26,8.28,7.97,7.98,656300
1994-12-06,7.95,8.0,7.78,7.9,644900
1994-12-07,7.9,7.98,7.8,7.87,498800
1994-12-08,7.9,7.9,7.67,7.7,388600
1994-12-09,7.67,7.81,7.58,7.68,523300
1994-12-12,7.6,7.6,7.48,7.5,286700
1994-12-13,7.7,7.72,7.51,7.72,586300
1994-12-14,7.61,7.7,7.42,7.59,852500
1994-12-15,7.63,8.23,7.58,8.15,1480200
1994-12-16,8.1,8.49,7.86,8.3,3431800
1994-12-19,8.3,8.37,7.71,7.84,957100
1994-12-20,7.99,8.09,7.8,7.92,740800
1994-12-21,7.92,8.11,7.8,7.85,1257000
1994-12-22,7.8,7.88,7.52,7.65,621600
1994-12-23,7.65,8.6,7.62,8.04,3817100
1994-12-26,8.1,8.16,7.87,7.91,1079600
1994-12-27,7.97,8.0,7.7,7.75,831300
1994-12-28,7.68,7.8,7.56,7.7,681900
