date,open,high,low,close,volume
2010-12-09,64.0,66.11,60.6,64.49,28027414
2010-12-10,64.49,65.51,62.5,64.55,12758467
2010-12-13,64.81,66.47,63.28,65.91,10822177
2010-12-14,64.9,65.8,62.8,62.89,8996278
2010-12-15,63.71,65.48,62.81,62.81,6469856
2010-12-16,61.91,64.5,61.9,63.52,4670137
2010-12-17,63.0,65.5,62.68,65.18,4709387
2010-12-20,65.18,65.47,62.66,63.42,5210676
2010-12-21,64.1,64.28,63.0,63.47,2682010
2010-12-22,63.01,63.43,60.88,61.47,4706868
2010-12-23,62.0,62.75,59.9,60.05,2794005
2010-12-24,59.0,59.99,57.06,57.5,2919591
2010-12-27,57.6,58.3,56.1,56.7,1999196
2010-12-28,55.9,57.1,55.05,55.35,1985477
2010-12-29,55.39,56.9,55.39,56.41,1652622
2010-12-30,56.41,56.49,55.7,55.85,1345030
2010-12-31,55.9,56.75,55.0,56.29,1623758
2011-01-04,56.38,57.98,56.12,57.55,1833452
2011-01-05,57.11,58.38,56.6,57.66,1708392
2011-01-06,57.66,57.94,55.99,55.99,1267255
2011-01-07,56.02,56.61,55.39,55.8,1261389
2011-01-10,55.81,56.09,54.51,54.66,1360338
2011-01-11,54.45,54.6,52.0,52.85,1687748
2011-01-12,53.09,53.53,52.5,53.37,1198203
2011-01-13,53.8,53.8,52.4,52.43,1101843
2011-01-14,52.69,52.69,50.18,51.02,1817535
2011-01-17,50.52,50.77,48.9,49.18,1229219
2011-01-18,48.9,49.48,48.57,48.9,572893
2011-01-19,49.2,49.97,48.61,49.59,1460462
2011-01-20,49.44,49.44,46.34,46.34,1713153
2011-01-21,46.0,46.67,45.2,45.8,1318482
2011-01-24,45.71,46.24,44.73,45.6,1109261
2011-01-25,45.6,47.37,44.6,47.06,1490246
2011-01-26,46.73,47.35,46.01,46.76,1203405
2011-01-27,46.08,47.0,45.51,46.73,1463957
2011-01-28,46.75,47.39,46.53,47.0,1081941
2011-01-31,47.01,48.27,46.8,47.92,1277949
2011-02-01,47.4,47.94,46.61,47.1,923788
2011-02-09,46.68,46.95,45.65,45.89,942967
2011-02-10,45.98,47.82,45.4,47.82,1331112
2011-02-11,47.78,48.82,47.51,48.36,1369165
2011-02-14,48.3,48.96,48.1,48.87,1550812
2011-02-15,48.79,49.1,48.52,48.59,1109639
2011-02-16,48.6,49.25,48.15,49.18,1202884
2011-02-17,49.18,49.37,48.4,48.92,993775
2011-02-18,48.75,48.79,47.8,47.85,1211847
2011-02-21,47.88,51.85,47.85,50.74,2493972
2011-02-22,50.3,50.78,48.67,48.71,1667563
2011-02-23,49.01,51.1,48.65,50.48,1808050
2011-02-24,50.48,51.4,49.9,50.16,1030616
2011-02-25,50.2,50.55,49.05,49.57,949516
2011-02-28,49.96,50.87,49.61,50.7,1418726
2011-03-01,50.84,51.25,50.26,50.75,932479
2011-03-02,50.3,50.7,49.23,49.7,974831
2011-03-03,49.43,49.99,48.15,48.15,981504
2011-03-04,48.35,48.75,47.57,48.19,898263
2011-03-07,48.3,49.12,47.97,48.83,1618327
2011-03-08,48.8,49.0,48.41,48.86,793556
2011-03-09,48.85,49.94,48.63,48.86,1615515
2011-03-10,48.98,49.59,48.6,48.95,1489683
2011-03-11,48.95,49.24,48.6,48.72,873414
2011-03-14,48.4,48.7,47.67,47.89,1863870
2011-03-15,47.8,47.92,46.0,46.61,1934160
2011-03-16,46.65,47.39,46.65,47.3,889644
2011-03-17,47.2,47.2,46.4,46.79,1500067
2011-03-18,46.79,47.29,46.7,46.93,744548
2011-03-21,46.9,47.41,46.66,47.2,695313
2011-03-22,47.2,47.33,46.88,47.1,597954
2011-03-23,47.29,48.04,47.16,47.99,1210747
2011-03-24,48.03,48.24,47.49,47.78,1026373
2011-03-25,47.8,48.05,47.45,47.67,895709
2011-03-28,47.69,47.86,46.51,46.8,1327479
2011-03-29,46.56,47.16,45.5,45.7,1720305
2011-03-30,45.75,45.95,45.2,45.36,1010504
2011-03-31,45.54,45.98,45.36,45.42,603103
2011-04-01,45.28,46.13,45.28,46.01,633948
2011-04-06,46.06,46.46,45.62,46.15,627143
2011-04-07,46.39,47.5,46.0,47.48,1150224
2011-04-08,47.63,47.73,47.15,47.5,737894
2011-04-11,47.47,47.62,46.82,47.06,1061998
2011-04-12,48.22,48.88,47.51,47.86,2749064
2011-04-13,47.79,49.85,47.7,49.34,2109450
2011-04-14,49.45,49.48,48.71,48.79,1060939
2011-04-15,48.56,48.9,47.9,48.2,1017207
2011-04-18,48.35,49.24,48.06,48.93,1110215
2011-04-19,48.46,48.9,47.77,47.85,1012785
2011-04-20,47.91,48.33,47.82,48.0,1044974
2011-04-21,48.59,49.7,48.21,49.4,1921216
2011-04-22,49.0,49.99,48.63,49.32,1667859
2011-04-25,49.75,50.46,49.2,49.2,1992210
2011-04-26,49.0,49.25,47.63,47.77,1307676
2011-04-27,47.62,48.41,46.8,47.56,942854
2011-04-28,47.88,47.88,44.68,44.68,1232609
2011-04-29,44.78,45.49,44.05,45.15,669406
2011-05-03,45.15,45.34,44.67,45.2,758374
2011-05-05,44.11,45.8,44.0,45.3,1051226
2011-05-06,45.01,45.6,44.56,45.4,531851
2011-05-09,45.83,46.57,45.63,46.1,842076
2011-05-10,46.28,46.3,45.8,46.05,525154
2011-05-11,46.05,46.89,45.85,46.63,600478
2011-05-12,46.5,46.63,46.01,46.18,744445
2011-05-13,20.52,20.76,20.36,20.6,958122
2011-05-16,20.91,21.35,20.74,20.89,863909
2011-05-17,20.84,21.35,20.8,21.02,937669
2011-05-18,20.81,21.43,20.81,21.36,1100558
2011-05-19,21.48,21.48,20.96,20.96,1330238
2011-05-20,21.0,21.1,20.79,20.81,864988
2011-05-23,20.82,21.12,20.2,20.3,1535745
2011-05-24,20.05,20.67,19.81,20.45,1811949
2011-05-25,20.15,20.35,19.15,19.19,1711127
2011-05-26,19.23,19.5,18.85,18.92,1448036
2011-05-27,19.01,19.16,18.45,18.9,2117077
2011-05-30,18.81,19.75,18.66,19.31,1451871
2011-05-31,19.38,19.62,19.19,19.6,990172
2011-06-01,19.59,20.56,19.51,20.54,2416950
2011-06-02,20.19,20.8,20.19,20.5,2174703
2011-06-03,20.5,20.96,20.42,20.75,1331340
2011-06-07,20.76,20.81,20.34,20.62,1110504
2011-06-08,20.62,20.65,20.11,20.43,898731
2011-06-09,20.37,20.37,20.0,20.01,985615
2011-06-10,20.01,20.12,19.66,19.96,919452
2011-06-13,19.96,20.35,19.42,20.1,834260
2011-06-14,20.04,20.5,20.01,20.21,1094476
2011-06-15,20.3,20.35,19.9,20.1,975356
2011-06-16,19.92,20.04,19.24,19.27,811928
2011-06-17,19.2,19.3,18.97,19.0,1153490
2011-06-20,19.0,19.29,18.58,18.79,1053213
2011-06-21,18.92,19.08,18.72,18.93,1250443
2011-06-22,18.79,19.05,18.61,18.68,1027892
2011-06-23,18.6,19.43,18.52,19.25,1004226
2011-06-24,19.17,19.77,19.11,19.61,1470646
2011-06-27,20.0,20.25,19.75,19.95,1556745
2011-06-28,19.98,19.98,19.59,19.71,1034776
2011-06-29,19.71,19.87,19.45,19.49,650596
2011-06-30,19.49,19.79,19.38,19.72,1034440
2011-07-01,19.83,20.04,19.72,19.9,934022
2011-07-04,20.04,20.83,20.04,20.68,2090550
