date,open,high,low,close,volume
2010-11-15,12.88,13.6,12.35,13.27,259539696
2010-11-16,13.0,14.58,12.9,13.74,188871872
2010-11-17,12.98,13.23,12.37,12.37,104249488
2010-11-18,12.1,12.38,11.32,11.8,85611552
2010-11-19,11.78,12.95,11.4,12.65,86758216
2010-11-22,12.34,12.59,11.93,12.13,63297832
2010-11-23,11.98,12.63,11.62,12.25,60548872
2010-11-24,12.3,13.48,12.13,13.03,94677544
2010-11-25,12.88,13.25,12.62,13.01,63561520
2010-11-26,12.86,12.95,12.48,12.61,40310660
2010-11-29,12.45,12.68,12.15,12.31,31817638
2010-11-30,12.27,12.59,11.58,12.01,40657720
2010-12-01,11.98,12.39,11.89,12.14,27284352
2010-12-02,12.44,12.53,11.98,11.98,31782672
2010-12-03,11.9,12.09,11.7,11.84,22566520
2010-12-06,11.87,12.75,11.62,12.41,55053864
2010-12-07,12.15,12.48,11.92,12.23,34389312
2010-12-08,12.12,12.19,11.82,11.89,24280764
2010-12-09,11.78,12.1,11.78,11.8,17764482
2010-12-10,11.67,12.04,11.63,11.9,15082487
2010-12-13,11.95,12.3,11.88,12.24,29203848
2010-12-14,12.26,12.3,12.03,12.14,21970180
2010-12-15,12.17,13.11,12.11,12.59,65575796
2010-12-16,12.5,12.63,12.32,12.33,25926836
2010-12-17,12.33,12.75,12.3,12.5,23466198
2010-12-20,12.57,12.57,11.84,12.08,30925650
2010-12-21,12.12,12.98,12.05,12.76,56062968
2010-12-22,12.62,12.72,12.27,12.38,30568512
2010-12-23,12.32,12.77,12.23,12.39,31874280
2010-12-24,12.2,12.57,12.1,12.39,23803482
2010-12-27,12.6,12.88,12.21,12.23,43882320
2010-12-28,11.96,12.15,11.81,11.86,29689372
2010-12-29,11.9,12.02,11.75,12.0,12932281
2010-12-30,11.91,12.1,11.81,11.96,14268733
2010-12-31,12.0,12.23,11.93,12.16,18038048
2011-01-04,12.22,12.48,12.05,12.26,24542640
2011-01-05,12.1,12.2,12.0,12.03,19234222
2011-01-06,12.04,12.18,11.9,11.93,14273293
2011-01-07,11.89,12.46,11.83,12.13,32620580
2011-01-10,12.03,12.11,11.78,11.8,20523942
2011-01-11,11.75,11.97,11.71,11.86,10369204
2011-01-12,11.87,11.95,11.71,11.85,11201250
2011-01-13,11.88,11.91,11.56,11.59,17971116
2011-01-14,11.5,11.51,10.91,10.95,24216096
2011-01-17,10.95,11.02,10.42,10.48,12882758
2011-01-18,10.39,10.6,10.26,10.46,6937563
2011-01-19,10.5,10.66,10.4,10.62,9591092
2011-01-21,10.01,10.4,9.82,10.2,18748668
2011-01-24,10.1,10.14,9.85,9.85,10334849
2011-01-25,9.8,9.95,9.76,9.87,6971593
2011-01-26,9.83,10.16,9.83,10.02,6116334
2011-01-27,9.98,10.38,9.87,10.22,13487898
2011-01-28,10.15,10.2,10.04,10.11,8520038
2011-01-31,10.07,10.2,10.02,10.17,7716158
2011-02-01,10.19,10.19,10.05,10.15,7216140
2011-02-09,10.07,10.18,9.88,9.89,9356985
2011-02-10,9.85,10.24,9.81,10.22,12821793
2011-02-11,10.22,10.28,10.1,10.23,14012947
2011-02-14,10.19,11.24,10.14,11.1,48981336
2011-02-15,10.8,11.48,10.78,10.86,90252720
2011-02-16,10.75,10.97,10.63,10.89,35640404
2011-02-17,10.93,10.97,10.52,10.7,32976172
2011-02-18,10.66,11.1,10.5,10.83,37144528
2011-02-21,10.7,11.07,10.66,11.0,29941360
2011-02-22,10.96,11.0,10.48,10.5,27710256
2011-02-23,10.49,10.59,10.41,10.51,15582922
2011-02-24,10.5,11.0,10.44,10.8,32504520
2011-02-25,10.78,10.9,10.5,10.67,21559264
2011-02-28,10.75,11.05,10.57,10.9,30363842
2011-03-01,10.84,11.07,10.77,10.83,26481716
2011-03-02,10.77,10.83,10.63,10.78,15253398
2011-03-03,10.76,10.95,10.7,10.72,18590514
2011-03-04,10.71,10.89,10.63,10.84,18741484
2011-03-07,10.89,11.19,10.84,11.08,40517780
2011-03-08,11.14,11.15,10.9,10.98,24030058
2011-03-09,11.01,11.16,10.92,10.96,18738904
2011-03-10,10.95,10.95,10.67,10.68,22140140
2011-03-11,10.63,10.79,10.61,10.62,13805824
2011-03-14,10.58,10.67,10.43,10.61,14090934
2011-03-15,10.58,10.58,10.13,10.3,17449408
2011-03-16,10.31,10.43,10.26,10.38,13545507
2011-03-17,10.25,10.3,10.08,10.11,13995209
2011-03-18,10.25,10.34,10.2,10.25,8400253
2011-03-21,10.21,10.29,10.18,10.22,6427030
2011-03-22,10.28,10.37,10.15,10.35,10110113
2011-03-23,10.3,10.57,10.24,10.46,13927922
2011-03-24,10.43,10.44,10.33,10.33,9029896
2011-03-25,10.31,10.48,10.31,10.39,10899906
2011-03-28,10.42,10.58,10.38,10.4,13649763
2011-03-29,10.42,10.51,10.22,10.23,13873061
2011-03-30,10.23,10.28,10.05,10.08,10904036
2011-03-31,10.1,10.2,10.01,10.07,8025231
2011-04-01,10.1,10.25,10.06,10.25,8824254
2011-04-06,10.21,10.75,10.18,10.55,24996644
2011-04-07,10.52,10.52,10.37,10.45,12532154
2011-04-08,10.41,10.57,10.36,10.48,10449115
2011-04-11,10.52,10.55,10.3,10.31,12144484
2011-04-12,10.29,10.41,10.2,10.32,10107444
2011-04-13,10.27,10.64,10.22,10.55,18635446
2011-04-14,10.52,10.6,10.38,10.41,12371849
2011-04-15,10.39,10.77,10.36,10.7,32880012
2011-04-18,10.62,10.72,10.56,10.7,20298890
2011-04-19,10.6,10.61,10.27,10.3,17702736
2011-04-20,10.38,10.47,10.28,10.44,9369392
2011-04-21,10.43,11.48,10.36,11.15,110381824
2011-04-22,10.92,11.08,10.78,10.95,46938304
2011-04-25,10.87,11.26,10.76,10.83,45125452
2011-04-26,10.7,10.94,10.63,10.84,22713272
2011-04-27,10.71,10.78,9.91,10.16,46440568
2011-04-28,10.15,10.26,9.93,9.95,20317062
2011-04-29,10.0,10.07,9.85,10.03,13326234
2011-05-03,10.04,10.2,9.9,10.13,12060504
2011-05-04,10.1,10.1,9.77,9.79,17130192
2011-05-05,9.78,9.89,9.73,9.86,10637962
2011-05-09,9.87,10.01,9.85,9.92,10725204
2011-05-10,9.93,10.04,9.81,10.03,11473572
2011-05-11,9.95,10.1,9.86,9.96,12350135
2011-05-12,9.87,9.98,9.82,9.84,10757827
2011-05-13,9.82,10.27,9.81,10.05,19507874
2011-05-16,9.99,10.04,9.87,9.88,10019631
2011-05-17,9.88,10.24,9.85,10.02,19050324
2011-05-18,10.0,10.12,9.96,10.06,10471977
2011-05-19,10.12,10.12,9.95,9.97,8870800
2011-05-20,9.95,10.07,9.88,9.99,7250036
2011-05-23,9.96,9.96,9.35,9.36,15124020
2011-05-24,9.3,9.35,9.15,9.31,8826093
2011-05-25,9.3,9.33,9.05,9.07,7864277
2011-05-26,9.16,9.49,9.1,9.11,13428278
2011-05-27,9.11,9.2,9.01,9.03,8635159
2011-05-30,9.0,9.09,8.73,8.78,7903433
2011-05-31,8.85,9.08,8.8,9.06,8578611
2011-06-01,9.0,9.07,8.96,9.05,5747532
2011-06-02,8.92,8.98,8.73,8.85,6721284
2011-06-03,8.86,8.98,8.8,8.93,4462069
2011-06-07,8.92,9.01,8.87,9.0,3872804
2011-06-08,8.99,9.02,8.84,9.01,5740869
2011-06-09,8.97,9.14,8.86,8.9,8839251
2011-06-10,8.78,8.82,8.61,8.75,6095246
2011-06-13,8.69,8.7,8.55,8.63,5460490
2011-06-14,8.62,8.97,8.62,8.79,8637997
2011-06-15,8.78,8.85,8.69,8.7,6421625
2011-06-16,8.66,8.72,8.49,8.52,7035633
2011-06-17,8.5,8.68,8.46,8.49,5740045
2011-06-20,8.45,8.62,8.43,8.58,6424323
2011-06-21,8.54,8.68,8.54,8.66,6456855
2011-06-22,8.66,8.7,8.57,8.59,3470716
2011-06-23,8.58,8.82,8.49,8.77,7479490
2011-06-24,8.71,9.53,8.7,9.23,30000312
2011-06-27,9.11,9.32,9.03,9.16,17002740
2011-06-28,9.13,9.26,9.09,9.24,10770450
2011-06-29,9.21,9.29,8.96,9.0,8461884
