date,open,high,low,close,volume
2006-12-22,6.72,6.8,6.15,6.17,697621207
2006-12-25,5.9,6.36,5.85,6.19,186941249
2006-12-26,6.2,6.3,6.06,6.24,156993330
2006-12-27,6.3,6.86,6.22,6.86,238346157
2006-12-28,7.1,7.32,6.88,7.03,268177506
2006-12-29,7.09,7.28,7.0,7.2,164149785
2007-01-04,7.26,7.77,7.12,7.34,223659712
2007-01-05,7.21,7.35,7.14,7.22,114730969
2007-01-08,7.17,7.4,7.13,7.36,105856204
2007-01-09,7.37,7.49,7.3,7.42,108670434
2007-01-10,7.45,7.79,7.45,7.68,123080232
2007-01-11,7.65,7.7,7.38,7.39,124140589
2007-01-12,7.39,7.53,7.01,7.1,106643165
2007-01-15,7.1,7.35,7.01,7.33,70183202
2007-01-16,7.35,7.39,7.13,7.26,82206025
2007-01-17,7.26,7.36,7.08,7.2,102892628
2007-01-18,7.27,7.7,7.19,7.59,156828445
2007-01-19,7.59,7.67,7.46,7.61,117914839
2007-01-22,7.7,8.05,7.6,7.92,159565374
2007-01-23,7.93,8.08,7.66,7.79,122419521
2007-01-24,7.8,8.43,7.65,8.24,207446190
2007-01-25,8.29,8.38,7.89,7.9,178082356
2007-01-26,7.75,7.93,7.2,7.78,99916645
2007-01-29,7.8,7.95,7.72,7.89,72351281
2007-01-30,7.89,7.96,7.65,7.71,71409138
2007-01-31,7.7,7.8,7.3,7.37,77046208
2007-02-01,7.36,7.57,7.3,7.49,73103119
2007-02-02,7.51,7.55,7.2,7.22,47926753
2007-02-05,7.22,7.37,7.22,7.28,34511849
2007-02-06,7.36,7.43,7.2,7.42,45861003
2007-02-07,7.5,7.59,7.41,7.52,49063303
2007-02-08,7.55,7.95,7.47,7.78,79087903
2007-02-09,7.78,7.82,7.6,7.66,47057806
2007-02-12,7.77,7.88,7.72,7.85,53670484
2007-02-13,7.9,8.07,7.85,7.93,60258164
2007-02-14,7.94,7.99,7.85,7.94,57078437
2007-02-15,7.98,8.17,7.93,8.16,88272444
2007-02-16,8.24,8.29,8.1,8.14,91290658
2007-02-26,8.23,8.23,7.95,8.19,75055170
2007-02-27,8.14,8.18,7.37,7.37,106080572
