date,open,high,low,close,volume
2010-07-16,19.01,22.85,18.02,20.05,28287022
2010-07-19,18.11,18.94,18.05,18.48,17892248
2010-07-20,18.88,19.29,18.53,18.91,14820201
2010-07-21,18.8,19.64,18.53,19.05,12798506
2010-07-22,18.83,19.39,18.6,19.2,8823312
2010-07-23,19.16,20.34,19.05,19.72,10800635
2010-07-26,19.85,20.66,19.85,20.4,9761212
2010-07-27,20.51,20.58,19.85,19.95,6316246
2010-07-28,20.03,20.51,20.0,20.35,7245304
2010-07-29,20.2,20.62,20.13,20.58,7574227
2010-07-30,20.6,20.6,19.76,20.13,6023110
2010-08-02,20.12,20.55,20.0,20.3,5182119
2010-08-03,20.23,20.3,19.51,19.51,5305943
2010-08-04,19.3,19.91,19.05,19.81,4668615
2010-08-05,19.75,19.92,19.41,19.5,2919948
2010-08-06,19.41,20.3,19.32,20.3,4854657
2010-08-09,20.41,21.31,20.38,20.82,6518879
2010-08-10,20.68,21.62,20.68,21.19,10190684
2010-08-11,20.9,22.75,20.8,22.42,11210469
2010-08-12,22.0,22.72,21.81,22.44,7173847
2010-08-13,22.22,22.66,21.25,21.84,4409769
2010-08-16,21.59,22.39,21.35,22.21,4226086
2010-08-17,22.05,22.96,21.71,22.67,4733115
2010-08-18,22.66,22.67,21.87,21.87,3610150
2010-08-19,21.88,22.1,21.56,21.59,3056336
2010-08-20,21.5,21.87,21.21,21.25,2811364
2010-08-23,21.25,21.45,21.1,21.28,1839832
2010-08-24,21.18,21.65,21.15,21.48,2445450
2010-08-25,21.48,21.8,20.8,20.8,2451660
2010-08-26,20.88,21.08,20.52,20.72,2008648
2010-08-27,20.7,21.25,20.6,21.11,2052904
2010-08-30,21.24,21.84,21.24,21.52,2630919
2010-08-31,21.52,21.85,20.91,21.71,3453306
2010-09-01,21.72,21.75,20.7,20.92,3086950
2010-09-02,21.01,22.45,20.81,22.0,5384643
2010-09-03,22.3,22.99,21.8,22.34,5216323
2010-09-06,22.4,22.55,21.51,21.53,3198512
2010-09-07,21.55,21.56,21.12,21.4,1737531
2010-09-08,21.34,21.9,21.32,21.7,1851774
2010-09-09,21.94,21.94,20.9,20.96,2571499
2010-09-10,20.88,21.1,20.54,20.94,1833048
2010-09-13,20.86,21.3,20.76,21.19,1510251
2010-09-14,21.15,21.4,21.07,21.25,1220316
2010-09-15,21.18,21.35,20.1,20.25,1793248
2010-09-16,20.25,20.33,19.31,19.6,1781356
2010-09-17,19.61,19.87,19.4,19.73,923828
2010-09-20,19.81,19.97,19.44,19.48,822703
2010-09-21,19.59,19.65,19.1,19.48,593965
2010-09-27,19.49,20.03,19.4,19.97,837637
2010-09-28,19.97,19.97,19.28,19.4,785705
2010-09-29,19.26,19.51,19.21,19.42,679027
2010-09-30,19.23,19.59,19.23,19.54,568722
2010-10-08,19.59,20.07,19.59,19.85,905274
2010-10-11,20.0,20.0,19.29,19.5,2395836
2010-10-12,19.42,19.65,19.23,19.48,1195922
2010-10-13,19.5,19.5,18.56,18.7,2364029
2010-10-14,18.85,19.15,18.72,18.9,1587019
2010-10-15,18.8,18.96,18.47,18.7,1513738
2010-10-18,18.3,19.86,17.3,19.46,9858508
2010-10-19,19.0,20.29,18.8,20.1,5468991
2010-10-20,19.86,20.99,19.8,20.87,5959154
2010-10-21,20.85,20.85,20.28,20.57,3033893
2010-10-22,20.65,20.8,20.4,20.7,2404785
2010-10-25,20.7,21.69,20.7,21.55,3648214
2010-10-26,21.33,21.65,21.07,21.5,2112418
2010-10-27,21.55,21.85,21.3,21.43,2157168
2010-10-28,21.43,22.22,21.43,21.81,3008875
2010-10-29,22.0,22.36,21.7,21.89,2245769
2010-11-01,22.4,23.08,22.15,22.9,3984870
2010-11-02,22.9,23.19,22.58,22.58,3003000
2010-11-03,22.3,22.88,22.0,22.06,1984458
2010-11-04,22.07,24.2,22.06,24.06,3438944
2010-11-05,24.22,24.5,23.6,23.93,2050775
2010-11-08,23.93,24.66,23.71,24.53,2244707
2010-11-09,24.6,25.13,24.12,25.03,2027654
2010-11-10,25.0,25.15,24.42,24.55,1576062
2010-11-11,24.69,24.98,24.0,24.0,1806419
2010-11-12,23.95,25.07,23.89,24.34,4657447
2010-11-15,24.34,26.0,24.0,25.99,2618534
2010-11-16,26.23,27.1,24.93,25.45,2820246
2010-11-18,24.6,26.86,24.6,26.72,3144118
2010-11-19,26.73,27.49,26.55,27.3,1721313
2010-11-22,27.3,28.78,27.1,28.12,2428706
2010-11-23,28.38,30.48,28.12,30.48,2987349
2010-11-24,30.03,30.48,29.49,30.3,2281374
