date,open,high,low,close,volume
1998-06-16,15.0,15.0,14.0,14.69,26800300
1998-06-17,15.2,16.16,14.83,16.16,14296100
1998-06-18,16.2,16.5,15.88,15.95,10175800
1998-06-19,15.97,17.11,15.97,16.83,5642800
1998-06-22,16.93,17.49,16.52,17.29,5053400
1998-06-23,17.15,17.39,16.65,16.83,3230300
1998-06-24,16.8,17.26,16.71,16.85,2314000
1998-06-25,16.95,17.8,16.81,17.53,3038200
1998-06-26,17.5,17.88,17.2,17.33,1688700
1998-06-29,17.2,17.23,16.4,16.5,2216300
1998-06-30,16.51,16.86,16.0,16.5,933400
1998-07-01,16.7,16.8,15.8,15.89,1604200
1998-07-02,15.91,16.45,15.8,16.36,934400
1998-07-03,16.5,16.85,16.1,16.4,1025900
1998-07-06,16.69,16.75,15.92,16.02,770100
1998-07-07,16.58,16.58,15.5,16.19,397900
1998-07-08,16.23,16.37,16.02,16.1,417000
1998-07-09,16.0,16.39,15.95,16.1,338300
1998-07-10,16.1,16.85,16.1,16.65,1306400
1998-07-13,16.63,17.05,16.4,16.82,1281500
1998-07-14,17.1,17.1,16.3,16.4,735100
1998-07-15,16.3,16.5,15.9,16.25,805200
1998-07-16,16.15,16.56,16.15,16.4,658000
1998-07-17,16.48,16.58,16.29,16.35,1110000
1998-07-20,16.0,16.12,15.71,16.06,795200
1998-07-21,16.01,16.08,15.76,15.8,1143500
1998-07-22,15.8,15.95,15.33,15.5,2779900
1998-07-23,15.45,15.59,15.4,15.45,699000
1998-07-24,15.45,15.68,15.23,15.58,1164000
1998-07-27,15.52,15.58,15.0,15.25,930600
1998-07-28,15.25,15.83,15.25,15.7,883600
1998-07-29,15.75,15.75,15.48,15.53,379000
1998-07-30,15.4,15.78,15.3,15.68,601100
1998-07-31,15.68,15.72,15.5,15.68,217500
1998-08-03,15.7,15.75,15.25,15.3,409200
1998-08-04,15.25,15.7,15.25,15.7,708700
1998-08-05,15.66,16.19,15.66,16.03,1268900
1998-08-06,16.0,16.1,15.0,16.0,856400
1998-08-07,15.98,16.15,15.61,16.05,964700
1998-08-10,15.85,16.2,15.75,15.99,753000
1998-08-11,16.05,16.1,15.6,15.6,389800
1998-08-12,15.4,16.0,14.8,15.76,1150400
1998-08-13,15.78,16.0,15.3,15.85,542300
1998-08-14,15.5,15.98,15.42,15.55,466800
1998-08-17,15.29,15.3,14.3,14.38,513400
1998-08-18,14.1,14.8,13.95,14.51,444500
1998-08-19,14.5,15.25,14.23,15.1,458800
1998-08-20,14.81,15.42,14.81,15.2,340900
1998-08-21,15.18,15.3,14.7,15.26,572800
1998-08-24,15.25,15.65,14.98,15.56,802800
1998-08-25,15.46,15.76,15.25,15.75,1126900
1998-08-26,15.78,15.8,15.45,15.52,250700
1998-08-27,15.22,15.75,15.22,15.48,179100
1998-08-28,15.35,15.6,15.0,15.1,243800
1998-08-31,14.9,15.36,14.53,15.3,432700
1998-09-01,15.4,15.5,15.05,15.2,165400
1998-09-02,15.15,15.67,15.07,15.35,722300
1998-09-03,15.3,16.1,15.18,16.0,3315600
1998-09-04,16.19,16.2,15.81,15.85,1472900
1998-09-07,16.0,16.48,15.85,16.27,1073300
1998-09-08,16.26,16.38,15.92,15.92,836400
1998-09-09,15.8,16.22,15.75,16.22,718600
1998-09-10,16.0,16.67,16.0,16.48,1522800
1998-09-11,17.0,17.0,16.28,16.48,1479700
1998-09-14,16.48,16.48,15.98,16.07,1824300
1998-09-15,16.05,16.4,16.0,16.17,828900
1998-09-16,16.17,16.3,16.0,16.15,725900
1998-09-17,16.2,16.25,15.68,15.7,1247100
1998-09-18,15.68,15.89,15.52,15.58,706600
1998-09-21,15.4,15.82,15.35,15.82,334600
1998-09-22,15.93,15.93,15.49,15.6,466200
1998-09-23,15.8,16.18,15.65,15.98,814800
1998-09-24,15.97,16.15,15.8,15.8,426800
1998-09-25,15.78,16.35,15.78,16.23,999600
1998-09-28,16.37,16.78,16.12,16.19,1010300
1998-09-29,16.15,16.48,16.11,16.15,341400
1998-09-30,17.0,17.0,16.16,16.2,845300
1998-10-05,16.28,16.49,16.17,16.21,523900
1998-10-06,16.2,16.25,15.92,15.93,616200
1998-10-07,16.89,16.89,15.9,16.11,374300
1998-10-08,16.22,16.35,16.03,16.14,311200
1998-10-09,16.3,16.6,16.1,16.6,1757400
1998-10-12,16.72,17.5,16.6,17.08,4413700
1998-10-13,17.15,17.3,16.9,16.98,1926600
1998-10-14,16.9,17.77,16.9,17.53,2869800
1998-10-15,17.61,18.8,17.41,18.28,5277800
1998-10-16,18.27,19.08,18.27,18.73,3940100
1998-10-19,19.0,19.45,18.6,18.8,3360000
1998-10-20,18.8,18.97,18.46,18.7,1759000
1998-10-21,18.8,19.05,17.95,18.05,2415700
1998-10-22,17.9,18.29,17.73,18.21,2065700
1998-10-23,18.23,18.45,18.0,18.1,1279100
1998-10-26,18.02,18.86,18.0,18.82,1763600
1998-10-27,18.93,19.97,18.93,19.9,2487200
1998-10-28,20.01,20.39,19.7,19.91,2218700
1998-10-29,19.88,20.45,19.87,19.99,1720100
1998-10-30,19.9,20.3,19.9,19.93,1695500
1998-11-02,19.94,21.36,19.91,21.35,1427700
1998-11-03,21.61,21.82,20.91,21.11,1953200
1998-11-04,21.16,21.82,21.08,21.33,1123700
1998-11-05,21.4,22.52,21.35,22.49,1226100
1998-11-06,22.6,23.1,22.49,22.88,1756000
1998-11-09,22.8,23.1,22.21,22.68,1246700
1998-11-10,22.62,23.6,22.4,23.33,1398400
1998-11-11,23.4,23.65,23.2,23.62,966500
1998-11-12,23.58,24.17,22.67,22.77,2710700
1998-11-13,22.66,24.1,22.56,23.9,2173500
1998-11-16,23.9,24.0,23.53,23.6,1210600
1998-11-17,23.6,23.9,23.02,23.44,701100
1998-11-18,23.4,23.48,22.77,22.84,818700
1998-11-19,22.71,23.35,22.57,22.89,836200
1998-11-20,22.81,23.2,22.73,22.76,494800
1998-11-23,22.97,23.6,22.7,23.36,730000
1998-11-24,23.5,24.1,23.36,23.45,757200
1998-11-25,23.49,23.7,22.76,23.1,294200
1998-11-26,23.0,23.28,22.8,22.82,494400
1998-11-27,22.8,23.25,22.8,22.9,382200
1998-11-30,23.14,23.81,22.98,23.3,613600
1998-12-01,23.5,23.51,22.62,22.87,447500
1998-12-02,22.7,23.08,22.15,22.3,541500
1998-12-03,22.28,22.4,20.07,20.07,3296300
1998-12-04,19.7,20.15,19.07,19.7,2535800
1998-12-07,19.9,20.85,19.9,20.42,1971100
1998-12-08,20.5,20.88,20.2,20.63,771000
1998-12-09,20.69,20.69,20.32,20.62,315700
1998-12-10,20.58,20.65,20.31,20.45,325200
1998-12-11,20.4,20.65,20.15,20.5,457800
1998-12-14,20.41,20.5,19.35,19.41,903800
1998-12-15,19.01,19.38,18.99,18.99,826600
1998-12-16,19.3,20.0,18.9,19.63,792800
1998-12-17,19.8,19.8,19.32,19.55,504000
1998-12-18,19.4,19.96,19.2,19.9,329200
1998-12-21,19.8,20.65,19.8,20.15,449900
1998-12-23,20.46,20.69,20.25,20.46,683900
1998-12-24,20.3,20.53,20.1,20.28,311100
1998-12-25,20.28,20.46,20.1,20.35,291500
1998-12-28,20.3,20.35,19.56,19.8,374200
1998-12-29,19.66,19.75,19.54,19.6,306900
1998-12-30,19.6,20.04,19.34,19.71,391400
1998-12-31,19.7,19.98,19.68,19.68,179500
1999-01-04,19.48,19.7,19.48,19.48,190500
1999-01-05,19.47,19.47,18.5,18.51,471000
1999-01-06,18.48,18.6,17.89,18.19,1105400
1999-01-07,18.2,18.38,17.9,18.25,532300
1999-01-08,18.38,19.15,18.37,19.11,423600
1999-01-11,19.11,19.17,18.84,19.05,311400
1999-01-12,19.0,19.53,18.8,19.36,317700
1999-01-13,19.18,19.45,19.0,19.3,237500
1999-01-14,19.25,19.4,19.08,19.2,238500
1999-01-15,19.48,19.48,18.85,18.92,393700
1999-01-18,18.7,19.36,18.54,19.36,344800
1999-01-19,19.48,19.48,18.9,19.13,208700
1999-01-20,19.02,19.36,19.02,19.3,268600
1999-01-21,19.01,19.28,17.8,19.05,417600
1999-01-22,19.07,19.28,19.0,19.16,320100
1999-01-25,19.05,19.3,18.94,18.96,562700
1999-01-26,18.95,19.1,18.76,19.01,320900
1999-01-27,18.96,19.07,18.89,18.98,299500
1999-01-28,19.15,19.15,18.84,18.97,239000
1999-01-29,18.62,19.0,18.6,18.7,229600
1999-02-01,18.5,18.64,18.3,18.49,259900
1999-02-02,18.38,18.47,18.12,18.47,227000
1999-02-03,18.21,18.58,18.21,18.42,247300
1999-02-04,18.4,18.4,17.98,18.05,303500
1999-02-05,17.9,18.09,17.6,17.68,526500
1999-02-08,17.68,17.77,17.5,17.73,207800
1999-02-09,17.8,18.35,17.69,18.3,241000
1999-03-01,18.3,18.3,17.76,18.02,372200
1999-03-02,18.0,18.2,17.85,18.07,179100
1999-03-03,18.1,18.3,17.9,18.18,141100
1999-03-04,18.17,18.25,17.95,18.25,314900
1999-03-05,18.38,18.38,18.12,18.3,234800
1999-03-08,18.06,18.95,18.06,18.95,303800
1999-03-09,18.8,19.16,18.8,19.06,360100
1999-03-10,19.05,19.25,19.01,19.2,368800
1999-03-11,19.22,20.16,19.2,20.05,676600
1999-03-12,20.05,20.3,20.0,20.28,625800
1999-03-15,20.2,20.45,19.8,20.26,722300
1999-03-16,20.2,20.79,20.0,20.65,742300
1999-03-17,20.65,20.65,20.1,20.1,620100
1999-03-18,20.1,20.55,19.9,20.3,456300
1999-03-19,20.1,20.44,20.0,20.25,293100
1999-03-22,20.2,20.35,19.2,19.3,606800
1999-03-23,19.2,19.3,18.26,18.5,732400
1999-03-24,18.38,18.94,18.38,18.61,340800
1999-03-25,18.53,18.78,18.51,18.58,275800
1999-03-26,18.5,18.65,18.3,18.4,202500
1999-03-29,18.0,18.39,17.66,18.16,583900
