date,open,high,low,close,volume
2007-09-25,8.55,9.05,8.43,8.53,2736229727
2007-09-26,8.61,8.77,8.5,8.56,482580813
2007-09-27,8.64,9.3,8.63,9.3,645804977
2007-09-28,9.45,9.5,9.2,9.35,514626020
2007-10-08,9.55,9.99,9.3,9.82,535205655
2007-10-09,9.75,10.12,9.51,9.85,320626386
2007-10-10,9.87,10.16,9.8,9.95,314792876
2007-10-11,10.0,10.26,9.81,10.24,320170781
2007-10-12,10.29,10.29,9.58,10.06,325928023
2007-10-15,9.98,10.05,9.69,9.95,294362441
2007-10-16,9.95,10.53,9.95,10.13,353672941
2007-10-17,10.0,10.07,9.81,9.91,188688306
2007-10-18,9.89,9.9,9.53,9.59,198657733
2007-10-19,9.64,9.8,9.5,9.6,100265156
2007-10-22,9.45,9.57,9.29,9.32,117968508
2007-10-23,9.32,9.67,9.25,9.66,145878070
2007-10-24,9.72,9.96,9.63,9.65,179478232
2007-10-25,9.61,9.9,9.37,9.73,202285514
2007-10-26,9.7,9.98,9.64,9.95,240664461
2007-10-29,10.15,10.6,10.07,10.37,285771788
2007-10-30,10.5,10.92,10.28,10.86,262621709
2007-10-31,11.0,11.06,10.8,10.97,286857379
2007-11-01,10.96,11.53,10.83,11.32,261103686
2007-11-02,11.09,11.58,10.97,11.23,235687779
2007-11-05,11.23,11.25,10.7,10.8,252113269
2007-11-06,10.68,10.9,10.5,10.63,174154168
2007-11-07,10.78,10.97,10.64,10.95,117171592
2007-11-08,10.8,11.1,10.71,10.77,144041888
2007-11-09,10.69,10.98,10.47,10.83,132626361
2007-11-12,10.6,10.93,10.4,10.81,192792981
2007-11-13,10.92,11.0,10.49,10.56,146032381
2007-11-14,10.7,10.89,10.52,10.87,132522517
2007-11-15,10.86,11.18,10.72,11.01,192848215
2007-11-16,10.88,11.08,10.68,10.81,129099013
2007-11-19,10.84,10.85,10.58,10.7,90116203
2007-11-20,10.57,10.85,10.41,10.7,112817045
2007-11-21,10.71,10.79,10.46,10.49,87871592
2007-11-22,10.3,10.49,10.0,10.1,137517193
2007-11-23,10.0,10.21,9.9,10.2,77685012
2007-11-26,10.35,10.39,10.04,10.06,82625342
2007-11-27,9.98,10.2,9.91,10.02,59005786
2007-11-28,10.07,10.15,9.8,9.87,94897498
2007-11-29,9.99,10.4,9.84,10.38,159749016
2007-11-30,10.35,10.49,10.13,10.2,99059118
2007-12-03,10.15,10.4,10.0,10.3,81469878
2007-12-04,10.3,10.43,10.24,10.31,70579834
2007-12-05,10.26,10.53,10.18,10.51,114148768
2007-12-06,10.55,10.56,10.31,10.36,64846763
2007-12-07,10.4,10.43,10.28,10.42,87245356
2007-12-10,10.2,10.39,10.15,10.38,138609009
2007-12-11,10.4,10.4,10.06,10.19,156061633
2007-12-12,10.18,10.18,9.92,10.0,156557008
2007-12-13,9.93,10.0,9.8,9.83,150303484
2007-12-14,9.78,9.82,9.68,9.82,120609351
2007-12-17,9.85,9.89,9.4,9.43,159509663
2007-12-18,9.41,9.65,9.32,9.52,66972206
2007-12-19,9.62,9.76,9.52,9.74,61727784
2007-12-20,9.75,9.84,9.62,9.78,77830461
2007-12-21,9.7,9.98,9.66,9.81,120357719
2007-12-24,9.85,10.0,9.76,9.95,142906816
2007-12-25,9.95,9.95,9.66,9.74,367322046
2007-12-26,9.74,9.81,9.46,9.61,289434837
2007-12-27,9.65,9.87,9.5,9.87,296453209
2007-12-28,9.91,10.04,9.8,9.85,270517181
2008-01-02,9.9,9.92,9.7,9.8,149210714
2008-01-03,9.78,9.78,9.5,9.72,252961117
2008-01-04,9.69,9.78,9.57,9.73,178865356
2008-01-07,9.73,9.73,9.57,9.68,245762839
2008-01-08,9.72,9.95,9.71,9.83,283283347
2008-01-09,9.86,9.93,9.78,9.87,164095383
2008-01-10,9.95,10.02,9.83,9.91,204612580
2008-01-11,9.93,10.15,9.93,10.09,253838941
2008-01-14,10.16,10.21,10.0,10.04,181715310
2008-01-15,10.05,10.09,9.8,9.84,215817454
2008-01-16,9.77,9.77,9.55,9.61,286514305
2008-01-17,9.53,9.65,9.16,9.35,266240795
2008-01-18,9.46,9.51,9.3,9.41,122616265
2008-01-21,9.43,9.45,9.0,9.02,198714541
2008-01-22,8.88,8.9,8.12,8.28,264191827
2008-01-23,8.33,8.6,8.18,8.51,180131346
2008-01-24,8.65,8.69,8.19,8.35,203885546
2008-01-25,8.35,8.71,8.16,8.62,193255243
2008-01-28,8.53,8.53,8.0,8.03,137856519
2008-01-29,8.07,8.21,7.8,8.06,98674745
2008-01-30,8.14,8.23,7.78,7.89,173710159
2008-01-31,7.9,8.05,7.82,7.91,73820699
2008-02-01,7.96,8.17,7.84,8.1,120801306
2008-02-04,8.25,8.7,8.24,8.68,182104165
2008-02-05,8.6,8.62,8.4,8.49,81179173
2008-02-13,8.3,8.51,8.25,8.3,63755407
2008-02-14,8.39,8.45,8.22,8.32,62875404
2008-02-15,8.26,8.27,8.0,8.18,77249454
2008-02-18,8.25,8.28,8.16,8.2,88969965
2008-02-19,8.25,8.37,8.1,8.36,101004265
2008-02-20,8.31,8.36,8.0,8.1,174199917
2008-02-21,8.07,8.07,7.88,7.96,123273419
2008-02-22,7.94,7.94,7.67,7.77,179933209
2008-02-25,7.77,7.83,7.48,7.55,114147127
2008-02-26,7.7,7.82,7.5,7.7,92439230
2008-02-27,7.75,8.02,7.72,7.95,104221457
2008-02-28,7.99,7.99,7.75,7.86,54416039
2008-02-29,7.85,7.98,7.82,7.91,42238029
2008-03-03,7.85,8.08,7.79,7.99,79749618
2008-03-04,8.0,8.0,7.79,7.8,93838861
2008-03-05,7.8,7.84,7.61,7.73,68567557
2008-03-06,7.75,7.99,7.64,7.9,80167991
2008-03-07,7.8,7.85,7.67,7.76,43147004
2008-03-10,7.7,7.7,7.53,7.57,72890177
2008-03-11,7.5,7.58,7.4,7.52,62908479
2008-03-12,7.69,7.74,7.36,7.37,75195840
2008-03-13,7.28,7.28,7.01,7.21,95769741
2008-03-14,7.19,7.26,7.06,7.18,45432596
2008-03-17,7.18,7.22,7.01,7.07,54060578
2008-03-18,7.05,7.21,6.85,6.91,88254487
2008-03-19,7.02,7.2,6.96,7.1,61588853
2008-03-20,7.01,7.24,6.82,7.18,96186738
2008-03-21,7.15,7.24,7.06,7.1,54049550
2008-03-24,7.12,7.22,6.88,6.9,64543514
2008-03-25,6.85,7.0,6.76,6.95,71984025
2008-03-26,7.05,7.13,6.91,6.95,47643259
2008-03-27,6.85,6.86,6.46,6.57,126111321
2008-03-28,6.5,7.07,6.48,6.98,136738724
2008-03-31,6.75,7.02,6.7,6.81,63756860
2008-04-01,6.85,7.04,6.76,6.88,99102340
2008-04-02,7.07,7.36,6.99,7.2,258530894
2008-04-03,7.09,7.36,7.01,7.35,97999831
2008-04-07,7.35,7.5,7.21,7.44,122507766
2008-04-08,7.45,7.54,7.36,7.43,107046964
2008-04-09,7.38,7.43,7.07,7.08,81891790
2008-04-10,7.07,7.24,6.99,7.22,59789567
2008-04-11,7.25,7.37,7.21,7.34,47915304
2008-04-14,7.18,7.24,6.9,6.92,81841773
2008-04-15,6.9,7.04,6.7,7.03,49729775
2008-04-16,7.04,7.07,6.89,6.92,24211504
2008-04-17,6.91,7.16,6.77,6.86,36914492
2008-04-18,6.83,6.89,6.58,6.6,60685348
2008-04-21,7.08,7.1,6.6,6.75,85283525
2008-04-22,6.69,7.05,6.58,7.03,83122637
2008-04-23,6.93,7.47,6.92,7.33,213286749
2008-04-24,7.88,8.06,7.65,8.04,430375587
2008-04-25,7.92,8.08,7.81,7.83,155206539
2008-04-28,7.8,8.04,7.76,7.83,124359604
2008-04-29,7.84,8.03,7.82,7.93,98584193
2008-04-30,8.0,8.37,8.0,8.35,266731152
2008-05-05,8.38,8.44,8.18,8.29,114952231
