date,open,high,low,close,volume
1996-04-22,22.9,23.9,22.0,22.62,17224700
1996-04-23,22.0,22.97,21.88,22.74,3558900
1996-04-24,23.47,24.48,23.09,23.48,5007800
1996-04-25,24.6,26.26,24.5,25.4,7556800
1996-04-26,25.9,27.0,25.82,26.15,4119600
1996-04-29,26.9,26.99,25.04,25.6,2902500
1996-04-30,25.9,25.9,21.9,22.0,3075200
1996-05-02,23.5,23.93,21.2,21.48,2561300
1996-05-03,21.5,22.0,21.3,21.5,892300
1996-05-06,21.8,22.0,21.31,21.36,780900
1996-05-07,21.4,21.74,20.01,20.3,1223500
1996-05-08,20.1,20.38,19.52,20.2,875100
1996-05-09,20.1,20.79,19.9,20.08,503000
1996-05-10,20.0,20.65,19.92,20.5,626500
1996-05-13,20.5,20.8,20.5,20.62,404100
1996-05-14,20.78,20.8,20.0,20.25,372400
1996-05-15,20.3,20.78,20.25,20.7,389800
1996-05-16,20.9,21.0,20.2,20.25,660800
1996-05-17,20.48,23.5,20.0,23.2,1365400
1996-05-20,23.58,24.2,22.5,22.68,2218400
1996-05-21,22.8,22.88,20.2,20.9,1285100
1996-05-22,20.6,21.5,20.47,21.03,848500
1996-05-23,20.51,21.0,20.35,20.4,749200
1996-05-24,20.3,20.86,20.2,20.6,483000
1996-05-27,20.68,20.74,20.4,20.6,169800
1996-05-28,20.5,20.8,20.5,20.62,232400
1996-05-29,20.77,20.77,20.58,20.75,129300
1996-05-30,20.7,20.75,20.16,20.25,313900
1996-05-31,20.2,21.35,20.15,20.69,363700
1996-06-03,20.68,21.3,20.45,20.52,630600
1996-06-04,20.6,21.68,20.6,21.36,892800
1996-06-05,21.4,22.98,21.25,22.88,2322600
1996-06-06,23.0,23.24,21.6,21.89,2042400
1996-06-07,23.0,23.1,21.0,21.9,1168000
1996-06-10,22.0,22.2,20.75,21.4,1149300
1996-06-11,21.0,22.0,21.0,21.1,736800
1996-06-12,21.08,21.7,21.0,21.0,975600
1996-06-13,21.11,21.26,20.8,20.99,426600
1996-06-14,21.15,21.6,20.6,20.6,644600
1996-06-17,20.9,20.99,20.25,20.3,575300
1996-06-18,20.3,21.88,20.28,21.48,1007200
1996-06-19,21.95,21.97,20.88,21.08,1129300
1996-06-20,20.86,21.49,20.31,20.75,572200
1996-06-21,20.8,21.4,20.8,20.9,418400
1996-06-24,21.4,21.4,20.9,20.95,320300
1996-06-25,20.35,20.75,20.35,20.44,539200
1996-06-26,20.5,20.98,20.45,20.89,383000
1996-06-27,21.2,21.25,20.5,20.6,450800
1996-06-28,20.81,22.39,20.61,21.23,1426500
1996-07-01,21.0,21.0,20.3,20.6,613400
1996-07-02,20.65,20.79,20.2,20.35,275600
1996-07-03,20.35,20.7,20.3,20.69,415800
1996-07-04,20.85,20.9,20.2,20.39,612800
1996-07-05,20.4,20.48,20.0,20.28,748300
1996-07-08,20.58,21.1,20.21,20.48,672300
1996-07-09,20.5,20.8,19.6,20.0,705200
1996-07-10,20.0,20.0,19.69,19.78,711000
1996-07-11,19.9,20.05,19.72,19.75,466800
1996-07-12,19.65,19.75,19.55,19.75,406300
1996-07-15,19.48,19.48,18.5,18.88,403400
1996-07-16,18.88,19.8,18.7,19.8,424600
1996-07-17,19.85,20.55,19.7,19.7,692200
1996-07-18,19.6,20.0,19.4,19.7,235800
1996-07-19,19.8,20.48,19.75,20.25,537200
1996-07-22,20.71,20.88,20.35,20.48,775400
1996-07-23,20.53,20.7,19.55,20.1,452800
1996-07-24,20.4,20.7,20.35,20.55,581200
1996-07-25,20.7,21.67,20.55,20.97,1128600
1996-07-26,21.0,21.05,19.81,20.1,675900
1996-07-29,19.98,20.1,19.82,19.82,346200
1996-07-30,19.85,20.15,19.6,19.8,262200
1996-07-31,19.88,19.98,19.31,19.8,179400
1996-08-01,19.85,20.2,19.5,19.84,312200
1996-08-02,20.0,20.25,19.65,19.84,225300
1996-08-05,20.49,20.78,20.11,20.32,280600
1996-08-06,20.3,20.38,19.89,19.99,171300
1996-08-07,20.1,21.1,19.95,20.8,1617700
1996-08-08,21.18,23.38,21.18,23.2,4408400
1996-08-09,23.2,25.2,23.1,24.9,5319800
1996-08-12,25.11,25.2,24.0,24.2,1534100
1996-08-13,24.2,24.65,23.6,23.8,924300
1996-08-14,23.88,23.99,22.9,23.0,799700
1996-08-15,23.1,23.71,23.0,23.1,528900
1996-08-16,23.3,23.52,22.1,22.7,829100
1996-08-19,22.79,22.98,22.2,22.3,482400
1996-08-20,22.31,23.08,22.31,22.6,417500
1996-08-21,22.75,22.99,22.5,22.59,357000
1996-08-22,22.68,22.94,21.8,21.99,258800
1996-08-23,21.97,22.0,21.01,21.9,475300
1996-08-26,21.9,23.4,21.6,23.4,1930400
1996-08-27,23.2,23.78,22.8,23.1,2102300
1996-08-28,23.21,23.86,22.0,22.45,1447600
1996-08-29,22.45,22.45,21.8,22.1,289800
1996-08-30,22.1,22.78,22.0,22.1,372800
1996-09-02,22.38,22.49,21.9,21.9,330700
1996-09-03,21.96,22.1,21.67,21.67,594300
1996-09-04,21.55,22.25,21.1,22.1,418900
1996-09-05,22.5,22.75,21.85,22.15,745800
1996-09-06,22.2,22.25,21.51,21.89,193400
1996-09-09,21.89,21.9,21.31,21.75,181800
1996-09-10,21.39,21.96,20.9,21.15,351400
1996-09-11,21.08,21.45,20.95,21.3,127000
1996-09-12,21.5,21.8,20.95,20.98,298800
1996-09-13,21.01,21.15,20.0,21.05,266600
1996-09-16,21.05,21.4,20.88,21.1,257600
1996-09-17,21.1,21.55,21.1,21.1,150800
1996-09-18,21.28,22.3,21.28,21.4,487400
1996-09-19,21.4,22.14,21.28,22.05,377900
1996-09-20,22.2,22.5,21.9,22.45,452200
1996-09-23,22.81,23.28,22.6,23.2,779400
1996-09-24,23.4,23.78,23.2,23.45,1270500
1996-09-25,23.6,23.8,22.8,22.86,571700
1996-09-26,23.0,23.79,22.92,23.45,602500
1996-09-27,23.61,24.3,23.32,24.3,922900
1996-10-03,24.2,24.3,23.0,23.56,413800
1996-10-04,23.32,23.67,23.2,23.28,337900
1996-10-07,23.48,23.95,23.27,23.75,1255600
1996-10-08,24.2,24.2,23.7,23.92,732000
1996-10-09,24.0,24.21,23.05,23.35,945200
1996-10-10,15.6,15.77,15.18,15.5,1022400
1996-10-11,15.5,15.5,14.68,14.85,1116400
1996-10-14,14.72,15.85,14.42,15.8,1195200
1996-10-15,16.04,16.95,16.04,16.2,3767000
1996-10-16,16.38,16.4,15.75,15.85,1796200
1996-10-17,15.79,16.08,15.3,15.7,770300
1996-10-18,15.8,15.9,15.3,15.3,759000
1996-10-21,15.4,15.5,15.25,15.4,682400
1996-10-22,14.88,15.9,14.88,15.64,1074100
1996-10-23,15.71,16.53,15.71,16.12,3439500
1996-10-24,16.28,16.58,15.78,15.92,1689700
1996-10-25,15.88,16.2,15.5,15.92,1195900
1996-10-28,15.8,16.37,15.68,16.2,1344500
1996-10-29,16.22,16.5,15.71,15.71,1011600
1996-10-30,15.71,16.0,15.0,15.18,1289400
1996-10-31,15.41,16.65,15.19,16.48,5115300
1996-11-01,16.0,16.18,15.39,15.81,1901300
1996-11-04,16.03,16.88,16.0,16.51,4845400
1996-11-05,16.61,17.1,16.2,16.49,2591500
1996-11-06,16.5,16.75,15.88,16.19,1232500
1996-11-07,16.5,17.37,16.5,17.21,7870000
1996-11-08,17.25,17.5,16.8,17.24,3978700
1996-11-11,17.55,17.98,17.5,17.85,4621900
1996-11-12,17.84,17.84,17.31,17.4,1773500
1996-11-13,17.48,17.86,17.01,17.1,2348400
1996-11-14,17.3,17.35,16.9,16.94,1661600
1996-11-15,17.0,17.05,16.41,16.6,1370500
1996-11-18,16.6,17.4,16.5,17.3,2016500
1996-11-19,17.5,17.9,16.8,17.02,2862900
1996-11-20,16.99,17.25,16.6,17.0,1419100
1996-11-21,16.9,16.92,15.8,15.97,1470200
1996-11-22,15.75,15.95,15.3,15.8,1241900
1996-11-25,15.69,16.88,15.4,16.84,1359100
1996-11-26,16.91,16.95,16.11,16.3,829700
1996-11-27,15.98,16.5,15.98,16.3,550800
1996-11-28,16.37,16.45,16.08,16.1,665600
1996-11-29,16.25,16.78,16.25,16.5,750400
1996-12-02,16.8,17.4,16.58,17.34,1706400
1996-12-03,17.58,19.39,17.52,18.76,6364400
1996-12-04,18.5,19.0,18.25,18.98,3322600
1996-12-05,19.3,19.48,18.51,18.87,1512900
1996-12-06,18.5,18.65,18.2,18.49,1156900
1996-12-09,18.5,18.75,17.9,18.45,2063900
1996-12-10,18.45,18.5,17.84,18.4,1447700
1996-12-11,18.48,19.39,18.19,18.9,7044300
1996-12-12,19.2,19.68,17.9,18.09,4255900
1996-12-13,18.0,18.1,16.4,16.55,2325400
1996-12-16,14.9,14.9,14.9,14.9,559100
1996-12-17,13.41,14.88,13.41,13.41,1934100
1996-12-18,13.45,14.71,13.45,14.57,2300800
1996-12-19,14.57,14.57,13.5,13.9,2583900
1996-12-20,13.71,14.18,13.68,13.9,1176800
1996-12-23,14.2,14.7,14.1,14.32,730200
1996-12-24,14.45,14.5,13.88,13.9,587900
1996-12-25,14.0,14.39,13.9,14.15,331900
1996-12-26,14.38,14.38,14.08,14.31,388200
