date,open,high,low,close,volume
2003-12-16,20.0,20.78,19.88,19.95,7204181
2003-12-17,19.38,19.4,18.4,18.45,3477866
2003-12-18,18.03,18.45,18.0,18.07,1318173
2003-12-19,18.0,18.16,16.91,17.31,2108017
2003-12-22,17.01,17.58,16.8,17.44,1213452
2003-12-23,17.31,17.49,17.03,17.21,691433
2003-12-24,17.12,17.38,16.86,17.04,757444
2003-12-25,17.38,17.49,16.98,17.37,622782
2003-12-26,17.4,18.37,17.3,17.66,1312989
2003-12-29,17.7,17.95,17.37,17.47,546522
2003-12-30,17.45,17.5,17.11,17.27,443489
2003-12-31,17.23,18.19,17.22,17.66,973704
2004-01-02,17.5,18.1,17.5,17.66,503560
2004-01-05,17.66,18.34,17.61,18.09,760344
2004-01-06,18.18,18.38,17.71,18.3,924849
2004-01-07,18.22,18.53,17.95,18.17,966602
2004-01-08,18.18,19.6,18.17,19.29,1998483
2004-01-09,19.3,19.55,18.51,18.54,1232699
2004-01-12,18.58,18.85,18.2,18.84,577062
2004-01-13,18.83,19.05,18.3,18.45,713622
2004-01-14,18.38,18.77,18.08,18.41,481555
2004-01-15,18.76,19.17,18.66,18.7,833094
2004-01-16,18.72,19.09,18.53,19.01,736209
2004-01-30,19.81,20.11,18.8,18.84,1069553
2004-02-02,19.0,19.49,18.49,18.9,580126
2004-02-03,18.9,20.79,18.9,20.5,3196368
2004-02-04,20.39,20.43,19.8,20.2,1361598
2004-02-05,20.27,21.54,20.1,20.86,1440380
2004-02-06,20.83,20.91,20.55,20.58,692941
2004-02-09,20.61,20.99,20.51,20.84,616734
2004-02-10,20.84,20.95,20.15,20.33,634275
2004-02-11,20.2,20.75,20.1,20.43,469638
2004-02-12,20.43,20.76,20.33,20.36,415500
2004-02-13,20.5,21.28,20.4,20.8,947068
2004-02-16,21.0,22.18,21.0,21.81,1223507
2004-02-17,21.98,22.47,21.61,21.85,1420452
2004-02-18,21.8,21.96,21.3,21.58,686487
2004-02-19,21.58,22.2,21.5,21.99,716437
2004-02-20,21.99,22.15,21.52,21.9,645932
2004-02-23,24.09,24.09,22.5,22.57,2633631
2004-02-24,22.48,22.58,22.01,22.36,855521
2004-02-25,22.36,23.3,21.95,22.03,959068
2004-02-26,22.0,22.3,20.38,20.98,1072988
2004-02-27,21.49,21.75,21.1,21.56,530432
2004-03-01,21.4,21.56,20.68,21.2,502788
2004-03-02,21.2,21.3,20.86,21.1,497791
2004-03-03,21.1,21.2,20.68,20.69,450422
2004-03-04,20.67,21.41,20.58,21.13,408441
2004-03-05,21.2,21.28,20.76,20.88,375971
2004-03-08,20.9,21.75,20.79,20.83,555337
2004-03-09,20.8,22.88,20.75,21.28,739989
2004-03-10,21.26,21.64,21.2,21.59,372525
2004-03-11,21.58,21.95,21.51,21.64,336481
2004-03-12,21.6,21.82,21.15,21.2,356411
2004-03-15,21.09,21.39,20.8,21.29,531270
2004-03-16,21.3,21.39,20.8,21.01,470750
2004-03-17,20.9,21.09,20.81,20.96,263428
2004-03-18,20.95,21.0,20.39,20.41,528550
2004-03-19,20.35,20.54,20.21,20.48,451166
2004-03-22,20.5,20.77,20.35,20.59,204178
2004-03-23,20.6,20.6,20.35,20.43,165887
2004-03-24,20.43,20.69,20.35,20.37,166113
2004-03-25,20.27,20.55,20.27,20.48,173652
2004-03-26,20.69,21.33,20.6,20.98,542930
2004-03-29,21.05,21.55,21.0,21.0,446461
2004-03-30,21.0,21.97,21.0,21.87,970510
2004-03-31,21.92,21.97,21.5,21.76,555848
2004-04-01,21.81,22.15,21.7,21.79,500329
2004-04-02,21.88,22.48,21.88,22.45,738326
2004-04-05,22.5,23.68,22.5,22.94,1601417
2004-04-06,23.0,23.39,22.8,22.96,689779
2004-04-07,22.92,23.15,22.02,22.27,650421
2004-04-08,22.3,23.28,22.3,23.0,826702
2004-04-09,23.0,23.3,21.75,22.49,1054956
2004-04-12,22.0,22.48,21.86,22.25,384394
2004-04-13,22.2,22.57,22.0,22.19,448353
2004-04-14,22.05,22.18,21.4,21.62,514010
2004-04-15,21.62,22.25,21.55,22.01,528324
2004-04-16,22.01,22.7,21.15,21.55,637274
2004-04-19,21.61,22.0,20.8,20.87,394879
2004-04-20,21.0,21.0,20.28,20.69,322015
2004-04-21,20.64,21.48,20.63,21.0,321360
2004-04-22,21.0,21.3,20.99,21.15,136719
2004-04-23,21.01,21.2,20.45,20.58,220613
2004-04-26,20.34,20.52,18.98,19.06,705173
2004-04-27,17.15,19.0,17.15,18.83,842231
2004-04-28,18.61,19.2,18.6,18.9,207814
2004-04-29,18.9,19.2,18.56,18.78,173600
2004-04-30,18.76,19.09,18.4,19.07,215642
2004-05-10,18.99,19.15,18.55,18.62,82085
2004-05-11,18.62,19.09,18.51,18.9,92053
2004-05-12,18.72,19.5,18.71,19.39,160858
2004-05-13,19.38,19.39,19.05,19.08,58300
2004-05-14,19.1,19.3,18.7,18.75,79266
2004-05-17,18.52,18.96,18.5,18.8,61301
2004-05-18,18.8,19.8,18.8,19.46,239763
2004-05-19,19.48,19.88,19.29,19.4,159800
2004-05-21,19.03,19.3,18.9,19.16,106861
2004-05-24,19.28,19.28,18.71,18.84,60900
2004-05-25,18.9,18.9,18.39,18.4,103600
2004-05-26,18.35,18.87,18.21,18.44,73467
2004-05-27,18.46,19.18,18.45,18.98,109930
2004-05-28,18.95,19.23,18.89,19.15,127472
2004-05-31,19.0,19.99,19.0,19.75,514846
2004-06-01,19.85,20.91,19.4,20.59,1028684
2004-06-02,20.65,21.0,20.35,20.48,307696
2004-06-03,20.4,20.48,19.81,20.11,271258
2004-06-04,19.7,19.88,19.4,19.4,80771
2004-06-07,19.5,19.56,18.8,19.12,183702
2004-06-08,19.29,19.3,19.01,19.05,78049
2004-06-09,19.0,19.16,18.38,18.44,88760
2004-06-10,18.4,18.68,18.0,18.26,125097
2004-06-11,18.3,18.8,18.2,18.3,116150
2004-06-14,18.2,18.49,18.0,18.0,112459
2004-06-15,18.0,18.47,17.96,18.47,82379
2004-06-16,18.41,18.45,18.1,18.2,62600
2004-06-17,18.03,18.32,17.95,18.0,95100
2004-06-18,18.0,18.6,18.0,18.37,119250
2004-06-21,18.38,19.15,18.37,19.01,214862
2004-06-22,19.27,19.28,19.0,19.08,127020
2004-06-23,19.02,19.02,18.45,18.6,76320
2004-06-24,18.6,20.46,18.6,19.32,1187564
2004-06-25,19.5,19.76,18.15,18.33,522060
2004-06-28,18.01,18.18,17.23,17.51,228307
2004-06-29,17.3,17.85,17.05,17.39,163190
