date,open,high,low,close,volume
2002-04-09,10.51,10.88,10.51,10.66,414108831
2002-04-10,10.66,10.7,10.39,10.6,67945475
2002-04-11,10.6,10.68,10.49,10.52,22788255
2002-04-12,10.5,10.64,10.48,10.57,21256463
2002-04-15,10.57,10.6,10.35,10.39,18531104
2002-04-16,10.35,10.39,10.14,10.16,24925491
2002-04-17,10.15,10.26,10.09,10.22,11459339
2002-04-18,10.2,10.2,10.1,10.12,8533279
2002-04-19,10.1,10.15,9.99,10.14,15722249
2002-04-22,10.1,10.1,9.99,10.01,6593827
2002-04-23,10.0,10.09,9.91,10.0,7376544
2002-04-24,10.0,10.0,9.7,9.77,17241356
2002-04-25,9.75,9.85,9.74,9.81,9960272
2002-04-26,9.82,9.89,9.8,9.84,8169213
2002-04-29,9.84,9.88,9.71,9.85,9036087
2002-04-30,9.89,10.15,9.8,10.02,18262505
2002-05-08,10.0,10.03,9.88,9.9,4228358
2002-05-09,9.89,10.08,9.88,9.94,4470394
2002-05-10,9.91,9.93,9.8,9.81,4638480
2002-05-13,9.8,9.8,9.58,9.62,12725497
2002-05-14,9.6,9.64,9.46,9.48,8239948
2002-05-15,9.46,9.55,9.28,9.29,9708385
2002-05-16,9.28,9.28,9.07,9.15,19517141
2002-05-17,9.18,9.3,9.05,9.25,10010112
2002-05-20,9.13,9.18,8.93,8.98,11297072
2002-05-21,9.18,9.25,9.03,9.18,12608352
2002-05-22,9.19,9.2,8.91,8.94,7338358
2002-05-23,8.95,9.13,8.94,8.98,7188925
2002-05-24,8.98,9.04,8.76,8.87,10526000
2002-05-27,8.89,8.95,8.78,8.91,5439444
2002-05-28,8.91,8.99,8.9,8.92,5607677
2002-05-29,8.92,8.94,8.62,8.67,7480150
2002-05-30,8.66,8.78,8.52,8.75,13179829
2002-05-31,8.73,8.86,8.66,8.7,4669199
2002-06-04,8.63,9.0,8.54,8.86,21315760
2002-06-05,9.22,9.22,8.72,8.74,9149476
2002-06-06,8.74,9.08,8.68,9.0,12530992
2002-06-07,9.01,9.06,8.9,8.98,11760656
2002-06-10,8.98,9.06,8.93,8.99,4910142
2002-06-11,8.99,9.01,8.92,8.94,2848153
2002-06-12,9.0,9.0,8.8,8.87,3036753
2002-06-13,8.87,8.87,8.75,8.76,2861462
2002-06-14,8.75,8.75,8.67,8.68,2939500
2002-06-17,8.65,8.66,8.58,8.66,3036771
2002-06-18,8.66,8.85,8.65,8.81,5317574
2002-06-19,8.81,8.82,8.65,8.68,2774519
2002-06-20,8.68,8.83,8.67,8.73,4108300
2002-06-21,8.75,9.09,8.72,8.97,14947363
2002-06-24,9.87,9.87,9.51,9.87,95065027
2002-06-25,9.99,10.85,9.81,10.45,149514953
2002-06-26,10.35,10.6,10.15,10.23,41963672
2002-06-27,10.23,10.6,10.18,10.5,41442717
2002-06-28,10.51,11.55,10.51,11.55,156015369
2002-07-01,11.7,11.84,11.4,11.58,90583632
2002-07-02,11.55,11.56,11.18,11.44,37955268
2002-07-03,11.4,11.69,11.31,11.47,25683720
2002-07-04,11.5,11.58,10.94,11.11,41951694
2002-07-05,11.0,11.34,10.92,11.3,33747227
2002-07-08,11.19,11.7,11.19,11.34,41931594
2002-07-09,11.35,11.73,11.35,11.65,53912874
2002-07-10,11.65,11.92,11.29,11.31,103668559
2002-07-11,11.22,11.4,11.15,11.19,31305363
2002-07-12,11.19,11.25,10.98,11.03,32493660
2002-07-15,11.0,11.05,10.75,10.84,23448328
2002-07-16,10.87,11.05,10.79,10.86,18594602
2002-07-17,10.88,11.04,10.79,11.03,8479998
2002-07-18,11.09,11.22,10.98,11.1,20092068
2002-07-19,11.15,11.19,11.0,11.14,9684195
2002-07-22,11.16,11.16,10.66,10.69,21510542
2002-07-23,10.65,11.04,10.61,10.79,18666749
2002-07-24,10.75,10.93,10.69,10.78,8015858
2002-07-25,10.75,10.85,10.59,10.66,10470632
2002-07-26,10.68,10.74,10.6,10.62,7678834
2002-07-29,10.6,10.7,10.5,10.69,8736892
2002-07-30,10.75,11.15,10.69,10.95,33096969
2002-07-31,10.89,11.05,10.65,10.7,14637918
2002-08-01,10.69,10.81,10.59,10.73,6501091
2002-08-02,10.76,10.8,10.65,10.73,3755525
2002-08-05,10.73,10.73,10.51,10.52,5849596
2002-08-06,10.5,10.83,10.36,10.56,13136811
2002-08-07,10.56,10.69,10.52,10.6,8028176
2002-08-08,10.65,10.85,10.62,10.65,14410144
2002-08-09,10.6,10.66,10.53,10.53,10941629
2002-08-12,10.32,10.44,10.24,10.34,60520478
2002-08-13,10.34,10.51,10.28,10.34,15877898
2002-08-14,10.36,10.5,10.36,10.46,8680932
2002-08-15,10.46,10.52,10.39,10.44,6382901
2002-08-16,10.42,10.55,10.29,10.44,12814339
2002-08-19,10.46,10.68,10.36,10.56,11227906
2002-08-20,10.57,11.04,10.57,10.92,38149219
2002-08-21,10.93,11.02,10.86,10.87,16215953
2002-08-22,10.88,11.02,10.84,10.89,21519626
2002-08-23,10.89,11.05,10.87,10.92,13680119
2002-08-26,10.92,10.96,10.73,10.76,10506530
2002-08-27,10.73,10.95,10.71,10.8,11481583
2002-08-28,10.8,10.95,10.75,10.84,8661100
2002-08-29,10.84,10.95,10.77,10.79,7463258
2002-08-30,10.84,10.86,10.78,10.81,5432107
2002-09-02,10.71,10.86,10.71,10.79,3848818
2002-09-03,10.8,10.94,10.8,10.94,8212924
2002-09-04,10.95,10.98,10.83,10.84,6324375
2002-09-05,10.81,10.81,10.58,10.62,15040376
2002-09-06,10.6,10.62,10.4,10.42,10876882
2002-09-09,10.36,10.42,10.31,10.37,7814809
2002-09-10,10.37,10.48,10.36,10.38,3131134
2002-09-11,10.4,10.47,10.1,10.33,13656652
2002-09-12,10.33,10.42,10.25,10.31,2574361
2002-09-13,10.33,10.41,10.3,10.36,2438676
2002-09-16,10.36,10.36,10.01,10.07,15388084
2002-09-17,10.07,10.21,10.0,10.09,7992153
2002-09-18,10.11,10.15,10.07,10.09,3693015
2002-09-19,10.08,10.39,10.01,10.27,8901655
2002-09-20,10.28,10.3,10.11,10.14,4568128
2002-09-23,10.1,10.21,10.09,10.16,1949610
2002-09-24,10.16,10.32,10.12,10.22,4383120
2002-09-25,10.29,10.35,10.15,10.28,3752865
2002-09-26,10.27,10.38,10.19,10.2,4846309
2002-09-27,10.2,10.31,10.0,10.08,9888852
2002-10-08,10.04,10.15,9.91,10.0,4181785
2002-10-09,10.0,10.0,9.68,9.7,6354635
2002-10-10,9.69,9.79,9.53,9.57,3331764
2002-10-11,9.6,9.67,9.45,9.51,5922334
2002-10-14,9.52,9.68,9.3,9.6,4730786
2002-10-15,9.59,9.66,9.48,9.49,4499647
2002-10-16,9.5,9.8,9.5,9.69,7171308
2002-10-17,9.69,9.7,9.52,9.64,4520709
2002-10-18,9.59,9.75,9.52,9.67,3151790
2002-10-21,9.67,9.8,9.6,9.74,2054972
2002-10-22,9.74,9.94,9.74,9.86,5563446
2002-10-23,9.86,9.9,9.76,9.8,4266450
2002-10-24,9.81,9.87,9.73,9.75,1655538
2002-10-25,9.77,9.84,9.61,9.67,3825371
2002-10-28,9.6,9.75,9.48,9.53,6602902
2002-10-29,9.53,9.65,9.46,9.62,2786952
2002-10-30,9.55,9.67,9.54,9.64,1668658
2002-10-31,9.64,9.74,9.55,9.57,2799611
2002-11-01,9.59,9.71,9.54,9.63,3491723
2002-11-04,9.69,9.85,9.63,9.83,5712877
2002-11-05,9.85,10.05,9.85,9.92,15260779
2002-11-06,9.93,9.95,9.87,9.9,3178330
2002-11-07,9.93,10.03,9.9,10.0,10757768
2002-11-08,10.07,10.14,9.74,9.84,12899282
2002-11-11,9.81,9.9,9.67,9.68,3603751
2002-11-12,9.7,9.99,9.67,9.74,14242964
2002-11-13,9.74,9.78,9.56,9.68,6844582
2002-11-14,9.7,9.73,9.45,9.47,5732236
2002-11-15,9.42,9.65,9.38,9.4,9145746
2002-11-18,9.4,9.49,9.14,9.17,9283700
2002-11-19,9.15,9.28,9.09,9.24,4085609
2002-11-20,9.18,9.21,9.08,9.11,5239305
2002-11-21,9.1,9.12,8.81,8.85,10999904
2002-11-22,8.88,8.98,8.75,8.87,5557863
2002-11-25,8.87,9.05,8.83,8.9,3725609
2002-11-26,8.88,8.99,8.77,8.8,3262317
2002-11-27,8.8,8.96,8.71,8.92,5267855
2002-11-28,9.0,9.13,8.9,9.11,5129366
2002-11-29,9.1,9.3,8.98,9.21,12475317
2002-12-02,9.2,9.2,8.92,8.93,4452673
2002-12-03,8.9,9.05,8.9,9.01,3083379
2002-12-04,9.08,9.1,8.97,9.0,4404350
2002-12-05,8.9,8.91,8.78,8.83,6716868
2002-12-06,8.8,8.92,8.78,8.82,5380583
2002-12-09,8.82,8.93,8.78,8.88,7045001
2002-12-10,8.73,8.91,8.67,8.69,54652106
2002-12-11,8.69,8.7,8.59,8.65,14292761
2002-12-12,8.65,8.72,8.58,8.6,11304106
2002-12-13,8.55,8.72,8.41,8.69,11817546
2002-12-16,8.68,8.75,8.62,8.68,5393960
2002-12-17,8.7,8.77,8.65,8.69,10292321
2002-12-18,8.73,8.78,8.65,8.67,6878266
2002-12-19,8.67,8.69,8.59,8.61,5677347
2002-12-20,8.61,8.79,8.61,8.75,7691380
2002-12-23,8.75,8.88,8.75,8.79,6571463
2002-12-24,8.78,8.82,8.73,8.78,3847537
