date,open,high,low,close,volume
2015-12-04,22.8,32.99,22.1,29.35,176714096
2015-12-07,27.66,28.6,26.42,26.42,113204093
2015-12-08,24.51,24.98,23.78,23.78,53706384
2015-12-09,22.41,26.16,22.41,26.16,168656082
2015-12-10,25.29,26.75,23.66,24.27,124242752
2015-12-11,23.96,23.96,22.4,22.6,86853272
2015-12-14,22.36,22.36,21.27,21.89,64322060
2015-12-15,22.1,23.31,21.66,22.65,86165552
2015-12-16,22.28,22.4,21.8,21.91,56467112
2015-12-17,22.1,22.99,21.93,22.37,71184904
2015-12-18,22.07,22.78,21.91,22.16,57112480
2015-12-21,21.9,22.1,21.5,21.87,44782128
2015-12-22,21.87,22.09,21.44,21.63,40189925
2015-12-23,21.51,21.97,21.39,21.68,43505272
2015-12-24,21.67,23.85,21.6,23.23,104738400
2015-12-25,22.73,22.96,22.2,22.33,56282519
2015-12-28,22.6,22.77,21.53,21.58,46844177
2015-12-29,21.58,21.99,21.27,21.98,31665354
2015-12-30,21.8,21.88,21.41,21.6,28167174
2015-12-31,21.52,21.56,20.28,20.31,46594946
2016-01-04,20.18,20.18,18.28,18.29,39381769
2016-01-05,17.3,18.23,16.59,17.52,44507937
2016-01-06,17.63,18.22,17.53,18.09,38684777
2016-01-07,17.6,17.65,16.28,16.28,11121113
2016-01-08,16.85,16.99,15.0,16.02,39390496
2016-01-11,15.52,15.76,14.42,14.42,36251028
2016-01-12,14.44,15.18,14.03,14.78,39797352
2016-01-13,14.82,15.05,14.07,14.28,32764312
2016-01-14,13.7,14.8,13.61,14.66,31630549
2016-01-15,14.49,14.66,13.4,13.65,30325399
2016-01-18,13.28,14.18,13.28,13.88,27133491
2016-01-19,13.79,14.59,13.71,14.49,33514272
2016-01-20,14.3,14.44,13.96,14.08,31254444
2016-01-21,13.76,14.25,13.5,13.54,27857746
2016-01-25,13.36,14.19,12.89,14.15,42772797
2016-01-26,13.66,13.97,12.74,12.74,34729357
2016-01-27,12.8,12.94,11.72,12.33,29665811
2016-01-28,12.11,12.38,11.41,11.62,21791182
2016-01-29,11.99,12.45,11.72,12.2,26747493
2016-02-01,12.35,12.5,12.03,12.24,23484303
2016-02-02,12.37,12.95,12.28,12.65,28843801
2016-02-03,12.8,13.46,12.58,12.95,36065991
2016-02-04,12.8,13.3,12.75,13.18,28937136
2016-02-05,13.55,13.65,13.0,13.01,26301661
2016-02-15,12.55,12.88,12.45,12.75,18686203
2016-02-16,12.86,13.5,12.83,13.38,27717840
2016-02-17,13.39,13.55,13.11,13.51,31534072
2016-02-18,13.98,14.86,13.69,14.86,79072029
2016-02-19,14.45,14.76,14.35,14.52,51321699
2016-02-22,14.87,15.57,14.7,15.05,54275453
