date,open,high,low,close,volume
1999-06-23,16.9,18.8,16.21,18.21,36886200
1999-06-24,18.2,20.03,18.01,20.03,16509100
1999-06-25,20.99,22.03,19.9,19.9,14241700
1999-06-28,20.2,21.89,19.8,21.88,10239400
1999-06-29,22.5,22.85,20.5,20.99,7076400
1999-06-30,20.9,20.9,18.89,18.89,7583000
1999-07-01,18.35,18.4,17.0,17.0,4971400
1999-07-02,17.3,18.7,17.0,18.7,3640900
1999-07-05,18.89,19.85,17.81,18.08,3675600
1999-07-06,17.9,19.0,17.3,18.35,2070200
1999-07-07,18.45,19.2,18.18,19.2,1908700
1999-07-08,19.18,19.2,18.6,18.7,1354900
1999-07-09,18.69,18.69,17.88,18.25,1866100
1999-07-12,18.25,18.38,17.15,17.2,1801800
1999-07-13,17.2,17.89,17.0,17.38,1038600
1999-07-14,17.4,17.75,17.2,17.62,676700
1999-07-15,17.6,17.6,17.1,17.4,885100
1999-07-16,17.3,17.3,16.35,16.5,1754800
1999-07-19,16.3,16.5,16.1,16.21,829198
1999-07-20,16.26,17.48,16.18,17.33,1147700
1999-07-21,17.4,17.89,17.25,17.36,1814800
1999-07-22,17.3,17.35,16.4,16.46,982400
1999-07-23,16.5,16.99,16.46,16.5,799100
1999-07-26,16.7,16.87,16.32,16.55,719300
1999-07-27,16.66,17.38,16.55,16.88,935400
1999-07-28,16.9,17.2,16.7,16.78,896700
1999-07-29,16.9,17.85,16.48,17.6,3381600
1999-07-30,17.6,18.23,17.5,17.78,4828900
1999-08-02,17.7,17.83,17.0,17.4,2497200
1999-08-03,17.5,17.65,17.06,17.42,1835500
1999-08-04,17.16,17.6,17.16,17.39,718900
1999-08-05,17.5,17.5,17.1,17.22,931300
1999-08-06,17.12,17.2,16.6,17.0,1110800
1999-08-09,16.15,16.85,16.12,16.58,1154100
1999-08-10,16.6,17.0,16.55,16.79,728600
1999-08-11,16.8,16.8,16.27,16.42,612300
1999-08-12,16.4,16.5,16.19,16.28,425000
1999-08-13,16.3,16.5,16.26,16.35,349300
1999-08-16,16.3,16.3,14.96,14.96,1406100
1999-08-17,14.96,15.28,14.96,14.99,798500
1999-08-18,15.05,15.1,14.5,14.77,845500
1999-08-19,15.0,15.9,14.8,15.58,1090600
1999-08-20,15.65,15.88,15.18,15.3,683200
1999-08-23,15.2,15.5,14.9,15.28,654600
1999-08-24,15.3,15.35,15.15,15.25,612700
1999-08-25,15.25,15.38,14.92,15.0,609200
1999-08-26,15.1,15.45,15.02,15.44,546100
1999-08-27,15.48,15.98,15.45,15.72,962100
1999-08-30,15.72,15.84,15.3,15.42,514900
1999-08-31,15.48,15.51,15.28,15.39,444800
1999-09-01,15.39,15.99,15.3,15.6,1969200
1999-09-02,15.6,15.62,15.28,15.59,1316000
1999-09-03,15.75,15.75,15.37,15.39,506700
1999-09-06,15.39,15.48,14.95,15.0,615000
1999-09-08,15.48,15.78,15.2,15.6,869600
1999-09-09,15.95,17.0,15.51,16.8,2922900
1999-09-10,17.1,17.7,16.85,16.95,3460100
1999-09-13,16.98,17.3,16.68,16.85,1054000
1999-09-14,16.99,17.17,16.75,16.95,703900
1999-09-15,16.88,17.55,16.85,17.41,2095900
1999-09-16,17.5,17.58,16.99,16.99,1326700
1999-09-17,16.86,17.24,16.81,17.01,681300
1999-09-20,17.28,17.38,17.0,17.14,637300
1999-09-21,17.09,17.19,16.8,17.1,363300
1999-09-22,17.07,17.1,16.68,16.68,339000
1999-09-23,16.68,16.81,16.3,16.36,433200
1999-09-24,16.42,16.8,16.42,16.6,380300
1999-09-27,17.0,17.01,16.45,16.58,207800
1999-09-28,16.65,16.84,16.3,16.4,277000
1999-09-29,16.37,16.58,16.15,16.18,362280
1999-09-30,16.25,16.56,16.0,16.18,325600
1999-10-08,16.0,16.4,16.0,16.15,230000
1999-10-11,16.3,16.95,16.26,16.57,1394600
1999-10-12,17.0,17.0,16.58,16.66,514300
1999-10-13,16.71,17.18,16.61,17.11,1365300
1999-10-14,17.1,17.45,16.83,17.08,1129700
1999-10-15,17.35,17.95,17.12,17.57,2672600
1999-10-18,17.6,17.75,16.66,16.7,1162200
1999-10-19,16.5,16.98,16.35,16.68,551300
1999-10-20,16.75,17.4,16.6,17.18,568200
1999-10-21,17.18,17.18,16.68,16.94,476900
1999-10-22,17.51,17.88,17.25,17.26,1204700
1999-10-25,17.37,17.37,16.82,17.15,570500
1999-10-26,17.2,17.73,17.06,17.53,977100
1999-10-27,17.69,18.28,17.69,18.13,3511500
1999-10-28,18.15,18.22,17.69,17.9,1178900
1999-10-29,18.0,18.16,17.3,17.45,1365900
1999-11-01,17.45,17.48,17.0,17.01,891600
1999-11-02,17.03,17.3,16.85,16.92,569900
1999-11-03,16.9,16.98,16.51,16.6,707700
1999-11-04,16.51,16.79,16.3,16.36,766800
1999-11-05,16.36,16.59,16.31,16.4,464200
1999-11-08,16.4,16.62,16.2,16.5,311200
1999-11-09,16.58,16.83,16.47,16.47,333000
1999-11-10,16.5,16.5,15.9,16.38,747000
1999-11-11,16.35,16.41,16.0,16.04,304100
