date,open,high,low,close,volume
2011-08-10,5.51,6.04,5.51,5.6,737648768
2011-08-11,5.65,6.16,5.41,6.16,410080288
2011-08-12,6.28,6.53,6.05,6.07,498309760
2011-08-15,6.01,6.13,5.86,6.06,259724512
2011-08-16,6.01,6.13,5.86,5.87,200175728
2011-08-17,5.95,6.37,5.9,6.13,270148480
2011-08-18,6.03,6.11,5.96,6.03,149350896
2011-08-19,5.9,6.1,5.85,5.96,133842752
2011-08-22,6.08,6.09,5.53,5.66,183903312
2011-08-23,5.69,5.84,5.56,5.82,136741168
2011-08-24,5.79,5.82,5.64,5.69,113919184
2011-08-25,5.72,6.26,5.68,6.26,314450816
2011-08-26,6.3,6.4,6.14,6.23,285183072
2011-08-29,6.12,6.17,6.0,6.06,143615936
2011-08-30,6.11,6.37,6.07,6.09,197802976
2011-08-31,6.07,6.13,5.91,6.04,104083840
2011-09-01,6.06,6.24,6.0,6.07,114713224
2011-09-02,6.01,6.23,5.97,6.17,144191264
2011-09-05,6.05,6.19,6.02,6.05,104857960
2011-09-06,5.94,6.01,5.74,5.85,113692176
2011-09-07,5.95,6.39,5.86,6.22,204246944
2011-09-08,6.26,6.35,6.18,6.23,151441728
2011-09-09,6.2,6.85,6.2,6.47,296359552
2011-09-13,6.36,6.72,6.31,6.7,194950192
2011-09-14,6.64,7.13,6.54,7.01,239710224
2011-09-15,6.99,7.45,6.93,7.15,228686352
2011-09-16,7.14,7.2,6.95,6.98,162232576
2011-09-19,6.87,7.02,6.67,6.86,140787056
2011-09-20,6.81,7.28,6.79,7.25,188123936
2011-09-21,7.19,7.45,7.12,7.27,189587776
2011-09-22,7.15,7.22,6.88,6.93,145150448
2011-09-23,6.72,6.97,6.59,6.83,124206432
2011-09-26,6.75,6.9,6.63,6.7,75175384
2011-09-27,6.77,7.1,6.66,6.98,146146704
2011-09-28,6.97,7.04,6.63,6.7,101356328
2011-09-30,6.71,6.81,6.38,6.51,82807952
2011-10-10,6.56,6.63,6.36,6.59,59092288
2011-10-11,6.93,7.07,6.5,6.7,134793856
2011-10-12,6.56,7.37,6.51,7.36,299121600
2011-10-13,7.2,7.35,7.13,7.2,207458800
2011-10-14,7.08,7.23,7.02,7.17,121509776
2011-10-17,7.16,7.28,7.09,7.18,89080512
2011-10-18,7.1,7.12,6.6,6.64,161641600
2011-10-19,6.67,6.83,6.55,6.69,85375288
2011-10-20,6.6,6.81,6.53,6.71,88183960
2011-10-21,6.66,6.74,6.5,6.51,58780948
2011-10-24,6.52,6.81,6.41,6.73,94813904
2011-10-25,6.7,6.99,6.55,6.83,121122328
2011-10-26,6.76,6.89,6.7,6.71,90853536
2011-10-27,6.73,6.78,6.6,6.64,74830888
2011-10-28,6.76,6.89,6.65,6.8,111229392
2011-10-31,6.84,6.89,6.68,6.74,75106376
2011-11-01,6.61,6.73,6.56,6.65,90873472
2011-11-02,6.5,6.75,6.36,6.63,125710344
2011-11-03,6.64,6.7,6.5,6.52,132359928
2011-11-04,6.55,6.58,6.41,6.45,81268496
2011-11-07,6.39,6.39,6.18,6.23,90071272
2011-11-08,6.19,6.34,6.17,6.27,62743512
2011-11-09,6.29,6.31,6.11,6.23,72247408
2011-11-10,5.88,5.96,5.74,5.81,418018016
2011-11-11,5.76,5.83,5.67,5.72,150603088
2011-11-14,5.77,5.94,5.72,5.92,183088896
2011-11-15,5.87,5.96,5.83,5.87,109910232
2011-11-16,5.87,5.88,5.6,5.64,138593104
2011-11-17,5.64,5.67,5.5,5.56,91850120
2011-11-18,5.52,5.72,5.48,5.64,140729328
2011-11-21,5.65,5.67,5.52,5.66,68530976
2011-11-22,5.6,5.67,5.55,5.66,70317072
2011-11-23,5.66,5.66,5.5,5.52,68969976
2011-11-24,5.46,5.59,5.45,5.53,74424616
2011-11-25,5.5,5.57,5.47,5.49,54916824
