date,open,high,low,close,volume
2008-05-22,32.0,34.2,30.65,31.06,19324661
2008-05-23,33.5,34.17,31.0,31.35,11256716
2008-05-26,30.0,31.48,28.88,30.89,7292373
2008-05-27,31.5,33.58,30.8,31.61,4512300
2008-05-28,30.84,31.88,30.0,31.03,3024176
2008-05-29,30.72,32.75,29.3,32.1,5007366
2008-05-30,31.88,33.2,31.56,31.81,3218374
2008-06-02,31.4,31.47,30.31,30.7,1760658
2008-06-03,30.58,32.45,30.5,32.2,1804164
2008-06-04,32.21,33.4,31.68,32.58,2877588
2008-06-05,31.98,34.14,31.7,33.7,2231736
2008-06-06,33.5,34.98,32.8,33.01,2464998
2008-06-10,31.71,32.15,30.45,31.65,2360314
2008-06-11,31.64,32.78,28.49,29.45,3466541
2008-06-12,28.98,28.98,26.98,28.54,2800463
2008-06-13,28.02,29.2,27.0,27.23,1252512
2008-06-16,27.22,27.65,25.8,26.6,914900
2008-06-17,26.4,27.18,26.24,26.4,1230179
2008-06-18,26.4,28.0,26.08,27.69,908495
2008-06-19,28.0,28.48,26.6,27.2,1352195
2008-06-20,27.2,29.38,26.62,27.9,1185909
2008-06-23,27.19,27.48,25.11,26.5,1425252
2008-06-24,25.9,27.2,25.2,26.9,1022333
2008-06-25,26.51,28.2,26.16,28.1,977659
2008-06-26,27.8,28.18,26.6,28.0,767656
2008-06-30,26.11,27.08,25.7,26.84,599891
2008-07-01,26.58,27.64,26.5,27.0,391106
2008-07-02,26.67,27.69,26.63,27.69,359014
2008-07-03,27.12,29.22,27.0,28.6,840330
2008-07-04,28.28,28.59,27.8,28.16,619552
2008-07-07,27.88,29.3,27.8,29.06,648783
2008-07-08,28.68,29.4,27.1,28.22,972355
2008-07-09,27.91,28.75,27.91,28.4,860880
2008-07-10,28.2,29.83,27.73,29.2,920876
2008-07-11,29.15,30.18,28.9,29.85,676254
2008-07-14,29.58,30.4,29.23,29.85,582840
2008-07-15,29.86,29.86,28.4,29.28,492930
2008-07-16,28.97,29.48,28.16,28.5,488947
2008-07-17,28.58,29.38,28.0,28.38,176100
2008-07-18,28.48,28.87,27.22,28.71,382450
2008-07-21,28.4,29.5,28.28,29.2,847724
2008-07-22,29.0,29.23,28.6,28.7,254410
2008-07-23,28.84,29.14,27.6,27.95,373617
2008-07-24,27.94,28.46,27.9,28.16,227801
2008-07-25,28.2,28.45,27.72,28.01,224626
2008-07-28,28.05,29.35,28.05,29.0,573352
2008-07-29,28.88,29.7,28.8,29.3,477004
2008-07-30,29.8,31.0,29.31,30.51,1037942
2008-07-31,30.51,31.37,30.31,30.75,1150193
2008-08-01,30.73,30.88,29.5,30.21,383853
2008-08-04,29.6,31.75,29.4,31.49,548922
2008-08-05,31.08,32.3,30.6,30.6,456003
2008-08-06,30.75,31.5,30.01,30.21,518544
2008-08-07,30.22,33.0,30.22,32.0,609472
2008-08-08,31.8,32.15,30.62,30.71,797431
2008-08-11,30.1,31.17,28.85,30.0,584180
2008-08-12,30.0,31.5,29.15,31.1,322814
