date,open,high,low,close,volume
2011-06-30,22.0,26.19,22.0,25.45,56292536
2011-07-01,25.77,28.0,25.0,28.0,33561280
2011-07-04,28.88,30.8,28.58,30.8,21964592
2011-07-05,32.78,33.88,31.89,33.05,38108084
2011-07-06,32.8,35.55,32.11,33.4,31296720
2011-07-07,33.1,33.97,32.58,33.59,22645016
2011-07-08,33.4,33.66,31.86,33.07,17506436
2011-07-11,32.8,33.62,32.51,32.83,13096733
2011-07-12,32.48,32.63,31.2,31.51,18060352
2011-07-13,30.82,31.3,30.52,31.19,16781524
2011-07-14,31.19,31.57,29.33,30.0,19380476
2011-07-15,29.8,30.18,29.13,29.81,13946810
2011-07-18,29.79,32.6,29.71,32.04,31365928
2011-07-19,31.1,31.44,29.9,30.05,16085710
2011-07-20,30.5,31.25,30.09,30.4,11017285
2011-07-21,30.05,30.1,29.01,29.16,10073127
2011-07-22,29.2,29.6,28.81,29.4,6143671
2011-07-25,29.01,29.15,27.5,27.66,8572878
2011-07-26,27.68,28.3,27.32,28.02,5468334
2011-07-27,27.9,29.31,27.4,29.2,9917567
2011-07-28,28.6,28.7,27.91,28.4,5765946
2011-07-29,28.41,29.2,28.01,28.17,5122494
2011-08-01,28.06,29.58,28.0,29.11,8312528
2011-08-02,28.66,31.96,28.21,30.64,17374920
2011-08-03,30.2,32.0,30.03,30.57,13281982
2011-08-04,30.3,30.88,29.65,29.93,8657615
2011-08-05,28.53,29.36,28.0,28.63,7309318
2011-08-08,28.0,28.0,25.8,26.24,9057060
2011-08-09,25.03,26.7,24.07,26.45,8998269
2011-08-10,26.99,27.42,26.42,26.45,7356631
2011-08-11,25.05,26.55,25.05,26.49,5225961
2011-08-12,26.75,27.89,26.66,26.88,6832513
2011-08-15,27.0,29.15,27.0,28.45,11674421
2011-08-16,28.3,28.3,27.5,27.61,6699903
2011-08-17,27.5,28.17,27.41,27.79,3789707
2011-08-18,27.82,27.99,26.71,26.8,4699424
2011-08-19,26.0,26.37,25.68,26.11,3850210
2011-08-22,26.11,26.62,25.9,26.31,3451566
2011-08-23,26.35,26.77,25.65,26.63,5665202
2011-08-24,26.6,26.63,25.64,25.74,7905716
2011-08-25,25.55,26.12,25.06,25.96,6024780
2011-08-26,25.81,26.46,25.68,26.08,5323654
2011-08-29,26.02,26.05,25.6,25.6,3479470
2011-08-30,25.75,26.5,25.61,25.72,5454064
2011-08-31,25.68,25.68,24.33,24.78,5448295
2011-09-01,24.78,25.08,24.0,24.1,4716819
2011-09-02,24.0,24.26,23.62,24.07,3115825
2011-09-05,24.13,24.13,22.66,22.8,3903166
2011-09-06,22.66,23.1,22.36,22.81,3010989
2011-09-07,22.92,23.86,22.92,23.47,4515008
2011-09-08,23.49,23.5,22.5,22.54,3788917
2011-09-13,21.11,21.47,20.5,21.13,4321614
2011-09-14,21.0,21.38,20.62,21.36,3372105
2011-09-15,21.0,21.65,21.0,21.04,3666890
2011-09-16,21.24,21.34,20.77,20.79,3006554
2011-09-19,20.7,20.7,19.6,19.65,3987500
2011-09-20,19.22,20.38,19.2,20.08,3946642
2011-09-21,19.9,20.81,19.88,20.64,4063619
2011-09-22,20.47,20.48,19.88,19.91,3351536
2011-09-23,19.32,19.67,19.16,19.32,2527543
2011-09-26,19.23,19.68,19.06,19.2,2420928
2011-09-27,19.26,21.1,19.2,20.95,9901857
2011-09-28,20.95,21.32,20.2,20.35,7868788
2011-09-29,20.0,20.58,19.5,19.71,4153298
2011-09-30,19.2,19.55,19.01,19.3,5402700
2011-10-10,19.3,19.5,17.98,18.09,7739420
2011-10-11,18.59,18.95,17.77,18.03,5520295
2011-10-12,17.99,18.72,17.4,18.6,5769019
2011-10-13,18.5,20.27,18.25,19.85,10417550
2011-10-14,19.5,19.66,19.21,19.6,6300404
2011-10-17,19.6,19.79,19.3,19.65,3925001
2011-10-18,19.5,19.5,18.6,18.6,5084510
2011-10-19,18.57,20.1,18.45,19.41,6446122
2011-10-20,19.1,19.38,18.31,18.95,3320899
2011-10-21,19.01,19.97,19.0,19.41,6108542
2011-10-24,19.43,21.14,19.43,20.79,11464120
2011-10-25,20.73,21.65,20.12,21.2,10721771
2011-10-26,20.73,21.3,20.55,20.78,8478788
2011-10-27,20.99,22.38,20.82,21.65,12101313
2011-10-28,22.0,22.04,21.31,21.74,7981033
2011-10-31,21.91,23.2,21.91,22.85,11940245
2011-11-01,22.59,25.14,22.4,25.14,19198220
2011-11-02,25.06,26.15,24.85,25.82,18102016
2011-11-03,25.4,25.59,24.94,25.34,12686898
2011-11-04,25.34,25.5,24.85,25.04,7711010
2011-11-07,24.8,24.8,23.91,24.36,7411579
2011-11-08,24.2,24.98,24.1,24.36,7074395
2011-11-09,24.35,24.65,23.4,24.42,6889457
2011-11-10,23.82,24.05,23.54,23.8,7151003
2011-11-11,23.7,23.98,23.25,23.3,4954263
2011-11-14,24.5,25.63,24.33,25.63,10650651
2011-11-15,27.5,28.15,26.5,27.5,24077252
2011-11-16,27.15,27.16,26.2,26.43,12047849
2011-11-17,26.35,27.15,26.33,26.54,8136999
2011-11-18,26.0,26.0,24.95,25.12,8704311
2011-11-21,25.18,26.25,25.07,25.45,7377908
2011-11-22,24.8,25.43,24.33,25.4,6090855
2011-11-23,25.39,25.57,25.0,25.01,4745507
2011-11-24,24.7,25.85,24.1,25.3,8208105
2011-11-25,25.0,25.22,24.36,24.5,4761248
2011-11-28,24.52,25.05,24.38,24.61,3104667
