date,open,high,low,close,volume
2016-10-17,23.3,27.96,23.3,27.96,14500
2016-10-18,30.76,30.76,30.76,30.76,4136
2016-10-19,33.84,33.84,33.84,33.84,4600
2016-10-20,37.22,37.22,37.22,37.22,15731
2016-10-21,40.94,40.94,40.94,40.94,10435
2016-10-24,45.03,45.03,45.03,45.03,44933
2016-10-25,49.53,49.53,49.53,49.53,33300
2016-10-26,54.48,54.48,54.48,54.48,25426
2016-10-27,59.93,59.93,59.93,59.93,63143
2016-10-28,65.92,65.92,65.92,65.92,72400
2016-10-31,72.51,72.51,72.51,72.51,172904
2016-11-01,79.76,79.76,79.76,79.76,142194
2016-11-02,87.74,87.74,87.74,87.74,75369
2016-11-03,96.51,96.51,96.51,96.51,97024
2016-11-04,106.16,106.16,106.16,106.16,295886
2016-11-07,116.78,116.78,116.78,116.78,312682
2016-11-08,128.46,128.46,128.46,128.46,378147
2016-11-09,141.31,141.31,141.31,141.31,785875
2016-11-10,155.44,155.44,155.44,155.44,2657035
2016-11-11,170.98,170.98,170.98,170.98,968111
2016-11-14,178.0,178.0,153.88,153.88,26670406
2016-11-15,150.0,153.49,142.78,145.54,14712357
2016-11-16,145.18,147.98,142.7,144.66,8026712
2016-11-17,143.99,147.0,140.61,143.88,7452746
2016-11-18,142.47,145.68,141.52,141.94,5245827
2016-11-21,141.92,141.92,136.0,137.44,6059959
2016-11-22,137.7,141.83,137.7,139.24,5691776
2016-11-23,138.79,140.86,138.01,139.15,3543344
2016-11-24,138.5,144.97,138.16,141.33,5636071
2016-11-25,139.95,140.7,132.0,136.66,5521567
2016-11-28,136.0,138.0,134.01,134.86,2855878
2016-11-29,134.3,135.48,127.77,128.17,5337151
2016-11-30,128.01,129.99,127.01,128.97,2448592
2016-12-01,128.95,130.25,128.02,129.04,2166000
2016-12-02,129.0,129.4,121.22,121.71,4425592
2016-12-05,119.5,123.59,118.9,120.25,2131644
2016-12-06,120.63,121.97,119.7,120.45,1861543
2016-12-07,120.0,127.9,118.05,126.59,4402180
2016-12-08,125.88,128.0,123.38,123.74,2893933
2016-12-09,123.5,125.98,122.3,123.16,2077962
