date,open,high,low,close,volume
2012-10-09,8.7,9.68,8.66,9.63,175040416
2012-10-10,9.88,10.59,8.99,10.59,146349120
2012-10-11,10.11,10.44,9.53,9.68,120872280
2012-10-12,9.45,9.76,9.03,9.09,75998680
2012-10-15,9.1,9.27,8.85,9.11,55633512
2012-10-16,9.0,9.15,8.79,8.86,43095012
2012-10-17,8.88,8.95,8.53,8.76,45126452
2012-10-18,8.75,9.1,8.69,9.01,55210820
2012-10-19,8.98,8.98,8.66,8.69,35181408
2012-10-22,8.5,8.57,8.3,8.53,31156050
2012-10-23,8.6,9.28,8.51,8.94,65124956
2012-10-24,8.79,8.83,8.62,8.79,31220332
2012-10-25,8.7,8.86,8.36,8.5,32584680
2012-10-26,8.51,8.55,7.9,7.99,33099024
2012-10-29,7.91,8.06,7.84,8.01,16396693
2012-10-30,7.98,8.15,7.86,8.04,19765438
2012-10-31,7.98,8.03,7.82,7.98,15893521
2012-11-01,8.0,8.58,7.96,8.23,56262080
2012-11-02,8.18,8.69,8.16,8.4,49745184
2012-11-05,8.26,8.31,8.09,8.16,25709212
2012-11-06,8.1,8.18,7.85,8.13,23984780
2012-11-07,8.1,8.43,8.06,8.33,35410332
2012-11-08,8.2,8.27,7.9,7.93,27769928
2012-11-09,7.87,8.02,7.85,7.98,13658305
2012-11-12,8.15,8.19,7.92,8.01,15762315
2012-11-13,7.96,8.02,7.61,7.65,19731504
2012-11-14,7.62,7.81,7.6,7.7,13170548
2012-11-15,7.6,7.68,7.29,7.34,18395204
2012-11-16,7.3,7.36,7.12,7.21,13260686
2012-11-19,7.18,7.65,7.15,7.51,25322284
2012-11-20,7.52,7.56,7.26,7.28,17117620
2012-11-21,7.27,7.49,7.17,7.42,17421052
2012-11-22,7.34,7.5,7.26,7.32,14323878
2012-11-23,7.33,7.43,7.28,7.38,12786922
2012-11-26,7.38,7.38,7.17,7.19,10010020
2012-11-27,7.17,7.19,6.76,6.79,15135199
2012-11-28,6.68,6.9,6.66,6.69,11279190
2012-11-29,6.71,6.8,6.43,6.48,12037707
2012-11-30,6.45,6.57,6.4,6.56,13212324
2012-12-03,6.51,6.61,6.33,6.4,12142838
2012-12-04,6.51,6.7,6.46,6.59,21104796
2012-12-05,6.5,7.09,6.48,6.88,32911238
2012-12-06,6.79,6.87,6.71,6.8,19180220
2012-12-07,6.81,7.37,6.68,7.11,36341232
2012-12-10,7.12,7.45,7.03,7.28,34235708
2012-12-11,7.25,7.47,7.17,7.21,26047386
2012-12-12,7.12,7.28,7.0,7.22,17877168
2012-12-13,7.22,7.22,6.96,6.97,13677778
2012-12-14,6.93,7.67,6.93,7.67,38513000
2012-12-17,8.0,8.33,7.8,8.08,74099400
2012-12-18,8.0,8.24,7.9,8.03,44912812
2012-12-19,7.9,8.05,7.81,7.92,30534902
2012-12-20,7.85,8.55,7.78,8.35,55812612
2012-12-21,8.27,8.51,8.02,8.11,35899960
2012-12-24,8.09,8.14,7.88,8.12,21544128
2012-12-25,8.08,8.48,7.98,8.31,40359404
2012-12-26,8.25,8.78,8.23,8.57,46860532
2012-12-27,8.51,8.64,8.22,8.23,31186048
2012-12-28,8.17,8.39,8.03,8.25,22741284
2012-12-31,8.24,8.55,8.18,8.33,30440708
2013-01-04,8.4,8.64,8.31,8.38,28408668
2013-01-07,8.3,8.35,8.13,8.26,22303672
2013-01-08,8.22,8.49,8.11,8.47,29244834
2013-01-09,8.42,8.45,8.15,8.37,22405824
2013-01-10,8.37,8.57,8.29,8.47,27445514
2013-01-11,8.51,8.56,8.13,8.13,22578248
2013-01-14,8.1,8.54,8.04,8.42,30434536
2013-01-15,8.48,8.97,8.44,8.77,49959944
2013-01-16,8.97,9.65,8.97,9.65,42949576
2013-01-17,10.49,10.62,10.0,10.24,109728696
2013-01-18,10.08,10.48,9.82,10.09,63019272
2013-01-21,10.05,10.51,9.83,10.26,47581176
2013-01-22,10.24,10.55,9.75,9.98,48285508
