date,open,high,low,close,volume
2013-12-19,8.5,9.39,8.36,8.88,277465920
2013-12-20,8.0,8.17,7.99,7.99,33114584
2013-12-23,7.19,7.82,7.19,7.4,151465264
2013-12-24,7.29,7.59,7.12,7.53,120782280
2013-12-25,7.37,7.56,7.28,7.34,84249832
2013-12-26,7.25,7.48,7.11,7.21,70219360
2013-12-27,7.14,7.43,7.11,7.28,66838696
2013-12-30,7.31,7.35,6.88,6.92,85897672
2013-12-31,6.8,6.88,6.65,6.76,61696744
2014-01-02,6.75,6.9,6.74,6.82,44545196
2014-01-03,6.78,6.82,6.54,6.73,60690352
2014-01-06,6.69,6.96,6.66,6.77,56959660
2014-01-07,6.73,6.76,6.58,6.68,31335026
2014-01-08,6.65,6.91,6.62,6.74,46937432
2014-01-09,6.68,6.76,6.48,6.53,43098092
2014-01-10,6.49,6.58,6.33,6.4,39336364
2014-01-13,6.41,6.46,6.07,6.11,42398792
2014-01-14,6.09,6.17,6.01,6.14,33816200
2014-01-15,6.15,6.15,6.01,6.05,29126896
2014-01-16,6.06,6.66,6.04,6.46,93288080
2014-01-17,6.33,6.41,6.12,6.15,52563516
2014-01-20,6.09,6.24,6.06,6.14,23158026
2014-01-21,6.11,6.39,6.11,6.26,36766176
2014-01-22,6.2,6.47,6.18,6.4,47070952
2014-01-23,6.37,6.38,6.25,6.29,37107904
2014-01-24,6.27,6.44,6.24,6.37,40057668
2014-01-27,6.31,6.34,6.13,6.16,35813152
2014-01-28,6.24,6.57,6.19,6.38,59511012
2014-01-29,6.33,6.4,6.24,6.31,33505642
2014-01-30,6.29,6.29,6.16,6.2,17136556
2014-02-07,6.15,6.2,6.06,6.2,17430812
2014-02-10,6.23,6.37,6.18,6.35,34701536
2014-02-11,6.34,6.44,6.25,6.37,47089328
2014-02-12,6.37,6.57,6.31,6.49,55137212
2014-02-13,6.42,6.48,6.28,6.29,39224576
2014-02-14,6.29,6.39,6.26,6.37,23735626
2014-02-17,6.43,6.65,6.41,6.61,55163792
2014-02-18,6.6,6.96,6.49,6.78,88834152
2014-02-19,6.7,6.87,6.6,6.7,49107024
2014-02-20,6.69,6.95,6.68,6.74,50919040
2014-02-21,6.72,6.72,6.5,6.57,36988196
2014-02-24,6.53,6.56,6.37,6.45,23048144
2014-02-25,6.47,6.55,6.11,6.21,30086238
2014-02-26,6.2,6.24,6.1,6.23,19446652
2014-02-27,6.23,6.57,6.16,6.48,43377244
2014-02-28,6.41,6.56,6.38,6.54,31918320
2014-03-03,6.51,6.74,6.48,6.57,33758040
2014-03-04,6.52,6.63,6.41,6.53,24688024
2014-03-05,6.55,6.69,6.44,6.59,32369364
2014-03-06,6.54,6.58,6.46,6.52,20295722
2014-03-07,6.52,6.59,6.3,6.33,22742980
2014-03-10,6.25,6.25,6.09,6.1,20940918
2014-03-11,6.05,6.17,6.01,6.14,13893554
2014-03-12,6.17,6.17,6.04,6.12,11603616
2014-03-13,6.13,6.27,6.13,6.22,16649636
2014-03-14,6.16,6.18,6.1,6.13,9865921
2014-03-17,6.13,6.18,6.11,6.18,9543364
2014-03-18,6.18,6.3,6.16,6.24,16265209
2014-03-19,6.23,6.24,6.13,6.19,11722143
2014-03-20,6.19,6.21,6.03,6.04,15186249
2014-03-21,6.02,6.21,6.0,6.19,15585277
2014-03-24,6.26,6.29,6.18,6.23,16749069
2014-03-25,6.24,6.43,6.19,6.31,29101600
2014-03-26,6.28,6.33,6.21,6.24,14585043
2014-03-27,6.23,6.23,6.13,6.15,13038990
2014-03-28,6.17,6.21,6.12,6.16,9807180
2014-03-31,6.21,6.32,6.2,6.22,18158024
2014-04-01,6.21,6.29,6.18,6.25,10630983
2014-04-02,6.27,6.28,6.22,6.25,11751760
2014-04-03,6.25,6.26,6.18,6.2,10537275
2014-04-04,6.18,6.24,6.17,6.24,8052124
2014-04-08,6.22,6.32,6.21,6.32,18258310
2014-04-09,6.32,6.33,6.26,6.3,13986160
2014-04-10,6.29,6.37,6.26,6.36,21010806
2014-04-11,6.34,6.5,6.32,6.38,27570440
2014-04-14,6.38,6.49,6.37,6.46,18317328
2014-04-15,6.47,6.47,6.33,6.35,15969891
2014-04-16,6.33,6.38,6.3,6.35,11348405
2014-04-17,6.36,6.4,6.29,6.3,9971252
2014-04-18,6.29,6.31,6.24,6.27,11387286
2014-04-21,6.28,6.35,6.23,6.25,11335624
2014-04-22,6.24,6.27,6.17,6.25,9167576
2014-04-23,6.24,6.28,6.22,6.24,4835370
2014-04-24,6.22,6.26,6.19,6.21,5437743
2014-04-25,6.23,6.24,6.09,6.1,8365965
2014-04-28,6.1,6.11,6.01,6.03,10244094
2014-04-29,6.02,6.08,6.01,6.07,5969247
2014-04-30,6.06,6.09,6.05,6.08,6472960
2014-05-05,6.09,6.12,6.05,6.11,5536225
2014-05-06,6.12,6.14,6.09,6.14,5454621
2014-05-07,6.12,6.13,6.05,6.06,6466742
2014-05-08,6.06,6.11,6.02,6.05,5545143
2014-05-09,6.05,6.08,6.02,6.05,6003394
2014-05-12,6.07,6.23,6.05,6.21,16010649
2014-05-13,6.2,6.23,6.14,6.17,9321991
2014-05-14,6.16,6.18,6.13,6.15,5671205
2014-05-15,6.15,6.18,6.07,6.08,8104372
2014-05-16,6.07,6.13,6.05,6.11,5540878
2014-05-19,6.11,6.11,6.03,6.07,5180514
2014-05-20,6.09,6.15,6.08,6.1,5846166
2014-05-21,6.08,6.12,6.04,6.12,5595927
2014-05-22,6.12,6.15,6.07,6.08,7923977
2014-05-23,6.1,6.11,6.07,6.1,4174406
2014-05-26,6.11,6.14,6.09,6.12,5543163
2014-05-27,6.12,6.13,6.09,6.1,4690507
2014-05-28,6.11,6.14,6.09,6.13,5889397
2014-05-29,6.15,6.15,6.09,6.09,5406384
2014-05-30,6.09,6.13,6.07,6.11,5493619
2014-06-03,6.12,6.14,6.1,6.13,5473467
2014-06-04,6.14,6.15,6.08,6.14,6412252
2014-06-05,6.12,6.18,6.1,6.17,8443063
2014-06-06,6.17,6.24,6.14,6.2,12428301
2014-06-09,6.18,6.2,6.14,6.15,6893755
2014-06-10,6.15,6.17,6.1,6.17,6415641
2014-06-11,6.14,6.2,6.13,6.19,7002505
2014-06-12,6.17,6.23,6.15,6.2,10246883
2014-06-13,6.23,6.32,6.2,6.3,22106204
2014-06-16,6.36,6.5,6.35,6.37,21235184
2014-06-17,6.41,6.45,6.32,6.39,17979608
2014-06-18,6.38,6.42,6.27,6.28,13955456
2014-06-19,4.67,4.69,4.54,4.59,9174952
2014-06-20,4.55,4.56,4.49,4.54,10130941
2014-06-23,4.52,4.56,4.51,4.52,8263108
2014-06-24,4.52,4.54,4.48,4.54,9210888
2014-06-25,4.53,4.53,4.46,4.48,8953899
2014-06-26,4.49,4.58,4.48,4.55,14138033
2014-06-27,4.53,4.61,4.53,4.54,12034582
2014-06-30,4.54,4.57,4.51,4.52,10711498
2014-07-01,4.52,4.54,4.51,4.54,8965446
2014-07-02,4.53,4.54,4.5,4.54,11547131
2014-07-03,4.54,4.55,4.51,4.53,10895864
2014-07-04,4.53,4.55,4.51,4.53,11015084
2014-07-07,4.53,4.53,4.49,4.51,11290664
2014-07-08,4.51,4.54,4.49,4.54,10853137
2014-07-09,4.53,4.54,4.47,4.47,11943455
2014-07-10,4.48,4.55,4.47,4.53,15385427
2014-07-11,4.54,4.55,4.52,4.53,12990065
2014-07-14,4.53,4.55,4.51,4.55,14701945
2014-07-15,4.54,4.56,4.53,4.54,13439962
2014-07-16,4.55,4.65,4.53,4.64,33319068
2014-07-17,4.63,4.63,4.54,4.57,16533703
2014-07-18,4.55,4.6,4.55,4.56,11634548
2014-07-21,4.56,4.57,4.51,4.52,9976869
2014-07-22,4.5,4.55,4.5,4.54,10255027
2014-07-23,4.54,4.55,4.51,4.51,11467905
2014-07-24,4.52,4.67,4.51,4.59,32756248
2014-07-25,4.59,4.64,4.58,4.63,22551508
2014-07-28,4.64,4.82,4.63,4.76,43994912
2014-07-29,4.75,4.77,4.71,4.74,27347226
