date,open,high,low,close,volume
1999-11-25,6.3,6.39,5.95,6.0,74426500
1999-11-26,5.9,5.9,5.65,5.68,20745800
1999-11-29,5.61,5.74,5.55,5.58,7096200
1999-11-30,5.54,5.64,5.51,5.6,4628600
1999-12-01,5.6,5.72,5.55,5.62,4005500
1999-12-02,5.62,5.62,5.45,5.46,6286900
1999-12-03,5.45,5.49,5.4,5.47,3009500
1999-12-06,5.5,5.57,5.47,5.49,2468300
1999-12-07,5.51,5.54,5.41,5.42,1782900
1999-12-08,5.43,5.48,5.34,5.35,3008900
1999-12-09,5.5,5.5,5.35,5.38,2501700
1999-12-10,5.37,5.42,5.32,5.38,1992186
1999-12-13,5.38,5.41,5.27,5.29,2983700
1999-12-14,5.29,5.38,5.28,5.36,1853700
1999-12-15,5.36,5.55,5.36,5.41,3852800
1999-12-16,5.45,5.46,5.32,5.37,2303800
1999-12-17,5.36,5.37,5.27,5.29,2460800
1999-12-21,5.26,5.26,5.07,5.13,2243100
1999-12-22,5.1,5.16,5.05,5.13,1756500
1999-12-23,5.1,5.1,4.95,4.96,1896250
1999-12-24,5.45,5.45,4.99,5.08,3588000
1999-12-27,5.07,5.1,4.98,5.01,1655400
1999-12-28,5.02,5.17,5.02,5.05,1395400
1999-12-29,5.15,5.15,5.01,5.07,1121200
1999-12-30,5.1,5.13,5.05,5.05,1127200
2000-01-04,5.08,5.18,5.04,5.17,2250800
2000-01-05,5.2,5.37,5.2,5.22,5044500
2000-01-06,5.18,5.32,5.13,5.32,3514200
2000-01-07,5.36,5.56,5.25,5.5,10047100
2000-01-10,5.59,5.7,5.51,5.66,12537700
2000-01-11,5.66,5.68,5.3,5.36,7138700
2000-01-12,5.35,5.39,5.1,5.18,3737400
2000-01-13,5.2,5.27,5.17,5.23,1854600
2000-01-14,5.23,5.25,5.1,5.11,1606800
2000-01-17,5.12,5.25,5.12,5.25,1738400
2000-01-18,5.3,5.35,5.16,5.2,1752000
2000-01-19,5.29,5.29,5.19,5.23,1048300
2000-01-20,5.22,5.25,5.15,5.23,3227000
2000-01-21,5.25,5.29,5.18,5.22,2601800
2000-01-24,5.2,5.7,5.16,5.48,8436700
2000-01-25,5.48,5.52,5.01,5.32,18538100
2000-01-26,5.28,5.31,5.14,5.21,5071100
2000-01-27,5.25,5.3,5.15,5.27,8757900
2000-01-28,5.3,5.5,5.27,5.41,8669300
2000-02-14,5.55,5.95,5.5,5.84,16453900
2000-02-15,5.84,5.89,5.5,5.54,17026200
2000-02-16,5.54,5.97,5.41,5.94,12993200
2000-02-17,6.02,6.53,6.02,6.53,59830600
2000-02-18,6.7,6.88,6.06,6.6,31844200
2000-02-21,6.6,6.8,6.35,6.41,17891400
2000-02-22,6.39,6.59,5.9,5.92,20040600
2000-02-23,5.85,5.88,5.68,5.76,9764600
2000-02-24,5.7,5.98,5.7,5.91,6127700
2000-02-25,5.95,5.95,5.68,5.82,5217400
2000-02-28,5.85,6.07,5.71,5.95,7138700
2000-02-29,6.01,6.15,5.89,6.1,7031000
2000-03-01,6.1,6.55,6.02,6.22,13503400
2000-03-02,6.22,6.29,6.01,6.13,6013900
2000-03-03,6.28,6.3,6.05,6.14,5303700
2000-03-06,6.2,6.7,6.13,6.2,19457200
2000-03-07,6.2,6.6,6.16,6.47,11293600
2000-03-08,6.47,6.51,6.21,6.34,8291600
2000-03-09,6.35,6.51,6.21,6.43,6136000
2000-03-10,6.41,6.42,6.12,6.15,6836100
2000-03-13,6.15,6.27,6.08,6.19,4439200
2000-03-14,5.88,6.14,5.85,6.07,7060800
2000-03-15,6.07,6.15,6.05,6.09,2595000
2000-03-16,6.08,6.08,5.8,5.84,3919200
2000-03-17,5.78,5.98,5.7,5.94,3764800
2000-03-20,5.84,6.17,5.78,6.16,4171000
2000-03-21,6.17,6.45,6.1,6.28,6010800
2000-03-22,6.25,6.35,6.1,6.17,2818400
2000-03-23,6.18,6.35,6.11,6.27,3945500
2000-03-24,6.3,6.45,6.2,6.23,5880000
2000-03-27,6.23,6.39,6.15,6.39,5297300
2000-03-28,6.43,7.03,6.4,6.9,26487700
2000-03-29,6.95,7.08,6.55,6.75,11683600
2000-03-30,6.78,6.9,6.68,6.82,5827100
2000-03-31,6.85,6.88,6.58,6.63,5590700
2000-04-03,6.64,6.75,6.56,6.58,4471700
2000-04-04,6.5,6.54,6.3,6.42,5031800
2000-04-05,6.4,6.54,6.3,6.49,2831400
2000-04-06,6.49,6.56,6.4,6.53,2913400
2000-04-07,6.56,6.73,6.5,6.67,3876800
2000-04-10,6.65,7.05,6.63,6.93,9047700
2000-04-11,6.95,6.98,6.67,6.69,5392800
2000-04-12,6.69,6.85,6.46,6.85,5590100
2000-04-13,6.95,7.05,6.68,6.85,4730500
2000-04-14,6.67,6.95,6.64,6.87,6563900
2000-04-17,6.78,6.94,6.6,6.83,4986300
2000-04-18,6.81,7.22,6.61,7.21,7957000
2000-04-19,7.21,7.44,7.03,7.39,19614900
2000-04-20,7.39,8.13,7.25,7.92,29666700
2000-04-21,7.91,8.0,7.71,7.77,11454000
2000-04-24,7.8,8.3,7.77,8.04,15607400
2000-04-25,8.06,8.19,7.8,7.92,5652100
2000-04-26,7.92,7.99,7.63,7.7,5779300
2000-04-27,7.62,7.74,7.38,7.42,6426600
2000-04-28,7.4,7.83,7.27,7.59,8144300
2000-05-08,7.6,7.71,7.46,7.58,2886800
2000-05-09,7.58,7.58,7.29,7.35,3943400
2000-05-10,7.3,7.33,7.03,7.04,5171700
2000-05-11,6.98,7.04,6.75,6.79,4017400
