date,open,high,low,close,volume
2002-02-07,6.2,6.59,6.19,6.47,157143557
2002-02-08,6.44,6.48,6.36,6.37,38785049
2002-02-25,6.48,6.63,6.41,6.55,37165489
2002-02-26,6.45,6.58,6.4,6.57,12665550
2002-02-27,6.57,6.87,6.54,6.74,42434972
2002-02-28,6.74,6.82,6.66,6.71,15721214
2002-03-01,6.7,6.83,6.69,6.73,11076894
2002-03-04,6.72,6.81,6.7,6.8,7568820
2002-03-05,6.83,6.96,6.76,6.88,13290463
2002-03-06,6.91,6.94,6.82,6.83,14427583
2002-03-07,6.83,7.17,6.82,7.13,24617125
2002-03-08,7.16,7.2,6.96,7.08,27282820
2002-03-11,7.08,7.13,7.0,7.11,13260852
2002-03-12,7.11,7.11,6.89,6.91,15668232
2002-03-13,6.91,6.99,6.82,6.89,6288087
2002-03-14,6.89,7.04,6.88,7.0,7776871
2002-03-15,7.03,7.09,6.88,6.89,9004199
2002-03-18,6.99,7.05,6.73,6.8,7037061
2002-03-19,6.78,7.09,6.78,7.08,8848973
2002-03-20,7.11,7.15,6.94,7.05,11662570
2002-03-21,7.1,7.21,7.01,7.17,16259901
2002-03-22,7.19,7.22,7.07,7.14,7305809
2002-03-25,7.14,7.25,7.06,7.2,6661955
2002-03-26,7.2,7.23,7.04,7.08,6687326
2002-03-27,7.05,7.12,6.98,7.08,4319575
2002-03-28,7.07,7.12,7.02,7.07,2905787
2002-03-29,7.04,7.04,6.84,6.86,5795140
2002-04-01,6.8,6.93,6.79,6.92,2627194
2002-04-02,6.9,6.91,6.79,6.81,2529900
2002-04-03,6.82,6.93,6.79,6.83,3300520
2002-04-04,6.81,6.99,6.78,6.97,2169268
2002-04-05,7.01,7.13,6.97,7.04,7231057
2002-04-08,7.04,7.16,7.0,7.04,2559075
2002-04-09,7.08,7.16,7.04,7.14,5557599
2002-04-10,7.15,7.16,7.04,7.1,4633263
2002-04-11,7.05,7.15,6.96,6.96,2863000
2002-04-12,6.94,7.1,6.93,7.0,2055956
2002-04-15,7.0,7.09,6.95,7.02,1479065
2002-04-16,7.09,7.19,6.95,6.97,786705
2002-04-17,6.99,6.99,6.88,6.92,1260769
2002-04-18,6.95,6.95,6.89,6.91,1527087
2002-04-19,6.91,7.01,6.84,7.0,2520323
2002-04-22,6.99,7.1,6.96,7.02,3350088
2002-04-23,7.0,7.11,7.0,7.05,1938995
2002-04-24,7.06,7.08,6.98,7.01,1582250
2002-04-26,7.06,7.15,7.05,7.08,3209288
2002-04-29,7.1,7.34,7.06,7.26,9216797
2002-04-30,7.28,7.37,7.18,7.26,8631725
2002-05-08,7.3,7.45,7.2,7.35,6377699
2002-05-09,7.33,7.45,7.3,7.4,8689316
2002-05-10,7.41,7.44,7.23,7.28,6540225
2002-05-13,7.26,7.31,7.16,7.29,5528435
2002-05-14,7.28,7.29,7.1,7.16,3909564
2002-05-15,7.11,7.19,7.07,7.08,2932397
2002-05-16,7.08,7.08,6.9,6.93,4855650
2002-05-17,6.91,7.07,6.91,7.06,3899172
2002-05-20,7.05,7.05,6.82,6.9,2306533
2002-05-21,7.15,7.17,7.01,7.1,4039047
2002-05-22,7.1,7.12,6.95,6.97,2467750
2002-05-23,6.95,7.11,6.95,6.97,3079494
2002-05-24,7.03,7.03,6.79,6.88,3304756
2002-05-27,6.92,6.98,6.88,6.96,1249200
2002-05-28,6.96,7.04,6.95,7.0,781400
2002-05-29,6.99,7.0,6.85,6.88,1683623
2002-05-30,6.83,6.93,6.78,6.87,1820360
2002-05-31,6.85,6.95,6.8,6.81,1575200
2002-06-03,6.78,6.85,6.7,6.81,1788356
2002-06-04,6.78,6.9,6.78,6.89,1431420
2002-06-05,6.86,6.92,6.82,6.83,1701250
2002-06-06,6.81,7.14,6.8,7.03,3747550
2002-06-07,7.03,7.12,6.95,7.03,2540153
2002-06-10,7.03,7.05,6.9,6.93,1646053
2002-06-11,6.97,7.03,6.92,6.98,956760
2002-06-12,6.96,7.0,6.91,6.99,1082860
2002-06-13,6.99,7.02,6.91,6.91,852394
2002-06-14,6.9,6.9,6.82,6.84,949036
2002-06-17,6.81,6.9,6.76,6.89,736553
2002-06-18,6.9,7.01,6.88,7.0,1394196
2002-06-19,7.01,7.03,6.9,6.91,674090
2002-06-20,6.95,7.02,6.92,6.94,704489
2002-06-21,6.93,7.15,6.93,7.1,5622539
2002-06-24,7.81,7.81,7.47,7.81,34189507
2002-06-25,7.95,8.36,7.8,7.9,32860809
2002-06-26,7.85,8.05,7.71,7.88,10042207
2002-06-27,7.94,8.39,7.85,8.24,17835631
2002-06-28,8.3,8.37,7.99,8.17,14876496
2002-07-01,8.16,8.2,8.01,8.06,6452206
2002-07-02,8.0,8.06,7.9,8.02,3756401
2002-07-03,8.05,8.26,8.05,8.13,5279333
2002-07-04,8.16,8.17,7.97,8.0,4208901
2002-07-05,7.93,8.05,7.93,7.99,2107464
2002-07-08,8.0,8.16,7.98,8.08,2833247
2002-07-09,8.08,8.2,8.01,8.06,3958293
2002-07-10,8.03,8.09,7.94,7.98,3973886
2002-07-11,7.95,8.03,7.9,7.94,2165677
2002-07-12,7.93,7.99,7.9,7.92,1991759
2002-07-15,7.88,7.9,7.78,7.84,3272353
2002-07-16,7.84,7.95,7.8,7.85,1142350
2002-07-17,7.85,7.87,7.74,7.85,1645560
2002-07-18,7.9,8.05,7.86,8.0,4207963
