date,open,high,low,close,volume
1994-02-24,15.8,16.0,14.0,15.2,9054300
1994-02-25,15.4,16.55,15.31,16.5,6134200
1994-02-28,16.3,17.1,14.98,15.9,5547500
1994-03-01,15.5,15.9,15.11,15.6,1996400
1994-03-02,15.38,15.55,14.98,15.0,863400
1994-03-03,15.0,15.98,14.79,15.65,1468500
1994-03-04,15.88,16.82,15.38,15.6,6738900
1994-03-07,15.78,16.2,15.68,16.17,487400
1994-03-08,16.25,16.5,15.5,15.78,1938400
1994-03-09,16.0,18.5,15.22,18.0,6723900
1994-03-10,18.46,19.4,15.7,16.02,10281300
1994-03-11,15.99,16.67,15.56,16.05,1947500
1994-03-14,17.1,17.5,16.5,16.55,2484500
1994-03-15,16.71,17.04,16.15,16.6,1624300
1994-03-16,16.3,17.78,16.28,17.5,2230600
1994-03-17,17.65,17.65,16.28,16.57,1395800
1994-03-18,16.38,16.49,16.0,16.15,959900
1994-03-21,16.0,16.1,15.5,15.52,404500
1994-03-22,15.4,15.8,15.31,15.65,301500
1994-03-23,15.7,15.7,15.41,15.45,390000
1994-03-24,15.5,15.7,15.15,15.3,443700
1994-03-25,15.25,15.8,15.0,15.35,625300
1994-03-28,15.0,15.1,14.41,15.0,507000
1994-03-29,15.3,16.22,15.1,15.9,2499200
1994-03-30,16.05,16.05,15.26,15.4,887000
1994-03-31,15.35,15.48,15.0,15.18,513000
1994-04-01,15.18,15.37,14.91,15.1,497800
1994-04-04,15.28,15.28,14.8,14.81,195300
1994-04-05,14.85,15.0,14.51,14.64,226100
1994-04-06,14.65,14.83,14.5,14.83,216900
1994-04-07,14.75,14.84,14.43,14.5,137500
1994-04-08,14.7,14.7,14.21,14.52,155700
1994-04-11,14.45,14.45,14.0,14.05,241700
1994-04-12,14.0,14.48,13.81,14.27,162100
1994-04-13,14.5,14.57,13.86,13.86,149900
1994-04-14,13.75,13.76,13.01,13.43,558100
1994-04-15,13.2,13.8,12.6,13.6,771200
1994-04-18,13.5,13.5,12.81,13.0,359200
1994-04-19,12.85,13.24,12.52,12.52,420600
1994-04-20,12.49,12.49,11.77,11.77,515100
1994-04-21,11.6,13.09,11.6,12.8,564800
1994-04-22,13.48,13.48,11.93,12.02,522100
1994-04-25,12.05,12.2,11.6,11.6,295100
1994-04-26,11.85,12.52,11.7,12.5,464400
1994-04-27,12.7,12.93,12.33,12.87,820200
1994-04-28,13.01,13.2,12.47,12.54,616300
1994-04-29,12.6,12.7,11.52,12.11,292600
1994-05-03,12.31,12.85,11.9,12.85,413500
1994-05-04,13.02,13.08,12.7,12.85,605700
1994-05-05,12.7,12.7,12.09,12.12,417700
1994-05-06,12.22,12.35,11.6,12.04,184900
1994-05-09,11.94,12.15,11.8,11.98,80200
1994-05-10,12.1,12.39,11.95,12.39,149300
1994-05-11,12.55,12.56,12.0,12.0,341900
1994-05-12,12.0,12.8,12.0,12.15,631400
1994-05-13,12.3,12.5,12.02,12.4,308700
1994-05-16,12.65,12.86,12.48,12.61,608100
1994-05-17,12.75,12.8,12.41,12.58,154400
1994-05-18,12.6,13.1,12.41,12.75,543200
1994-05-19,12.7,12.83,12.58,12.8,252800
1994-05-20,12.85,13.16,12.75,13.16,1069200
1994-05-23,13.35,13.7,13.05,13.22,1769500
1994-05-24,13.2,13.35,13.09,13.24,453700
1994-05-25,13.3,13.36,13.03,13.26,266600
1994-05-26,13.08,13.24,12.37,12.37,294000
1994-05-27,12.4,12.47,12.1,12.1,301400
1994-05-30,12.0,12.05,11.6,11.6,186900
1994-05-31,11.5,11.98,11.39,11.89,163900
1994-06-01,11.8,11.98,11.6,11.6,143900
1994-06-02,11.59,11.8,11.59,11.65,53200
1994-06-03,11.7,12.0,11.7,11.76,159500
1994-06-06,12.0,12.0,11.68,11.7,56300
1994-06-07,11.6,11.78,11.52,11.68,81200
1994-06-08,11.65,12.22,11.53,12.03,234500
1994-06-09,11.98,12.28,11.66,11.7,120000
1994-06-10,11.7,11.79,11.55,11.6,79700
1994-06-13,11.4,11.54,11.15,11.24,78700
1994-06-14,11.2,11.28,11.05,11.15,60500
1994-06-15,11.1,11.2,11.01,11.05,39000
1994-06-16,11.1,11.5,11.1,11.35,51100
1994-06-17,11.55,11.88,11.2,11.82,154700
1994-06-20,11.43,11.82,11.16,11.28,139000
1994-06-21,11.11,11.3,11.11,11.3,77700
1994-06-22,11.4,11.51,11.3,11.51,58500
1994-06-23,11.51,11.85,11.49,11.7,261800
1994-06-24,11.8,12.15,11.5,11.55,738100
1994-06-27,11.4,11.4,10.85,10.85,189500
1994-06-28,10.75,10.9,10.4,10.5,165800
1994-06-29,10.52,10.65,10.45,10.46,72800
1994-06-30,10.3,10.4,10.0,10.35,120100
1994-07-01,10.36,10.36,9.85,9.85,153600
1994-07-04,9.5,9.89,9.5,9.7,78700
1994-07-05,9.56,9.98,9.56,9.88,137100
1994-07-06,9.79,9.85,9.12,9.24,317900
1994-07-07,9.18,9.18,8.71,8.82,268800
1994-07-08,9.17,9.17,8.75,9.1,159100
1994-07-11,9.16,9.16,8.75,8.84,129000
1994-07-12,8.8,8.87,8.7,8.76,88200
1994-07-13,8.82,8.96,8.72,8.9,53400
1994-07-14,9.0,9.04,8.81,8.81,99700
1994-07-15,8.75,8.8,8.1,8.2,176900
1994-07-18,8.2,8.2,7.79,7.8,104700
1994-07-19,7.8,7.88,7.53,7.73,36300
1994-07-20,7.75,7.8,7.59,7.6,63300
1994-07-21,7.52,7.52,7.18,7.21,98400
1994-07-22,7.1,7.1,6.61,6.61,149000
1994-07-25,6.5,7.0,6.5,6.87,159200
1994-07-26,6.91,7.27,6.85,7.25,449000
1994-07-27,7.2,7.25,6.69,6.71,241900
1994-07-28,6.61,6.62,5.8,5.97,158800
1994-07-29,5.8,5.91,5.35,5.6,224300
1994-08-01,7.48,8.0,6.5,7.8,1080500
1994-08-02,7.88,9.58,7.85,7.9,2184400
1994-08-03,8.0,9.5,7.92,9.33,1589900
1994-08-04,10.0,11.5,10.0,10.35,3247000
1994-08-05,10.5,11.95,10.5,11.94,1496700
1994-08-08,12.35,12.75,11.01,11.9,1878800
1994-08-09,12.01,12.01,10.03,10.3,893800
1994-08-10,10.1,12.3,9.58,12.16,1320900
1994-08-11,12.52,12.9,11.0,11.1,1448300
1994-08-12,11.0,11.98,10.8,11.17,651600
1994-08-15,10.75,11.17,10.4,10.8,300400
1994-08-16,10.79,11.6,10.7,11.2,395500
1994-08-17,11.2,11.8,11.2,11.65,599100
1994-08-18,12.0,12.85,12.0,12.3,1606800
1994-08-19,12.41,12.78,11.5,11.79,1024100
1994-08-22,10.8,11.49,10.8,11.22,518800
1994-08-23,11.25,11.79,11.04,11.79,327200
1994-08-24,11.97,12.45,11.5,11.57,1093100
1994-08-25,11.68,12.19,11.65,12.0,850000
1994-08-26,12.18,12.4,11.88,12.15,1016000
1994-08-29,11.92,12.2,11.5,12.16,647500
1994-08-30,12.28,13.15,12.05,12.61,1952400
1994-08-31,12.82,13.15,12.63,13.0,2449400
1994-09-01,13.58,13.8,13.15,13.2,1790100
1994-09-02,13.25,14.8,13.2,14.34,2207200
1994-09-05,15.28,16.0,14.68,15.9,3305000
1994-09-06,16.5,18.0,13.1,17.57,3864600
1994-09-07,17.4,18.5,15.8,16.08,3462400
1994-09-08,16.48,18.0,16.21,17.2,1973500
1994-09-09,17.8,18.0,16.98,17.3,2052100
1994-09-12,17.8,17.9,17.25,17.7,991200
1994-09-13,17.9,18.25,17.3,18.08,1467700
1994-09-14,18.2,18.29,16.6,16.99,1230100
1994-09-15,16.99,17.27,15.52,16.99,807500
1994-09-16,16.99,17.15,16.3,16.6,468400
