date,open,high,low,close,volume
1996-07-16,11.0,11.85,10.5,10.8,8463300
1996-07-17,10.58,10.75,10.2,10.48,1877900
1996-07-18,10.6,10.83,10.26,10.75,1217500
1996-07-19,10.75,11.72,10.36,11.59,2362400
1996-07-22,11.4,11.85,10.92,11.15,2144000
1996-07-23,10.98,11.2,10.71,10.98,606300
1996-07-24,11.0,11.09,10.7,10.9,711300
1996-07-25,10.9,11.88,10.83,11.88,1466500
1996-07-26,11.1,11.78,11.1,11.6,1945800
1996-07-29,11.59,12.0,11.38,11.98,1659700
1996-07-30,11.5,11.72,11.4,11.65,1490500
1996-07-31,11.7,11.7,11.0,11.4,518300
1996-08-01,11.4,11.4,11.13,11.3,220200
1996-08-02,11.5,11.52,10.82,10.83,312700
1996-08-05,10.79,11.5,10.6,11.39,309400
1996-08-06,11.28,11.5,11.1,11.18,476900
1996-08-07,11.4,11.47,11.2,11.3,488600
1996-08-08,11.3,11.98,11.3,11.8,1243100
1996-08-09,11.9,12.6,11.8,12.5,1912700
1996-08-12,13.0,13.15,12.55,12.9,1513600
1996-08-13,12.95,12.95,12.3,12.49,623300
1996-08-14,12.4,12.7,12.15,12.36,540400
1996-08-15,12.41,12.42,11.8,11.95,474200
1996-08-16,11.76,11.9,11.4,11.63,440000
1996-08-19,11.7,11.7,11.3,11.3,193400
1996-08-20,11.2,11.2,10.81,10.9,273200
1996-08-21,10.8,11.37,10.78,11.24,366900
1996-08-22,11.32,11.32,10.5,10.86,263000
1996-08-23,10.75,11.6,10.38,11.32,636200
1996-08-26,11.31,11.6,11.0,11.53,480000
1996-08-27,11.3,11.8,11.3,11.7,426500
1996-08-28,12.35,12.35,11.71,12.0,1282900
1996-08-29,12.0,12.3,11.84,12.26,1132300
1996-08-30,12.26,12.6,12.1,12.38,1258000
1996-09-02,12.35,12.65,12.2,12.3,885000
1996-09-03,12.4,12.98,12.0,12.68,1824600
1996-09-04,12.5,13.3,12.5,12.82,1573800
1996-09-05,12.9,13.1,11.99,12.08,569000
1996-09-06,12.0,12.27,11.78,11.92,428800
1996-09-09,11.9,11.91,11.75,11.78,258100
1996-09-10,11.78,11.78,10.86,10.89,622100
1996-09-11,11.11,11.59,10.8,11.25,584700
1996-09-12,11.2,11.3,10.9,11.0,353400
1996-09-13,10.88,11.15,10.84,11.1,468100
1996-09-16,11.18,11.18,10.89,11.1,526400
1996-09-17,11.15,11.28,10.98,11.25,889100
1996-09-18,11.35,11.4,10.43,10.55,1370200
1996-09-19,10.5,10.88,10.45,10.7,394700
1996-09-20,10.59,10.88,10.59,10.8,265900
1996-09-23,11.3,11.62,11.1,11.39,763500
1996-09-24,11.5,11.54,11.3,11.5,563700
1996-09-25,11.55,11.65,11.3,11.48,578000
1996-09-26,11.58,11.85,11.58,11.7,573600
1996-09-27,11.72,12.29,11.72,12.03,1219000
1996-10-04,11.6,12.6,11.6,12.38,2757700
1996-10-07,12.5,12.95,12.4,12.9,1888000
1996-10-08,12.95,13.0,12.62,12.92,1063100
1996-10-09,12.9,14.0,12.89,13.65,2457500
1996-10-10,13.6,14.8,13.6,14.64,1625300
1996-10-11,14.62,14.83,13.8,14.6,1202400
1996-10-14,14.62,14.85,14.45,14.45,853300
1996-10-15,14.44,15.2,14.25,14.7,903400
1996-10-16,14.69,15.02,14.6,14.6,539800
1996-10-17,14.85,15.26,14.8,14.96,961000
1996-10-18,15.03,15.19,14.4,14.99,1011900
1996-10-21,14.6,15.8,14.6,15.78,1237800
1996-10-22,14.9,15.35,14.7,14.7,1065700
1996-10-23,14.9,16.5,14.71,16.5,2542500
1996-10-24,16.88,17.3,15.15,15.32,2628800
1996-10-25,15.51,16.0,15.4,15.45,1620000
1996-10-28,15.0,15.9,15.0,15.61,675100
1996-10-29,15.7,16.66,15.5,16.0,1209900
1996-10-30,16.0,16.7,15.72,15.99,1022100
1996-10-31,16.0,16.33,15.65,15.65,759300
1996-11-01,15.65,15.7,15.05,15.2,300800
1996-11-04,15.2,15.35,14.9,15.35,191800
1996-11-05,15.35,15.35,14.9,14.95,242400
1996-11-06,14.9,15.2,14.8,14.85,124200
1996-11-07,15.02,15.21,14.9,15.16,114600
1996-11-08,15.2,16.0,15.0,15.84,859100
1996-11-11,16.0,17.5,15.7,16.55,882500
1996-11-12,16.65,18.08,16.3,17.8,1491300
1996-11-13,17.78,19.5,17.76,18.75,1714000
1996-11-14,18.66,19.55,17.9,18.4,1569700
1996-11-15,18.3,18.35,17.0,17.99,1114900
1996-11-18,17.9,18.5,17.2,17.9,1084500
1996-11-19,17.9,18.5,17.5,18.35,1247100
1996-11-20,18.1,18.95,18.0,18.55,1327200
1996-11-21,18.6,19.0,17.2,17.35,1374700
1996-11-22,17.0,17.65,15.8,17.65,591200
1996-11-25,17.14,18.58,17.14,17.69,561500
1996-11-26,17.8,17.9,16.9,17.16,524400
1996-11-27,17.0,17.31,16.7,16.78,388800
1996-11-28,16.78,17.5,16.68,17.3,980900
1996-11-29,17.35,17.85,17.0,17.16,587000
1996-12-02,17.3,17.7,16.75,16.86,429000
1996-12-03,16.96,17.3,16.8,17.18,337600
1996-12-04,17.5,18.9,17.18,18.68,3377900
1996-12-05,18.8,19.0,18.11,18.8,1969300
1996-12-06,18.78,18.8,18.3,18.55,677600
1996-12-09,18.8,18.82,18.2,18.48,1172200
1996-12-10,18.5,20.5,18.4,19.83,1984700
1996-12-11,20.0,23.6,19.95,23.4,4082800
1996-12-12,22.9,23.4,21.3,22.15,2545100
1996-12-13,22.0,22.0,20.2,20.25,1276000
1996-12-16,18.19,18.19,18.19,18.19,69100
1996-12-17,16.37,16.37,16.37,16.37,154100
1996-12-18,14.73,18.0,14.73,16.99,1775400
1996-12-19,16.96,17.2,15.29,15.29,1830100
1996-12-20,13.8,15.1,13.76,13.76,1070200
1996-12-23,14.96,14.96,13.53,14.5,718500
1996-12-24,14.9,15.38,13.86,13.86,940400
1996-12-25,14.01,15.35,13.85,15.35,1500700
1996-12-26,15.7,16.36,15.3,15.73,863500
1996-12-27,16.5,16.5,15.8,16.34,1917300
1996-12-30,16.48,17.5,15.7,17.42,3539000
1996-12-31,16.9,17.18,15.8,16.2,2150000
1997-01-02,16.18,17.0,16.01,16.67,1388600
1997-01-03,16.67,17.09,16.28,16.55,1245500
1997-01-06,16.49,16.95,15.9,15.92,813200
1997-01-07,15.72,16.48,15.6,16.39,552300
1997-01-08,16.5,16.5,16.08,16.22,325200
1997-01-09,16.46,16.98,16.28,16.59,515500
1997-01-10,16.78,17.5,16.0,17.5,1173100
1997-01-13,18.5,18.5,17.0,17.6,1476200
1997-01-14,17.3,17.59,16.8,17.03,656200
1997-01-15,17.0,17.3,16.85,17.1,255600
1997-01-16,17.1,17.45,16.8,17.18,313400
1997-01-17,17.0,17.4,17.0,17.2,333300
1997-01-20,17.5,17.5,17.1,17.3,367400
1997-01-21,17.4,17.45,17.2,17.28,329400
1997-01-22,17.25,17.6,17.1,17.58,787900
1997-01-23,17.58,17.98,17.5,17.63,463200
1997-01-24,17.6,17.99,17.5,17.8,424800
1997-01-27,17.8,18.05,17.6,18.02,681300
1997-01-28,18.04,18.09,17.8,17.93,418600
1997-01-29,17.95,18.02,17.4,17.61,398100
1997-01-30,17.6,17.64,17.31,17.38,274400
1997-01-31,17.21,17.5,17.2,17.29,459500
1997-02-17,17.16,17.55,16.9,17.45,197100
1997-02-18,17.0,17.35,15.71,15.74,672400
1997-02-19,16.01,16.88,16.01,16.83,429800
1997-02-20,15.15,18.05,15.15,17.66,1194100
1997-02-21,17.5,17.92,17.5,17.7,278900
1997-02-24,17.98,19.47,17.7,19.47,1184100
1997-02-25,19.9,20.5,19.9,20.25,921300
1997-02-26,19.8,20.39,19.78,20.23,450900
1997-02-27,20.3,21.6,20.2,20.97,2223900
1997-02-28,21.1,21.5,20.2,20.95,422300
1997-03-03,21.68,21.86,20.6,21.42,1983500
1997-03-04,20.75,21.5,20.7,20.92,449900
1997-03-05,20.88,21.0,20.3,20.66,278000
1997-03-06,20.9,21.2,20.66,20.99,156100
1997-03-07,20.98,21.0,20.0,20.1,564700
1997-03-10,20.5,20.6,20.0,20.46,160500
1997-03-11,20.5,20.85,20.18,20.8,321900
1997-03-12,20.85,21.0,20.4,20.74,372700
1997-03-13,20.9,21.3,20.5,21.28,544000
1997-03-14,21.36,22.2,20.65,22.2,913500
1997-03-17,22.48,22.8,21.3,22.0,958600
1997-03-18,21.8,22.65,21.3,21.6,510300
1997-03-19,21.85,21.99,21.15,21.8,507100
1997-03-20,21.57,22.5,20.8,21.0,580600
1997-03-21,20.6,22.0,20.6,21.99,243200
1997-03-24,22.0,22.45,21.5,22.45,909600
1997-03-25,22.3,22.3,21.2,21.6,273100
1997-03-26,21.5,22.0,21.5,21.87,333300
1997-03-27,21.87,23.48,21.87,23.27,1248400
1997-03-28,23.6,23.99,22.65,22.95,405100
1997-03-31,23.45,23.45,22.75,22.95,228300
1997-04-01,22.8,23.0,22.0,22.9,412400
1997-04-02,22.85,23.11,22.41,22.73,403100
1997-04-03,23.0,24.95,23.0,24.94,1356000
1997-04-04,25.0,25.15,23.5,23.95,363300
1997-04-07,23.6,24.5,22.61,24.2,660700
1997-04-08,24.3,24.6,23.0,23.38,719900
1997-04-09,23.0,24.0,23.0,23.5,309700
1997-04-10,24.0,25.2,23.65,24.22,668200
1997-04-11,21.8,24.45,21.8,23.45,339700
1997-04-14,24.7,25.2,22.8,24.49,1063300
1997-04-15,24.2,24.9,23.51,23.9,631500
1997-04-16,24.0,24.5,23.75,24.11,863600
1997-04-17,24.2,25.76,24.2,25.7,2218800
1997-04-18,26.8,26.99,25.0,25.11,1242300
1997-04-21,26.0,26.0,24.91,25.3,1147000
1997-04-22,25.5,25.5,24.8,24.98,666700
1997-04-23,25.15,26.2,24.9,26.0,1029700
1997-04-24,25.98,27.0,25.6,27.0,1554600
1997-04-25,27.2,29.6,27.2,28.5,1812400
1997-04-28,29.0,31.2,28.6,30.69,1300100
1997-04-29,31.4,31.4,27.65,28.8,1185500
1997-04-30,27.9,29.4,27.9,28.98,641700
1997-05-05,29.3,30.0,29.3,29.74,1026900
1997-05-06,30.0,31.75,29.6,30.9,1472600
1997-05-07,31.0,31.0,30.0,30.52,776700
1997-05-08,30.4,31.5,28.6,29.6,1028100
1997-05-09,29.4,30.5,29.31,30.46,736200
1997-05-12,32.0,32.65,30.42,30.89,778700
1997-05-13,30.8,30.8,29.5,30.13,515700
1997-05-14,29.8,30.0,28.8,29.02,429400
1997-05-15,28.6,29.94,28.46,29.75,288600
1997-05-16,28.0,29.4,26.83,26.99,542100
1997-05-19,26.9,28.23,26.7,28.1,271400
1997-05-20,28.49,29.65,28.45,29.01,589400
1997-05-21,28.8,28.98,27.5,28.39,587600
1997-05-22,25.55,27.5,25.55,25.55,738700
1997-05-23,25.6,27.48,25.6,27.0,538700
1997-05-26,27.52,28.2,26.4,27.64,715000
1997-05-27,27.8,28.79,27.65,28.68,841100
1997-05-29,31.3,31.3,28.0,28.22,326000
1997-05-30,28.5,28.65,27.7,28.2,283100
1997-06-02,28.5,28.9,27.95,28.9,444600
1997-06-03,29.0,29.0,28.2,28.3,283600
1997-06-04,28.33,28.8,28.15,28.4,229300
1997-06-05,28.5,29.3,28.3,29.21,367500
1997-06-06,27.65,28.21,26.6,27.19,441100
1997-06-09,27.14,27.4,26.7,26.96,148600
1997-06-10,27.0,27.3,26.5,26.67,122400
1997-06-11,26.55,26.55,24.05,25.23,194800
1997-06-12,25.35,25.52,25.0,25.05,141300
1997-06-13,24.05,26.5,23.08,26.16,267600
1997-06-16,26.5,26.95,26.5,26.69,120100
1997-06-17,26.98,26.98,26.26,26.5,110200
1997-06-18,26.49,26.49,26.0,26.09,61100
1997-06-19,26.4,26.5,25.9,25.91,100500
1997-06-20,26.0,27.49,26.0,27.25,251200
1997-06-23,27.5,28.31,26.0,27.22,378500
1997-06-24,27.45,28.8,27.3,28.6,473300
1997-06-25,28.6,29.3,28.3,28.6,501900
1997-06-26,28.49,28.8,28.0,28.67,218100
1997-06-27,28.7,30.2,28.7,29.31,1176600
1997-07-02,30.0,30.6,26.8,28.85,373300
1997-07-03,28.8,28.8,27.3,27.37,245300
1997-07-04,27.0,27.6,26.2,27.46,187900
1997-07-07,27.0,28.0,25.0,25.35,237900
1997-07-08,25.33,26.5,25.0,26.3,189300
1997-07-09,26.5,26.79,25.92,26.39,143800
1997-07-10,26.02,26.76,26.02,26.36,125000
1997-07-11,26.24,27.38,26.01,27.26,154700
1997-07-14,27.35,28.1,27.35,27.71,176100
1997-07-15,27.5,27.74,27.0,27.24,132000
1997-07-16,27.15,27.15,26.7,26.83,128600
1997-07-17,26.85,28.1,26.85,27.38,197000
1997-07-18,27.7,28.0,27.45,27.98,190500
1997-07-21,28.08,28.2,27.2,27.39,174200
1997-07-22,28.15,29.5,28.0,28.65,738100
1997-07-23,29.0,29.2,27.8,27.9,373200
1997-07-24,28.0,28.0,27.15,27.2,297400
1997-07-25,26.9,26.9,26.0,26.2,469000
1997-07-28,14.6,14.6,13.1,13.3,552300
1997-07-29,13.0,13.6,12.5,13.09,250900
1997-07-30,13.0,13.4,12.8,13.4,309300
1997-07-31,13.24,13.53,13.24,13.45,254400
1997-08-01,13.5,13.5,13.1,13.18,235500
1997-08-04,13.2,13.38,13.0,13.29,313100
1997-08-05,13.1,13.5,13.1,13.24,211200
1997-08-06,13.25,13.25,12.81,12.84,242600
1997-08-07,12.85,12.85,12.38,12.8,244500
1997-08-08,13.0,13.0,12.45,12.46,263100
1997-08-11,12.39,12.39,11.62,11.85,377400
1997-08-12,11.81,12.5,11.8,12.2,324700
1997-08-13,12.15,12.45,11.88,11.9,134600
1997-08-14,11.9,12.05,11.9,12.0,142600
1997-08-15,12.29,12.3,11.78,11.8,152100
1997-08-18,11.85,11.85,10.8,11.14,165600
1997-08-19,11.14,11.35,10.85,10.92,163000
1997-08-20,10.5,11.0,10.5,10.96,146000
1997-08-21,10.96,12.03,10.96,11.88,490200
1997-08-22,12.0,12.2,11.58,11.88,363200
1997-08-25,11.88,12.49,11.88,12.25,231800
1997-08-26,12.2,12.42,11.85,12.04,282500
1997-08-27,12.02,12.02,11.85,11.88,255400
1997-08-28,12.5,13.07,12.15,13.07,1164600
1997-08-29,13.2,14.2,13.18,13.49,1844300
1997-09-01,13.05,13.2,12.8,12.92,602900
1997-09-02,12.8,13.1,12.7,12.88,334800
1997-09-03,12.8,13.15,12.8,13.05,300500
1997-09-04,13.15,13.2,12.9,13.2,391000
1997-09-05,13.2,13.3,13.07,13.12,273700
1997-09-08,13.1,13.1,12.8,12.95,266600
1997-09-09,12.5,13.1,12.5,12.71,200200
1997-09-10,12.68,12.7,12.45,12.62,181500
1997-09-11,12.64,12.98,12.62,12.8,157000
1997-09-12,12.68,12.75,12.37,12.39,164400
1997-09-15,12.1,12.23,11.8,11.8,160000
1997-09-16,11.8,12.05,11.75,11.84,92200
1997-09-17,11.8,11.9,11.7,11.73,68900
1997-09-18,11.6,11.75,11.58,11.7,126700
1997-09-19,11.85,12.2,11.7,12.0,98000
1997-09-22,12.0,12.0,11.1,11.2,170300
1997-09-23,11.0,11.0,10.09,10.14,176800
1997-09-24,11.0,11.0,10.24,10.98,279000
1997-09-25,11.1,11.22,10.6,10.92,177200
1997-09-26,10.88,10.88,10.59,10.71,128400
1997-09-29,10.65,11.2,10.11,10.9,490300
1997-09-30,11.5,12.07,11.05,12.07,746300
1997-10-06,11.85,11.99,11.43,11.96,408100
1997-10-07,11.9,11.9,11.46,11.65,80400
1997-10-08,11.85,11.94,11.5,11.84,133100
1997-10-09,11.85,11.85,11.5,11.6,90500
1997-10-10,11.6,11.8,11.6,11.68,67400
1997-10-13,12.0,12.0,11.62,11.7,65200
1997-10-14,11.75,11.75,11.15,11.4,69000
1997-10-15,11.3,11.54,11.3,11.48,50500
1997-10-16,11.8,11.98,11.41,11.89,249700
