date,open,high,low,close,volume
2001-08-23,30.0,30.0,26.08,27.08,52992469
2001-08-24,27.0,27.35,25.88,25.99,10067976
2001-08-27,26.0,27.66,25.9,27.01,10646909
2001-08-28,26.85,28.17,26.71,28.0,8687511
2001-08-29,28.08,28.28,27.51,27.57,5219915
2001-08-30,27.5,28.08,27.38,27.62,2493194
2001-08-31,27.6,27.95,27.25,27.48,2274243
2001-09-03,27.48,27.77,27.12,27.24,1412920
2001-09-04,27.2,29.94,27.2,29.05,13452581
2001-09-05,29.07,29.6,28.86,29.08,7924995
2001-09-06,29.2,29.43,28.5,28.82,3642704
2001-09-07,28.61,28.88,27.61,27.65,5735734
2001-09-10,27.07,29.3,27.07,28.96,6447668
2001-09-11,29.06,29.38,28.6,28.7,3527387
2001-09-12,28.0,28.9,27.5,28.5,4238450
2001-09-13,28.55,29.19,28.41,28.61,2624485
2001-09-14,28.67,28.9,28.12,28.31,1310410
2001-09-17,28.2,28.38,27.8,28.0,1801594
2001-09-18,27.82,28.8,27.82,28.26,1357655
2001-09-19,28.38,29.58,27.97,29.11,3061995
2001-09-20,29.24,29.35,28.35,28.4,2410867
2001-09-21,28.3,28.7,28.0,28.22,2696737
2001-09-24,28.4,28.8,28.23,28.4,963651
2001-09-25,28.62,28.9,28.28,28.4,683738
2001-09-26,28.4,28.45,28.0,28.25,1279337
2001-09-27,28.2,28.77,28.04,28.55,1321107
2001-09-28,28.77,29.17,28.5,28.79,2016814
2001-10-08,29.0,29.16,28.51,28.72,1099413
2001-10-09,28.6,29.8,28.6,29.4,3288538
2001-10-10,29.4,29.49,28.01,28.3,3966961
2001-10-11,28.25,28.7,27.9,28.11,2475235
2001-10-12,28.11,28.5,25.82,27.88,6016600
2001-10-15,27.7,27.8,26.52,27.1,2774204
2001-10-16,27.0,27.29,25.9,25.99,2965245
2001-10-17,25.9,25.97,24.7,25.16,3064024
2001-10-18,25.0,25.42,24.8,24.88,1140119
2001-10-19,24.58,25.2,23.65,23.9,2941104
2001-10-22,23.8,24.1,22.71,22.94,2221552
2001-10-23,25.23,25.23,25.23,25.23,2175741
2001-10-24,26.53,27.75,26.31,27.51,13129428
2001-10-25,27.01,28.3,26.53,27.05,5639526
2001-10-26,27.0,27.25,26.28,27.15,3564816
2001-10-29,27.2,27.4,26.85,27.12,1056505
2001-10-30,27.15,27.29,26.5,26.56,1117994
2001-10-31,26.45,26.5,25.94,26.48,1540605
2001-11-01,26.61,26.85,26.3,26.55,910075
2001-11-02,26.35,26.67,25.86,25.88,1155240
2001-11-05,25.78,25.78,24.98,25.0,1491411
2001-11-06,24.88,25.25,24.75,24.98,889264
2001-11-07,25.0,25.05,23.11,23.44,3460474
2001-11-08,23.1,24.3,23.0,24.01,1710871
2001-11-09,24.0,24.8,23.45,24.56,1531776
2001-11-12,24.55,24.58,23.95,23.95,682492
2001-11-13,23.8,24.15,23.4,23.85,467324
2001-11-14,23.9,24.4,23.9,23.91,375500
2001-11-15,24.3,24.38,23.9,24.05,469175
2001-11-16,26.46,26.46,24.7,24.7,3767541
2001-11-19,24.8,25.17,24.61,25.01,622637
2001-11-20,25.17,25.78,25.0,25.52,1292007
2001-11-21,25.52,25.65,25.08,25.38,1065433
2001-11-22,25.32,25.55,25.15,25.46,555066
2001-11-23,25.45,25.45,25.0,25.12,842318
2001-11-26,25.08,25.1,24.77,24.84,706944
2001-11-27,24.9,25.34,24.81,25.34,503924
2001-11-28,25.49,25.92,25.35,25.53,1454529
2001-11-29,25.5,25.7,25.04,25.15,705208
