date,open,high,low,close,volume
1996-06-06,10.18,11.98,10.18,11.45,23099400
1996-06-07,11.3,11.38,10.52,10.58,7299800
1996-06-10,10.5,10.55,9.2,9.49,5143000
1996-06-11,9.4,9.79,9.08,9.38,2564900
1996-06-12,9.5,9.57,9.08,9.16,2247100
1996-06-13,9.28,9.48,9.18,9.33,1474900
1996-06-14,9.34,9.35,9.02,9.07,2144900
1996-06-17,9.07,9.33,9.01,9.05,1280500
1996-06-18,9.3,9.3,8.83,9.08,1507800
1996-06-19,9.1,9.12,8.73,8.89,1514800
1996-06-20,8.9,9.25,8.89,9.06,1160800
1996-06-21,9.08,9.2,9.0,9.06,869100
1996-06-24,9.15,9.48,9.12,9.35,1246000
1996-06-25,9.0,9.19,8.92,9.08,903900
1996-06-26,9.15,9.15,8.98,9.05,866300
1996-06-27,9.1,9.5,9.03,9.42,2332200
1996-06-28,9.48,9.86,9.36,9.48,3011800
1996-07-01,9.43,9.45,9.0,9.17,1282100
1996-07-02,9.12,9.14,9.0,9.1,659700
1996-07-03,9.1,9.22,8.92,9.12,990900
1996-07-04,9.25,9.25,8.98,9.13,1079800
1996-07-05,9.08,9.13,8.82,8.95,846000
1996-07-08,8.9,8.9,8.55,8.72,1576100
1996-07-09,8.7,8.7,8.3,8.45,1180500
1996-07-10,8.4,8.68,8.27,8.68,1223800
1996-07-11,8.68,8.68,8.35,8.38,542400
1996-07-12,8.38,8.4,8.25,8.3,490700
1996-07-15,8.25,8.25,8.02,8.12,653300
1996-07-16,8.2,8.5,8.12,8.46,486300
1996-07-17,8.5,8.61,8.32,8.51,998400
1996-07-18,8.5,8.7,8.48,8.5,460000
1996-07-19,8.5,9.2,8.48,9.2,2318200
1996-07-22,9.5,9.98,9.1,9.27,2511600
1996-07-23,9.3,9.3,8.85,8.85,1006300
1996-07-24,9.0,9.32,9.0,9.27,1326400
1996-07-25,9.27,9.62,9.21,9.55,2766900
1996-07-26,9.55,9.65,9.0,9.1,1190000
1996-07-29,9.15,9.88,9.1,9.82,3604300
1996-07-30,9.96,10.26,9.68,9.68,2989600
1996-07-31,9.78,9.79,9.43,9.6,1398400
1996-08-01,9.35,9.89,9.35,9.72,1515900
1996-08-02,9.86,9.95,9.55,9.95,1990300
1996-08-05,9.95,10.0,9.75,9.85,919200
1996-08-06,9.9,9.95,9.75,9.9,845000
1996-08-07,9.75,9.98,9.74,9.81,1145900
1996-08-08,9.92,9.92,9.76,9.9,664700
1996-08-09,9.79,9.92,9.6,9.9,877100
1996-08-12,10.01,10.18,9.85,9.95,796100
1996-08-13,9.92,9.95,9.6,9.86,352500
1996-08-14,9.87,9.9,9.7,9.86,402000
1996-08-15,9.92,10.12,9.8,9.93,677000
1996-08-16,9.95,9.97,9.5,9.92,553600
1996-08-19,9.9,9.9,9.6,9.65,315700
1996-08-20,9.7,9.72,9.41,9.62,447800
1996-08-21,9.62,9.9,9.51,9.77,666400
1996-08-22,9.85,10.55,9.85,10.2,3169800
1996-08-23,10.2,10.86,10.0,10.66,3183300
1996-08-26,10.8,11.16,10.3,10.5,2875600
1996-08-27,10.88,11.0,10.49,10.62,1227500
1996-08-28,10.67,10.96,10.6,10.7,1252800
1996-08-29,10.74,11.35,10.74,11.3,2362400
1996-08-30,11.29,11.93,11.11,11.6,3080900
1996-09-02,11.63,11.74,11.41,11.54,1132200
1996-09-03,11.58,11.69,11.29,11.29,1533500
1996-09-04,11.45,12.07,11.3,12.07,2867600
1996-09-05,12.1,12.25,11.65,11.8,1823800
1996-09-06,11.89,11.96,11.28,11.65,846500
1996-09-09,11.3,11.56,11.2,11.46,587500
1996-09-10,11.2,11.2,10.5,10.75,600900
1996-09-11,10.8,10.8,10.48,10.77,466300
1996-09-12,10.73,10.81,10.06,10.15,429500
1996-09-13,10.1,10.65,9.95,10.65,373700
1996-09-16,10.58,10.75,10.3,10.45,242500
1996-09-17,10.53,10.75,10.53,10.62,249400
1996-09-18,10.8,10.85,10.18,10.18,205300
1996-09-19,10.1,10.5,10.0,10.5,295500
1996-09-20,10.38,10.83,10.3,10.83,468900
1996-09-23,11.0,11.69,10.98,11.67,1494900
1996-09-24,11.7,12.35,11.7,12.1,3442500
1996-09-25,12.18,12.58,11.8,11.97,2100900
1996-09-26,12.0,12.77,12.0,12.34,2168400
1996-10-03,12.55,12.55,11.5,11.65,1364800
1996-10-04,11.88,12.16,11.65,11.96,746700
1996-10-07,11.85,12.18,11.48,11.78,716500
1996-10-08,11.7,11.94,11.7,11.79,543400
1996-10-09,11.8,12.72,11.7,12.5,2627800
1996-10-10,12.75,15.0,12.7,15.0,8079700
1996-10-11,14.97,16.5,14.1,15.82,5260500
1996-10-14,12.88,14.1,12.22,14.1,5249200
1996-10-15,13.8,13.98,12.21,12.21,2439100
1996-10-16,13.78,13.99,13.0,13.42,2141900
1996-10-17,13.2,13.4,12.99,13.3,769300
1996-10-18,13.3,13.62,12.85,13.01,1175100
1996-10-21,13.12,13.19,12.5,12.94,527100
1996-10-22,12.8,13.0,12.1,12.3,571200
1996-10-23,12.4,13.6,12.3,13.59,3621400
1996-10-24,13.71,14.1,13.58,13.85,6787900
1996-10-25,13.85,14.0,13.2,13.4,3791400
1996-10-28,13.4,13.4,12.5,12.7,2147100
1996-10-29,12.6,13.5,12.3,12.37,3792800
1996-10-30,12.5,12.52,11.85,12.0,1371800
1996-10-31,12.0,12.5,11.87,12.5,1383800
1996-11-01,12.2,12.4,11.5,11.85,604300
1996-11-04,11.99,11.99,11.15,11.15,2368700
1996-11-05,11.15,11.46,10.85,11.11,1434700
1996-11-06,11.2,11.37,10.6,10.81,880000
1996-11-07,11.01,11.25,10.85,11.0,689600
1996-11-08,11.05,11.2,10.95,11.0,424900
1996-11-11,11.1,11.2,10.8,11.01,460100
1996-11-12,11.15,11.59,11.0,11.5,1635400
1996-11-13,11.55,11.57,10.85,11.17,1464400
1996-11-14,11.14,11.14,10.8,10.98,1594400
1996-11-15,11.0,11.0,10.77,10.78,954000
1996-11-18,10.9,11.5,10.68,11.49,1606100
1996-11-19,11.58,11.96,11.35,11.48,1862000
1996-11-20,11.48,11.6,11.25,11.35,1245000
