date,open,high,low,close,volume
2017-02-15,2.14,2.56,2.14,2.56,276342
2017-02-16,2.82,2.82,2.82,2.82,98303
2017-02-17,3.1,3.1,3.1,3.1,163148
2017-02-20,3.41,3.41,3.41,3.41,229800
2017-02-21,3.75,3.75,3.75,3.75,382996
2017-02-22,4.13,4.13,4.13,4.13,358948
2017-02-23,4.54,4.54,4.54,4.54,481465
2017-02-24,4.99,4.99,4.99,4.99,1175235
2017-02-27,5.49,5.49,5.49,5.49,1197893
2017-02-28,6.04,6.04,6.04,6.04,1522181
2017-03-01,6.64,6.64,6.64,6.64,1486117
2017-03-02,7.3,7.3,7.3,7.3,3434695
2017-03-08,8.03,8.03,8.03,8.03,11579276
2017-03-09,8.83,8.83,8.83,8.83,4622316
2017-03-10,9.71,9.71,9.71,9.71,2726204
2017-03-13,10.68,10.68,10.01,10.68,436259022
2017-03-14,10.5,11.75,10.34,11.75,262047285
2017-03-15,12.37,12.93,12.15,12.93,225472725
2017-03-16,13.67,14.22,13.53,14.22,124022916
2017-03-17,15.64,15.64,14.25,14.43,412260501
2017-03-20,14.26,15.31,13.64,15.27,360944929
2017-03-21,15.0,15.83,14.7,15.41,326632846
2017-03-22,15.0,16.78,14.84,16.29,325713743
2017-03-23,16.1,17.2,16.1,16.6,319915268
2017-03-24,16.58,16.68,15.4,15.76,250963733
2017-03-27,15.6,16.06,15.31,15.66,173277339
2017-03-28,15.7,15.89,15.21,15.29,146493963
2017-03-29,14.71,14.74,13.81,14.16,219606855
2017-03-30,13.82,14.56,13.66,14.03,170390457
2017-03-31,13.9,14.18,12.8,13.0,174979932
2017-04-05,12.7,12.97,12.2,12.79,128482577
2017-04-06,12.61,13.12,12.61,12.86,115215072
2017-04-07,12.71,13.76,12.7,13.29,180465121
2017-04-10,12.8,12.87,11.96,11.96,159603015
2017-04-11,11.7,12.28,11.41,12.2,116106211
2017-04-12,12.17,12.17,11.48,11.52,104596199
2017-04-13,11.5,11.79,11.3,11.55,69917148
2017-04-14,11.61,11.87,11.3,11.56,81444112
2017-04-17,10.64,10.79,10.4,10.4,71632015
2017-04-18,9.93,10.24,9.83,9.86,79888476
