date,open,high,low,close,volume
1992-05-07,19.9,24.0,19.9,20.65,31800
1992-05-08,20.6,20.6,17.5,17.75,12200
1992-05-11,18.0,18.0,16.8,17.95,14700
1992-05-12,18.1,19.0,17.0,18.55,27700
1992-05-13,18.55,18.55,17.8,18.2,37000
1992-05-14,18.05,19.0,18.05,19.0,30000
1992-05-15,19.0,20.2,18.5,20.1,33400
1992-05-18,20.2,21.2,20.2,20.95,48100
1992-05-19,21.0,23.5,21.0,22.8,52900
1992-05-20,22.95,24.0,22.5,22.9,55200
1992-05-21,23.05,23.05,21.0,22.85,40700
1992-05-22,22.7,23.8,22.5,23.4,70800
1992-05-25,23.4,24.0,23.0,23.9,72400
1992-05-26,24.5,26.8,24.45,26.25,60500
1992-05-27,26.1,27.5,25.65,27.4,74200
1992-05-28,27.4,28.0,26.7,26.85,83200
1992-05-29,27.0,27.0,26.2,26.3,49000
1992-06-01,26.5,27.2,26.45,26.55,31600
1992-06-02,26.3,26.3,25.0,25.45,10900
1992-06-03,25.3,26.0,24.0,24.1,14900
1992-06-04,23.35,23.5,20.0,23.5,62000
1992-06-05,23.5,25.0,23.5,24.1,61500
1992-06-08,23.95,23.95,22.0,22.65,18300
1992-06-09,22.8,22.8,21.7,21.85,20200
1992-06-10,21.85,22.2,20.5,22.0,43100
1992-06-11,22.15,22.55,21.4,22.0,16400
1992-06-12,22.0,22.0,21.1,21.5,29800
1992-06-15,21.5,22.4,20.25,20.25,22500
1992-06-16,20.1,20.1,18.0,18.0,17200
1992-06-17,17.85,21.2,17.5,21.2,28900
1992-06-18,21.35,21.7,19.1,20.0,35800
1992-06-19,20.0,20.4,18.7,20.0,37900
1992-06-22,19.85,19.85,18.5,19.0,18200
1992-06-23,19.0,19.3,18.4,19.05,28900
1992-06-24,19.2,19.5,18.85,19.3,16100
1992-06-25,19.25,19.5,19.0,19.1,16900
1992-06-26,19.5,20.5,19.5,20.5,32200
1992-06-29,20.65,23.4,20.65,23.0,45000
1992-06-30,23.15,24.2,23.15,24.15,58000
1992-07-01,24.3,24.9,22.5,22.8,50100
1992-07-02,22.65,23.2,21.8,23.0,30400
1992-07-03,23.15,23.7,22.8,23.5,42800
1992-07-06,23.5,24.5,22.5,22.8,55100
1992-07-07,22.8,23.5,22.8,23.0,34100
1992-07-08,23.0,23.3,22.8,23.15,27000
1992-07-09,23.0,23.2,22.8,22.8,29400
1992-07-10,22.65,23.0,22.4,22.7,26200
1992-07-13,22.7,23.15,21.95,23.0,22600
1992-07-14,23.15,23.8,23.15,23.4,42000
1992-07-15,23.4,23.4,23.2,23.2,12700
1992-07-16,23.2,23.65,23.0,23.65,23800
1992-07-17,23.8,24.2,23.8,24.2,29000
1992-07-20,24.3,25.8,24.3,25.3,46600
1992-07-21,25.45,25.7,24.65,24.8,45000
1992-07-22,24.4,24.8,24.4,24.8,34600
1992-07-23,24.8,25.3,24.5,25.2,29800
1992-07-24,25.2,25.5,25.2,25.3,42600
1992-07-27,25.4,26.0,25.4,26.0,59300
1992-07-28,26.15,26.25,25.0,25.2,39900
1992-07-29,25.2,25.5,24.9,25.15,24800
1992-07-30,25.15,25.5,25.15,25.3,24100
1992-07-31,25.4,25.4,24.8,24.8,14000
1992-08-03,24.8,24.8,23.4,23.4,17400
1992-08-04,23.3,24.2,22.75,24.0,32500
1992-08-05,23.4,24.0,23.4,23.8,45900
1992-08-06,24.0,24.0,22.1,23.9,13400
1992-08-07,23.8,24.6,23.5,24.6,28800
1992-08-10,25.5,25.5,25.2,25.4,35100
1992-08-11,23.9,24.2,23.9,24.0,2400
1992-08-12,24.0,24.55,23.5,23.6,24600
1992-08-13,23.6,23.6,22.95,23.1,32400
1992-08-14,23.0,24.0,22.75,24.0,31500
1992-08-17,24.5,25.5,24.5,24.5,21000
1992-08-18,24.0,24.7,24.0,24.2,8700
1992-08-19,24.1,24.4,23.85,23.95,15800
1992-08-20,24.0,24.0,23.5,23.8,16100
1992-08-21,23.7,23.8,23.25,23.45,15400
1992-08-24,23.4,23.4,22.8,22.8,25400
1992-08-25,22.7,22.7,21.7,21.8,16400
1992-08-26,21.65,22.5,21.5,22.5,34900
1992-08-27,23.0,23.5,22.7,22.9,13500
1992-08-28,22.9,23.0,22.75,22.9,7900
1992-08-31,22.75,22.75,21.95,22.0,44500
1992-09-01,22.0,22.0,21.2,21.5,8800
1992-09-02,21.5,21.5,20.3,21.2,18400
1992-09-03,21.4,21.8,21.0,21.2,13600
1992-09-04,21.0,21.0,19.8,19.8,24100
1992-09-07,19.8,19.8,18.5,18.65,23900
1992-09-08,18.0,20.3,18.0,20.3,27100
1992-09-09,20.45,21.5,20.3,21.5,36200
1992-09-10,21.5,22.4,21.5,22.0,31700
1992-09-11,21.85,21.85,21.3,21.65,23100
1992-09-14,21.6,22.3,21.5,21.5,22600
1992-09-15,21.3,21.45,20.8,21.0,10300
1992-09-16,20.8,21.1,20.5,21.0,5200
1992-09-17,21.5,21.55,21.15,21.4,8600
1992-09-18,21.4,21.4,21.0,21.0,8900
1992-09-21,21.0,21.0,20.5,20.5,4800
1992-09-22,20.35,20.7,20.35,20.5,4500
1992-09-23,20.6,21.0,20.6,20.9,8300
1992-09-24,20.95,21.9,20.95,21.9,14000
1992-09-25,22.0,22.25,21.1,21.3,16800
1992-09-28,21.2,21.3,20.9,21.2,22300
1992-09-29,21.3,21.6,21.3,21.5,7300
1992-09-30,21.6,21.6,21.15,21.25,14900
1992-10-05,21.8,22.0,21.45,21.45,6600
1992-10-06,21.3,21.3,21.1,21.1,5100
1992-10-07,20.8,21.1,20.8,21.1,2800
1992-10-08,21.2,21.3,21.0,21.2,4700
1992-10-09,21.3,21.3,21.05,21.25,5100
1992-10-12,21.6,21.6,21.3,21.3,6700
1992-10-13,21.45,21.45,21.0,21.0,1700
1992-10-14,20.8,20.8,20.4,20.45,4300
1992-10-15,20.4,20.7,20.0,20.7,3700
1992-10-16,20.7,20.7,20.2,20.5,4600
1992-10-19,20.0,20.0,19.5,19.55,15200
1992-10-20,19.5,20.05,19.25,19.35,9100
1992-10-21,19.5,19.5,18.8,19.0,24000
1992-10-22,18.9,18.9,18.0,18.6,11700
1992-10-23,18.6,18.8,17.9,18.0,9000
1992-10-26,17.85,17.85,14.5,15.45,19800
1992-10-27,15.5,16.0,15.15,15.15,26900
1992-10-28,15.0,15.6,14.8,15.4,23000
1992-10-29,15.5,16.35,14.7,16.35,20800
1992-10-30,16.65,17.25,16.65,17.1,33800
1992-11-02,17.15,17.15,15.8,15.8,154500
1992-11-03,15.3,16.6,15.3,16.6,14400
1992-11-04,16.4,16.5,16.0,16.05,13400
1992-11-05,16.1,16.3,15.9,15.95,10100
1992-11-06,15.7,15.85,15.65,15.7,9500
1992-11-09,15.3,15.6,15.1,15.4,6400
1992-11-10,15.3,15.5,15.3,15.4,15200
1992-11-11,15.0,15.1,14.4,14.65,11600
1992-11-12,14.75,15.0,13.8,14.0,13800
1992-11-13,14.0,14.0,13.0,13.4,18000
1992-11-16,13.4,13.4,11.5,11.7,17400
1992-11-17,11.7,11.7,10.6,11.0,55100
1992-11-18,11.0,12.85,11.0,12.15,59800
1992-11-19,12.15,12.6,11.8,12.25,47900
1992-11-20,12.1,12.5,11.8,11.85,43600
1992-11-23,11.8,11.8,10.4,11.0,33900
1992-11-24,11.0,11.6,11.0,11.6,23000
1992-11-25,11.6,12.0,11.45,12.0,33400
1992-11-26,12.15,14.0,12.15,13.9,76400
1992-11-27,14.05,14.05,13.0,13.6,50200
1992-11-30,13.45,15.65,13.45,15.1,105900
1992-12-01,15.1,16.0,14.15,16.0,62900
1992-12-02,16.0,16.8,15.65,16.0,98600
1992-12-03,18.4,18.6,17.6,17.8,167400
1992-12-04,17.65,19.0,17.4,19.0,185100
1992-12-07,19.2,20.75,19.2,20.55,216900
1992-12-08,20.7,20.75,20.0,20.0,215000
1992-12-09,20.0,20.1,18.8,19.3,163500
1992-12-10,19.15,19.15,17.95,18.6,145600
1992-12-11,18.75,20.1,18.65,19.1,164700
1992-12-14,19.25,19.35,18.7,18.75,81600
1992-12-15,18.85,18.85,18.1,18.1,69600
1992-12-16,18.0,19.0,17.7,18.9,71300
1992-12-17,19.0,19.2,18.6,18.7,61000
1992-12-18,18.6,19.3,18.6,19.25,74100
1992-12-21,19.4,20.0,18.8,19.85,158800
1992-12-22,20.0,20.35,19.4,19.6,135700
1992-12-23,19.3,19.8,19.2,19.45,70600
1992-12-24,19.6,20.0,19.3,19.9,71900
1992-12-25,20.0,20.0,19.75,19.9,65600
1992-12-28,19.9,20.2,19.8,19.9,35700
1992-12-29,19.9,20.6,19.8,20.6,73600
1992-12-30,20.6,21.8,20.6,21.75,150800
1992-12-31,21.9,22.5,21.8,21.9,151700
1993-01-04,23.0,23.45,22.2,22.3,151600
1993-01-05,22.15,22.95,22.1,22.4,85900
1993-01-06,22.3,22.8,22.3,22.8,53200
1993-01-07,22.95,23.1,22.85,23.0,60100
1993-01-08,23.0,23.1,22.7,22.95,85200
1993-01-11,20.1,22.05,20.1,22.05,58000
1993-01-12,22.2,22.4,21.0,21.3,91700
1993-01-13,21.3,21.8,21.1,21.35,39600
1993-01-14,21.5,21.6,20.7,20.85,31800
1993-01-15,20.8,21.3,20.45,21.0,40200
1993-01-18,21.0,21.6,21.0,21.2,45200
1993-01-19,21.2,22.0,21.1,21.4,47400
1993-02-01,22.5,23.9,22.5,23.65,101700
1993-02-02,23.8,25.25,23.8,24.9,116700
1993-02-03,25.0,25.3,24.0,24.3,96400
1993-02-04,24.2,25.6,24.0,25.6,165500
1993-02-05,25.75,26.1,25.6,26.0,213500
1993-02-08,26.0,27.7,26.0,27.0,149200
1993-02-09,27.0,27.0,25.8,26.15,116100
1993-02-10,26.3,27.0,25.8,25.8,107500
1993-02-11,25.95,26.0,25.0,25.0,73800
1993-02-12,25.0,25.0,23.0,24.0,110900
1993-02-15,24.0,25.85,24.0,25.3,116500
1993-02-16,25.45,25.8,24.4,24.7,85100
1993-02-17,24.6,25.8,24.3,25.75,66500
1993-02-18,25.9,26.0,24.9,25.95,145800
1993-02-19,26.1,27.0,26.1,27.0,308800
1993-02-22,27.15,28.0,26.3,26.7,252000
1993-02-23,26.85,26.85,25.4,25.4,78200
1993-02-24,25.4,26.7,24.5,24.85,172700
1993-02-25,25.0,26.4,24.7,25.95,125200
1993-02-26,25.95,26.1,25.0,25.4,70700
1993-03-01,25.4,25.4,24.4,24.7,45800
1993-03-02,24.7,24.7,23.8,23.85,58600
1993-03-03,23.85,24.45,23.3,23.45,44200
1993-03-04,23.5,24.1,22.55,23.45,79600
1993-03-05,23.5,23.55,21.0,21.0,49500
1993-03-08,21.0,22.5,21.0,21.8,108100
1993-03-09,21.8,21.95,21.0,21.4,63400
1993-03-10,21.55,23.5,21.45,23.5,104600
1993-03-11,23.65,24.2,22.95,23.75,130200
1993-03-12,23.9,24.5,23.65,24.5,88600
1993-03-15,24.6,24.6,22.75,22.9,84800
1993-03-16,23.0,23.2,22.7,23.0,26800
1993-03-17,22.9,22.9,21.5,22.0,42500
1993-03-18,22.0,23.0,21.6,22.4,38000
1993-03-19,22.4,22.5,21.8,22.5,21700
1993-03-22,22.35,22.35,21.0,21.2,36600
1993-03-23,21.3,21.8,20.8,21.1,53300
1993-03-24,20.95,21.2,20.2,20.4,48300
1993-03-25,20.4,22.2,20.1,22.2,58300
1993-03-26,22.35,22.4,21.5,21.65,73100
1993-03-29,21.65,22.2,20.8,21.3,41900
1993-03-30,21.4,22.55,20.9,22.0,39300
1993-03-31,22.0,22.0,20.7,21.4,104500
1993-04-01,21.3,21.3,20.7,21.0,65400
1993-04-02,21.0,21.0,20.0,20.3,51400
1993-04-05,20.15,20.3,19.45,19.5,42100
1993-04-06,19.4,20.45,19.2,20.0,39800
1993-04-07,20.0,20.8,20.0,20.7,57000
1993-04-08,20.7,21.5,20.5,21.2,89200
