date,open,high,low,close,volume
2008-05-12,28.21,31.17,28.21,30.31,18212540
2008-05-13,30.45,33.34,30.41,33.34,4998231
2008-05-14,34.2,34.98,32.3,33.95,4922130
2008-05-15,33.45,35.9,33.45,34.0,4635873
2008-05-16,33.5,35.29,32.7,32.96,3477867
2008-05-19,33.49,36.26,33.05,36.26,2706178
2008-05-20,36.88,38.17,35.26,36.5,3350159
2008-05-21,36.7,37.0,34.8,36.85,2727333
2008-05-22,36.0,37.2,35.01,35.68,2299376
2008-05-23,35.08,37.63,35.08,37.4,2350531
2008-05-26,37.0,37.8,35.9,36.18,1072142
2008-05-27,35.87,36.6,34.3,34.5,1002699
2008-05-28,34.56,35.8,33.51,35.0,898586
2008-05-29,34.6,36.5,34.4,36.19,837634
2008-05-30,35.8,37.18,35.8,36.69,807523
2008-06-02,36.48,36.56,35.21,36.26,487290
2008-06-03,36.1,39.75,36.02,38.68,1597372
2008-06-04,38.45,38.75,37.03,38.26,881802
2008-06-05,37.7,38.88,37.05,38.5,567628
2008-06-06,39.19,39.75,38.25,38.8,634327
2008-06-10,37.66,38.49,35.0,36.88,1176500
2008-06-11,36.01,36.96,34.5,35.9,1232929
2008-06-12,35.43,35.9,34.03,35.6,700601
2008-06-13,35.41,35.45,32.31,32.99,1469408
2008-06-16,32.61,32.99,30.01,32.2,1820979
2008-06-17,31.61,32.19,30.28,30.3,345980
2008-06-18,30.02,31.97,28.6,31.89,631943
2008-06-19,31.0,31.45,28.72,29.58,531042
2008-06-20,29.25,31.4,27.71,30.34,487879
2008-06-23,29.5,30.19,29.0,29.85,348145
2008-06-24,29.7,31.49,29.3,31.4,558432
2008-06-25,31.01,32.18,30.52,31.8,471032
2008-06-26,31.8,31.88,30.3,31.2,641741
2008-06-27,30.0,30.83,29.4,29.42,381986
2008-06-30,29.55,30.18,28.56,30.09,217617
2008-07-01,30.09,30.1,29.0,30.0,144180
2008-07-02,30.0,30.98,29.61,30.56,197415
2008-07-03,29.68,32.0,29.33,31.6,511395
2008-07-04,31.2,31.3,30.2,30.58,215576
2008-07-07,31.48,31.96,30.81,31.21,425147
2008-07-08,31.3,32.0,31.2,32.0,780133
2008-07-09,32.45,32.5,30.9,31.71,697438
2008-07-10,31.2,34.33,31.12,33.8,1026309
2008-07-11,32.68,34.75,32.68,34.7,809875
2008-07-14,34.6,35.46,34.12,35.0,697997
2008-07-15,34.9,35.05,32.8,33.8,367863
2008-07-16,33.2,33.7,31.35,32.2,246096
2008-07-17,32.69,32.78,31.36,31.36,165303
2008-07-18,31.39,32.32,31.01,32.05,141839
2008-07-21,32.05,33.45,31.8,33.1,314346
2008-07-22,32.8,33.44,32.51,32.62,129874
2008-07-23,32.38,33.23,32.38,32.57,162320
2008-07-24,32.64,33.18,32.46,32.71,462466
2008-07-25,32.8,34.35,32.71,33.5,311721
2008-07-28,33.8,34.33,33.02,34.0,291691
2008-07-29,34.0,34.0,33.33,33.79,137303
2008-07-30,33.5,33.8,31.81,31.99,430802
2008-07-31,31.6,32.25,30.5,30.59,375813
2008-08-01,30.0,31.69,30.0,31.08,263629
2008-08-04,30.54,31.35,30.4,30.44,89760
2008-08-05,30.78,30.78,30.15,30.32,173037
2008-08-06,30.2,31.0,29.2,30.15,272672
2008-08-07,30.48,30.48,29.31,30.1,66600
2008-08-08,30.1,30.1,28.0,29.97,286285
2008-08-11,28.71,29.54,28.5,28.8,200318
2008-08-12,25.92,26.35,25.92,25.92,2383685
2008-08-13,24.65,25.5,23.6,25.05,1974039
2008-08-14,24.58,25.4,23.9,25.29,768288
2008-08-15,24.95,25.8,24.65,24.82,778041
2008-08-19,23.01,24.4,22.88,24.34,436710
2008-08-20,24.01,25.85,23.2,25.3,880249
2008-08-21,24.9,25.1,23.62,24.0,315757
2008-08-22,23.3,24.3,23.3,24.0,159313
2008-08-25,24.5,24.5,23.5,23.71,129151
2008-08-26,23.5,23.86,21.85,21.88,337085
2008-08-27,21.41,22.22,20.55,21.65,374393
2008-08-28,21.77,21.77,20.85,21.02,137366
2008-08-29,21.18,22.0,21.0,21.51,184474
2008-09-01,21.11,21.88,20.0,21.0,195562
2008-09-02,20.8,21.37,20.32,20.68,90322
2008-09-03,20.9,20.97,20.31,20.79,82514
2008-09-04,20.51,21.5,20.5,21.37,96470
2008-09-05,20.86,21.1,19.99,20.0,247217
2008-09-08,19.95,19.95,18.9,19.0,292670
2008-09-09,19.1,19.43,18.91,19.0,56132
2008-09-10,18.66,19.5,18.66,18.86,68753
2008-09-11,18.86,19.0,18.0,18.28,174857
2008-09-12,18.2,18.55,17.89,18.26,127257
2008-09-16,18.0,18.0,17.29,17.8,210794
2008-09-17,17.79,17.9,17.5,17.7,105021
2008-09-18,17.5,17.99,17.02,17.88,187570
2008-09-19,19.1,19.67,18.7,19.67,3851598
2008-09-22,19.59,21.2,18.5,18.99,2399767
2008-09-23,17.98,17.99,17.09,17.09,583300
2008-09-24,15.4,15.93,15.38,15.66,2176917
2008-09-25,15.66,16.43,15.66,16.34,978467
2008-09-26,16.28,16.28,15.39,16.02,873510
2008-10-06,15.68,15.68,14.96,15.25,483790
2008-10-07,14.65,15.24,14.5,15.12,1247827
2008-10-08,14.66,15.28,14.66,15.0,417512
2008-10-09,15.3,15.37,14.86,15.04,352674
2008-10-10,14.72,14.8,13.6,13.93,723346
2008-10-13,13.88,13.91,12.88,13.76,490303
2008-10-14,14.14,14.5,14.05,14.05,524220
2008-10-15,13.9,14.6,13.5,14.5,338987
2008-10-16,14.08,15.2,13.8,14.21,675671
2008-10-17,14.31,15.3,14.31,15.2,507148
2008-10-20,15.2,16.68,15.05,16.37,693538
2008-10-21,16.24,16.29,15.61,16.0,463741
2008-10-22,15.61,16.3,15.2,15.2,249741
2008-10-23,15.01,16.72,15.01,16.7,1590224
2008-10-24,16.67,17.89,16.45,16.7,1024913
2008-10-27,16.68,16.7,16.03,16.1,697180
2008-10-28,16.0,17.4,15.7,17.25,442009
2008-10-29,17.39,18.38,17.05,17.64,765838
2008-10-30,17.64,18.5,17.64,18.3,799921
2008-10-31,18.0,18.41,17.57,18.12,326615
2008-11-03,18.0,18.16,17.21,17.49,235162
2008-11-04,17.33,17.75,16.4,16.9,317331
2008-11-05,16.8,18.5,16.62,17.93,542462
2008-11-06,17.51,18.0,17.12,18.0,268326
2008-11-07,17.8,19.09,17.68,18.39,506965
2008-11-10,18.39,19.49,18.39,19.3,681891
2008-11-11,18.91,19.17,18.16,18.6,770178
2008-11-12,18.4,18.95,18.2,18.63,259982
2008-11-13,18.8,19.9,18.22,19.5,855593
2008-11-14,19.61,19.95,19.05,19.6,730841
2008-11-17,19.48,20.88,19.01,20.85,827093
2008-11-18,20.5,21.15,19.33,19.66,578506
2008-11-19,19.61,21.63,19.6,21.63,1219927
2008-11-20,21.55,22.7,20.8,20.91,852227
2008-11-21,20.31,21.33,19.8,20.36,496407
2008-11-24,20.4,20.88,19.02,19.22,451043
2008-11-25,19.66,19.69,18.31,18.66,629194
2008-11-26,18.51,18.87,18.15,18.47,256315
2008-11-27,19.3,19.97,18.81,18.92,763677
2008-11-28,19.1,19.1,18.13,18.25,236004
2008-12-01,18.15,19.57,18.15,19.4,653002
2008-12-02,19.18,20.4,19.0,19.96,448173
2008-12-03,19.93,20.8,19.93,20.72,540653
2008-12-04,20.98,21.48,20.1,20.35,1449009
2008-12-05,20.15,21.11,20.11,20.86,418344
2008-12-08,21.1,22.25,21.1,21.4,809974
2008-12-09,21.51,22.0,21.0,21.21,555969
2008-12-10,20.9,22.63,20.87,22.6,856754
2008-12-11,22.46,22.61,21.55,21.61,560457
2008-12-12,21.22,21.45,20.32,20.42,674491
2008-12-15,20.87,21.45,20.52,21.21,487540
2008-12-16,20.91,22.8,20.9,22.65,770939
2008-12-17,22.55,23.56,21.9,22.2,703723
2008-12-18,22.47,24.42,22.0,24.42,292010
2008-12-19,25.4,26.4,24.64,25.3,1114115
2008-12-22,25.02,26.38,24.28,25.77,2100183
2008-12-23,25.6,25.6,23.3,23.43,1566528
2008-12-24,23.0,23.39,22.0,22.71,1239032
2008-12-25,23.0,23.7,22.73,23.29,606898
2008-12-26,23.22,24.29,23.1,23.5,679797
2008-12-29,23.34,23.75,22.6,22.89,503446
2008-12-30,22.6,24.2,22.6,23.86,657131
2008-12-31,24.25,25.08,23.5,23.5,804939
2009-01-05,23.9,24.38,23.41,24.0,1002498
2009-01-06,24.18,25.1,24.0,25.0,869484
2009-01-07,24.98,25.48,24.52,25.3,640169
2009-01-08,24.81,26.3,24.53,25.88,878661
2009-01-09,25.95,27.12,25.75,26.65,999977
2009-01-12,26.76,27.94,26.5,26.56,1601014
2009-01-13,26.39,27.08,25.3,25.36,1480749
2009-01-14,25.48,26.48,25.3,26.45,590718
2009-01-15,26.17,26.87,26.0,26.48,614671
2009-01-16,26.85,27.15,25.79,26.43,1259877
2009-01-19,26.83,27.19,25.7,26.18,544526
2009-01-20,25.95,26.22,25.58,25.97,274542
2009-01-21,25.6,26.25,25.6,25.63,326838
2009-01-22,25.71,26.25,25.6,26.0,340396
2009-01-23,26.0,26.15,25.58,25.58,341691
2009-02-02,25.64,26.4,25.64,26.18,444524
2009-02-03,26.18,26.8,26.18,26.77,536710
2009-02-04,26.77,26.89,26.45,26.79,357588
2009-02-05,26.9,26.91,25.8,25.9,514328
2009-02-06,25.91,26.65,25.9,26.58,671862
2009-02-09,26.66,28.24,26.66,27.85,916091
2009-02-10,27.76,27.8,26.84,27.32,757773
2009-02-11,26.9,27.98,26.71,27.09,669177
2009-02-12,26.95,27.2,25.63,26.25,1392093
2009-02-13,26.39,27.03,26.0,27.0,1226706
2009-02-16,27.18,28.2,27.05,27.55,1808607
2009-02-17,27.6,27.7,26.47,26.83,1028724
2009-02-18,26.18,26.9,25.78,26.0,1096901
2009-02-19,26.8,26.82,25.8,26.33,670316
2009-02-20,26.3,27.5,25.9,27.41,1288294
2009-02-23,27.4,29.99,27.01,28.84,1729343
2009-02-24,28.55,29.1,26.8,26.88,1355686
2009-02-25,27.12,27.5,25.94,26.8,1054419
2009-02-26,26.88,28.0,26.0,26.55,1606460
2009-02-27,25.9,26.7,24.48,24.94,1129134
2009-03-02,25.0,25.8,24.51,25.25,694319
2009-03-03,24.8,25.6,24.58,25.25,452621
2009-03-04,25.5,26.47,25.5,26.47,654336
2009-03-05,26.45,27.7,26.1,26.94,1090304
2009-03-06,26.6,27.14,26.11,26.9,697358
2009-03-09,26.99,28.7,26.85,27.8,1953562
2009-03-10,27.22,29.4,27.22,29.1,1906350
2009-03-11,29.41,29.62,28.23,28.8,842644
2009-03-12,28.78,29.0,28.1,28.85,913454
2009-03-13,29.0,30.29,28.8,29.5,946971
2009-03-16,29.5,30.0,28.7,28.98,875068
2009-03-17,28.73,29.3,28.5,29.18,615295
2009-03-18,29.26,29.5,29.06,29.46,643746
2009-03-19,29.4,29.5,28.13,29.5,1010001
