date,open,high,low,close,volume
1997-05-15,20.8,21.69,19.5,21.4,16954400
1997-05-16,19.96,22.89,19.25,21.08,12883900
1997-05-19,21.8,22.68,20.9,21.65,4742300
1997-05-20,21.8,22.3,21.25,22.09,4899600
1997-05-21,21.8,22.16,21.08,21.17,2456900
1997-05-22,19.08,20.49,19.05,19.05,2557200
1997-05-23,18.28,20.15,18.19,19.79,2066000
1997-05-26,20.0,20.2,18.5,19.98,1611200
1997-05-27,20.2,20.52,19.85,20.0,1909500
1997-05-28,20.2,20.26,19.48,19.54,1019000
1997-05-29,19.51,20.2,19.35,19.5,1194100
1997-05-30,19.6,20.0,19.2,19.9,663500
1997-06-02,20.5,21.0,20.07,20.69,1497900
1997-06-03,20.7,21.0,20.1,20.37,1679000
1997-06-04,20.6,20.67,20.0,20.18,992000
1997-06-05,20.06,20.6,19.7,19.91,902100
1997-06-06,18.05,19.0,17.95,18.3,1915000
1997-06-09,18.2,18.45,17.85,18.27,857900
1997-06-10,18.35,18.35,17.4,17.48,573600
1997-06-11,17.3,17.4,15.74,16.45,889100
1997-06-12,17.0,17.1,16.4,16.68,520900
1997-06-13,15.8,18.33,15.8,18.28,1272500
1997-06-16,18.45,18.78,17.75,18.25,1112000
1997-06-17,18.15,18.15,17.48,17.5,696500
1997-06-18,17.66,17.88,17.13,17.24,415100
1997-06-19,17.2,17.35,16.8,16.82,429600
1997-06-20,17.01,18.0,17.01,17.91,901100
1997-06-23,18.08,18.45,17.1,17.4,1071700
1997-06-24,17.43,18.17,17.43,17.83,591900
1997-06-25,17.75,18.65,17.75,18.3,1549800
1997-06-26,18.3,19.18,18.0,19.14,2074500
1997-06-27,19.18,19.3,18.5,18.66,1491500
1997-07-02,18.93,20.17,17.78,19.86,2255300
1997-07-03,20.0,20.0,18.6,18.82,1303200
1997-07-04,18.3,19.35,18.11,18.74,950700
1997-07-07,18.89,19.0,16.87,16.95,906100
1997-07-08,16.8,18.0,16.4,17.9,686400
1997-07-09,18.2,18.2,17.5,17.92,413500
1997-07-10,17.95,17.95,17.3,17.31,506700
1997-07-11,17.11,18.12,17.0,18.09,642800
1997-07-14,18.3,18.8,18.1,18.65,812000
1997-07-15,18.8,18.8,18.0,18.16,609000
1997-07-16,17.9,18.3,17.6,17.98,597700
1997-07-17,17.7,18.38,17.7,18.01,431700
1997-07-18,18.18,18.7,18.1,18.5,859700
1997-07-21,18.6,19.19,18.45,18.63,936300
1997-07-22,18.4,18.95,18.0,18.78,524900
1997-07-23,19.0,19.39,18.5,18.55,948700
1997-07-24,18.5,18.8,18.0,18.13,748400
1997-07-25,18.0,19.25,17.85,19.0,1906900
1997-07-28,19.0,19.38,18.2,18.6,1417500
1997-07-29,18.51,19.0,18.1,18.59,876200
1997-07-30,18.8,18.85,18.4,18.85,560500
1997-07-31,18.8,19.5,18.6,19.2,2365400
1997-08-01,19.28,19.4,18.81,18.98,608200
1997-08-04,19.2,19.25,18.93,19.0,494800
1997-08-05,19.2,19.25,18.58,18.65,738300
1997-08-06,18.5,18.65,17.1,17.1,1709200
1997-08-07,16.8,16.9,15.39,16.45,3613700
1997-08-08,14.8,14.8,14.8,14.8,293300
1997-08-11,13.32,13.32,13.32,13.32,341500
1997-08-12,11.99,12.6,11.99,12.52,4353300
1997-08-13,12.3,12.38,11.55,11.6,1681500
1997-08-14,11.99,12.08,11.35,11.9,1368800
1997-08-15,11.91,12.25,11.52,12.15,1666500
1997-08-18,12.08,12.17,11.41,11.8,705300
1997-08-19,11.75,12.05,11.41,11.55,488500
1997-08-20,11.38,11.85,11.3,11.8,524200
1997-08-21,12.12,12.23,11.8,12.23,1026200
1997-08-22,12.25,12.55,11.96,12.38,1648800
1997-08-25,12.5,12.87,12.3,12.75,1406700
1997-08-26,12.75,12.79,12.4,12.47,1030900
1997-08-27,12.5,12.98,12.5,12.93,1344200
1997-08-28,12.8,12.9,12.5,12.57,703300
1997-08-29,12.5,12.63,12.29,12.45,698600
1997-09-01,12.0,12.69,12.0,12.5,676200
1997-09-02,12.45,13.48,12.35,12.95,1051300
1997-09-03,12.95,13.05,12.7,13.0,652900
1997-09-04,13.0,13.4,13.0,13.26,1097900
1997-09-05,13.25,13.5,13.0,13.45,708700
1997-09-08,13.43,13.45,13.1,13.34,437800
1997-09-09,13.2,13.2,12.58,12.58,469000
1997-09-10,12.61,12.93,12.58,12.89,371400
1997-09-11,12.8,13.09,12.45,12.5,299600
1997-09-12,12.54,12.95,12.3,12.66,866300
1997-09-15,12.7,13.0,12.57,12.57,511800
1997-09-16,12.5,12.78,12.4,12.7,214700
1997-09-17,12.7,12.75,12.6,12.67,277800
1997-09-19,12.7,13.1,12.7,13.1,726300
1997-09-22,13.1,13.3,11.81,11.88,492600
1997-09-23,11.75,11.75,10.65,10.7,433200
1997-09-24,11.0,11.38,10.91,11.33,486900
1997-09-25,11.35,11.55,11.3,11.47,346800
1997-09-26,11.33,11.72,11.1,11.5,344900
1997-09-29,11.3,11.34,10.95,11.18,184700
1997-09-30,11.1,11.5,11.1,11.47,179800
1997-10-06,11.36,11.69,11.28,11.65,120600
1997-10-07,11.4,11.74,11.4,11.71,120200
1997-10-08,11.88,12.4,11.85,12.35,309000
1997-10-09,12.35,12.4,12.0,12.35,290800
1997-10-10,12.35,12.58,12.16,12.4,204600
1997-10-13,12.48,12.5,12.32,12.41,238500
1997-10-14,12.11,12.3,12.04,12.2,159600
1997-10-15,12.08,12.5,12.08,12.3,190400
1997-10-16,12.4,13.03,12.4,13.0,1452100
1997-10-17,13.0,13.35,12.8,13.05,2135700
1997-10-20,13.03,13.78,12.95,13.75,2850200
1997-10-21,13.82,13.94,13.5,13.75,1088700
1997-10-22,14.0,14.0,13.0,13.37,1460000
1997-10-23,13.28,13.8,12.95,13.52,893800
1997-10-24,13.88,13.9,13.4,13.8,1138300
1997-10-27,14.0,14.55,13.83,14.54,1697500
1997-10-28,14.4,14.4,13.3,13.55,1058900
1997-10-29,13.6,14.0,13.3,13.95,748600
1997-10-30,13.88,14.63,13.61,13.7,1516100
1997-10-31,13.3,14.0,13.3,13.83,513000
1997-11-03,13.83,14.2,13.83,13.89,449500
1997-11-04,14.0,14.15,13.79,14.0,467900
1997-11-05,14.01,14.83,14.01,14.64,1508600
1997-11-06,14.98,15.49,14.75,14.86,2096700
1997-11-07,14.8,15.4,14.8,15.09,769200
1997-11-10,15.06,15.6,14.5,14.74,779600
1997-11-11,14.59,15.2,14.51,15.2,812400
1997-11-12,15.28,15.3,14.52,14.88,397100
1997-11-13,14.61,15.0,14.33,15.0,409600
1997-11-14,14.82,15.1,14.66,14.76,318300
1997-11-17,14.8,14.9,14.4,14.68,368900
1997-11-18,14.58,14.77,14.4,14.6,167800
1997-11-19,14.56,14.95,14.2,14.75,336000
1997-11-20,14.98,14.98,14.4,14.45,177500
1997-11-21,14.4,14.5,14.15,14.18,269500
1997-11-24,13.9,14.05,13.5,13.54,233200
1997-11-25,13.59,13.76,13.35,13.52,147700
1997-11-26,13.4,13.7,13.4,13.68,198200
1997-11-27,13.7,13.7,13.18,13.2,230200
1997-11-28,13.0,13.48,12.95,13.3,389800
1997-12-01,13.33,13.7,13.0,13.42,139000
1997-12-02,13.5,13.9,13.5,13.67,176300
1997-12-03,13.79,14.2,13.5,14.03,187900
1997-12-04,13.93,14.7,13.93,14.58,364200
1997-12-05,14.55,14.7,14.16,14.18,324100
1997-12-08,14.2,14.8,13.82,14.59,422200
1997-12-09,14.65,14.7,14.48,14.55,266700
1997-12-10,14.6,14.8,14.5,14.6,628200
1997-12-11,14.74,14.79,14.28,14.7,339600
1997-12-12,14.78,14.97,14.38,14.39,259500
1997-12-15,14.35,14.95,14.35,14.92,327400
1997-12-16,14.8,15.29,14.65,15.27,809000
1997-12-17,15.09,15.1,14.45,14.54,595000
1997-12-18,14.4,14.8,14.3,14.64,303800
1997-12-19,14.2,14.65,14.2,14.43,258600
1997-12-22,14.35,15.15,14.3,15.11,572300
1997-12-23,15.21,15.45,14.83,14.85,360500
