date,open,high,low,close,volume
2010-11-23,35.1,51.98,32.7,39.16,27732682
2010-11-24,35.24,37.86,35.24,35.28,19322156
2010-11-25,35.82,38.81,35.38,38.81,16557794
2010-11-26,37.68,42.69,37.5,42.69,18414134
2010-11-29,42.79,46.18,41.69,44.27,14653228
2010-11-30,43.3,46.6,42.01,44.3,13691223
2010-12-01,43.0,47.0,42.88,46.46,11737494
2010-12-02,46.85,47.8,44.44,45.05,9836095
2010-12-03,44.1,44.4,40.6,40.81,10372287
2010-12-06,40.12,42.0,39.49,40.7,6694523
2010-12-07,40.5,40.5,37.51,39.18,6915332
2010-12-08,38.9,40.6,38.75,39.2,4919080
2010-12-09,38.7,38.7,36.63,36.86,5326157
2010-12-10,37.5,38.6,36.88,38.28,4327794
2010-12-13,38.67,40.29,37.75,39.52,5871152
2010-12-14,39.45,43.47,38.8,42.72,9813732
2010-12-15,42.04,43.4,40.8,41.1,7710864
2010-12-16,41.1,42.58,40.7,41.43,4382084
2010-12-17,41.0,41.75,40.79,41.0,3060499
2010-12-20,40.95,41.49,37.8,39.33,4083263
2010-12-21,39.18,39.66,38.61,39.4,2583544
2010-12-22,39.51,41.24,38.89,40.54,3704790
2010-12-23,40.1,42.4,39.92,41.95,6211275
2010-12-24,41.55,42.15,38.79,38.8,4409710
2010-12-27,39.06,39.5,36.75,37.38,3199202
2010-12-28,37.1,37.35,35.38,36.38,2040799
2010-12-29,36.5,37.66,36.05,37.51,1645315
2010-12-30,38.0,38.0,36.56,37.0,1651072
2010-12-31,36.85,37.55,36.7,37.35,1646869
2011-01-04,37.8,38.36,37.36,37.97,2056873
2011-01-05,37.71,37.78,36.95,37.02,2096250
2011-01-06,37.05,37.15,35.9,36.01,2109524
2011-01-07,35.73,36.8,35.7,36.06,1451452
2011-01-10,36.01,36.71,35.5,35.65,1166197
2011-01-11,35.55,36.2,33.6,34.32,1966175
2011-01-12,34.33,34.96,34.0,34.67,947795
2011-01-13,34.8,34.99,34.17,34.22,835875
2011-01-14,34.18,34.2,32.62,32.71,1372441
2011-01-17,33.0,34.35,32.9,33.3,1862561
2011-01-18,33.0,35.94,33.0,35.21,3464882
