date,open,high,low,close,volume
1996-04-08,8.43,8.77,8.08,8.55,34988600
1996-04-09,8.42,8.64,8.31,8.47,10596700
1996-04-10,8.55,9.19,8.55,9.19,16563000
1996-04-11,9.29,9.4,8.78,9.15,12994900
1996-04-12,9.2,9.5,9.13,9.5,7636900
1996-04-15,9.42,9.56,9.38,9.44,3387100
1996-04-16,9.45,9.75,9.23,9.59,4482100
1996-04-17,9.58,9.58,9.32,9.42,4143600
1996-04-18,9.4,9.75,9.38,9.75,5396600
1996-04-19,9.98,11.05,9.85,11.04,10431400
1996-04-22,11.1,11.25,10.41,10.68,8930700
1996-04-23,10.58,11.38,10.51,11.31,5306300
1996-04-24,11.5,11.75,11.32,11.7,7589800
1996-04-25,11.7,11.75,10.71,10.9,5896700
1996-04-26,11.01,12.02,10.83,11.54,12564600
1996-04-29,11.61,11.87,10.95,11.34,7964700
1996-04-30,11.31,11.31,9.58,9.96,4847900
1996-05-02,10.2,10.68,9.18,9.38,3812400
1996-05-03,9.45,9.5,9.1,9.28,1591200
1996-05-06,9.28,9.6,9.28,9.38,1124600
1996-05-07,9.47,9.7,9.17,9.29,1164800
1996-05-08,9.2,9.49,9.15,9.3,556200
1996-05-09,9.4,9.84,9.4,9.55,1731100
1996-05-10,9.45,9.49,9.12,9.41,562400
1996-05-13,9.5,9.5,9.2,9.29,915200
1996-05-14,9.32,9.38,9.2,9.3,1076500
1996-05-15,9.37,9.81,9.2,9.8,2432600
1996-05-16,9.9,9.94,9.35,9.59,2047800
1996-05-17,9.5,9.9,9.45,9.85,1393100
1996-05-20,9.85,9.9,9.45,9.59,1582000
1996-05-21,9.59,9.67,8.5,9.08,1147600
1996-05-22,9.0,9.08,8.84,9.0,827100
1996-05-23,9.0,9.01,8.45,8.58,719800
1996-05-24,8.5,8.5,8.09,8.3,600100
1996-05-27,8.35,8.48,8.26,8.32,337500
1996-05-28,8.3,8.46,8.28,8.42,370400
1996-05-29,8.43,8.51,8.36,8.47,324600
1996-05-30,8.49,8.49,8.18,8.48,518400
1996-05-31,8.3,9.2,8.3,9.05,4369600
1996-06-03,9.3,9.65,8.98,9.62,4435000
1996-06-04,9.64,9.88,9.3,9.4,2761100
1996-06-05,9.35,9.78,9.18,9.7,2353600
1996-06-06,9.67,10.08,9.18,10.05,3335700
