date,open,high,low,close,volume
2004-07-21,29.88,33.0,29.7,32.7,20319344
2004-07-22,32.55,35.35,32.55,33.6,4590007
2004-07-23,33.5,35.94,33.5,35.85,3241299
2004-07-26,35.79,35.79,34.35,35.0,2331728
2004-07-27,34.99,35.2,33.52,34.68,1459142
2004-07-28,35.45,36.4,34.11,36.3,1947066
2004-07-29,36.0,36.79,35.61,36.07,1238830
2004-07-30,35.85,36.48,35.51,35.94,719457
2004-08-02,36.0,38.7,35.9,37.8,1797378
2004-08-03,37.9,39.11,37.69,38.0,1538246
2004-08-04,37.88,39.0,36.8,38.09,1124148
2004-08-05,37.8,39.4,37.66,38.5,732792
2004-08-06,38.49,39.6,38.0,38.8,776952
2004-08-09,39.28,39.28,37.0,37.2,1630801
2004-08-10,36.88,39.1,36.88,38.36,998278
2004-08-11,37.05,38.3,36.88,37.55,690087
2004-08-12,37.4,38.28,37.2,37.68,436133
2004-08-13,37.5,37.97,36.5,36.7,1037803
2004-08-16,36.6,36.6,35.86,36.1,843627
2004-08-17,36.01,36.85,36.0,36.57,287340
2004-08-18,36.4,36.57,36.01,36.35,226960
2004-08-19,36.48,36.48,35.21,36.0,395807
2004-08-20,36.05,36.05,33.9,35.01,1079653
2004-08-23,34.68,35.33,34.68,35.1,143568
2004-08-24,34.8,35.4,34.8,35.1,150158
2004-08-25,34.95,35.48,34.71,35.26,114689
2004-08-26,35.0,35.55,34.75,35.2,266274
2004-08-27,36.0,36.0,35.2,35.37,165379
2004-08-30,35.35,35.36,34.36,35.2,230310
2004-08-31,35.28,35.99,34.7,35.33,132306
2004-09-01,34.8,35.0,34.5,35.0,261027
2004-09-02,34.68,34.98,34.51,34.96,107366
2004-09-03,34.57,35.0,34.57,34.7,87210
2004-09-06,34.5,35.75,34.5,34.68,89130
2004-09-07,34.68,34.98,34.61,34.69,51490
2004-09-08,34.72,35.1,34.54,35.09,208430
2004-09-09,35.09,35.09,34.61,34.96,69547
2004-09-10,34.6,35.27,34.57,35.05,63649
2004-09-14,34.5,35.4,34.5,35.0,153711
2004-09-15,34.8,37.3,34.8,36.37,483221
2004-09-16,36.4,37.0,35.65,36.8,416823
2004-09-17,36.95,40.48,36.61,40.48,1185170
2004-09-20,41.0,42.44,40.11,41.88,1455866
2004-09-21,41.64,41.87,39.8,41.0,1325325
2004-09-22,40.9,43.0,40.22,41.49,754380
2004-09-23,40.95,41.88,40.0,41.54,512123
2004-09-24,41.4,43.4,40.2,40.2,1204074
2004-09-27,40.9,42.8,39.51,39.6,865255
2004-09-28,39.65,40.99,39.52,40.9,337164
2004-09-29,41.11,41.4,40.73,41.0,330943
2004-09-30,40.9,42.2,40.01,40.01,322359
2004-10-08,42.0,44.01,41.7,44.01,1396673
2004-10-11,46.9,47.2,45.01,45.3,1260023
2004-10-12,44.99,45.65,44.31,44.73,721545
2004-10-13,44.93,45.78,44.52,45.4,958447
2004-10-14,45.43,45.43,41.0,42.25,1280265
2004-10-15,41.32,42.7,40.91,42.27,251337
2004-10-18,41.5,42.9,41.5,42.88,228506
2004-10-19,42.5,43.5,42.5,42.5,278372
2004-10-20,42.75,44.58,42.7,44.0,817534
2004-10-21,44.5,44.99,43.8,44.83,495472
2004-10-22,44.51,48.77,44.51,47.63,906460
2004-10-25,48.22,50.15,47.68,49.75,1401020
2004-10-26,49.72,50.17,48.5,50.0,429055
2004-10-27,49.8,51.98,49.5,49.7,561588
2004-10-28,49.1,50.3,48.03,48.67,426217
2004-10-29,49.63,50.15,48.39,48.88,580624
2004-11-01,48.63,48.88,46.8,47.2,329105
2004-11-02,47.79,48.2,46.5,47.9,232222
2004-11-03,48.01,49.3,47.81,49.28,482574
2004-11-04,50.5,50.5,48.0,48.5,315096
2004-11-05,48.48,48.5,46.05,46.49,510011
2004-11-08,46.0,46.87,45.89,46.8,131725
2004-11-09,47.0,47.48,46.66,46.9,173096
2004-11-10,46.75,49.1,46.75,48.7,326371
2004-11-11,48.79,49.68,48.4,48.4,463144
