date,open,high,low,close,volume
2007-08-08,48.8,58.95,48.8,50.8,35241891
2007-08-09,48.99,49.9,46.0,46.03,12169045
2007-08-10,45.31,47.32,44.2,46.6,8182107
2007-08-13,45.48,45.48,42.81,42.85,6717768
2007-08-14,43.0,44.8,43.0,44.24,3592936
2007-08-15,44.38,44.9,42.5,43.1,4406853
2007-08-16,43.0,45.9,41.5,44.4,6170368
2007-08-17,44.4,44.4,41.8,41.8,3748749
2007-08-20,42.55,43.88,42.0,42.7,3229316
2007-08-21,42.5,42.6,41.6,42.03,3880907
2007-08-22,41.6,42.3,41.2,41.81,3206478
2007-08-23,41.82,43.38,41.82,42.26,3168946
2007-08-24,42.0,43.2,41.31,42.77,3619743
2007-08-27,42.8,42.82,41.95,42.45,2113239
2007-08-28,41.95,42.45,40.03,41.18,2988466
2007-08-29,40.5,41.96,40.02,40.3,2252647
2007-08-30,40.7,41.05,40.09,40.55,2120927
2007-08-31,40.3,41.5,40.28,40.8,1467667
2007-09-03,41.09,41.49,40.31,40.9,2511976
2007-09-05,40.8,40.89,38.88,38.96,3628540
2007-09-06,39.2,39.57,38.17,38.39,3214565
2007-09-07,38.09,38.28,36.51,36.55,3034124
2007-09-10,35.88,36.37,34.95,36.06,2778393
2007-09-11,35.9,35.94,32.54,32.54,3182476
2007-09-12,32.7,35.78,30.78,35.68,5090400
2007-09-13,34.77,35.85,34.5,35.12,2619308
2007-09-14,35.0,36.6,34.9,36.2,2872544
2007-09-17,36.1,37.18,35.58,36.82,2637102
2007-09-18,36.9,36.99,34.0,35.34,2355514
2007-09-19,35.33,35.33,33.5,33.53,1644223
2007-09-20,33.62,34.46,33.31,33.46,1238742
2007-09-21,33.55,33.9,31.9,32.48,1142022
2007-09-24,32.4,33.89,31.2,33.35,2071681
2007-09-25,33.2,33.88,32.6,33.08,894706
2007-09-26,33.21,33.5,32.0,32.37,693679
2007-09-27,32.02,32.99,31.6,32.75,783954
2007-09-28,32.9,35.29,32.9,35.0,2385771
2007-10-08,35.88,37.3,35.02,36.03,2567294
2007-10-09,35.53,36.29,35.25,35.56,1727037
2007-10-10,35.5,37.0,35.23,35.95,1571596
2007-10-11,36.0,36.05,34.8,35.7,1490551
2007-10-12,35.6,35.6,32.6,34.0,1375166
2007-10-15,33.12,34.13,32.6,33.46,1146422
2007-10-16,33.58,34.88,33.46,33.7,910602
2007-10-17,33.76,34.05,32.87,33.09,711919
2007-10-18,32.88,33.44,32.13,33.44,1118143
2007-10-19,33.52,36.27,33.33,35.45,2229823
2007-10-22,34.6,36.5,34.33,34.8,1440800
2007-10-23,35.0,36.0,34.48,35.79,1506378
2007-10-24,36.1,36.75,35.12,35.38,2179272
2007-10-25,34.4,35.0,32.63,33.42,2163691
2007-10-26,33.1,34.19,33.08,33.35,1681183
2007-10-29,33.3,34.88,33.3,34.0,857603
2007-10-30,34.6,34.6,33.1,33.41,793501
2007-10-31,33.99,35.9,33.45,35.5,1858290
2007-11-01,35.52,38.58,34.8,37.48,4873514
2007-11-02,36.8,39.54,36.44,37.9,4950880
2007-11-05,38.01,39.49,37.2,38.92,2905178
2007-11-06,38.69,38.87,36.4,36.88,2211464
2007-11-07,37.01,37.97,36.05,37.95,2027927
2007-11-08,36.97,37.0,34.16,34.16,5339863
2007-11-09,33.0,33.16,30.81,31.38,5065110
2007-11-12,30.0,32.0,29.01,31.1,2639413
2007-11-13,31.5,31.9,30.4,31.0,2139649
2007-11-14,31.17,31.8,30.11,31.34,2519820
2007-11-15,31.34,32.9,31.1,32.9,2422702
2007-11-16,32.02,33.8,32.0,33.56,2397211
2007-11-19,35.18,35.98,34.5,34.6,3802846
2007-11-20,34.41,35.6,34.25,35.54,2204212
2007-11-21,35.8,37.96,34.98,37.0,3922870
2007-11-22,36.3,37.19,34.3,34.89,2739548
2007-11-23,34.45,35.5,33.7,34.95,1494953
2007-11-26,35.27,35.8,33.0,33.02,1946853
2007-11-27,32.88,33.58,30.95,30.95,2249038
2007-11-28,31.0,31.85,30.4,31.0,881086
2007-11-29,31.2,32.38,31.01,32.04,1196270
2007-11-30,31.71,32.18,31.3,31.64,1093202
2007-12-03,31.79,32.6,31.12,32.45,975259
2007-12-04,32.85,34.62,32.85,33.1,2730725
2007-12-05,33.0,34.3,32.68,33.77,1175784
2007-12-06,33.71,34.38,32.88,33.4,1249039
2007-12-07,33.43,33.85,32.6,33.84,1721952
2007-12-10,33.39,35.6,33.05,35.26,2601051
2007-12-11,35.3,35.43,34.31,34.84,1811308
2007-12-12,34.59,34.65,32.88,33.0,2419615
2007-12-13,32.9,33.73,32.3,33.0,1888940
2007-12-14,32.41,33.28,32.05,33.12,1240443
2007-12-17,33.0,33.0,30.85,31.56,2426683
2007-12-18,31.08,31.8,31.0,31.45,860183
2007-12-19,31.92,32.34,31.48,32.16,905166
2007-12-20,32.1,32.5,31.1,32.3,1324843
2007-12-21,31.8,32.53,31.8,32.42,1353850
2007-12-24,32.75,33.77,32.55,33.5,2390177
2007-12-25,33.31,34.66,32.7,34.5,3680469
2007-12-26,34.22,35.65,34.11,35.59,3244172
2007-12-27,35.6,37.37,35.3,36.67,5534360
2007-12-28,36.5,38.0,35.3,36.23,5019519
2008-01-02,36.19,37.8,36.1,37.4,2422153
2008-01-03,37.0,37.9,36.5,36.8,1828898
2008-01-04,36.82,37.3,36.06,36.21,2147298
2008-01-07,35.91,37.79,35.88,37.19,2319767
2008-01-08,37.15,38.5,36.98,37.7,3564333
2008-01-09,37.51,41.18,37.28,40.7,5132824
2008-01-10,40.5,41.5,40.15,40.68,2829670
2008-01-11,40.63,40.99,39.33,40.9,2303266
