date,open,high,low,close,volume
2001-01-09,14.5,15.8,14.5,15.28,42197482
2001-01-10,15.15,15.94,15.12,15.71,13753211
2001-01-11,15.78,15.9,15.57,15.74,7326990
2001-01-12,15.75,15.78,15.47,15.49,3987698
2001-01-15,15.32,15.43,14.61,14.69,3840801
2001-01-16,14.61,15.4,14.6,15.28,3132740
2001-01-17,15.31,15.88,15.25,15.77,4499264
2001-01-18,15.8,15.95,15.52,15.67,2074546
2001-01-19,15.68,15.9,15.56,15.76,1604344
2001-02-05,15.81,15.87,15.38,15.5,1234995
2001-02-06,15.4,15.5,15.18,15.48,1066018
2001-02-07,15.47,15.5,15.3,15.33,595952
2001-02-08,15.32,15.42,14.97,15.01,1907945
2001-02-09,15.0,15.3,14.96,15.25,912572
2001-02-12,15.2,15.43,15.02,15.36,578054
2001-02-13,15.28,15.36,15.22,15.28,351394
2001-02-14,15.28,15.51,15.23,15.46,706938
2001-02-15,15.5,15.65,15.4,15.41,579150
2001-02-16,15.18,15.57,15.18,15.57,708661
2001-02-19,15.57,15.84,15.4,15.75,994335
2001-02-20,15.7,15.82,15.62,15.65,1200350
2001-02-21,15.58,15.72,15.42,15.68,752862
2001-02-22,15.6,16.0,15.59,15.81,1582047
2001-02-23,15.78,16.1,15.75,16.02,1285412
2001-02-26,16.09,16.2,15.95,16.1,1616742
2001-02-27,16.49,16.49,15.87,16.14,2020212
2001-02-28,16.1,16.55,16.0,16.44,2123630
2001-03-01,16.45,16.86,16.36,16.66,1831127
2001-03-02,16.66,16.8,16.55,16.63,1456712
2001-03-05,16.6,16.74,16.47,16.68,1116083
2001-03-06,16.73,16.92,16.65,16.68,1836792
2001-03-07,16.61,16.8,16.37,16.45,1941683
2001-03-08,16.45,16.66,16.35,16.5,872488
2001-03-09,16.5,16.91,16.5,16.9,2284148
2001-03-12,16.91,17.1,16.8,17.0,924046
2001-03-13,17.03,17.1,16.81,16.88,789397
2001-03-14,16.88,17.55,16.88,17.49,1563711
2001-03-15,17.48,17.65,17.41,17.5,1079159
2001-03-16,17.5,17.52,17.0,17.06,1883030
2001-03-19,17.01,17.2,16.81,16.9,1350791
2001-03-20,16.9,17.39,16.84,17.33,1568069
2001-03-21,17.35,17.47,17.01,17.25,902650
2001-03-22,17.26,17.3,16.95,17.15,1326675
2001-03-23,17.15,17.15,16.85,16.87,1132904
2001-03-26,16.85,17.16,16.85,17.13,630561
2001-03-27,17.18,17.68,17.08,17.51,1607080
2001-03-28,17.6,17.77,17.42,17.55,979733
2001-03-29,17.58,18.08,17.58,17.95,1699550
2001-03-30,17.9,18.12,17.71,17.98,996182
2001-04-02,18.03,18.4,17.8,17.9,1241100
2001-04-03,18.0,18.65,17.74,18.58,6096800
2001-04-04,18.7,19.18,18.5,19.03,5498686
2001-04-05,19.0,19.58,18.7,19.55,3215141
2001-04-06,19.7,19.73,19.3,19.56,1536589
2001-04-09,19.51,19.51,18.9,19.37,2159677
2001-04-10,19.4,19.8,19.25,19.8,1049184
2001-04-11,19.79,20.5,19.61,20.43,1858658
2001-04-12,20.44,20.54,20.02,20.4,2093790
2001-04-13,20.6,20.6,20.03,20.45,1465696
2001-04-16,20.3,20.38,19.8,20.16,1618083
2001-04-17,20.17,20.3,19.65,20.25,1440503
2001-04-18,20.25,20.26,19.58,19.68,1323048
2001-04-19,19.6,20.4,19.2,20.14,3192844
