date,open,high,low,close,volume
1993-06-28,17.88,19.48,17.01,18.53,14032300
1993-06-29,18.61,21.3,18.61,20.96,14868500
1993-06-30,21.45,21.96,19.5,19.9,10139500
1993-07-01,19.8,19.8,18.1,18.74,5029900
1993-07-02,18.81,19.05,18.19,18.26,2074500
1993-07-05,18.18,18.18,16.85,17.1,2968400
1993-07-06,16.8,16.8,15.8,15.81,3039900
1993-07-07,15.5,16.4,15.15,16.25,2119400
1993-07-08,16.38,16.45,15.79,15.92,1161900
1993-07-09,16.0,16.0,15.0,15.13,1483100
1993-07-12,14.5,15.8,14.5,15.4,2133500
1993-07-13,15.8,16.25,15.22,15.71,1692100
1993-07-14,15.9,16.3,14.49,14.75,1691800
1993-07-15,14.61,15.18,14.51,14.78,579200
1993-07-16,15.0,15.08,14.7,14.75,618600
1993-07-19,14.75,15.0,14.4,14.53,409700
1993-07-20,14.01,14.7,13.65,13.89,896400
1993-07-21,14.35,14.4,13.82,13.91,408600
1993-07-22,13.99,14.0,13.6,14.0,257300
1993-07-23,14.01,14.1,13.92,14.0,334600
1993-07-26,13.99,13.99,13.5,13.52,361700
1993-07-27,13.48,14.2,13.38,13.93,593200
1993-07-28,13.95,14.97,13.93,14.24,1616100
1993-07-29,14.8,14.88,14.3,14.86,1240700
1993-07-30,15.4,17.88,14.85,17.4,8908600
1993-08-02,18.4,18.4,15.8,16.1,7242700
1993-08-03,15.91,16.6,15.52,15.65,2557400
1993-08-04,15.67,16.45,15.33,16.1,1684400
1993-08-05,16.39,16.8,15.8,16.11,3190300
1993-08-06,16.0,16.68,16.0,16.45,1409000
1993-08-09,17.2,17.8,16.78,17.7,4485600
1993-08-10,17.9,18.07,16.71,16.8,4727700
1993-08-11,16.7,17.31,16.7,17.23,1218100
1993-08-12,17.65,17.8,17.31,17.65,2331900
1993-08-13,17.85,18.55,17.61,18.47,5220800
1993-08-16,18.98,20.7,18.7,20.5,6002200
1993-08-17,21.0,21.2,19.19,19.62,8476100
1993-08-18,19.7,20.21,19.02,19.02,4517400
1993-08-19,19.03,20.3,19.03,20.09,4401600
1993-08-20,20.2,20.4,19.25,19.6,3673700
1993-08-23,19.47,19.6,18.44,18.45,3534600
1993-08-24,18.19,18.75,17.82,18.45,2571000
1993-08-25,18.79,19.1,18.55,18.8,2224600
1993-08-26,19.0,19.0,18.26,18.55,882100
1993-08-27,18.55,18.78,17.81,18.17,1387100
1993-08-30,18.0,18.78,18.0,18.45,1054800
1993-08-31,18.51,18.87,18.38,18.41,511200
1993-09-01,18.47,18.57,18.2,18.28,400600
1993-09-02,18.29,18.82,18.25,18.82,383200
1993-09-03,18.9,19.5,18.63,19.35,2069000
1993-09-06,19.8,19.96,19.5,19.93,2764200
1993-09-07,19.3,19.99,19.0,19.0,137100
1993-09-08,19.1,19.33,18.6,18.93,1156800
1993-09-09,19.01,19.25,18.6,18.66,739100
1993-09-10,18.65,18.97,18.58,18.79,531600
1993-09-13,18.21,18.58,18.0,18.3,1436200
1993-09-14,18.22,18.3,17.86,18.15,515600
1993-09-15,18.1,18.35,18.1,18.28,255100
1993-09-16,18.28,18.31,18.14,18.16,275300
1993-09-17,18.1,18.47,18.0,18.35,275700
1993-09-20,18.3,18.49,18.21,18.32,200900
1993-09-21,18.45,18.84,18.45,18.58,450900
1993-09-22,18.67,18.67,18.41,18.42,154500
1993-09-23,18.48,18.74,18.47,18.5,255000
1993-09-24,18.1,19.33,18.1,18.27,685600
1993-09-27,18.38,18.45,18.2,18.26,300200
1993-09-28,18.46,18.53,18.22,18.48,387500
1993-09-29,18.6,18.84,18.02,18.2,242600
1993-09-30,18.38,18.45,18.05,18.2,401600
1993-10-04,18.45,18.68,18.1,18.35,390400
1993-10-05,18.3,18.3,18.09,18.16,311000
1993-10-06,18.1,19.0,17.98,18.61,826900
1993-10-07,18.62,20.18,18.13,18.29,3640300
1993-10-08,18.72,18.8,17.98,18.1,1273600
1993-10-11,18.08,18.48,18.0,18.08,566700
1993-10-12,18.08,18.34,17.95,18.04,406800
1993-10-13,18.15,18.2,17.89,17.9,424700
1993-10-14,17.85,17.88,17.5,17.79,478900
1993-10-15,17.78,18.39,17.6,17.85,440600
1993-10-18,17.8,17.8,17.4,17.5,300700
1993-10-19,17.6,17.89,17.35,17.44,309200
1993-10-20,17.5,18.1,17.45,17.9,727900
1993-10-21,18.0,18.2,17.41,17.5,594200
1993-10-22,17.55,19.5,17.31,17.85,9465200
1993-10-25,17.3,17.97,16.9,17.1,2743400
1993-10-26,17.49,17.5,16.89,17.1,1375700
1993-10-27,17.68,18.4,17.11,17.25,2735400
1993-10-28,17.5,18.2,17.35,18.0,2086200
1993-10-29,18.31,18.35,17.5,17.65,1529600
1993-11-01,17.4,18.0,17.4,17.64,565800
1993-11-02,17.92,18.18,17.4,17.62,1544100
1993-11-03,17.7,17.8,17.48,17.51,322500
1993-11-04,17.5,17.73,17.3,17.45,378500
1993-11-05,17.6,17.8,17.4,17.61,397400
1993-11-08,17.8,18.1,17.7,17.98,707400
1993-11-09,18.01,18.08,17.77,17.95,400000
1993-11-10,17.91,18.42,17.4,17.95,1823700
1993-11-11,18.25,18.88,18.2,18.61,2906500
