date,open,high,low,close,volume
1997-12-25,5.15,5.38,5.03,5.1,132598800
1997-12-26,5.08,5.14,4.9,5.02,43879900
1997-12-29,5.01,5.05,4.92,4.96,15569000
1997-12-30,4.94,4.94,4.78,4.8,16485000
1997-12-31,4.78,4.85,4.7,4.74,12373700
1998-01-05,4.74,4.85,4.62,4.79,12319300
1998-01-06,4.78,4.78,4.64,4.69,9445400
1998-01-07,4.67,4.8,4.6,4.71,9789700
1998-01-08,4.69,4.78,4.63,4.65,10043800
1998-01-09,4.68,4.7,4.62,4.68,6777900
1998-01-12,4.69,4.69,4.52,4.54,10717900
1998-01-13,4.5,4.51,4.09,4.26,13952200
1998-01-14,4.23,4.59,4.21,4.58,12439000
1998-01-15,4.55,4.59,4.3,4.46,9900800
1998-01-16,4.48,4.48,4.34,4.36,4890300
1998-01-19,4.35,4.35,4.21,4.23,4816900
1998-01-20,4.22,4.38,4.18,4.27,3447900
1998-01-21,4.31,4.36,4.23,4.27,2856800
1998-01-22,4.27,4.28,4.18,4.18,5795000
1998-01-23,4.18,4.29,4.17,4.23,3945000
1998-02-09,4.31,4.38,4.25,4.34,5269200
1998-02-10,4.32,4.37,4.27,4.31,3558900
1998-02-11,4.3,4.49,4.28,4.41,5354200
1998-02-12,4.44,4.44,4.29,4.32,4357400
1998-02-13,4.32,4.32,4.25,4.26,3315400
1998-02-16,4.25,4.3,4.2,4.28,3071000
1998-02-17,4.3,4.3,4.22,4.26,2128600
1998-02-18,4.28,4.28,4.19,4.23,3593000
1998-02-19,4.23,4.26,4.2,4.23,3085500
1998-02-20,4.25,4.3,4.2,4.25,3355900
1998-02-23,4.25,4.25,4.18,4.23,3489200
1998-02-24,4.22,4.27,4.2,4.21,1917100
1998-02-25,4.21,4.3,4.2,4.26,3425200
1998-02-26,4.28,4.44,4.26,4.33,7089800
1998-02-27,4.33,4.35,4.23,4.26,2228300
1998-03-02,4.19,4.32,4.18,4.2,3652500
1998-03-03,4.2,4.28,4.2,4.25,2395100
1998-03-04,4.25,4.39,4.24,4.34,5957600
1998-03-05,4.35,4.38,4.26,4.28,2733900
1998-03-06,4.26,4.34,4.25,4.29,2099900
1998-03-09,4.32,4.33,4.25,4.27,2109300
1998-03-10,4.25,4.28,4.2,4.25,2765000
1998-03-11,4.22,4.25,4.18,4.18,3418400
1998-03-12,4.17,4.19,4.09,4.14,3367500
1998-03-13,4.13,4.15,4.1,4.12,2046000
1998-03-16,4.15,4.16,4.06,4.11,2393000
1998-03-17,4.12,4.21,4.12,4.15,2067200
1998-03-18,4.17,4.18,4.1,4.11,2036300
1998-03-19,4.11,4.16,4.09,4.1,1612200
1998-03-20,4.1,4.13,4.08,4.12,2620600
1998-03-23,4.1,4.12,4.04,4.06,2917600
1998-03-24,4.05,4.07,4.04,4.06,2137400
1998-03-25,4.12,4.12,4.03,4.05,3015100
1998-03-26,4.05,4.08,4.0,4.02,3154700
1998-03-27,4.0,4.1,3.99,4.03,4341100
1998-03-30,4.05,4.09,4.01,4.08,4692100
1998-03-31,4.08,4.09,4.02,4.03,3002200
1998-04-01,4.03,4.04,3.99,4.01,4181600
1998-04-02,4.03,4.2,4.0,4.17,8216600
1998-04-03,4.18,4.19,4.1,4.12,3386200
1998-04-06,4.11,4.29,4.09,4.24,7120400
1998-04-07,4.23,4.27,4.17,4.18,4070400
1998-04-08,4.2,4.45,4.15,4.4,14828700
1998-04-09,4.4,4.49,4.26,4.34,14917600
1998-04-10,4.35,4.42,4.3,4.32,6086500
1998-04-13,4.33,4.35,4.22,4.24,5739400
1998-04-14,4.2,4.27,4.2,4.22,2989600
1998-04-15,4.2,4.28,4.2,4.23,3210700
1998-04-16,4.23,4.25,4.15,4.16,4173400
1998-04-17,4.15,4.21,4.1,4.14,3777400
1998-04-20,4.12,4.17,4.08,4.13,3536200
1998-04-21,4.1,4.17,4.1,4.13,2640900
1998-04-22,4.13,4.23,4.13,4.19,3505300
1998-04-23,4.2,4.25,4.14,4.16,3146900
1998-04-24,4.16,4.19,4.1,4.13,2761700
1998-04-27,4.2,4.28,4.08,4.12,4150800
1998-04-28,4.18,4.21,4.14,4.2,3937000
1998-04-29,4.2,4.2,4.12,4.15,2573100
1998-04-30,4.15,4.15,4.11,4.12,2957200
1998-05-04,4.13,4.18,4.09,4.11,4601100
1998-05-05,4.13,4.18,4.09,4.12,3090100
1998-05-06,4.16,4.16,4.07,4.1,3377900
1998-05-07,4.1,4.1,4.05,4.05,4099000
1998-05-08,4.05,4.09,4.05,4.08,3970000
1998-05-11,4.08,4.2,4.03,4.14,6932000
1998-05-12,4.16,4.32,4.05,4.18,7987600
1998-05-13,4.22,4.23,4.1,4.16,3669800
1998-05-14,4.16,4.23,4.13,4.17,4149900
1998-05-15,4.18,4.23,4.15,4.18,4849100
1998-05-18,4.2,4.23,4.11,4.12,4093000
1998-05-19,4.12,4.14,4.05,4.09,2690600
1998-05-20,4.08,4.11,4.05,4.07,2283500
1998-05-21,4.05,4.08,4.05,4.07,2184900
1998-05-22,4.08,4.1,4.06,4.08,2934200
1998-05-25,4.07,4.08,4.04,4.06,4357400
1998-05-26,4.06,4.1,4.05,4.08,3382100
1998-05-27,4.07,4.08,4.05,4.08,3695700
1998-05-28,4.1,4.17,4.07,4.1,3535900
1998-05-29,4.1,4.16,4.09,4.11,3769900
1998-06-01,4.12,4.18,4.06,4.08,3490900
1998-06-02,4.08,4.12,4.04,4.05,2950100
1998-06-03,4.05,4.1,4.04,4.08,2775900
1998-06-04,4.1,4.1,4.03,4.04,2928000
1998-06-05,4.04,4.07,4.03,4.05,3138800
1998-06-08,4.05,4.05,4.01,4.02,2907100
1998-06-09,4.02,4.02,3.92,3.94,4768400
1998-06-10,3.94,3.97,3.91,3.95,2887400
1998-06-11,3.93,3.97,3.9,3.91,2093200
1998-06-12,3.95,4.0,3.93,3.95,2364100
1998-06-15,3.93,3.95,3.9,3.91,2227000
1998-06-16,3.91,3.92,3.8,3.83,3100300
1998-06-17,3.87,3.9,3.83,3.85,1559800
1998-06-18,3.9,4.16,3.9,4.02,5022800
1998-06-19,4.03,4.04,3.95,3.97,2022500
