date,open,high,low,close,volume
2001-03-12,28.01,29.28,27.5,29.0,27361688
2001-03-13,29.0,31.88,28.9,30.78,11038271
2001-03-14,30.78,31.5,30.6,30.99,5121311
2001-03-15,31.1,31.85,30.7,30.91,3791881
2001-03-16,30.83,31.25,30.62,30.79,2517179
2001-03-19,31.0,31.58,29.95,30.09,5044554
2001-03-20,30.09,30.76,30.0,30.65,1726153
2001-03-21,30.6,30.87,30.0,30.18,1979560
2001-03-22,30.3,31.1,30.02,30.97,1908014
2001-03-23,31.1,31.5,30.51,30.55,1682730
2001-03-26,30.6,31.36,30.6,31.3,1412172
2001-03-27,31.4,31.49,30.95,31.2,1148408
2001-03-28,31.2,31.3,30.78,30.88,1164592
2001-03-29,30.8,31.6,30.8,31.13,1480755
2001-03-30,31.21,33.28,31.13,32.99,4459915
2001-04-02,33.3,33.8,33.08,33.29,3359064
2001-04-03,33.0,33.67,32.28,33.4,1420200
2001-04-04,33.3,33.6,32.31,32.6,2195644
2001-04-05,32.4,33.48,32.39,33.44,1707374
2001-04-06,33.51,34.36,33.4,34.12,1840175
2001-04-09,34.29,34.89,33.81,34.8,1422877
2001-04-10,34.85,34.99,34.52,34.72,993786
2001-04-11,34.76,34.8,34.08,34.63,976080
2001-04-12,34.68,34.95,34.13,34.3,1186585
2001-04-13,34.48,35.25,34.25,35.02,980559
2001-04-16,35.3,36.08,35.28,35.5,1506117
2001-04-17,35.5,37.33,35.5,37.06,1881284
2001-04-18,37.2,38.6,36.64,38.15,2104595
2001-04-19,38.25,38.6,37.0,37.4,2228524
2001-04-20,37.3,37.97,35.55,36.11,1970061
2001-04-23,35.9,36.5,35.2,36.15,2434969
2001-04-24,36.25,36.4,35.6,35.88,855200
2001-04-25,35.9,36.2,34.0,34.22,2376623
2001-04-26,34.0,34.73,33.8,34.03,1351455
2001-04-27,33.98,34.79,33.9,34.6,806060
2001-04-30,34.5,34.8,33.98,34.26,687633
2001-05-08,34.27,35.34,34.27,35.1,605909
2001-05-09,35.1,35.25,34.4,34.58,478205
2001-05-10,34.6,35.0,34.42,34.85,373834
2001-05-11,34.92,35.9,34.8,35.78,560136
2001-05-14,35.8,36.5,35.8,36.48,868967
2001-05-15,36.53,36.63,35.78,36.0,699601
2001-05-17,36.18,36.3,35.5,35.5,571312
2001-05-18,35.48,36.5,35.18,36.16,810470
2001-05-21,36.48,36.98,36.1,36.4,657350
2001-05-22,36.2,36.86,36.2,36.26,764720
2001-05-23,36.2,36.48,35.01,35.2,1084673
2001-05-24,35.0,35.35,34.56,34.76,1000631
2001-05-25,34.65,34.9,34.02,34.65,780187
2001-05-28,34.75,35.25,34.2,34.7,422414
2001-05-29,34.6,34.95,34.58,34.72,230231
2001-05-30,34.7,36.1,34.7,36.0,651525
2001-05-31,36.1,36.66,35.3,35.9,1023337
2001-06-01,35.99,36.41,35.6,35.64,591655
2001-06-04,36.0,36.55,35.7,36.2,636532
2001-06-05,36.2,36.3,35.5,35.65,395924
2001-06-06,35.72,36.0,35.1,35.6,442904
2001-06-07,35.6,35.6,35.12,35.36,317436
2001-06-08,35.01,35.36,34.9,35.12,480335
2001-06-11,35.12,35.59,34.9,35.48,399750
2001-06-12,35.5,35.65,35.06,35.65,303272
2001-06-13,35.7,36.46,35.7,36.4,709153
2001-06-14,36.35,36.5,35.3,35.3,500411
2001-06-15,35.23,36.0,34.9,35.52,337197
2001-06-18,35.52,35.8,34.4,34.61,647290
2001-06-19,34.68,36.5,34.31,35.89,1027742
2001-06-20,35.88,35.97,34.95,35.05,310911
2001-06-21,34.51,35.5,34.51,35.35,107961
2001-06-22,35.3,35.85,35.3,35.45,247380
2001-06-25,35.5,36.5,35.5,36.15,727016
2001-06-26,36.25,36.85,36.25,36.31,792238
2001-06-27,36.3,36.45,35.88,35.96,350470
2001-06-28,36.0,36.01,35.61,35.7,141235
2001-06-29,35.6,36.2,35.6,35.85,185156
2001-07-02,35.87,36.48,35.7,35.95,394400
2001-07-03,36.3,36.3,35.69,36.01,260674
2001-07-04,35.9,36.4,35.75,36.1,270120
2001-07-05,36.1,36.37,35.45,35.55,324094
2001-07-06,35.3,35.8,35.3,35.53,212280
2001-07-09,35.55,36.48,35.55,36.28,624130
2001-07-10,36.33,37.39,36.18,37.23,1347232
2001-07-11,37.4,38.2,37.0,37.02,2075556
2001-07-12,37.17,39.29,36.75,39.1,3347116
2001-07-13,39.2,39.48,38.6,38.8,2754694
2001-07-16,42.49,42.49,38.55,38.78,4946487
2001-07-17,38.7,38.85,37.02,37.3,1795519
2001-07-18,37.3,38.33,37.15,37.82,781246
2001-07-19,37.82,38.5,37.5,38.25,538010
2001-07-20,38.4,42.0,38.25,41.26,3590492
2001-07-23,41.31,41.6,40.52,40.97,1173828
2001-07-24,40.59,40.8,38.88,39.25,2187887
2001-07-25,39.05,39.6,38.65,38.77,881853
2001-07-26,38.75,40.68,38.75,39.58,1194647
2001-07-27,39.55,39.97,38.0,38.01,1301201
2001-07-30,37.45,38.4,37.0,37.98,1365632
2001-08-01,34.18,36.8,34.18,35.89,5020563
2001-08-02,34.99,34.99,32.3,32.3,3085348
2001-08-03,32.0,33.2,31.8,33.1,1485224
2001-08-06,32.8,32.9,29.79,29.85,2437629
2001-08-07,29.68,29.75,27.53,28.97,3128179
2001-08-08,28.8,29.8,28.68,29.4,747888
2001-08-09,29.4,30.5,29.4,30.13,884007
2001-08-10,30.13,31.0,30.13,30.52,1064647
2001-08-13,30.52,30.98,30.32,30.53,747657
2001-08-14,30.5,30.61,29.43,29.8,974599
2001-08-15,29.8,30.2,29.6,30.05,362647
2001-08-16,29.71,30.6,29.68,29.78,398530
2001-08-17,26.8,29.6,26.8,29.0,713889
2001-08-20,28.99,29.4,28.58,29.3,271045
2001-08-21,29.32,29.68,28.81,29.0,423015
2001-08-22,28.9,29.0,27.75,28.1,863670
2001-08-23,27.88,28.43,27.0,28.37,510808
2001-08-24,28.12,28.47,27.7,27.81,408484
2001-08-27,27.8,27.8,26.9,26.93,736227
2001-08-28,26.85,27.0,26.5,27.0,391735
2001-08-29,27.11,28.0,27.09,27.81,461979
2001-08-30,27.03,28.15,27.03,27.92,252234
2001-08-31,27.86,28.16,27.86,28.1,226270
2001-09-03,28.0,28.2,27.8,28.0,156020
2001-09-04,28.0,28.6,28.0,28.58,281630
2001-09-05,28.98,29.4,28.59,28.69,200770
2001-09-06,28.42,28.88,27.88,27.94,235052
2001-09-07,27.8,27.94,27.05,27.1,381540
2001-09-10,26.88,28.5,26.54,28.0,230231
2001-09-11,28.0,28.48,27.55,27.75,148004
2001-09-12,27.0,27.75,26.0,27.33,313122
2001-09-13,27.4,27.73,27.34,27.66,134508
2001-09-14,27.11,27.8,26.95,27.5,264312
2001-09-17,27.5,27.8,26.99,27.0,135420
2001-09-19,27.1,27.3,26.63,27.08,195179
2001-09-20,26.9,27.31,26.75,26.78,193950
2001-09-21,26.71,27.3,26.6,26.9,393720
2001-09-24,26.9,26.96,26.52,26.9,87648
2001-09-25,26.98,27.16,26.65,26.8,37650
2001-09-26,26.64,26.73,26.2,26.23,115910
2001-09-27,26.05,26.47,25.3,25.4,235250
2001-09-28,25.3,25.65,22.86,23.89,1624343
2001-10-08,23.85,23.85,22.1,22.32,800048
2001-10-09,22.2,22.99,22.12,22.68,540025
2001-10-10,22.68,22.85,21.8,22.18,307786
2001-10-11,22.1,22.38,20.9,20.99,309730
2001-10-12,21.0,21.86,20.0,21.63,614242
2001-10-15,21.47,21.73,20.96,21.18,284650
2001-10-16,21.5,21.65,20.58,20.6,172540
2001-10-17,20.6,20.6,19.51,19.56,374950
2001-10-18,19.38,19.8,19.01,19.2,420170
2001-10-19,19.22,19.22,18.31,18.5,530198
2001-10-22,18.36,19.3,18.2,18.5,378574
2001-10-23,20.35,20.35,19.8,20.35,1048060
2001-10-24,21.95,22.39,21.0,21.95,1945803
2001-10-25,21.6,21.95,21.04,21.09,754807
2001-10-26,20.9,21.15,20.5,20.8,381668
2001-10-29,21.18,21.52,20.98,21.49,231183
2001-10-30,21.71,21.71,21.0,21.06,129300
2001-10-31,20.9,21.2,20.8,21.2,144174
2001-11-01,21.3,21.7,21.29,21.49,201419
2001-11-02,21.48,21.51,21.08,21.08,93480
2001-11-05,21.0,21.0,20.0,20.08,354161
2001-11-06,19.97,20.05,19.8,19.9,181130
2001-11-07,19.93,19.93,18.7,19.05,523731
2001-11-08,18.63,19.32,18.35,19.19,160852
2001-11-09,19.05,19.47,18.82,19.35,373017
2001-11-12,19.45,19.45,19.0,19.1,151150
2001-11-13,18.6,19.09,18.6,18.8,89961
2001-11-14,18.8,19.1,18.7,18.75,132900
2001-11-15,18.81,19.7,18.8,19.67,284213
2001-11-16,21.63,21.64,20.5,20.55,1200148
2001-11-19,20.36,21.0,20.3,20.91,248002
2001-11-20,21.02,21.93,20.9,21.75,608002
2001-11-21,21.65,21.98,21.3,21.95,690103
2001-11-22,21.95,22.45,21.7,22.38,602013
2001-11-23,21.98,22.4,21.9,21.99,476499
2001-11-26,22.02,22.02,21.3,21.69,206289
2001-11-27,21.7,22.08,21.56,22.08,159935
2001-11-28,22.25,22.66,22.0,22.57,505726
2001-11-29,22.5,23.23,22.2,22.92,448478
2001-11-30,23.0,23.38,23.0,23.36,336724
2001-12-03,23.4,25.5,23.4,24.31,1075450
2001-12-04,24.2,24.94,24.2,24.9,483220
2001-12-05,24.5,25.08,24.1,24.12,699992
2001-12-06,24.1,24.4,23.7,24.0,339027
2001-12-07,24.0,24.12,23.68,23.78,224940
2001-12-10,23.8,24.3,23.8,24.1,247034
2001-12-11,24.15,24.34,23.28,23.51,224100
2001-12-12,23.2,23.49,22.89,22.9,324800
2001-12-14,22.58,22.58,22.1,22.1,523980
2001-12-17,22.09,22.15,21.4,21.45,441487
2001-12-18,21.45,23.5,21.45,23.02,438015
2001-12-19,23.1,23.5,22.4,22.5,471191
2001-12-20,22.4,22.4,21.7,21.8,405605
2001-12-21,21.6,22.95,21.6,22.41,348290
2001-12-24,22.42,22.8,22.0,22.05,235419
2001-12-25,22.0,22.42,22.0,22.3,267287
2001-12-26,22.3,22.9,22.1,22.89,299784
2001-12-27,23.0,23.2,22.6,22.7,313600
2001-12-28,22.7,23.09,22.66,22.9,428007
2001-12-31,22.99,23.98,22.99,23.54,601359
2002-01-04,23.51,23.55,22.2,22.54,372775
2002-01-07,22.2,22.44,21.5,21.91,446392
2002-01-08,21.9,22.25,21.6,21.8,288938
2002-01-09,21.77,21.77,21.03,21.27,469309
2002-01-10,20.9,21.78,20.61,21.52,464068
2002-01-11,21.47,21.58,20.5,20.59,263150
2002-01-14,20.28,20.28,19.7,19.76,331099
2002-01-15,19.45,19.9,19.12,19.22,360640
2002-01-16,19.73,19.9,18.85,19.73,307279
2002-01-17,20.0,20.0,18.3,18.64,369718
2002-01-18,18.4,19.75,18.0,19.13,614288
2002-01-21,18.9,18.95,18.39,18.59,441038
2002-01-22,18.6,19.25,18.4,18.7,269325
2002-01-23,18.7,20.14,18.5,20.01,426655
2002-01-24,19.8,20.53,19.48,20.23,573766
2002-01-25,19.95,20.72,19.85,20.13,271418
2002-01-28,20.13,20.13,18.57,18.59,412503
2002-01-29,18.2,19.28,18.12,19.27,305570
2002-01-30,19.3,19.53,19.03,19.28,166951
2002-01-31,19.5,21.08,19.5,20.73,778595
2002-02-01,20.72,21.79,20.53,21.06,898384
2002-02-04,21.1,21.35,20.75,21.2,363360
2002-02-05,21.15,21.32,20.9,21.12,239833
2002-02-06,21.0,21.08,20.35,20.37,367152
2002-02-07,20.34,20.98,20.34,20.8,213904
2002-02-08,21.2,21.3,20.73,20.79,225779
2002-02-25,21.3,21.9,21.28,21.37,685280
2002-02-26,21.4,21.56,21.05,21.27,295813
2002-02-27,21.3,21.9,21.3,21.72,487940
2002-02-28,21.6,21.88,21.4,21.5,337760
2002-03-01,21.4,21.49,21.13,21.35,268762
2002-03-04,21.1,21.54,21.03,21.54,332586
2002-03-05,21.6,22.5,21.4,22.47,738118
2002-03-06,22.42,22.77,22.0,22.1,706700
2002-03-07,22.3,23.45,22.1,23.2,1242084
2002-03-08,23.45,23.45,22.75,23.07,874294
2002-03-11,23.2,23.86,22.76,23.81,980938
2002-03-12,23.62,24.0,23.18,23.64,1273350
2002-03-13,23.35,23.91,22.9,22.95,780335
2002-03-14,23.0,23.49,22.96,23.48,464042
2002-03-15,23.49,24.36,23.49,23.8,1318437
2002-03-18,24.01,25.08,24.01,24.49,1588599
2002-03-19,24.5,25.4,24.5,25.39,1119079
2002-03-20,25.5,26.0,25.3,25.82,1096544
2002-03-21,25.8,26.09,25.35,25.46,874193
2002-03-22,25.46,25.88,25.0,25.45,974076
2002-03-25,25.7,27.21,25.6,27.02,1999008
2002-03-26,26.98,27.06,26.35,26.47,1115373
2002-03-27,26.5,26.93,26.3,26.88,778234
2002-03-28,26.8,27.03,26.7,26.93,849872
2002-03-29,26.85,26.88,25.81,25.97,883057
2002-04-01,25.72,26.6,24.99,26.5,1111715
2002-04-02,26.4,26.46,25.08,25.66,742761
2002-04-03,25.53,26.0,25.53,25.95,360070
2002-04-04,25.57,26.5,25.38,26.48,395075
2002-04-05,26.55,27.0,26.45,26.52,725105
2002-04-08,26.79,27.18,26.3,26.8,429720
2002-04-09,26.87,27.0,26.52,26.94,450357
2002-04-10,27.0,27.36,26.81,27.31,659778
2002-04-11,27.31,28.3,27.3,27.49,743932
2002-04-12,27.35,27.8,27.03,27.61,707987
2002-04-15,27.85,27.85,27.3,27.45,234885
2002-04-16,27.41,27.74,27.36,27.49,198125
2002-04-17,27.5,28.31,27.45,28.08,910200
2002-04-18,28.2,28.2,27.72,27.73,188300
2002-04-19,27.73,28.0,27.1,27.96,570341
2002-04-22,27.9,27.9,27.6,27.78,138370
2002-04-23,27.5,28.28,27.5,27.7,300195
2002-04-24,27.88,28.3,27.3,27.98,416859
2002-04-26,27.5,28.3,27.3,28.12,558584
2002-04-29,28.0,28.8,28.0,28.45,1243994
2002-04-30,28.45,28.5,27.92,28.08,240229
2002-05-08,28.5,28.5,27.58,27.78,124356
2002-05-09,27.51,27.77,27.1,27.73,408184
2002-05-10,27.65,27.7,27.15,27.27,165502
2002-05-13,27.2,27.2,26.3,26.5,294523
2002-05-14,26.72,26.8,26.41,26.58,187145
2002-05-15,26.54,26.76,26.1,26.56,185347
2002-05-16,25.81,26.68,25.46,25.81,338957
2002-05-17,25.85,26.22,25.8,26.14,262079
2002-05-20,16.15,16.15,15.65,15.75,109640
2002-05-21,16.1,16.28,15.8,16.05,544018
2002-05-22,16.07,16.2,15.21,15.78,468736
2002-05-23,15.8,16.2,15.72,16.0,376293
2002-05-24,15.9,15.9,15.2,15.57,290970
2002-05-27,15.8,15.82,15.26,15.42,191669
2002-05-28,15.3,15.68,15.3,15.47,107382
2002-05-29,15.47,15.47,14.7,14.71,221760
2002-05-30,14.6,15.2,14.25,14.62,443252
2002-05-31,14.47,14.69,14.16,14.29,264313
2002-06-03,14.0,14.32,13.6,13.69,634120
2002-06-04,13.89,13.98,13.6,13.88,575802
2002-06-05,13.63,14.08,13.62,13.8,277854
2002-06-06,13.78,14.55,13.6,14.49,808805
2002-06-07,14.68,15.0,14.21,14.93,1282622
2002-06-10,14.76,14.83,14.61,14.75,301360
2002-06-11,14.8,15.0,14.75,15.0,287544
2002-06-12,14.98,14.98,14.42,14.56,440437
2002-06-13,14.56,14.6,14.41,14.5,174396
2002-06-14,14.5,14.5,13.98,14.11,256440
2002-06-17,13.95,14.11,13.88,13.99,181833
2002-06-18,14.1,14.48,14.02,14.21,497892
2002-06-19,14.25,14.25,14.05,14.1,152516
2002-06-20,14.0,14.35,14.0,14.3,220202
2002-06-21,14.3,15.6,14.2,15.12,752065
2002-06-24,16.63,16.63,16.0,16.63,2199046
