date,open,high,low,close,volume
1999-12-16,5.68,5.8,5.42,5.54,68031400
1999-12-17,5.54,5.54,5.31,5.33,13722500
1999-12-21,5.29,5.29,5.1,5.27,6655000
1999-12-22,5.2,5.24,5.12,5.18,3534900
1999-12-23,5.15,5.16,5.05,5.13,4368750
1999-12-24,5.1,5.17,5.07,5.11,1676100
1999-12-27,5.11,5.16,5.1,5.1,2129700
1999-12-28,5.11,5.24,5.11,5.13,2198300
1999-12-29,5.15,5.2,5.1,5.15,1814300
1999-12-30,5.2,5.23,5.15,5.15,1166000
2000-01-04,5.2,5.21,5.12,5.19,2440000
2000-01-05,5.2,5.33,5.16,5.2,6316200
2000-01-06,5.18,5.28,5.12,5.25,5182000
2000-01-07,5.26,5.4,5.25,5.37,11694100
2000-01-10,5.45,5.48,5.3,5.38,9518700
2000-01-11,5.38,5.4,5.17,5.2,5372800
2000-01-12,5.19,5.24,5.12,5.14,3093700
2000-01-13,5.16,5.29,5.12,5.18,3016100
2000-01-14,5.18,5.23,5.11,5.13,2045400
2000-01-17,5.16,5.19,5.1,5.14,1563200
2000-01-18,5.15,5.23,5.13,5.16,1813800
2000-01-19,5.16,5.24,5.15,5.18,1637500
2000-01-20,5.17,5.18,5.13,5.15,2008600
2000-01-21,5.15,5.18,5.1,5.12,3329000
2000-01-24,5.52,5.63,5.36,5.63,25875600
2000-01-25,6.03,6.19,5.71,6.19,59950100
2000-01-26,6.19,6.19,5.9,5.95,22218800
2000-01-27,5.98,6.15,5.76,6.02,17133800
2000-01-28,6.05,6.31,5.87,6.11,19678500
2000-02-14,6.28,6.73,6.28,6.73,20534400
2000-02-15,6.9,6.97,6.2,6.3,19795200
2000-02-16,6.28,6.55,6.03,6.45,15570000
2000-02-17,6.5,6.65,6.02,6.12,17198900
2000-02-18,6.1,6.25,6.0,6.08,8025600
2000-02-21,6.08,6.3,5.8,6.23,11067800
2000-02-22,6.26,6.56,6.05,6.1,11818400
2000-02-23,6.0,6.09,5.88,5.91,6067500
2000-02-24,5.93,6.06,5.88,6.0,3207300
2000-02-25,6.01,6.17,5.91,6.02,4282500
2000-02-28,6.38,6.5,6.19,6.4,14934100
2000-02-29,6.48,6.49,6.1,6.19,7046900
2000-03-01,6.19,6.43,6.16,6.22,5114200
2000-03-02,6.25,6.35,6.05,6.16,5191400
2000-03-03,6.16,6.26,6.1,6.19,4929300
2000-03-06,6.81,6.81,6.81,6.81,8650500
2000-03-07,7.3,7.37,6.88,7.08,44357900
2000-03-08,7.0,7.05,6.66,6.83,14213300
2000-03-09,6.8,6.95,6.58,6.69,10031800
2000-03-10,6.62,6.65,6.43,6.45,8000300
2000-03-13,6.38,6.66,6.36,6.49,6482100
2000-03-14,6.4,6.49,6.2,6.31,7306300
2000-03-15,6.26,6.75,6.26,6.62,9939600
2000-03-16,6.4,6.48,6.03,6.1,19958000
2000-03-17,6.09,6.27,6.05,6.14,7902400
2000-03-20,6.1,6.33,6.0,6.22,14302200
2000-03-21,6.25,6.3,6.15,6.25,9055400
2000-03-22,6.26,6.27,6.17,6.24,5062600
2000-03-23,6.25,6.44,6.25,6.31,8016100
2000-03-24,6.36,6.4,6.2,6.2,7670800
2000-03-27,6.2,6.33,6.12,6.31,6400900
2000-03-28,6.31,6.6,6.29,6.49,14420600
2000-03-29,6.49,6.53,6.26,6.33,6510600
2000-03-30,6.38,6.48,6.3,6.31,7069900
2000-03-31,6.35,6.58,6.35,6.37,11099900
2000-04-03,6.41,6.71,6.4,6.47,19461400
2000-04-04,6.45,6.49,6.23,6.28,8505700
2000-04-05,6.27,6.37,6.1,6.25,6923900
2000-04-06,6.25,6.38,6.2,6.34,3891200
2000-04-07,6.36,6.68,6.34,6.45,9877800
2000-04-10,6.51,6.65,6.4,6.55,10182900
