ConstituentCode_WithExchange,Constituent_Name_zh,Constituent_Name_en,Exchange
sh600000,浦发银行,Shanghai Pudong Development Bank Co Ltd,sh
sh600008,首创股份,Beijing Capital Co Ltd,sh
sh600009,上海机场,Shanghai International Airport Co Ltd,sh
sh600010,包钢股份,Inner Mongolia Baotou Steel Union Co Ltd,sh
sh600011,华能国际,Huaneng Power International Inc,sh
sh600015,华夏银行,Hua Xia Bank Co Ltd,sh
sh600016,民生银行,China Minsheng Banking Corp Ltd,sh
sh600018,上港集团,Shanghai International Port (Group) Co Ltd,sh
sh600019,宝钢股份,Baoshan Iron &Steel Co Ltd,sh
sh600021,上海电力,Shanghai Electric Power Co Ltd,sh
sh600023,浙能电力,"Zhejiang Zheneng Electric Power Co., Ltd.",sh
sh600028,中国石化,China Petroleum & Chemical Corporation,sh
sh600029,南方航空,China Southern Airlines Co Ltd,sh
sh600030,中信证券,CITIC Securities Co Ltd,sh
sh600031,三一重工,Sany Heavy Industry Co Ltd,sh
sh600036,招商银行,China Merchants Bank Co Ltd,sh
sh600038,中直股份,"AVIC Helicopter Co.,Ltd.",sh
sh600048,保利地产,Poly Real Estate Group Co Ltd,sh
sh600050,中国联通,China United Network Communications Co Ltd,sh
sh600061,国投资本,"SDIC Capital Co., Ltd",sh
sh600066,宇通客车,Zhengzhou Yutong Bus Co Ltd,sh
sh600068,葛洲坝,China Gezhouba Group Co Ltd,sh
sh600074,ST保千里,"Jiangsu Protruly Vision Technology Group Co., Ltd.",sh
sh600085,同仁堂,Beijing Tongrentang Co Ltd,sh
sh600089,特变电工,TBEA Co Ltd,sh
sh600100,同方股份,Tsinghua Tongfang Co Ltd,sh
sh600104,上汽集团,SAIC Motor Co Ltd,sh
sh600109,国金证券,Sinolink Securities Co. Ltd.,sh
sh600111,北方稀土,"China Northern Rare Earth (Group) High-Tech Co.,Ltd",sh
sh600115,东方航空,China Eastern Airlines Corp Ltd,sh
sh600118,中国卫星,China Spacesat Co Ltd,sh
sh600153,建发股份,Xiamen C&D Inc,sh
sh600157,永泰能源,Wintime Energy Co Ltd,sh
sh600170,上海建工,Shanghai Construction Co Ltd,sh
sh600177,雅戈尔,Youngor Group Co Ltd,sh
sh600188,兖州煤业,Yanzhou Coal Mining Co Ltd,sh
sh600196,复星医药,Shanghai Fosun Pharmaceutical (Group) Co Ltd,sh
sh600208,新湖中宝,Xinhu Zhongbao Co Ltd,sh
sh600219,南山铝业,"Shandong Nanshan Aluminium Co., Ltd.",sh
sh600221,海航控股,"Hainan Airlines Holding Co., Ltd.",sh
sh600233,圆通速递,"YTO Express Group Co.,Ltd.",sh
sh600271,航天信息,"Aisino Co.,Ltd",sh
sh600276,恒瑞医药,Jiangsu Hengrui Medicine Co Ltd,sh
sh600297,广汇汽车,"China Grand Automotive Services Co., Ltd.",sh
sh600309,万华化学,"Wanhua Chemical Group Co., Ltd.",sh
sh600332,白云山,GUANGZHOU BAIYUNSHAN PHARMACEUTICAL HOLDINGS COMPANY LIMITED,sh
sh600340,华夏幸福,"China Fortune Land Development Co., Ltd.",sh
sh600352,浙江龙盛,Zhejiang Longsheng Group Co Ltd,sh
sh600362,江西铜业,Jiangxi Copper Co Ltd,sh
sh600369,西南证券,Southwest Securities Co Ltd,sh
sh600372,中航电子,"CHINA AVIONICS SYSTEMS CO.,LTD.",sh
sh600373,中文传媒,Chinese Universe Publishing And Media Co Ltd,sh
sh600376,首开股份,"Beijing Capital Development Co.,Ltd.",sh
sh600383,金地集团,Gemdale Corporation,sh
sh600390,五矿资本,Minmetals Capital Company Limited,sh
sh600406,国电南瑞,"NARI Technology Co., Ltd.",sh
sh600415,小商品城,Zhejiang China Commodities City Group Co Ltd,sh
